	WT_1_1_Aligned	WT_2_1_Aligned	WT_3_1_Aligned	pho85_1_1_Aligned	pho85_2_1_Aligned	pho85_3_1_Aligned	rpo41_1_1_Aligned	rpo41_2_1_Aligned	rpo41_3_1_Aligned	rpopho_1_1_Aligned	rpopho_2_1_Aligned	rpopho_3_1_Aligned	WT_Pi_1_1_Aligned	WT_Pi_2_1_Aligned	WT_Pi_3_1_Aligned	WT_noPi_1_1_Aligned	WT_noPi_2_1_Aligned	WT_noPi_3_1_Aligned	WT_SD_1_1_Aligned	WT_SD_2_1_Aligned	WT_SD_3_1_Aligned	WT_noURA_1_1_Aligned	WT_noURA_2_1_Aligned	WT_noURA_3_1_Aligned	Pro_wN_1_1_Aligned	Pro_wN_2_1_Aligned	Pro_wN_3_1_Aligned	Pro_noN_1_1_Aligned	Pro_noN_2_1_Aligned	Pro_noN_3_1_Aligned	ba_1_1_Aligned	ba_2_1_Aligned	ba_3_1_Aligned	ba_aF_1_1_Aligned	ba_aF_2_1_Aligned	ba_aF_3_1_Aligned
ICR1	7.845542776976177	6.7209018178355935	6.418149673815815	4.094595992671277	4.808109119007564	7.280103600345222	4.533098856800614	5.267444010547341	4.282121482021451	6.091155423339861	5.19104547791397	5.076051936818123	6.301620614697394	5.275991141836123	2.0627271219697034	9.861576501820181	10.656374335240876	10.338186533988692	5.658033986409602	4.802216668702287	4.301758518553077	4.479787477534959	4.142268134398568	4.779329277615075	3.6242400990608243	4.5486204046407375	5.453016778596029	4.459953039704996	4.974132031145218	4.359797981875032	5.60909797915518	4.6288366199688635	5.78622067831606	3.5289435529112714	3.24757729521661	2.9412373624406367
LSR1	3.1948579633538374	3.001261341316843	4.100507576681391	5.180699599266201	5.497939787332921	4.982194466714106	4.591076226689975	4.302268950572156	5.291076207124129	8.269753294117438	7.592052340074143	7.068498814809803	6.288565745562802	6.307342350776116	8.423826463635422	6.756618079268788	7.456272107337723	6.3630044081423245	6.761622768332936	4.837887242903539	5.287590730195128	14.534114468870282	15.778883164616095	13.81054723580196	8.325438565855864	7.596048568483884	8.756699365027892	7.153697000331437	8.390362229001965	10.195206868585762	10.04934771394579	7.876408695361911	9.04781001212534	6.148951380841209	7.234119760663939	6.794391051670733
RUF20	11.984580863822481	9.244400694509757	13.471488505116692	21.347832011245863	23.470996308064816	20.54012231989493	13.879427753931806	15.894185316024592	12.844579918966447	28.818130130460034	19.51733545664138	27.76186969395368	11.975100597847785	13.676595431977342	14.566829113050785	25.466758769728205	15.086144113684337	20.52613373683884	9.169430220977981	11.877431508798121	11.272147070446145	14.2877074389319	14.378408678028212	12.70860464528236	15.539287349112296	10.989563391711755	11.613004236916222	14.979673236407457	10.020963165405368	9.797631490323118	10.975419591980364	15.193564895629379	13.399977587826431	15.289964459272898	6.537984667902113	10.94146736997121
SCR1	9.965351296476562	8.499122541456206	7.132326614786727	69.86509786452268	78.96831048308414	60.583812545797315	6.222815797721756	6.11028550667946	7.267112265775396	103.767977157987	82.0290712605712	87.3059252865667	10.67091579135804	10.77771115117098	48.240740488942144	33.61959086629509	21.625221840928464	16.903549299701552	8.697215930805912	7.55991689424938	9.454974114266452	68.06233942909826	70.27255411221248	75.39116435005334	10.014610288095692	10.569910843292622	10.195324766060018	9.852291789060518	18.886351760684498	30.931235231403996	7.429333810198166	9.025908954280977	8.06379006565229	6.920515203532969	10.49393915898781	5.899071048556486
SRG1	47.20429561488898	42.736478528293965	50.18022362880135	81.08275064738234	70.68067004275417	66.63385334116815	84.0080132692437	73.83312218994605	82.6155920740782	135.35905176283418	109.71803407980246	117.97894896385655	48.827176445956226	43.00175845942915	35.663218554344205	113.24493765488872	80.31739895043972	79.21374006899113	39.245885737625564	43.2279458502004	44.8921000050744	72.17437638885713	81.02416887846286	90.55621364907861	19.538666450562932	24.24861899343601	18.458903786971824	17.76423409165071	20.19427085768481	15.01924155548649	16.912968878204467	21.6825406834043	17.531397835041613	18.498068833503538	16.56937761945444	15.937841078556119
YAL001C	22.089120600675795	21.056833210632213	20.31481725160394	19.244938321690473	18.330831827535267	25.50203372246975	20.60341054411651	19.970976680845197	18.01124892441693	23.558913636660296	23.8016538065693	22.743283567573393	18.977914626883024	18.13217293907665	5.704220683724612	30.407268726227628	25.83282227079792	27.706244875179664	16.61919876026362	15.289876388379337	13.136363799969688	24.08056448496899	24.911024055828637	24.667566587753047	20.70059448534495	21.528982972579016	22.565160990006216	24.929554116471266	24.804602066664184	27.21465061834588	16.199957831738637	16.072360745496326	16.183609801021454	13.464792995708935	13.334710904639321	11.569699286449955
YAL002W	18.23351080514083	17.47599383654081	15.63143776071001	20.843642840842328	21.441310653957043	25.96156551459503	13.660303014816666	14.00702250522216	11.367126167222555	25.89466500220523	25.166558499796736	20.816955564064063	13.470833430735393	11.671173042419255	6.695703240580802	30.45034407730988	30.60775801754099	29.93979878214085	11.484273106948182	9.87743641788472	10.5968012823011	11.882654949942637	10.919374361771139	12.584508858746073	15.139413582553374	14.2400015038953	16.5276409782599	16.21671337686153	14.615054207228642	17.49161352335896	12.58939424090819	10.292437392901334	12.358068421383889	15.369290251074696	15.079790571465486	10.42120059652908
YAL003W	3526.998822619582	3568.4141556176796	3537.491791967971	3692.5952401590366	3693.298205230022	3302.5158986811048	2947.90286839311	2803.564355061303	2916.5083822832066	3238.8810096068596	3181.941159401257	3272.4272873356636	3755.245838183312	3819.3971652228133	3789.3401886340225	2670.9085436979267	2352.9631428467424	2368.897106214139	3621.4271981563593	3635.722057247268	3654.7491012459936	2223.7468456125757	2300.5724293860226	2269.098963041046	2879.804205668788	3027.386869401124	3152.665459019457	2777.4942260326166	2756.4417971539715	2692.082581880666	3948.186492776651	4003.1784961908916	3902.7221729920248	3428.3480220243405	3494.610499932622	3781.2160761648797
YAL005C	544.6823763673159	405.310418938623	467.00022936349654	255.69073766828058	340.735000130136	630.4579179934037	299.2672614729405	312.47391214265707	237.1352725354422	695.2254891981162	509.59040550859913	407.5285818146067	393.67887051628327	328.7541943075561	427.9158170057176	910.9495801191606	1214.5552678548795	1257.9283075911787	289.45064153926796	224.84495016682936	233.94717062310008	904.7483168937079	904.1224594069944	884.297285237904	287.660539714797	268.7984350567448	249.26153035688134	199.71830303481224	199.38354687705083	317.53885523260726	205.95437018471694	147.5759618996175	189.37064680921117	403.12580344776273	386.60874292239737	245.4472714218035
YAL007C	264.75736648722096	242.45216551989827	264.7768000647268	226.56675515968882	223.09710123271483	231.39313569993715	220.7802338679002	209.66571591592802	202.58950555825754	224.88133599399058	213.02250070026753	241.47404695051907	246.91052643723955	245.60246459936974	242.48666003898364	269.21834727212826	260.5175935968212	242.6983410219878	233.19016509020182	234.8974177856057	238.5179225411747	147.01984796417202	173.61533920486173	168.05423617802805	211.18965547998474	220.40445970595152	219.71392546307328	235.4053358631518	233.32304750606139	219.9376511652347	228.47566686283872	224.10101665417747	246.18603110985694	244.9421913479804	247.52217961245563	240.32626032106555
