""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBR093C"	79619.5335538934	-7.2438053963374	0.137448885788442	-52.7018124212872	0	0
"YBR291C"	3084.92769438514	3.25426526425844	0.0856626163198326	37.9893284149553	0	0
"YBR294W"	12003.3503167935	4.95214828363959	0.117103374726124	42.2886897599787	0	0
"YCL064C"	6241.89677162221	-5.73130757574841	0.111314958568834	-51.4873081698569	0	0
"YCR098C"	4059.95185273413	-6.55131291353679	0.143985696066546	-45.4997481868543	0	0
"YER037W"	6689.7444826441	-4.9366287418512	0.0986665314413008	-50.0334679828906	0	0
"YJR152W"	12677.3184278058	5.17114105230793	0.122570137983851	42.1892406859267	0	0
"YNL142W"	34144.5352544102	5.90610593907893	0.0981554144118345	60.1709643270258	0	0
"YCL025C"	2535.89785783008	-4.51640616706561	0.124257171057108	-36.3472476368377	2.9043835015851e-289	2.19571392719833e-286
"YOR375C"	41684.2380702642	3.37165682307394	0.0933777943991651	36.1076939626675	1.71756395932571e-285	1.16863051792521e-282
"YIR031C"	4069.94910589208	2.7126064686384	0.0768322860031643	35.305554601443	4.82593846425702e-273	2.98506230098225e-270
"YJL088W"	4680.08332356436	3.82895426905355	0.110721678303606	34.5817939875721	4.7450572863854e-262	2.69044748138052e-259
"YPL110C"	5365.81912956443	-3.2069296912005	0.0949690714521255	-33.7681483262383	5.79020760280097e-250	3.03050557918906e-247
"YNR050C"	15053.8442898025	2.82747170384192	0.0849438279943292	33.2863701884341	6.08068625615364e-243	2.95521352049067e-240
"YJR010W"	7047.90968667978	3.04961606714198	0.0919183998063632	33.1774277355388	2.27865260159679e-241	1.0335968200843e-238
"YJL052W"	36590.8257901713	-4.85992314198203	0.149209316114499	-32.5711776485367	1.04998443305408e-232	4.46505880156246e-230
"YKR039W"	31954.9671302162	3.28754908049096	0.100945236861548	32.5676493780487	1.17797535788754e-232	4.7146731382746e-230
"YKL001C"	6311.10520517639	2.67330851989902	0.0828716316892584	32.2584274667483	2.67995641094415e-228	1.01302352333689e-225
"YBR069C"	2626.62842199504	-3.27748503909724	0.106263057031251	-30.8431277121395	6.92589400596516e-209	2.48019909560984e-206
"YML123C"	73122.287474697	-2.00310161749082	0.0653291984422125	-30.6616591854051	1.84779300182757e-206	6.28619179221738e-204
"YMR195W"	6428.40423895434	-2.65253524967437	0.086838489374555	-30.5456171425709	6.46562237397998e-205	2.09486164916951e-202
"YPL019C"	24091.9283954816	-2.37590648074536	0.0795127022730032	-29.8808418381732	3.49103407761902e-196	1.07968163018726e-193
"YGL121C"	1431.20663697994	-3.84200961368429	0.128767616464191	-29.8367688956385	1.30349753365662e-195	3.85608574739114e-193
"YDR046C"	1693.18581738446	-4.9199781976291	0.167625436476036	-29.3510239320539	2.31869243344538e-189	6.57349304881765e-187
"YJL172W"	12046.8639368424	3.79897756400588	0.130645660404375	29.0784826089689	6.71794885766413e-186	1.82835696110187e-183
"YKR075C"	3737.51016958718	3.0310508494641	0.104892602021381	28.8967075947479	1.31324881756345e-183	3.43667113642374e-181
"YNL208W"	25635.3992200755	-2.07717161286591	0.0728837102213588	-28.4998061508837	1.17792592070281e-178	2.96837332017107e-176
"YDR281C"	6015.81502255056	-3.79222132436305	0.134011205965697	-28.2977926885737	3.67892561123333e-176	8.939789235297e-174
"YJR137C"	10115.8214156645	2.17288282181472	0.0792459213355758	27.4194909364912	1.60629065228873e-165	3.76869020626639e-163
"YCL038C"	2275.17856567235	-2.4566197097743	0.0905548361613209	-27.128531328773	4.53782355547591e-162	1.02917838238194e-159
"YJL133C-A"	9181.38983330751	3.21996520610496	0.119120904540702	27.031067456382	6.37735805178679e-161	1.39972723175346e-158
