""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBR069C"	3784.07964137491	-3.99262984587367	0.100922564267871	-39.5613198578303	0	0
"YBR093C"	59838.8580865846	-6.96320930690098	0.149935529025679	-46.4413561758827	0	0
"YFL026W"	13796.2085010245	6.74547023813747	0.161663607797253	41.7253476527455	0	0
"YIL015W"	3900.20745500898	5.66865966374009	0.130153969750084	43.5534903362903	0	0
"YIR031C"	3584.09103310167	3.13196554188044	0.0804770394962108	38.9175044396098	0	0
"YJL088W"	4487.17774809849	2.98340364005998	0.0779836247719429	38.256796202853	0	0
"YJR152W"	11508.282363604	5.35343407373898	0.125800716902479	42.5548773135291	0	0
"YKL001C"	5417.27101703297	3.4745988519305	0.0733309936073076	47.3824051878693	0	0
"YKL178C"	6712.41977894743	-5.89918763551161	0.141267432387333	-41.7590065581213	0	0
"YKL209C"	4114.88595652762	3.97046132440197	0.097631478511097	40.6678397679974	0	0
"YKR039W"	26907.1750247473	5.74684932768693	0.112331474879788	51.1597424839027	0	0
"YNL142W"	30911.2178096809	6.59461051608703	0.0781990142665159	84.3311207684977	0	0
"YPL187W"	39612.8968348729	-11.4185835852795	0.244604997600283	-46.6817264459123	0	0
"YCL064C"	3633.79099454618	-5.06993878487986	0.136463568435537	-37.1523245581461	4.02106654861402e-302	1.8789869543595e-299
"YNL145W"	6098.39616221845	8.14711203197346	0.221103049571648	36.8475787545997	3.1976819373856e-297	1.39461568229177e-294
"YBR294W"	11118.3521774569	4.34894439423753	0.119369164221413	36.4327288592795	1.29149448455473e-290	5.28059807372316e-288
"YLR040C"	4372.68273654078	-4.37952454662263	0.120431096128527	-36.3653963752742	1.50065447734544e-289	5.77487152399639e-287
"YJR010W"	6132.70705823518	3.82977556436021	0.106167723998097	36.0728799689524	6.03947548798344e-285	2.19501381346598e-282
"YJR004C"	18730.118131881	-5.32559924422827	0.15265518337776	-34.8864619359146	1.19280940503014e-266	4.1070311198459e-264
"YDR046C"	2131.04716579959	-5.39861513539102	0.164163809603022	-32.8855376129847	3.53823535406153e-237	1.15735678431353e-234
"YIR032C"	1180.37614174623	4.29630782138104	0.134434694863354	31.9583261281473	4.13941945625791e-224	1.28952771823044e-221
"YGL032C"	2098.31915523675	6.96466263386171	0.218476801311189	31.8782707915132	5.34255401979862e-223	1.58868129079648e-220
"YOL143C"	4683.7774571404	-2.13640786541189	0.0692137213838034	-30.8668255758869	3.33110364639281e-209	9.47481741508773e-207
"YBR291C"	3016.0189574973	2.42855000029351	0.0793941830165385	30.5885130121891	1.74002257820938e-205	4.74301154443574e-203
"YGL089C"	10963.4413277764	-6.7860392345954	0.224228482075127	-30.2639485037488	3.41943996392813e-201	8.94799049760713e-199
"YDR461W"	9854.21450461359	7.26232570581821	0.251952944503033	28.8241350786467	1.06918960425619e-182	2.69024553501692e-180
