""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YIR031C"	3872.83631128699	-2.95936821636649	0.0675075510741936	-43.8375880812803	0	0
"YJL172W"	12176.4126546963	-3.12599510515849	0.0763511579500566	-40.9423404842569	0	0
"YJR152W"	12338.6322207586	-5.07359633367675	0.0862806943457292	-58.8033785790679	0	0
"YKR039W"	33288.4490145876	-2.46275596363552	0.0654213575770491	-37.6445255012484	0	0
"YNL142W"	35868.6524298264	-3.33532549527528	0.0542549316551926	-61.4750658331363	0	0
"YOR375C"	46289.343699007	-1.98140185089768	0.0557364559023019	-35.5494768876371	8.46475223806566e-277	9.21811518725351e-274
"YCL025C"	1575.51804235811	3.83519305235642	0.109222289414717	35.1136482572178	4.17300951989064e-270	3.89520631470934e-267
"YMR088C"	4337.44817459463	-1.71121038272831	0.0623741448642616	-27.4346107101307	1.06044322955547e-165	8.66117007739427e-163
"YIR032C"	1431.21283519353	-2.36256130386658	0.0909392751193324	-25.9795484488565	8.43283402047892e-149	6.1222374988677e-146
"YIR029W"	1523.91786947018	-2.73328035821099	0.109340204745462	-24.9979443935917	6.43628827878879e-138	3.82315523760054e-135
"YKR034W"	803.384359873323	-3.88475590741953	0.155387881828086	-25.0003788050695	6.05568017360555e-138	3.82315523760054e-135
"YLR053C"	726.464858492976	-2.76464180273567	0.124322922387507	-22.2375870003961	1.48743020800597e-109	8.09905748259252e-107
"YBR208C"	3163.02894157792	-1.78088584457069	0.0843937803061385	-21.1020982602098	7.60839063127779e-99	3.82409418344377e-96
"YDL171C"	10475.1003463552	-1.06268830222152	0.054500304192884	-19.4987590979404	1.12478211620307e-84	5.2495188194792e-82
"YKL103C"	2656.12625407225	-1.5520005219003	0.0876815630918195	-17.7004203298139	4.1618935102514e-70	1.81292081306551e-67
"YDR508C"	8066.9860177548	1.57126896620355	0.0896089416591267	17.5347341137079	7.78127161954192e-69	3.17767679763043e-66
"YOR348C"	1112.53313805879	-2.42149783141022	0.140598507772615	-17.2227847206346	1.79156851649116e-66	6.88594628632542e-64
"YLR413W"	5412.69125531991	1.17710008863475	0.0684655268522649	17.1925952045137	3.01719050369879e-66	1.09524015284266e-63
"YGR244C"	4862.20704536883	-0.995891239866838	0.0589917273302919	-16.8818796284925	6.11659353240462e-64	2.10346432319641e-61
"YIR027C"	455.153345913495	-2.12603739277376	0.126937459796566	-16.748699683931	5.78775647387694e-63	1.8908600400156e-60
"YKR033C"	176.361651069652	-4.98054357280025	0.298305612086637	-16.6961108708667	1.39891061228591e-62	4.35261044794101e-60
"YIR030W-A"	301.348866871035	-2.7768991126157	0.173430870100446	-16.0115619036414	1.06112247309183e-57	3.15153374508274e-55
"YOL020W"	1814.16328315829	1.48513512215214	0.0952604673605519	15.590256517754	8.47923884978741e-55	2.408841158457e-52
"YOL019W"	3876.31197872232	-1.01222066933424	0.0661246462013481	-15.307766883955	6.7853903428843e-53	1.84732252085025e-50
