""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YCL064C"	4027.10788394942	-5.30539940934324	0.136240731360233	-38.9413603140111	0	0
"YFR030W"	10715.6113907173	3.72434598404533	0.0900838673249605	41.3430961018853	0	0
"YJR010W"	8342.35197599074	4.17527133540022	0.08263762426941	50.5250649726844	0	0
"YML123C"	16022.6685694219	4.87630233937379	0.141870904508695	34.3714051606327	6.74587850823901e-259	1.10261384217167e-255
"YKL001C"	6547.07303086578	4.0510883268634	0.12032944250854	33.6666425307828	1.779823533169e-248	2.32729725197178e-245
"YBR294W"	8083.05071227819	4.67504107555101	0.142362743734252	32.8389363180433	1.63866401698273e-236	1.78559755717218e-233
"YBR069C"	5477.04663660558	-3.96032876990197	0.128517178514106	-30.8155595671382	1.62171172331561e-208	1.51467874957678e-205
"YER081W"	4312.52898993188	3.06552106130513	0.10396165552515	29.4870358289315	4.22163671524819e-191	3.45013260553658e-188
"YHR215W"	1941.94934425998	4.29169253512062	0.154131525028998	27.8443526352782	1.26083193927944e-170	9.15924357667662e-168
"YJR109C"	9438.66884077998	2.31143880489848	0.0883312232138182	26.1678568551385	6.1731213105209e-151	4.03598671281857e-148
"YCL030C"	11133.1327101128	2.11519409097074	0.0877246101563317	24.1117525310321	1.88209099892856e-128	1.11864645009045e-125
"YJL088W"	3363.57614005428	2.98398682653491	0.125964685407125	23.6890745758663	4.6732042923418e-124	2.54611747194422e-121
"YNL142W"	3468.57150098582	3.78430413212403	0.16206539233124	23.3504764816749	1.36288087726632e-120	6.854242442744e-118
"YKR039W"	5330.25204928927	4.55643234966289	0.202433471028865	22.5082953253971	3.44254735124854e-112	1.60766961303307e-109
"YLR359W"	14092.2417687475	1.63820929754995	0.0765245695148685	21.4076251318428	1.1344848932783e-101	4.94484148816903e-99
"YIR034C"	6241.79674323868	3.32009467050249	0.155669869748135	21.3277924358401	6.26977495237221e-101	2.56198678991309e-98
"YKL216W"	19901.9685304507	-1.84528976047367	0.0867819676047469	-21.2635160437723	2.4718535937433e-100	9.5064581152316e-98
"YNR050C"	15335.7017511927	3.08054167412094	0.145035076129008	21.2399769513743	4.08090148401352e-100	1.48227410569336e-97
"YDR046C"	2077.34970135119	-4.78586121521973	0.229565695933467	-20.8474580479427	1.60737791650458e-96	5.53107200952997e-94
"YBR092C"	5636.31619885404	-2.32391451648336	0.112275374742389	-20.6983456685448	3.58465169583795e-95	1.17182263936943e-92
"YDL131W"	12587.669546836	1.65070095863877	0.0807278407481573	20.4477283591466	6.29386528625472e-93	1.95949005912064e-90
"YHR136C"	594.929472864886	5.33211923927632	0.267112107768511	19.9621023690073	1.17656807770951e-88	3.49654640548397e-86
"YLR092W"	2795.34791597527	3.25187517746436	0.169283520942659	19.2096381228144	3.0740130674287e-82	8.73821627602123e-80
"YLR058C"	35537.6186971291	2.39169645589114	0.128937586942421	18.5492571453132	8.26868279357814e-77	2.25252700435058e-74
"YBR147W"	427.371582941018	3.99985373721675	0.216909021608406	18.4402368677769	6.24669975475041e-76	1.63363691986233e-73
"YLR214W"	978.799241412647	-1.76906016409436	0.100229573552019	-17.6500817214015	1.01609069783911e-69	2.55507730095081e-67
