""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBR069C"	5597.92841835083	-4.00670045840477	0.0724026479901062	-55.339142553906	0	0
"YBR092C"	5641.34862255751	-2.34038810263814	0.0603492729258525	-38.7807174663668	0	0
"YBR294W"	7996.01135242082	4.77687888029671	0.0986923538531696	48.4017119239405	0	0
"YCL064C"	3162.67415659137	-4.96085495516565	0.100429945913793	-49.3961727254533	0	0
"YDL182W"	23237.3821530146	3.34094436883297	0.0615510388359837	54.2792523410637	0	0
"YEL071W"	20051.9350838645	3.03449070104333	0.0670013733758848	45.2899776250781	0	0
"YFR030W"	10574.5929150698	3.82734013375606	0.0654348472015822	58.4908546048155	0	0
"YIR034C"	6085.92654463892	3.61068537110557	0.0677306042877826	53.3095106573096	0	0
"YJL088W"	3284.86859884271	3.18715801049029	0.0717041212601376	44.4487423383587	0	0
"YJL133C-A"	4072.07282000989	4.94261569568898	0.0985877188407079	50.1341927149665	0	0
"YJR010W"	8213.8007798546	4.38003570667549	0.0796748875042218	54.9738549231513	0	0
"YJR137C"	10450.3279085332	3.94558005080436	0.064512946128167	61.1595080926196	0	0
"YKL216W"	20099.6178432552	-1.87887243371234	0.0496520958685167	-37.8407477236765	0	0
"YKR039W"	5275.35537199186	4.63037660870954	0.0730673939514942	63.3713118574259	0	0
"YLR092W"	2753.89375056104	3.35898705015184	0.0762724816687956	44.0393045651491	0	0
"YLR304C"	11936.9925093221	2.54268340456455	0.060683718008488	41.9005869780243	0	0
"YMR120C"	20992.2123714417	2.97603542264408	0.0733496549917322	40.5732709033128	0	0
"YNL142W"	3437.66413818371	3.80448803458937	0.0811171657893625	46.9011459851607	0	0
"YNR050C"	14899.3408211227	3.38418566750778	0.0632022655004672	53.5453221606868	0	0
"YPR035W"	30704.7383962553	2.70136559022729	0.0572579145040644	47.1789029276562	0	0
"YKL001C"	6434.01676237705	4.29203649767221	0.117345076299232	36.5761958919132	6.83765061572236e-293	2.16948885964562e-290
"YGL055W"	24259.6532074058	-1.86710227840658	0.0520302369900145	-35.8849466467913	5.24572782259207e-282	1.58874020372413e-279
"YJL200C"	12998.1322114148	2.52593592837461	0.0735960930761375	34.3216035362292	3.73708491130899e-258	1.08261725061095e-255
"YPR167C"	2877.94489320977	3.31547396092473	0.0967222852242514	34.2782839884085	1.65340972885546e-257	4.59027875973497e-255
"YIL074C"	6570.59759267277	1.91182352592952	0.0564444058584089	33.8709123934326	1.78655187570399e-251	4.76151805912628e-249
"YER081W"	4372.8406670616	2.7882716097727	0.0830796099620439	33.5614431874025	6.13020674999888e-247	1.57098336827856e-244
"YDR046C"	1891.48243261899	-4.65613318442118	0.140472741938482	-33.1461685745428	6.43103320643374e-241	1.58703608349882e-238
"YBR291C"	3026.01006695505	3.30477990861272	0.100031489492794	33.0373957777644	2.36016552070789e-239	5.61635102302738e-237
"YER091C"	67527.470628233	2.2950010751692	0.0708394179495046	32.3972322415906	3.00244837563322e-230	6.89838397477384e-228
"YCR005C"	7408.82126237351	3.76736621106235	0.116673316588339	32.28986987963	9.70495080327983e-229	2.15546957340845e-226
"YDL131W"	12272.5330055733	1.75354793784206	0.0561546699818774	31.2271078862715	4.56754395013656e-214	9.81727269024512e-212
"YPL265W"	3960.62130083668	2.46370518215754	0.0864567247478111	28.4963973519008	1.29825209836716e-178	2.70320429106888e-176
"YOR375C"	12274.3513108799	1.63158356269308	0.0574207508619886	28.4145285145192	1.33765679172863e-177	2.70085066766298e-175
"YPR036W-A"	11402.238745558	2.53071101285106	0.0891475299796168	28.3878982786141	2.85247137293396e-177	5.59000492878205e-175
"YJR109C"	9655.53518564439	2.06305162843393	0.0738896923146423	27.9206958887974	1.49628177142281e-171	2.84849298371148e-169
"YIL094C"	12949.2241404252	2.16819907886475	0.0783846116886649	27.6610297883033	2.05626765172755e-168	3.80580871207241e-166
"YOR184W"	9415.4370499321	1.37413307462213	0.0518450633789566	26.5046078655173	8.57663753375357e-155	1.54449015911892e-152
"YDL174C"	4151.05565615232	1.78553542396957	0.0681498852428184	26.2001237068514	2.64878467042406e-151	4.64443480500935e-149
"YER069W"	5819.00805517166	1.95037771544624	0.0757968010998997	25.7316626446498	5.17155857920134e-146	8.83540892646628e-144
"YIL116W"	3478.66380124355	1.60528558862728	0.0628742534512971	25.531684282673	8.77197925351312e-144	1.46119244415395e-141
"YNR001C"	4121.68171127076	2.12939176019635	0.0840923942232811	25.3220493941749	1.82646962841347e-141	2.96823588637048e-139
"YLR359W"	14718.3647195849	1.35240083795582	0.0549389593139401	24.6164262090903	8.42609977790879e-134	1.33674054333825e-131
"YOL126C"	5389.39575986257	-1.75720615521437	0.0723368264616889	-24.2919995411331	2.38170190875827e-130	3.69053019024567e-128
"YDR019C"	3516.57444415187	1.83958813440428	0.0771725655185022	23.8373328921304	1.37042429451972e-125	2.07525842599657e-123
"YNL104C"	11381.3072222742	1.42070238253913	0.0596359680068495	23.822911407692	1.93361091948498e-125	2.8630332347841e-123
"YOL119C"	1711.82904985586	2.41244952425141	0.101682715738669	23.7252664499201	1.97845614162429e-124	2.86575071122667e-122
"YBR105C"	6122.95174192015	1.46104409484412	0.061667913708149	23.6921278342364	4.34655261493407e-124	6.16193193049058e-122
"YMR062C"	5006.32855588093	1.45645041465071	0.0631006410245844	23.0813885723169	7.12140815736618e-118	9.88540469844392e-116
"YOL058W"	8966.31736775533	1.68586264912831	0.0732826101463689	23.0049481829468	4.15891425682921e-117	5.65527463127613e-115
"YOR128C"	6539.1386250824	1.62129743002515	0.0724884687738339	22.3662805608937	8.38426979791616e-111	1.11728779327031e-108
"YBR115C"	7362.8679420695	2.15068134929259	0.0967537033749899	22.2284137378923	1.82468985645579e-109	2.38390363011077e-107
"YAL060W"	3108.20051715854	1.47519493362947	0.0669802227957139	22.0243360212272	1.68358584653027e-107	2.15725624912138e-105
"YHR183W"	14714.6645994054	1.315807412265	0.0602031648091666	21.8561169738481	6.79876187199039e-106	8.5471981798249e-104
"YCL030C"	11647.6959954347	1.74405365825434	0.080977172865445	21.5375962946043	6.92059528369874e-103	8.53924562505273e-101
"YBR068C"	3625.09192632757	-2.94834841990862	0.137960848387456	-21.3709067055628	2.49245494172451e-101	3.01949586849281e-99
"YHR018C"	8099.81725845531	1.38763099226392	0.0651509097038386	21.2987201340976	1.16665291608694e-100	1.38810863926558e-98
"YNL036W"	3989.15889943979	2.22146571843611	0.104326257152449	21.2934478727626	1.30560156437638e-100	1.52617951288418e-98
"YNL220W"	9327.91378162441	1.56061017374395	0.0738160288612463	21.1418874439516	3.27706886945309e-99	3.76467411675275e-97
"YMR096W"	1514.17748432178	1.88390783914943	0.0908047089243844	20.7468077533095	1.31006165040407e-95	1.4794814875665e-93
"YAR015W"	8988.22362945714	1.21440713590357	0.0596809185424439	20.3483318548441	4.80344275127037e-92	5.33422317528574e-90
"YHR128W"	5660.58788081078	-1.34490651930991	0.0664638971596194	-20.235143841776	4.80223086840525e-91	5.2454531600302e-89
"YBR147W"	421.846354497004	4.10512689971715	0.205277317421801	19.9979566728359	5.73754379550965e-89	6.16600875959367e-87
"YMR189W"	5434.20376162153	2.15142804170629	0.107703704134095	19.9754322193755	9.01006221729339e-89	9.5292134212422e-87
"YDR034C"	2730.87304994387	1.32744852680282	0.0667715648392541	19.88044656432	6.00965905900329e-88	6.2566184859592e-86
"YOR303W"	12939.1608953424	1.29210308710707	0.0656188329762456	19.6910403385994	2.57349645711008e-86	2.63803182980376e-84
"YJL060W"	2399.86241113394	1.38681890902296	0.0706077177630124	19.6411802131557	6.8781008734329e-86	6.94375547267931e-84
"YER052C"	9710.34127246738	1.24236362801843	0.0635958310812285	19.5352998285628	5.50218548284721e-85	5.47180027943447e-83
"YDR111C"	1453.91882171022	-1.5363477995616	0.0802364408097985	-19.1477561075215	1.01047904971209e-81	9.90120868857601e-80
"YOL143C"	3963.9564748262	-1.70604219653641	0.0892270627479909	-19.1202326289153	1.71341647639108e-81	1.65456434524547e-79
"YER011W"	319.921020545603	-3.02955198787778	0.159266761128385	-19.0218722752556	1.12397250893532e-80	1.06986126100514e-78
"YNL054W-B"	1784.96914274382	1.68608490226823	0.0887872684050509	18.990165285593	2.05680145313943e-80	1.93020677215043e-78
"YDR234W"	7146.74604203619	1.75183843393466	0.0934243875263843	18.751403999731	1.88547016695259e-78	1.74484551700071e-76
"YGR239C"	1611.68651701983	1.43923481793357	0.0767711091473914	18.7470890275977	2.04481749589173e-78	1.86638616097624e-76
"YGL062W"	6157.98590458677	2.95873219619562	0.158108479608033	18.713304963343	3.8569792645836e-78	3.47284497836764e-76
"YNL037C"	4320.78791918392	1.83583143976605	0.0987355780315711	18.5934136039497	3.6330290247314e-77	3.22758298557137e-75
"YKR069W"	1397.84931127752	2.0311594625522	0.110120325031861	18.4449098017513	5.72945520441531e-76	5.02307368776569e-74
"YJL012C"	6512.84295576831	1.39175933887655	0.0757437282254234	18.3745819156734	2.09919050396599e-75	1.81648134128901e-73
"YLR058C"	35991.5032361988	2.21078776221685	0.123146898399031	17.9524437152552	4.59244396643266e-72	3.92300694209498e-70
"YDR216W"	1197.37791972051	-2.23481836375364	0.125357951934539	-17.8274958171034	4.32357521764883e-71	3.64657995888534e-69
"YOL101C"	788.522379534728	-1.92411342286337	0.108797143357708	-17.6853303632908	5.4401278254728e-70	4.53094646264066e-68
"YLR420W"	5643.70757863979	-1.02090671811595	0.0583484640464564	-17.496719661774	1.51761772463648e-68	1.24838109867319e-66
"YMR083W"	10684.7211158278	0.916293434891226	0.0525278093070572	17.4439681947315	3.82564893844142e-68	3.10857303376038e-66
"YOR136W"	4906.04398949797	1.66914002663318	0.0968638355639975	17.2318184275326	1.53256714490302e-66	1.23030058873359e-64
"YPL026C"	2871.80960199511	1.43350599910657	0.0833488190469341	17.1988759468728	2.70732563337569e-66	2.14748936847407e-64
"YLR023C"	4030.65071330958	1.26581834287512	0.0741039724011237	17.0816530053647	2.03277469368684e-65	1.59345620988652e-63
"YOL140W"	2511.17211833658	1.12857139688977	0.0661682801074501	17.0560787594462	3.1500340508647e-65	2.4405438233618e-63
"YMR006C"	2797.35290516963	-1.24884038538251	0.0735075199841609	-16.9892874314302	9.85794686959898e-65	7.54982758530322e-63
"YDL183C"	675.873341909852	1.78748617907276	0.10599910782637	16.8632190942656	8.38927787801265e-64	6.35201801149981e-62
