""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YAR071W"	12279.9374183158	-4.26365243999429	0.107154413727068	-39.7897976545716	0	0
"YBR093C"	80312.1162031959	-6.46694472383173	0.170666532430939	-37.8922840449027	0	0
"YBR294W"	8511.88025997976	4.43044611646603	0.0809406674123543	54.7369605181905	0	0
"YCL064C"	6254.77363832554	-5.88919483147083	0.106176387762955	-55.4661441733994	0	0
"YDL182W"	26818.6099284845	2.30435276349938	0.0602227177331942	38.2638454429838	0	0
"YDR281C"	5995.09403087025	-3.96118483721817	0.105443316062645	-37.5669600040346	0	0
"YHR215W"	17819.7772000431	-3.04050944556546	0.0759502100653637	-40.0329300333568	0	0
"YJR010W"	9027.57693147684	3.43805515148486	0.0850509636535917	40.4234708672777	0	0
"YMR195W"	6253.09218627969	-3.0236099291142	0.0786275311615409	-38.4548501580466	0	0
"YKL001C"	7314.6514086812	2.91047667980914	0.0797939560908176	36.4749013884783	2.77286319880123e-291	1.887487979424e-288
"YNL208W"	24039.8745138184	-2.68533252456578	0.0740255071316774	-36.275773427517	3.89984944311905e-288	2.41329774175558e-285
"YNR050C"	16205.4420640792	2.94166723914958	0.0823076901177054	35.7398832957504	9.50062032067726e-280	5.38922687690418e-277
"YPL110C"	5427.70500420511	-3.0979181091292	0.0902839825354894	-34.3130422709416	5.01460487193551e-258	2.62572425871269e-255
"YBR291C"	3191.51830238812	3.30176841728719	0.0968073581289241	34.1065852958205	5.8913124138722e-255	2.86444025723058e-252
"YFR030W"	11861.2843287016	2.8506637268334	0.0847328422882246	33.6429612161087	3.95193997212724e-248	1.79339035935134e-245
"YJR137C"	12191.6879661077	2.48892356509429	0.0744908728288712	33.4124634411537	9.03745036468554e-245	3.8448702895259e-242
"YFR031C-A"	26996.6199869398	2.1298818018755	0.0654079300821698	32.5630515932823	1.3684333702816e-232	5.47936820676874e-230
"YBR069C"	2736.06342957375	-2.78982573058982	0.0890107097815097	-31.3425849253182	1.22776524829113e-215	4.64299891395427e-213
"YER131W"	17272.3851965096	2.23168620794189	0.0724509863836468	30.8027028938506	2.41090349473676e-208	8.63737899403848e-206
"YJL088W"	3430.15264855401	3.33721682382582	0.108363523288235	30.7964961138185	2.91937341492753e-208	9.93608741770584e-206
"YGR254W"	70461.4002699483	-2.7072657153824	0.088694387132069	-30.5235291986537	1.27008262069276e-204	4.11688209478838e-202
"YEL071W"	23941.0815451172	1.88703278635323	0.0618735134046596	30.4982323213461	2.75038059267513e-204	8.50992758833617e-202
"YJL177W"	16202.8434995347	2.04356424960912	0.067421029488424	30.3104871746284	8.3394875392499e-202	2.46812572520322e-199
"YIL133C"	17550.5463909314	2.05984135738969	0.0691285873402338	29.7972436099651	4.24142535986001e-195	1.20297426769029e-192
"YNL069C"	27324.5005127344	1.99052675866758	0.0672818700771815	29.5848904970117	2.33794094095448e-192	6.36574559403085e-190
"YHR183W"	13777.6011983484	2.03157756280454	0.0689852615095871	29.449443523849	1.27978184644582e-190	3.35056731875258e-188
"YGL224C"	3286.82711400194	-2.23090844019212	0.0766973749513113	-29.0871550898363	5.21878799419277e-186	1.31571443986927e-183
"YDR481C"	15002.6000070861	-2.50314509925396	0.0865792025209092	-28.9116211095781	8.52933802808467e-184	2.07354299847044e-181
"YGL123W"	42057.9037373215	1.95833173223391	0.0687657679269247	28.4782936520824	2.17576236278843e-178	4.93680480116694e-176
"YHR203C"	23729.5755367684	1.91979497561721	0.067411787617082	28.4786243397399	2.15534338977506e-178	4.93680480116694e-176
"YLR150W"	27093.4874212158	1.71521941304315	0.0611770889005428	28.0369570352003	5.76127137664648e-173	1.26506368583331e-170
"YKL180W"	28671.0032933105	2.03654241781887	0.0729067612750889	27.9335192264908	1.04540720457923e-171	2.22377713799087e-169
"YMR251W"	861.753007489478	-3.41893325222798	0.122607410085	-27.8852089760132	4.03272127663306e-171	8.31840416061856e-169
"YLL045C"	21144.3492706243	2.08996111810459	0.075350704820838	27.7364508145466	2.538807137481e-169	5.08284123083329e-167
"YLR048W"	29038.3733125843	2.14079043245973	0.0772673036905403	27.7062914092836	5.86404442440325e-169	1.14047286848323e-166
"YER102W"	16196.7217652441	2.01197721483291	0.0727022085528783	27.674224138178	1.4266949133281e-168	2.69764229861789e-166
"YDR025W"	19570.7578255522	2.01268422556702	0.072849969063332	27.6277979448048	5.15912167768382e-168	9.49138952972805e-166
"YLR092W"	3118.01378397889	2.48693829880053	0.0900670538299562	27.6120755930997	7.96920281041831e-168	1.42753588238204e-165
"YDR046C"	1721.30567053747	-4.43529531264314	0.161607880187188	-27.444796055154	8.01583530187001e-166	1.39907156153408e-163
"YDL083C"	22132.5855593844	2.07466104605901	0.0759581668114973	27.3132058493147	2.95604048579593e-164	5.03044189670322e-162
"YOL040C"	33557.6472166887	1.839292276105	0.0674103277166177	27.2850220197281	6.3870591157895e-164	1.06040759515071e-161
"YIL069C"	13222.3166107669	1.92129536407595	0.070499493134769	27.2526124464916	1.54750647926538e-163	2.50806585818083e-161
"YDR384C"	3771.25466600206	3.25473391649996	0.12097355801817	26.9045068180196	1.94512122749061e-159	3.07917213849503e-157
"YPL131W"	43606.1465247042	2.02501370545608	0.0756538048588332	26.7668454909131	7.86238231184537e-158	1.2163462817439e-155
"YGL147C"	22221.2615086313	2.43943104600473	0.0919851090489665	26.5198473016556	5.72268074824343e-155	8.65650841184289e-153
"YNL142W"	3944.41400747134	2.58892913717832	0.0976852035087134	26.5027767173295	9.00376680750138e-155	1.33236175344917e-152
"YIL094C"	13968.2476192889	1.99768924307616	0.0757025049853767	26.3886808430189	1.84803605152325e-153	2.67650668142952e-151
"YJL200C"	13245.3563953972	2.8983874708762	0.110955468373604	26.1220786443521	2.04671321950856e-150	2.90249518441557e-148
"YHL033C"	14010.9049436899	1.95509160672762	0.074928125422759	26.0928936323525	4.38985904322269e-150	6.09832051167691e-148
"YPL198W"	5347.37389774264	2.06699000026609	0.0797239640540778	25.9268342309725	3.31903848816059e-148	4.51853899778182e-146
"YGR214W"	22626.4484087242	2.03235921868456	0.0784552194521696	25.9047037644652	5.89470565199288e-148	7.86769830845403e-146
"YBL027W"	29798.6928799958	1.94384020614744	0.0751000944103882	25.8833257322585	1.02619290147208e-147	1.34332597698471e-145
"YJR123W"	58892.0315115315	1.9605332416064	0.0759543671004231	25.8119883878998	6.50460684331518e-147	8.3541242985748e-145
"YJL052W"	36818.7265152213	-4.76934135192272	0.18512712637051	-25.7625203038989	2.33376823947864e-146	2.94184451965391e-144
"YER037W"	6815.59006168372	-4.38324789178724	0.171243691833595	-25.5965510019875	1.66657781989377e-144	2.06261731273035e-142
"YDR012W"	16598.4821358127	1.71418326506137	0.06712879444528	25.5357373721151	7.90830758605964e-144	9.61283031041214e-142
"YER056C-A"	11563.8076168619	2.03046091253239	0.0795703707787924	25.5178013205081	1.25091921895399e-143	1.49386089884558e-141
"YJR145C"	26229.1957806174	1.92345109880154	0.0754918641536511	25.4789190910252	3.37647405408181e-143	3.96269980795428e-141
"YGL031C"	20411.9514235488	2.02436630894481	0.0794664638955863	25.4744732520714	3.78206912135594e-143	4.36348212018133e-141
"YHL015W"	37187.2834573882	2.12644157874635	0.0840664818974061	25.2947611313322	3.64764678171431e-141	4.13825527385489e-139
"YER081W"	4937.07185397552	2.14780020993631	0.0853234093683782	25.1724611784244	8.02368840839686e-140	8.95364704851761e-138
"YJL191W"	3449.2302677517	2.35003462777762	0.0934856301165797	25.1379236022375	1.9155047649933e-139	2.10303886053378e-137
