""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBL078C"	1794.44571355881	-3.89515779610796	0.0948891452772544	-41.0495614090188	0	0
"YBR101C"	8617.30158640533	-3.03440255669623	0.0515154122453252	-58.9028103326805	0	0
"YBR105C"	5190.31157127406	2.348508482657	0.0528606924430435	44.4282580139767	0	0
"YBR115C"	6671.40185321243	2.74263736260543	0.058744185539436	46.6878098218631	0	0
"YBR126C"	7556.31082841665	-2.3586546186305	0.0563639170614669	-41.8468896698273	0	0
"YBR132C"	1516.62736215415	-3.3700557067173	0.083613876032179	-40.3049812619658	0	0
"YBR169C"	3968.54016843408	-3.12011806576811	0.0747909366741698	-41.7178632133068	0	0
"YBR203W"	1556.88159081989	-3.28215579435011	0.0842191550771608	-38.9716067721534	0	0
"YBR214W"	2365.37594793391	-3.8302354338404	0.093293552422204	-41.0557357330173	0	0
"YBR291C"	2884.08046505873	3.52590079339669	0.0744302207011971	47.3718975999218	0	0
"YBR294W"	7650.03333246916	5.22071039070534	0.0647371362350865	80.6447534495014	0	0
"YCL030C"	10430.2938069402	2.29383627075382	0.0503306989080964	45.5752914328162	0	0
"YCL064C"	2579.18344814245	-4.70880871817412	0.0857423191587662	-54.9181403579133	0	0
"YCR010C"	11665.6428643359	-7.8007209649989	0.0908777225235776	-85.8375490536205	0	0
"YDL131W"	11895.218869671	1.73178905155681	0.0442069148580485	39.1746191091983	0	0
"YDL182W"	22745.2996665168	3.13936059893738	0.0451550142523959	69.5240750316185	0	0
"YDL214C"	1581.6511881618	-4.40203351094733	0.104816802576573	-41.9974031141759	0	0
"YDL234C"	3177.16057655494	-2.70727591849785	0.0622903419026833	-43.4622099639049	0	0
"YDR074W"	5045.03668729987	-2.40960780202209	0.0567619449421555	-42.4511141131203	0	0
"YDR216W"	2416.01458942188	-3.44959896496372	0.0748364541206021	-46.0951685311619	0	0
"YDR232W"	4049.00518123218	2.08107420758029	0.0527385265546714	39.4602265845054	0	0
"YDR234W"	6398.09063294834	2.30542513254209	0.0533747995673394	43.1931389200533	0	0
"YDR256C"	7236.01195454074	-4.57784687345207	0.0596256893355982	-76.7764184274003	0	0
"YDR258C"	5819.95131472577	-3.2780217236939	0.0739366335613212	-44.3355555399366	0	0
"YDR343C"	3407.16001690561	-6.2808275803565	0.103562260012219	-60.6478419804224	0	0
"YDR380W"	2980.78705209139	-3.52021864785441	0.0730335235430122	-48.2000385176708	0	0
"YDR399W"	8682.28312861198	1.99337263666784	0.0521585403460458	38.2175694228176	0	0
"YDR516C"	4529.75785182825	-3.12288470822961	0.0547588810541815	-57.0297392516047	0	0
"YEL011W"	5453.22352126399	-5.61011143397761	0.0739573413786175	-75.8560452471809	0	0
"YEL040W"	8669.67003112182	2.74716859080496	0.0480600258362757	57.1611967118711	0	0
"YEL071W"	21157.2483671501	2.14727006809678	0.0399990630753266	53.6830091258143	0	0
"YER052C"	7869.33032297009	2.36829556583938	0.048350284478028	48.9820399488158	0	0
"YER056C"	12192.4163264105	2.58422742590676	0.0473766188741577	54.5464722328752	0	0
"YER067W"	3986.66041675846	-8.30254116266377	0.170283313407475	-48.7572211071347	0	0
"YER069W"	5173.87229007755	2.65382330965178	0.0600833514977675	44.169029248483	0	0
"YER070W"	8334.65264885845	2.35607841663038	0.0529192847073578	44.5221138127515	0	0
"YER073W"	4473.72764532456	2.97082049243238	0.0567502192539793	52.3490575276336	0	0
"YER079W"	2440.68291205522	-3.45772968795893	0.0687744000980112	-50.2764063813175	0	0
"YER081W"	3921.59504262401	3.99270008465205	0.0787895568566793	50.6754986820766	0	0
"YER091C"	64948.2945631397	2.33212478987718	0.0468341402969764	49.7954008569203	0	0
"YFL026W"	20153.8161573292	2.01976818475821	0.0502335189735099	40.2075790434532	0	0
"YFR015C"	4847.99366962797	-6.34792166257095	0.0926619457191112	-68.5062418375456	0	0
"YFR030W"	10218.1671983756	3.81545561855206	0.0494295926857104	77.1897038037917	0	0
"YGL008C"	118708.882738308	2.07419796836678	0.0436080114684939	47.5646079359834	0	0
"YGL037C"	8250.83392533828	-2.4215703880324	0.0496560287938772	-48.7668959208231	0	0
"YGL125W"	2893.27532439554	2.31398465813043	0.0592184139571021	39.0754244077979	0	0
"YGL234W"	13830.8831635753	2.23577396659832	0.050319625150174	44.4314511470597	0	0
"YGR079W"	3269.59250237154	3.45758789081861	0.0714075138330249	48.4205051432491	0	0
"YGR130C"	4590.84606748098	-2.02779039672123	0.0518582674804568	-39.1025480649816	0	0
