""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBR069C"	3896.93326674242	-3.51524823881505	0.0819831505974337	-42.8776914914646	0	0
"YBR294W"	7898.49291670867	3.81647027335422	0.0701849611532584	54.3773225865359	0	0
"YCL064C"	3645.36105488549	-5.23745844286674	0.131585744666772	-39.8026279832217	0	0
"YDR461W"	15301.4413958409	7.89017999223357	0.208535387624074	37.8361681541415	0	0
"YFL026W"	16130.4098701897	6.96321553684466	0.15363980884748	45.3216883637046	0	0
"YIL015W"	4085.39498123861	5.72718239026612	0.12538310464738	45.6774651287581	0	0
"YJR004C"	18776.6217592985	-5.60951610164519	0.144031533402027	-38.9464443594285	0	0
"YJR010W"	7899.68484693589	4.20761294187424	0.100240452306579	41.9751990843528	0	0
"YKL001C"	6302.97407772345	3.70107939789698	0.0720056294039098	51.3998617682525	0	0
"YKL178C"	6756.51421966987	-5.91497698166437	0.149479068957097	-39.5706035830478	0	0
"YKL209C"	4760.63754184296	4.18334522505115	0.0958647773312112	43.6379798870002	0	0
"YNL142W"	3385.31135279578	3.26668802449356	0.081402055498634	40.1302891491281	0	0
"YNL145W"	6948.98098211628	8.32656867703246	0.218077963330742	38.181614271609	0	0
"YPL187W"	39887.8176295221	-10.9289319493995	0.207692432986185	-52.6207517157181	0	0
"YFR030W"	10215.032816041	3.61555681312768	0.0979676875971335	36.9056053256632	3.75698896189692e-298	1.70617392056279e-295
"YLR040C"	4420.55396524799	-4.25366583478155	0.115844652896776	-36.7187067198674	3.67323527900778e-295	1.56387992003756e-292
"YGL032C"	2801.11750072238	7.37430658057884	0.208869655790232	35.3057822242254	4.78728002113796e-273	1.91829126494069e-270
"YKR039W"	5343.31334026403	3.29138926984017	0.0974452530305196	33.7768045900534	4.32135416269908e-250	1.63539247535034e-247
"YBR093C"	60573.1556746922	-6.19809174128275	0.184898751994844	-33.5215444907685	2.33986374394537e-246	8.38902727566099e-244
"YLR092W"	2719.22741013054	2.90747300310888	0.0901693370448574	32.2445866676659	4.18964284325683e-228	1.42699235241328e-225
"YJL088W"	3337.07893200691	2.4807674680719	0.0795281552081123	31.1935749242533	1.30217761970487e-213	4.22401616449026e-211
"YMR251W"	806.77535012258	-3.46948616815606	0.112640634633705	-30.8013726967932	2.51184475706866e-208	7.77758476597806e-206
