""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YAR071W"	13338.1224368162	-4.47585030657924	0.105164955520669	-42.5602833607396	0	0
"YBR294W"	8209.04188477909	3.86223345844177	0.0759407969369004	50.8584794237928	0	0
"YCL064C"	6856.82492638324	-6.10707917061473	0.143765196413389	-42.4795383234074	0	0
"YDR461W"	15925.7514411506	8.01122391780879	0.161967922829494	49.4617932850958	0	0
"YFL026W"	16812.9506047648	6.83306545864463	0.100799012247469	67.7890120775089	0	0
"YFR030W"	10903.7244914619	3.2030416690947	0.0746764267074709	42.8922728405569	0	0
"YGL089C"	11797.4144784293	-6.85665175153573	0.107349021107745	-63.8725130493156	0	0
"YHR215W"	18734.0760450518	-3.21331598365764	0.0738908474516142	-43.4873342840167	0	0
"YIL015W"	4280.41034671057	5.33154857590386	0.128829713930876	41.3844633604054	0	0
"YJR004C"	17017.1793155832	-5.40450942196022	0.109492874183615	-49.3594625427138	0	0
"YJR010W"	8345.92485127723	3.85123450889546	0.101522117796689	37.9349307567446	0	0
"YJR137C"	10954.0890689557	3.04569588355477	0.0767009578878278	39.7087072629391	0	0
"YKL178C"	7166.44078083913	-5.94187647513626	0.135446289950206	-43.8688758276116	0	0
"YKL209C"	4982.21652143583	4.04963316169628	0.0956844882178997	42.3227760018338	0	0
"YLR040C"	5143.50202390924	-4.42143452328065	0.106386181798162	-41.5602331858198	0	0
"YNL145W"	7243.00906718884	7.86203869815551	0.187170067130768	42.0047864419615	0	0
"YPL187W"	45877.6179707541	-11.0691851104153	0.164273249216284	-67.3827611204152	0	0
"YBR093C"	76723.2189736679	-6.48464211414633	0.177654146458228	-36.5014959877171	1.04997215736073e-291	3.81373220268024e-289
"YGL032C"	2924.20080122069	6.89850128478395	0.190024934769921	36.3031372337348	1.44363959669577e-288	4.96763983326155e-286
"YDR281C"	4668.72771878355	-3.66360280574011	0.10147535483771	-36.1033751653229	2.00763799484467e-285	6.56296860514722e-283
"YBR069C"	3407.45543737624	-3.23866232519793	0.0923475667378743	-35.07035907498	1.90863461952694e-269	5.94221578212721e-267
"YMR251W"	1085.77605555051	-3.86902083406793	0.116601585870246	-33.181545561253	1.98741157827538e-241	5.90622586307476e-239
"YLR136C"	1782.08898263193	-5.49945353984178	0.174647334511243	-31.48890623056	1.23235224496768e-217	3.50309520765161e-215
"YLR092W"	2868.12328185411	2.757365661227	0.0877347431997447	31.4284348556117	8.27461324806739e-217	2.25414255899436e-214
