""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YJR010W"	6465.0984685146	-3.80040477205391	0.0933866571957776	-40.6953721888414	0	0
"YML123C"	14526.6749879835	-4.74400818640891	0.107254237178623	-44.2314290903788	0	0
"YNL142W"	32449.3697301917	-7.11543591567805	0.164242664279402	-43.3227014850028	0	0
"YCL064C"	3997.08166391714	5.13402005508587	0.14468470886121	35.4841924588638	8.61803534651784e-276	1.37910110632652e-272
"YJR152W"	12036.5254566856	-5.86146587490729	0.175391944168583	-33.4192422730282	7.20412764540086e-245	9.22272421164218e-242
"YKR039W"	28022.1786944914	-7.01479475141875	0.211362266006033	-33.1884914179455	1.57794878504135e-241	1.68340836217494e-238
"YER081W"	3962.63337245224	-2.94489075304777	0.0902158424098103	-32.6427229894994	1.01642847314753e-233	9.29451236659622e-231
"YKL001C"	5602.71443429536	-3.82781205430933	0.123318330345136	-31.0400898519813	1.55233376342134e-211	1.2420610524575e-208
"YBR069C"	5327.9291076208	4.4338064557738	0.149158282583341	29.7255129181072	3.5949257107004e-194	2.55679105268814e-191
"YBR294W"	11455.0186523599	-5.21171239250456	0.178522036437298	-29.193664247355	2.33376611417776e-187	1.49384368968518e-184
"YFR030W"	8144.07544982617	-3.31032069941606	0.114501813510313	-28.9106399098029	8.7750564804817e-184	5.10628513923303e-181
"YJL088W"	4568.90323734731	-3.48966668639608	0.128175401657383	-27.2257129002339	3.22312348836612e-163	1.7192677874193e-160
"YBR092C"	5254.12086145868	2.94114377913603	0.118914898957133	24.7331815014724	4.70341483923305e-135	2.31588910661006e-132
"YDR046C"	2035.83731243281	5.25688411401824	0.233378294900332	22.5251629174138	2.35293272596044e-112	1.07579445563377e-109
"YIR031C"	3617.01150315143	-3.87659069678305	0.175290921846746	-22.1151823262833	2.25794559313541e-108	9.63540649443985e-106
"YPR035W"	51425.4330497751	-2.77236829312053	0.132094429897832	-20.9877759059546	8.48229779717066e-98	3.39344926248059e-95
"YHR136C"	652.909009410295	-5.4850654368448	0.271012027930475	-20.2391955764116	4.42329850670179e-91	1.66550198478813e-88
"YNR050C"	14263.516677582	-2.98022049500966	0.147760597049917	-20.1692504937759	1.82381742958334e-90	6.48569742597941e-88
"YHR215W"	2020.71390479439	-4.36027631160126	0.219740157175488	-19.8428742731765	1.26986835981193e-87	4.27811966902957e-85
"YBR147W"	595.357512158449	-4.52037246225577	0.236458623308344	-19.1169702293376	1.82399938200536e-81	5.83771002210815e-79
"YIR034C"	5102.76313596406	-3.01370100105903	0.160136803692102	-18.8195401155473	5.22359786725563e-79	1.59220237849063e-76
"YLR359W"	13635.0022058946	-1.59523895918169	0.0893013428489318	-17.8635495087718	2.26749989360382e-71	6.59739400861728e-69
"YLR142W"	1133.97773630539	-3.64220939551101	0.204034521848585	-17.8509468030802	2.84177508793462e-71	7.90878362516066e-69
"YDL131W"	11879.6451316751	-1.55983657750646	0.0876822070477016	-17.7896591569355	8.49953274758308e-71	2.26689621321997e-68
"YBR068C"	3228.38745200556	3.73029042538403	0.215331329045705	17.3234913930813	3.12790833631133e-67	8.00869650429153e-65
"YCL025C"	767.903450161655	2.71008325669328	0.160127234872085	16.9245616391127	2.96546597164255e-64	7.30074910941691e-62
"YIL094C"	12347.0431442022	-1.63648102265829	0.0981872608505582	-16.6669383429387	2.27976527099999e-62	5.40473240728554e-60
"YCL030C"	11066.685463103	-2.12343741173231	0.128912781309088	-16.471892004572	5.84144687442461e-61	1.335396480114e-58
"YIR032C"	1232.84223012614	-4.59426334911856	0.281991145459127	-16.2922255648785	1.12075395564849e-59	2.47377450693311e-57
"YLR214W"	930.346181742815	2.04449991864623	0.130639043863326	15.6499914434859	3.32264194317664e-55	7.08941035942456e-53
"YBR291C"	2987.57718030726	-3.11920451812362	0.202218875511199	-15.4248930038723	1.11339528430965e-53	2.29898168221487e-51
"YOR348C"	983.714882502201	-3.98861142163475	0.261907938242563	-15.2290589143608	2.26833065545812e-52	4.53737016424607e-50
"YJL172W"	11774.7141747199	-3.44408172228053	0.227813603838354	-15.1179809469337	1.23264358437958e-51	2.39095502533749e-49
"YBR296C"	2579.15658631731	-5.67006801641946	0.378810222923151	-14.9680966175238	1.18669176804142e-50	2.23412176683328e-48
"YKL218C"	1538.1297247871	-2.06929724033266	0.138517013577666	-14.9389391735074	1.83879153177869e-50	3.36288702711868e-48
"YBR208C"	2945.01080069569	-2.19513887021003	0.148976487805269	-14.7348007900371	3.85331935421647e-49	6.85141588509434e-47
"YNL220W"	8754.28265437854	-1.87563805749278	0.129142420220583	-14.5237951580052	8.563475366901e-48	1.48148123847387e-45
"YMR120C"	17903.1010541824	-3.59278176196244	0.248757706860013	-14.4428962917891	2.77913824553045e-47	4.68138523937906e-45
"YOL064C"	2813.49752240822	-1.27648290913751	0.0887206916054638	-14.3876573326768	6.18558593548555e-47	1.01522911725751e-44
"YJL200C"	12266.7023671212	-2.79204621806904	0.19944415924469	-13.9991375462823	1.57773746644742e-44	2.52477438068248e-42
"YIL116W"	3514.26196913934	-1.79001234840053	0.128011587986096	-13.9832055563201	1.97392986681763e-44	3.0817378237804e-42
"YOR128C"	6343.65185729543	-2.21956217454146	0.161539109969312	-13.7400916407371	5.84018240592252e-43	8.90071609055001e-41
"YJL133C-A"	8651.54488047431	-3.51613761871574	0.25682773057711	-13.6906462974801	1.15477535071044e-42	1.71900395811571e-40
"YER055C"	13799.1456325067	-1.18592186971635	0.0868857481933952	-13.6492105365389	2.04077424268182e-42	2.96886271077416e-40
