""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YPL240C"	2596.8598981493	1.93708217071365	0.161958269017023	11.9603783275188	5.73002612150748e-33	3.44145368857739e-29
"YOR136W"	4384.59104438691	1.46978021187525	0.140334754772805	10.4733871110884	1.14472249799944e-25	3.43760166149233e-22
"YNL037C"	3474.5356964286	1.43734146598518	0.146612630129366	9.8036674242657	1.08570529570301e-22	2.17358200199743e-19
"YJL133C-A"	809.644203608264	2.42692816110835	0.274425199473192	8.8436782254956	9.26180830988933e-19	1.39066051772988e-15
"YNR001C"	2432.74525975716	1.13811525730126	0.134980549202038	8.43169822636992	3.40684597949558e-17	4.09230339057009e-14
"YOR107W"	2162.47615433945	-1.23746231720807	0.178513907940365	-6.93202188829715	4.14867746457523e-12	4.15282614203981e-09
"YCL040W"	1855.38841188369	0.892174443715577	0.135322624174201	6.59294370885893	4.31190100324804e-11	3.69961106078682e-08
"YDR258C"	657.151816921204	1.21136439593883	0.186989530134377	6.47824717816179	9.27942532866286e-11	6.96652856549364e-08
"YDR399W"	8769.1922491876	-0.557676635674726	0.088836290299481	-6.2775768077968	3.43890393528091e-10	2.29489522614413e-07
"YDR492W"	3273.63321003743	-0.753863865001782	0.125416161124753	-6.01089890043681	1.84497441274777e-09	1.10809163229631e-06
"YDR171W"	286.988859809755	1.77576202462681	0.298895477657513	5.94108026840591	2.83149918207016e-09	1.54599855341031e-06
"YJL164C"	239.663695812478	1.26604021458764	0.21820353361744	5.8021068385047	6.54868114555953e-09	3.27761491335254e-06
"YGL229C"	278.442295474934	0.940291304459354	0.16848939328851	5.58071511866187	2.39531694997109e-08	1.10663643088664e-05
"YNL007C"	3115.29351582758	0.97890242081777	0.175941247058273	5.56380290116705	2.63958068887576e-08	1.1323801155277e-05
"YLL026W"	2327.23841142859	0.948967971156919	0.178832359318611	5.30646676458716	1.11770528777599e-07	4.47529197225508e-05
"YER006W"	9345.33008877019	-0.426290246594212	0.0828521173589072	-5.14519435571652	2.67243982773015e-07	9.4415727090278e-05
"YNL112W"	26183.9118873575	-1.05903174922976	0.205400346292788	-5.15593945357891	2.52362436662959e-07	9.4415727090278e-05
"YEL071W"	6666.73055305609	1.06009380452874	0.208192872760443	5.09188326417176	3.54524366324106e-07	0.000118292963563477
"YGR142W"	343.204319654278	0.760050996427363	0.153993268442697	4.93561182325438	7.98998845917771e-07	0.000252567740451691
"YPR035W"	10506.2770747979	0.670156082506969	0.141106858853531	4.74928070791082	2.04141422852844e-06	0.000613036692827091
"YLR099C"	1196.52906832434	-0.603778449950623	0.129687106657865	-4.6556551804605	3.22952051746264e-06	0.000893682123100295
"YLR216C"	5597.13641290196	0.464701841531568	0.0998743648350919	4.65286404873626	3.27356089047727e-06	0.000893682123100295
