""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBR093C"	78360.459443738	-7.88170009694351	0.116508981637326	-67.648862655739	0	0
"YHR215W"	15710.8481161303	-7.31766836075809	0.166190106505376	-44.0319132987702	0	0
"YML123C"	58277.2464256821	-6.72171888721777	0.103631032154668	-64.8620277870598	0	0
"YAR071W"	11547.9585416161	-7.20430175748016	0.221284578295131	-32.5567276896795	1.68163413933758e-232	2.74947181781694e-229
"YMR195W"	5814.70878064685	-3.9982855649996	0.124338821118781	-32.1563734401183	7.19418394651508e-227	9.40999260204173e-224
"YER037W"	6697.70837774346	-4.38537966765487	0.1523669936993	-28.7816905826043	3.63604367863401e-182	3.96328760971107e-179
"YHR136C"	3064.79293331091	-7.67625693460038	0.269714779184461	-28.4606463087085	3.59810736766729e-178	3.36166031207773e-175
"YCR098C"	4025.99807879548	-5.97681945452799	0.211713044536813	-28.2307567188603	2.45254088355063e-175	2.00495217230264e-172
"YDR281C"	5563.22828787452	-7.58746719673875	0.289229226414762	-26.2334041783804	1.10553445337288e-151	8.03355036117627e-149
"YLR048W"	32478.4172250888	2.36693469765354	0.0934272514480935	25.3345213625231	1.33109308872383e-141	8.70534880025383e-139
"YBR296C"	21044.321439035	-8.65529757826427	0.351522204953164	-24.6223352502511	7.28354606726681e-134	4.3303992072659e-131
"YER062C"	14148.1528083794	-2.87718565852815	0.140059060884523	-20.5426599347281	8.95228949489483e-94	4.87899777471768e-91
"YBR072W"	10368.5981918113	-5.21583392999973	0.256962675582334	-20.2980215635578	1.3386697776858e-91	6.73453872774243e-89
"YKL216W"	19930.4825945256	2.0849639947427	0.102773683175699	20.2869443841797	1.67699440745689e-91	7.83395958912005e-89
"YHR137W"	1071.17635431769	-3.84868146346084	0.195433802378662	-19.6930183858566	2.47493407957333e-86	1.07907125869397e-83
"YGR256W"	2041.64511152453	-4.08433538638583	0.208891119588029	-19.5524606045526	3.93096010700245e-85	1.60677994373725e-82
"YOL082W"	3145.1405322895	-2.26656106089376	0.12003566868429	-18.8823962555256	1.59196873536753e-79	6.12439737017861e-77
"YPL223C"	3412.15877663035	-5.36384642406644	0.285431443588754	-18.7920656414947	8.76984177194923e-79	3.18637584380822e-76
"YML128C"	6206.32466898877	-3.26181617795263	0.180019907341025	-18.1191970717635	2.24852420761984e-73	7.73965700938617e-71
"YKR039W"	3151.89022714717	-3.70318720211493	0.212874379199946	-17.3961150986453	8.82916316904719e-68	2.88713635627843e-65
