""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YCR021C"	13168.1669728816	-6.28671184230796	0.129163772564676	-48.6724080404203	0	0
"YDR343C"	3389.55343561693	-6.55217981081018	0.146769741846469	-44.6425791064224	0	0
"YER103W"	27913.0882599118	-5.93013144916355	0.122970847121965	-48.2238806022207	0	0
"YFR015C"	4852.29883543004	-5.95528330771966	0.125713953703186	-47.3716968744793	0	0
"YGR142W"	34414.9589720099	-7.34210906633351	0.112225555305502	-65.4227911490097	0	0
"YHL021C"	12627.6122520634	-5.87740066545886	0.141225252948121	-41.6172075656889	0	0
"YLR258W"	6983.24039515253	-3.44461554570338	0.0738346589309179	-46.6530975503831	0	0
"YLR355C"	23441.664330004	3.67597544637496	0.086375375647531	42.5581413547235	0	0
"YNR002C"	2846.00058780722	-4.53445809095602	0.116443300148777	-38.9413395632245	0	0
"YPR001W"	2165.87335657123	-4.4244247848771	0.111674289791878	-39.6190098286964	0	0
"YHR137W"	3566.03592202419	-5.76957168435675	0.159990454730868	-36.0619744100495	8.95269427148113e-285	5.31057546558313e-282
"YMR081C"	4083.43883870449	-5.52000964683299	0.157780056327686	-34.9854713916994	3.74215296622849e-268	2.03479567538674e-265
"YNL173C"	4523.86600961662	-2.90893821407283	0.0849135931713363	-34.2576271410781	3.35787846625993e-257	1.68539669171893e-254
"YOR388C"	1925.61399389992	-7.94913727139425	0.235319646035253	-33.7801684021035	3.85682739129415e-250	1.79755705201388e-247
"YBR072W"	48436.3892829488	-7.59234039350173	0.225338279306402	-33.6930787652732	7.30053089453948e-249	3.17573093912467e-246
"YCR010C"	11624.276711157	-7.94229657218842	0.236248734685483	-33.6183666031565	9.04371263990614e-248	3.68813906096172e-245
"YNL194C"	3788.65371186288	-5.57486074760738	0.166452539501049	-33.4921940170955	6.26143619520049e-246	2.40328653962843e-243
"YKL217W"	8380.73627489764	-5.87500957546228	0.175750561066772	-33.4281127741619	5.35432397322758e-245	1.940942440295e-242
"YJR008W"	3173.2776160569	-3.80565641676707	0.115262853883091	-33.0171975494125	4.60174269185422e-239	1.58033531917625e-236
"YCL040W"	15241.4878047805	-3.57104686171657	0.112207398241355	-31.8254136330238	2.88167814282729e-222	9.40147494097403e-220
"YOR019W"	2486.21521721707	-3.3647807131968	0.107894241793797	-31.1859155526337	1.65396738201936e-213	5.13911293698873e-211
"YLR142W"	4519.54504128327	-5.77364039243111	0.186711815042422	-30.922737220027	5.91034834924814e-210	1.75295558994746e-207
"YLR345W"	2654.310170536	-2.83889157853174	0.0922439788342035	-30.7759011960475	5.50730724701684e-208	1.56239912116456e-205
"YNR034W-A"	15981.8002646527	-7.66911856230848	0.250377801320051	-30.6301857507937	4.85276778171329e-206	1.3193462406533e-203
"YIL057C"	3456.58635765205	-8.804005682929	0.291313879637499	-30.2217171865769	1.22811408467096e-200	3.2053777609912e-198
"YGR236C"	3933.06786890349	-8.65593098141365	0.28799352315337	-30.0559918384136	1.82315478674249e-198	4.57541730134413e-196
"YDR380W"	3069.05929368016	-3.02611698227681	0.101240842428755	-29.8902785642696	2.63230814998284e-196	6.36141136245854e-194
"YER079W"	2412.23009838536	-3.60870047478622	0.120911799728067	-29.8457262475809	9.97456249818008e-196	2.32442929645089e-193
"YPL230W"	1460.87908435455	-3.9102925933043	0.133288761562605	-29.3370014655562	3.50067433338162e-189	7.87651725010864e-187
"YKR009C"	3246.23981316686	-3.25623282508957	0.111917684866246	-29.094890847511	4.16601021504321e-186	9.06107221771899e-184
