""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YER081W"	2847.093364073	-2.41933568354634	0.0942083322141699	-25.6806975209614	1.92068964289333e-145	1.28109999180985e-141
"YGR234W"	24616.5439225689	-2.94616722426268	0.125265223417498	-23.5194345556178	2.58070422823278e-122	8.60664860115631e-119
"YCL064C"	3933.84873298196	5.15127268706302	0.228558035690978	22.5381386022577	1.75545007844202e-112	3.90295067440277e-109
"YJL088W"	3392.46511373073	-3.03991921346121	0.138931360486629	-21.8807273088913	3.96470161603794e-106	6.61113994474327e-103
"YKR039W"	3353.8496095717	-3.89162913246175	0.21301628311967	-18.2691626924852	1.45668633138991e-74	1.94321956607413e-71
"YCL025C"	2979.01114227729	-1.82439656068351	0.103771701791368	-17.5808677046796	3.45252074481736e-69	3.83805222798863e-66
"YJR109C"	6820.52919768613	-1.77559525097204	0.103704981387078	-17.1216004016687	1.02420435082276e-65	9.75920431426832e-63
"YIL121W"	1429.64995155943	1.86831958280461	0.135382890646054	13.8002636366301	2.53922302457841e-43	2.11707719674225e-40
"YCL019W"	412.281648727242	-9.06846697097091	0.676512345679641	-13.4047324175001	5.67275110925339e-41	4.20413887763557e-38
"YDR007W"	896.351401965978	1.4705642260918	0.112126212694276	13.1152581609212	2.69263754935988e-39	1.79598924542304e-36
"YKL216W"	20417.6684440081	1.53218737975804	0.119517929400295	12.819728282159	1.27145303593546e-37	7.70962886335411e-35
"YIL015W"	3746.328627771	15.3020344201318	1.22003815125393	12.5422589485457	4.38320249311263e-36	2.43633005242177e-33
"YEL034C-A"	28639.0865954818	-0.99197912921115	0.0830354908821729	-11.9464474608667	6.77602841522839e-33	3.47662380996718e-30
"YER053C-A"	309.642115433781	-3.52748688372317	0.295724498191025	-11.928287664029	8.42894772368832e-33	4.01579152264293e-30
"YLR205C"	866.841760895118	-2.03049234576484	0.178768862897754	-11.3581991452627	6.75221770150129e-30	3.00248613793424e-27
"YER011W"	243.993239877894	2.80368607922897	0.256669106566255	10.9233484182688	8.91474143064726e-28	3.71633283390108e-25
"YIL016W"	984.760062545554	13.3736039331473	1.26939220687921	10.5354388192017	5.93060287200429e-26	2.32688947978051e-23
"YNL052W"	3402.30317290176	-1.74712977477202	0.170212045513933	-10.2644308720737	1.01920166650905e-24	3.7767083975641e-22
"YNR074C"	411.873160872564	12.1162446699278	1.19226007290577	10.1624175339514	2.9175098290139e-24	1.02419950313277e-21
"YPR145W"	16860.958685265	-1.25385211669113	0.125025291804341	-10.0287877644257	1.13906434889049e-23	3.79877960354978e-21
"YBR244W"	865.082362817798	2.06356888687635	0.206620277809794	9.98725250372565	1.73319078394522e-23	5.50494406138791e-21
"YOR382W"	877.672949492276	2.69947644750609	0.274695657083534	9.82715371683209	8.60154452611781e-23	2.60783190860026e-20
"YGL187C"	2956.42902801657	-1.39557876389528	0.142388941658235	-9.80117379652259	1.11284829045689e-22	3.22726004232498e-20
"YER069W"	6094.21628164642	-2.24661172671214	0.232904823010518	-9.64605068144374	5.10853377385434e-22	1.41974667798369e-19
"YML047C"	61.337519705556	3.64445967136509	0.378707559109415	9.62341411915715	6.36816293976637e-22	1.69902587232967e-19
"YBR067C"	6187.483076593	1.12918988889257	0.120557480919735	9.36640248517103	7.5046887671463e-21	1.92524131064868e-18
"YNL142W"	949.14883831865	-1.65782462484097	0.179163570196778	-9.25313456870811	2.18003706913701e-20	5.38549898190513e-18
"YBR013C"	171.959674912048	10.8530522749828	1.21247217002799	8.95117640080123	3.51713808286488e-19	8.08941759058921e-17
"YOR226C"	732.117945370408	1.59917602684912	0.178579615344224	8.95497520120984	3.39812002887165e-19	8.08941759058921e-17
"YJL048C"	1006.45782844621	-1.04220523679058	0.117541750066795	-8.86668129578068	7.53582020235895e-19	1.62141679837852e-16
"YOR348C"	400.662699375598	-2.57804119463207	0.29069352574842	-8.86858827693064	7.40790273526934e-19	1.62141679837852e-16
"YER044C"	1696.99234957661	-1.19284388788582	0.134883470741911	-8.84351419284151	9.27542149456674e-19	1.93334566777375e-16
"YLR395C"	2771.9103897039	-1.1527297960536	0.130499823765238	-8.83319044267293	1.01731602303246e-18	2.05621147685651e-16
"YIL014C-A"	171.991611295555	10.853839477837	1.23440800802406	8.79274875671859	1.45944589846656e-18	2.86308945375646e-16
"YNR061C"	1455.51965730823	1.00552480147374	0.115917738423881	8.67446876678011	4.15485453685296e-18	7.91796564594551e-16
"YMR320W"	108.684444224587	2.6311213795896	0.305789924034804	8.60434295830538	7.67551610588773e-18	1.42210256739642e-15
"YHR022C"	162.834849441212	1.9897735154295	0.233134276314731	8.53488190103505	1.40298662855181e-17	2.5291677871461e-15
"YGL263W"	111.863042034519	10.2350587966095	1.20305123064037	8.50758349763833	1.77595833333684e-17	3.1172742324623e-15
"YOL058W"	9265.0757003759	-1.55701190257877	0.1831991079188	-8.49901465278361	1.9120676991804e-17	3.27012603936751e-15
"YPR191W"	4807.23458728316	-1.60302711021393	0.18948323186609	-8.45999455691577	2.67390004361863e-17	4.45872832273407e-15
"YGR035C"	457.791615528549	1.22641954770797	0.145398097787823	8.43490779018077	3.31464040828411e-17	5.3923540300622e-15
"YJL133C-A"	825.749133823673	2.2790699111045	0.271980782548658	8.3795255302524	5.31414883996504e-17	8.43937446727781e-15
"YLR042C"	685.968884730731	1.09915741663876	0.131223455803342	8.37622671884217	5.46515862640769e-17	8.47735070654403e-15
"YKL178C"	127.539072362736	2.26771000319596	0.274945763131484	8.24784487445077	1.61276531518117e-16	2.44480560278599e-14
"YMR145C"	11628.3274278452	-1.79359833573253	0.218346625576946	-8.21445410934671	2.13131583095351e-16	3.15908368721331e-14
"YIL017C"	1295.66211336487	-1.63055974981245	0.200114446911538	-8.14813610400278	3.69576266525314e-16	5.35885586461706e-14
"YLR227W-B"	409.15792960157	6.15432265083895	0.762420424854281	8.07208523042283	6.91076050539074e-16	9.8073984193524e-14
"YDR529C"	3610.63525709931	-0.952129607771835	0.118772878240258	-8.01638911070114	1.08899149552628e-15	1.51324443232506e-13
"YDR098C-B"	113.61295408911	8.39843712316043	1.04997045019069	7.99873665171734	1.25702239467729e-15	1.71108966785664e-13
"YDR274C"	266.152082921592	1.42374359730796	0.178181903493584	7.99039391426879	1.34508269827501e-15	1.79434031949886e-13
"YGL038C"	1828.67711179324	0.854485408867805	0.110300324197935	7.74689843462677	9.41642132242596e-15	1.23152020040355e-12
"YOL140W"	3736.87580530158	-1.61040507410027	0.209328616209633	-7.69319122851089	1.43509774437074e-14	1.84078883749093e-12
"YBR012C"	70.077813265852	9.55550612645192	1.24377074834904	7.68269083280478	1.5578123240229e-14	1.96049211344014e-12
"YOR383C"	982.385712135845	2.09625051426094	0.274272711224246	7.64294232883794	2.12313104217967e-14	2.62246000950712e-12
"YOR136W"	4797.86244372609	1.04178081164213	0.13681718696323	7.61440016978359	2.64918844627091e-14	3.21274307938672e-12
"YBR040W"	101.563592384455	2.69614869400578	0.359384984282056	7.50211837423281	6.27946236513855e-14	7.47928820990609e-12
"YNL111C"	3690.26181183954	-1.55755765349663	0.207768924692807	-7.49658619930543	6.55013471944434e-14	7.66480676819189e-12
"YOL126C"	5461.93738107725	1.47043184291103	0.196961525555481	7.46557907065373	8.29340705579302e-14	9.53741811416197e-12
"YJL052W"	1262.44340874317	2.33315530896939	0.314158249275847	7.42668802855711	1.11350567877454e-13	1.25882760634342e-11
"YBL045C"	6092.14112947748	-1.28098064026179	0.173096960815679	-7.40036471019169	1.35810973289385e-13	1.50976531973367e-11
"YFL062W"	50.1812962046985	-3.68597628214363	0.499379827980611	-7.38110767719425	1.5697798169367e-13	1.71646416048652e-11
"YHR179W"	11325.1484349097	0.561294284358453	0.0763208243016039	7.35440542597307	1.91778830508674e-13	2.06316903144009e-11
"YLR343W"	644.733925057041	2.00274384278654	0.2727582699977	7.3425595594349	2.09547222447041e-13	2.21853964082819e-11
"YLR346C"	64.1071422428128	3.07999422191959	0.419836663634396	7.33617258496919	2.19788569156525e-13	2.29060899417815e-11
"YBR072W"	311.755079609332	2.17186638734682	0.298078363417063	7.28622622068011	3.18757573312457e-13	3.27094309845244e-11
"YKL161C"	636.219950689377	-1.04859712359201	0.145446355224327	-7.2095111766446	5.61530888957612e-13	5.67486519598072e-11
"YJR048W"	5957.1508089294	-2.50548804262726	0.351115442079002	-7.13579564542058	9.62288865313595e-13	9.5798010920025e-11
"YDL247W-A"	45.914311610542	6.49634920531444	0.914251620017429	7.10564691719178	1.19760229733262e-12	1.17470695929538e-10
"YOR187W"	7663.58911947137	-0.658561041769487	0.0927211687748132	-7.1025964240043	1.22434548747046e-12	1.18353397122145e-10
"YJR121W"	16951.0294507358	-0.976478071460372	0.137805957336425	-7.08589157054001	1.38151950688238e-12	1.31639073012936e-10
"YPL061W"	14546.4904824806	0.746417340922951	0.105542126851492	7.07222190029609	1.52472341025986e-12	1.4323810065399e-10
"YKL104C"	6926.82959815705	-0.679558786019499	0.0967580769626799	-7.02327709842361	2.16723783968949e-12	2.0077050542679e-10
"YDL021W"	154.087793919046	1.6932310434044	0.242362547909188	6.98635601090826	2.82117655137433e-12	2.57770515036531e-10
"YOR202W"	1308.73585312613	1.56202844810241	0.223677322194975	6.98340105637001	2.88118385914565e-12	2.59695896493264e-10
"YML116W"	1101.90154238372	-0.933744570506426	0.134008998694855	-6.96777514644825	3.2199230037063e-12	2.86358485796281e-10
"YOL143C"	6370.1736664604	2.5913300986567	0.372577322652294	6.95514713619606	3.52194258999384e-12	3.09096803621828e-10
"YKR046C"	2608.3804237728	-1.2185841258954	0.175447544881703	-6.94557525280303	3.76921237193181e-12	3.2650190286734e-10
"YNR076W"	41.193159356064	8.78644769486092	1.26607831059995	6.93989275489389	3.92397715788743e-12	3.35550354398836e-10
"YLR231C"	782.896861273902	1.11928771605269	0.16153709048603	6.9289827660322	4.23877432826846e-12	3.57881326196843e-10
"YPR036W-A"	3708.46618592301	1.28990122123458	0.186421982915833	6.91925491328427	4.54025237109179e-12	3.78543541439778e-10
"YOL101C"	510.623900462058	1.70077830045419	0.247027323429683	6.88498048248625	5.77954584148181e-12	4.75920626699798e-10
"YDR316W"	1252.61333765784	-0.729105777591401	0.107814755505552	-6.76257877850363	1.35556925494105e-11	1.1026398695679e-09
"YIR032C"	244.948656560102	-2.02184920858522	0.299495327906276	-6.75085392055914	1.46977524112082e-11	1.18113263352721e-09
"YHR037W"	2215.42755272567	-0.688977629491705	0.102255734368202	-6.73778965794562	1.6081413681008e-11	1.27694082443242e-09
"YHL009C"	747.33132628065	0.782504409683932	0.116180245564293	6.7352621427444	1.63634646116566e-11	1.28405069364411e-09
"YOR313C"	178.798790464407	-1.30203418651443	0.193894781306858	-6.71515848822064	1.87861918934915e-11	1.45702209220451e-09
"YMR015C"	6346.65823148915	-1.1944982933251	0.177940216198305	-6.71291919750112	1.90768766455435e-11	1.462560542825e-09
"YFL061W"	33.5558472008914	-8.53813424996919	1.27748879476467	-6.68352965987623	2.33254622728167e-11	1.76796401545099e-09
"YNL036W"	5259.27225644593	-1.477320718725	0.223237083769697	-6.61772091705463	3.64778848454285e-11	2.7337920440338e-09
"YLR420W"	6657.03727820559	1.61382928419659	0.245116581030307	6.58392540159107	4.58187079802648e-11	3.39567535809296e-09
"YNR071C"	45.0075154565597	7.95163960580738	1.22694798921105	6.48082858909154	9.12202592009005e-11	6.68614427329677e-09
"snR87"	148.666156300862	-2.02293429887602	0.313367489932931	-6.45546958080745	1.07883850289059e-10	7.82157914595681e-09
"YLR256W"	2540.08999092458	1.33106147316913	0.206290486457436	6.4523647989156	1.10118111758233e-10	7.89771833792919e-09
"YEL050C"	1760.4334220277	-1.19031161515861	0.185366628213922	-6.421391091955	1.35034605886636e-10	9.58171086450918e-09
"YJL166W"	2515.43773996288	-1.10826436849861	0.173043238603993	-6.40455170302758	1.5081184250258e-10	1.05885788367601e-08
"YOR128C"	1660.38098369267	0.987543273825016	0.15549960958941	6.35077654813785	2.14230705124876e-10	1.48845708664888e-08
"YAR031W"	316.938418049506	1.12930004109102	0.179114057453658	6.30492132859647	2.8834031876082e-10	1.98271126405636e-08
"YER062C"	2445.01987846962	0.900784315978927	0.143094859068595	6.2950152216658	3.07369696217087e-10	2.09199578955915e-08
"YMR062C"	3968.4792654294	-0.939201577199386	0.149279160714191	-6.29157862829613	3.14253566740772e-10	2.1172437274353e-08
"YDR441C"	1707.71017414078	-1.10990838207443	0.178474931668195	-6.21884749695757	5.00819766143015e-10	3.34046784017391e-08
"YGR026W"	3625.37828881456	0.609789843424755	0.0981923237078252	6.21015798790144	5.29313583072139e-10	3.49556593969423e-08
"YMR024W"	2197.93941556992	-0.99188325745639	0.160671862549797	-6.17334760247132	6.68589944164726e-10	4.37205385056737e-08
"YEL016C"	935.740686072906	0.638164910757244	0.103576597282434	6.16128476413537	7.21570982542819e-10	4.67269752772874e-08
"YLR348C"	2480.38448477685	2.0622042882172	0.334786880596174	6.15975239096861	7.28587739578717e-10	4.67276944518273e-08
"YBR192W"	1570.08887045491	-0.621560664263073	0.101108911583516	-6.14743700163031	7.87449594419753e-10	5.00217980455214e-08
"YBL030C"	13221.2087581656	-0.958873684506902	0.156828712054657	-6.11414626788953	9.70752384209178e-10	6.10841358742945e-08
"YJL171C"	1497.03152805771	-0.843686282700176	0.138467562544185	-6.09302472866853	1.10796938812385e-09	6.90668768110851e-08
"YHR001W-A"	1325.72382291208	-1.29155442338589	0.212113083516253	-6.08898990093146	1.13625285787216e-09	7.01741348334012e-08
"YDL198C"	3892.4096376864	-1.13600886579669	0.187201944248155	-6.068360402768	1.29222666225084e-09	7.90747874973677e-08
"YKR016W"	2182.79080926861	-0.66112289549378	0.109100429748484	-6.05976435672994	1.36321110110144e-09	8.26601640395144e-08
"YCL068C"	31.1662487646321	-7.45915895952325	1.23197987990216	-6.05461102182579	1.4075736971658e-09	8.45812302711338e-08
"YMR208W"	2255.530672163	-0.597920608574962	0.0988994830202144	-6.04574048635574	1.48725325387789e-09	8.85712428871921e-08
"YML075C"	4989.32773733807	-1.48314516228012	0.245590553622929	-6.03909694571269	1.5497911599124e-09	9.14788233328824e-08
"YNR070W"	149.064426404324	4.41772347403991	0.734582212717628	6.01392655247708	1.81082580120524e-09	1.05949193807359e-07
"YER142C"	401.9770794374	0.964825147962496	0.162007943911451	5.95541875705702	2.59406741350353e-09	1.50455909983205e-07
"SRG1"	341.457218314945	1.40759713766214	0.238066805874735	5.91261403491415	3.3672056919798e-09	1.93614327288839e-07
"YOR065W"	4067.58680161839	-2.36500137837965	0.401938425891243	-5.88398925316879	4.00493855160644e-09	2.28315727685598e-07
"YBL099W"	9578.67039004876	-0.896567439492712	0.153006151047035	-5.85968232883069	4.63753454199653e-09	2.62138605043363e-07
"YOL023W"	938.159808678127	-0.7116313954224	0.121598334592909	-5.85231202223965	4.84786032635104e-09	2.71724608208079e-07
"YDR116C"	1575.58970168838	-0.893167576063759	0.153278398356998	-5.82709361291405	5.6400978278445e-09	3.1349543759769e-07
"YDR258C"	1372.0935694579	-0.985946919558025	0.169809866515749	-5.80618158289749	6.39136458132417e-09	3.52317369896134e-07
"YGR112W"	678.236276616401	-0.722475863050692	0.124933775527402	-5.78287064487402	7.34365323187046e-09	4.01493172594885e-07
"YAR047C"	20.5410956108322	7.79431541331635	1.361590803877	5.72441837233534	1.03788694671792e-08	5.62821620699879e-07
"YDR375C"	1251.41563673562	-0.711445495683348	0.124641610479137	-5.70792926173264	1.14358926676807e-08	6.15140355592178e-07
"YLR136C"	380.844350676104	1.54548190573821	0.271175057263478	5.69920375912965	1.20368290690006e-08	6.42285199121875e-07
"YOL064C"	2222.42964561097	-0.803248679674264	0.141007430885709	-5.6964989336294	1.2229265619875e-08	6.47374616544176e-07
"YEL039C"	103.796825749687	-1.71391035747091	0.302623994074232	-5.66349790839946	1.48317979406252e-08	7.78961356409212e-07
"YHL048W"	1645.13923947709	-0.616209541507032	0.10967074025734	-5.61872328080499	1.92373673374728e-08	1.00244718860112e-06
"YLR069C"	2468.8583771536	-1.0516681157895	0.187247941604573	-5.61644687133806	1.94924147463844e-08	1.00786361518127e-06
"YML080W"	2197.003077461	-0.731972094498351	0.130451870367525	-5.61105097562916	2.01101510202622e-08	1.03180544080884e-06
"YNR053C"	8869.63885756982	-0.436836071113305	0.0779180697889867	-5.60635129048139	2.06636355659245e-08	1.05211029942532e-06
"YNL037C"	4027.90478584396	0.777390379106085	0.138771847325922	5.60193147303353	2.11976363535497e-08	1.07112298847104e-06
"YPL092W"	791.109748821335	0.756770017338674	0.136275686428689	5.5532284384029	2.80441196418751e-08	1.40642314294216e-06
"YPL172C"	1026.69382456636	-0.892914053384501	0.160919844291058	-5.54881256142329	2.87616324965093e-08	1.43164245337102e-06
"YKL035W"	5177.84682261314	0.652473377722779	0.118106233663499	5.5244618127589	3.30497106902782e-08	1.63290052077152e-06
"YGL032C"	2322.26479544245	1.5469692695195	0.282317383258182	5.47953955816027	4.26434102821191e-08	2.09140843074805e-06
