""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YCR021C"	9780.76340324357	-5.86227831495903	0.135474035153133	-43.2723385579575	0	0
"YPL187W"	28751.437167359	-11.3766280330665	0.266802449846883	-42.6406430660419	0	0
"YKL178C"	3276.16398555784	-4.95850843779948	0.153359068751477	-32.3326718019846	2.431065144529e-229	5.39939568599892e-226
"YLR040C"	3351.29028001841	-3.37149608531745	0.106913691239162	-31.5347458893317	2.9024833854711e-218	4.83481169934848e-215
"YDR461W"	5110.88582520679	7.52370494741399	0.254569978720329	29.5545648596669	5.73744891346461e-192	7.64572442208293e-189
"YJR109C"	8499.88969339761	-2.22632297514272	0.08374763699039	-26.5837109576978	1.04743591614797e-155	1.16317758488232e-152
"YPR157W"	1737.6995625171	-4.27222342381374	0.189094555247284	-22.5930536086924	5.07180316947091e-113	4.82763207402639e-110
"YCL030C"	13483.4938860789	-2.54370082220493	0.114335408629707	-22.2477083231766	1.18705055086529e-109	9.88664727551929e-107
"YGR138C"	8859.81324756601	-3.70379535812939	0.167544596298519	-22.1063253602654	2.74749205692153e-108	2.03405995280757e-105
"YFL026W"	8699.02314188257	6.16635809142917	0.28133500309598	21.9182043598231	1.74193914127968e-106	1.16065404983465e-103
"YNL145W"	3580.82507963734	7.37127882790307	0.353354255886327	20.8608746183445	1.21430562384936e-96	7.35538033791662e-94
"YGL032C"	1691.93126515405	7.21890952878025	0.357874475749575	20.1716244603925	1.73834015536448e-90	9.65213371266128e-88
"YBR054W"	12192.6738066517	-4.20565084823512	0.210356516821691	-19.9929667584297	6.34111848691749e-89	3.25006711371779e-86
"YMR316W"	1351.07323244831	-2.66315685202849	0.13550945120237	-19.6529233082888	5.45771789753478e-86	2.59748388223388e-83
"YGR052W"	1482.16652284706	-3.09024259513644	0.161901209764106	-19.087211266914	3.2253433832063e-81	1.43269753082024e-78
"YNL037C"	12583.3159696851	-2.03445237779053	0.108734655877569	-18.7102480011639	4.08469861468349e-78	1.70102167935226e-75
"YBR145W"	2741.3851249543	-2.92097637662464	0.157221177220968	-18.578771818502	4.7730409126148e-77	1.8707512706325e-74
"YER053C"	5202.32275160844	-4.41595240346091	0.242328622162825	-18.2229914239918	3.3909978949441e-74	1.25523438744514e-71
"YER150W"	3731.48046747069	-3.94422221484162	0.216882864627655	-18.1859559150192	6.66825704094385e-74	2.33845245598994e-71
"YGL179C"	986.220801856095	-2.33622220581552	0.128671290490983	-18.1565149218678	1.14038185499942e-73	3.79918214993056e-71
"YOR136W"	15961.7585863443	-2.03323025011687	0.114111791885536	-17.8178803129863	5.13455383062341e-71	1.6291205796878e-68
"YIL015W"	3734.43472858476	5.14987116277694	0.297293076420902	17.3225398478027	3.18006844813836e-67	9.63127094088448e-65
"YMR195W"	1688.43997539468	-2.13862005915414	0.124088624335762	-17.2346181658635	1.46014290984187e-66	4.22997052533756e-64
"YJL088W"	2193.7751541247	-2.36281678630065	0.138155453128912	-17.1025951765793	1.41940605080381e-65	3.94062604854407e-63
"YPL014W"	2771.15691723828	-4.02703335051943	0.236054623999362	-17.0597520281167	2.95808195673029e-65	7.88388003107758e-63
"YER130C"	4979.08248329829	-2.30616397742198	0.142187971483735	-16.2191214443605	3.69441452012432e-59	9.46764767214936e-57
"YAL061W"	1437.20170344548	-2.35998600487392	0.147030695450192	-16.0509749181823	5.62731277230167e-58	1.38869574080911e-55
"YER175C"	1964.34440724239	-1.88085029412607	0.11720908065926	-16.0469673812553	6.00262379052503e-58	1.42841008272387e-55
"YER053C-A"	337.70209735019	-3.70444581524253	0.232073791622018	-15.9623617529204	2.33717307502789e-57	5.36985662031409e-55
"YKL177W"	172.622991746503	-3.96473526330506	0.250860417614864	-15.8045470106486	2.89463464530737e-56	6.42898354722767e-54
"YOL016C"	2143.09627525489	-2.60547953798134	0.166195600615968	-15.6771871717705	2.16637474899693e-55	4.65630804921501e-53
