""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBR069C"	5459.90602208006	4.48366815446494	0.0923108088104391	48.5714317991969	0	0
"YBR092C"	5271.63762884279	2.96040453113992	0.0701467153306592	42.2030385483497	0	0
"YBR294W"	11341.5438533783	-5.30844758020242	0.125311719126849	-42.3619404249723	0	0
"YCL064C"	3148.54037721482	4.79188849290842	0.107877145034102	44.4198675390751	0	0
"YFR030W"	8027.45325667446	-3.41025154373741	0.0847996996702614	-40.2153728963425	0	0
"YIR031C"	3606.00155504846	-3.76664130175115	0.077527275503006	-48.5847242446318	0	0
"YIR034C"	4958.78252639323	-3.30127297578854	0.0761014441995842	-43.3798991663101	0	0
"YJL088W"	4481.66327383212	-3.69002346022168	0.0754971930477408	-48.8763000485101	0	0
"YJL133C-A"	8014.86541255715	-5.95553677659252	0.125178556473092	-47.5763337139352	0	0
"YJR010W"	6355.15193446268	-4.00269955481093	0.0896668988034444	-44.6396564197576	0	0
"YJR137C"	8508.23742134809	-3.6404197106304	0.0723840261877635	-50.2931365158824	0	0
"YJR152W"	11926.5359701102	-5.93213800233536	0.112000960112359	-52.9650638385979	0	0
"YKR039W"	27778.9301052363	-7.08600810205207	0.0912951426140496	-77.6164853809165	0	0
"YLR304C"	15455.1543322116	-2.98422043157232	0.0706872933817951	-42.2172117335713	0	0
"YNL142W"	32177.378584657	-7.13266811739309	0.0820703267592072	-86.9092204094691	0	0
"YNR050C"	13843.888245744	-3.28093031988191	0.0701464082754496	-46.7726060470326	0	0
"YOR375C"	39129.9723719619	-3.60605785606314	0.0687573441616423	-52.4461481174378	0	0
"YPR035W"	48542.4855208828	-3.45461679519102	0.0628429309873192	-54.9722417607815	0	0
"YJL172W"	11441.6943972239	-3.83667694786431	0.105793291696045	-36.2657866709307	5.6037741243073e-288	1.96456523379005e-285
"YDR046C"	1855.36650875673	5.12966240630916	0.145671370002416	35.213936727746	1.2236670921664e-271	4.0754232504602e-269
"YBR291C"	2932.25375274548	-3.2685215669438	0.0945719450631715	-34.5612175445955	9.67027081952532e-262	3.0673178061361e-259
