""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YGR234W"	23814.333502346	-3.17949939378347	0.0786596178798845	-40.4209870258798	0	0
"YKR039W"	3295.13020473466	-3.94852490391336	0.0882238339320185	-44.7557618835282	0	0
"YJL088W"	3295.81591896183	-3.22606430847097	0.0861068858660812	-37.4658109629971	3.32077000213244e-307	7.38649940807659e-304
"YOL140W"	3542.34804346359	-1.84403973020952	0.0618215267577302	-29.8284404627542	1.6716120436512e-195	2.78866679182111e-192
"YEL024W"	3158.20404437858	-2.32782498981901	0.0808908101745576	-28.7773726681153	4.11777685637307e-182	5.4955849925155e-179
"YCL064C"	3106.51455325602	4.82104306749725	0.174073206296254	27.6954918569854	7.9120397762941e-169	8.79950690453509e-166
"YJR048W"	5538.81434227269	-3.16754110778435	0.11615135685428	-27.2708058999109	9.41759539930943e-164	8.97765915708455e-161
"YER081W"	2903.58399137989	-2.12498806115785	0.0782631956707006	-27.1518182071037	2.40989179447938e-162	2.01015099307011e-159
"YOR375C"	11473.7788121943	-1.54200827475606	0.0591991970122067	-26.0477903853679	1.42517427682245e-149	1.05668754991513e-146
"YPR145W"	15660.9951391025	-1.55972226629251	0.0656639037639185	-23.7531151346131	1.02024479281756e-124	6.80809350247161e-122
"YOL126C"	5499.44557742042	1.51396762077065	0.0642214599640934	23.5741700923199	7.09566699715285e-123	4.30448962472736e-120
"YCL025C"	2945.12198215109	-1.79830936616567	0.0791661065800564	-22.7156474386819	3.13806788324254e-114	1.74502724873979e-111
"YLR227W-B"	524.616947133509	6.53029337472534	0.288446177689663	22.6395559373688	1.76815634521443e-113	9.07608253201221e-111
"YER069W"	6128.96945560975	-2.0812100084775	0.0944229527737102	-22.0413569724432	1.15619746143374e-107	5.51093261439095e-105
"YDR258C"	1094.12656720666	-2.19348296017609	0.101057331364775	-21.7053323153618	1.82697839480791e-104	8.12761788570212e-102
"YKL216W"	20639.8236075012	1.58358644719029	0.0730183116856651	21.6875248226422	2.69080324157904e-104	1.12223312694106e-101
"YLR304C"	6593.64375255214	-1.51135591525599	0.0702476015692195	-21.5146977476057	1.13416125843798e-102	4.4519165162098e-100
"YMR145C"	11560.732427514	-1.73366821642484	0.0821704695021338	-21.0984338647332	8.22143100875657e-99	3.04786717341292e-96
"YIL121W"	1489.54875857531	1.97016064282059	0.0951597518386239	20.7037177457301	3.20654958298788e-95	1.12617396669885e-92
"YNL036W"	4497.34896161076	-2.46471420052598	0.119751377904995	-20.5819276875575	3.98514408656225e-94	1.3296433244815e-91
"YOL058W"	8889.01146692404	-1.7091185148436	0.084692359072467	-20.1803153621119	1.45812984768834e-90	4.63338117791632e-88
"YNL052W"	3447.4779392844	-1.57436504598784	0.0808821197779603	-19.464933044656	2.17778991222878e-84	6.60563276559211e-82
