""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YFL026W"	11425.3483158391	6.49510860172903	0.161669328501063	40.1752680112501	0	0
"YIL015W"	3918.70488001465	5.70150569864771	0.124559086127486	45.7735029688018	0	0
"YKL178C"	6566.56627118553	-6.38597457468225	0.149992296083141	-42.5753504776171	0	0
"YPL187W"	38939.9013810962	-11.7673261684282	0.235107892661791	-50.0507491909505	0	0
"YKL209C"	3564.77236483219	3.77646599300118	0.104735713563176	36.0570990020823	1.06748923279667e-284	1.39584892080493e-281
"YJR004C"	18331.5467903566	-5.63167035208525	0.159991025919567	-35.199913993404	2.00560784539726e-271	2.18544401553455e-268
"YNL145W"	5140.49242996494	7.92545906540805	0.232820838369363	34.0410210740439	5.51150084725458e-254	5.14774179133578e-251
"YGL032C"	1852.31486142561	6.80910754272165	0.214225706003372	31.7847361540004	1.0521276345282e-221	8.59851309318172e-219
"YJL133C-A"	2098.78684427075	-4.04244555716023	0.13130206218277	-30.7873729472217	3.8674084071195e-208	2.8094573517497e-205
"YMR251W"	762.776356727721	-4.15193143780352	0.136672725818303	-30.3786392855239	1.05202264493228e-202	6.87812405256727e-200
"YGL089C"	10782.1654576768	-6.84203773500607	0.236942170090537	-28.8764036068029	2.36249335953919e-183	1.40418014406066e-180
"YLR040C"	4428.4184710618	-3.64508509428347	0.126297332709656	-28.8611407389192	3.67247294541887e-183	2.00088567642905e-180
"YPL110C"	2665.1311207335	-2.43641345280797	0.0898826811872135	-27.1065951819266	8.23265939004756e-162	4.14039439170238e-159
"YJL012C"	14370.1972834918	-2.91302085470273	0.107780115499686	-27.0274423180703	7.03482246967423e-161	3.28526209333787e-158
"YFL004W"	7715.63697499309	-2.02283526765636	0.0785092508498292	-25.7655657869619	2.15739704104927e-146	9.40337456958675e-144
"YDR461W"	6097.34914059765	6.58894571237212	0.257743590247547	25.5639556585824	3.84141131639495e-144	1.56969669916189e-141
"YPL019C"	14748.0383714429	-4.02827913164231	0.162310736253318	-24.818315932936	5.68698096107104e-136	2.18714597196956e-133
"YPR036W-A"	9645.22980073612	-2.35581579032369	0.0998547897684105	-23.5924165058826	4.61080678660501e-123	1.67474748726797e-120
"YNL160W"	4708.07905570221	2.17270722188461	0.101384579413622	21.4303519771043	6.96516487698156e-102	2.39674989293186e-99
"YER072W"	17621.6964686329	-3.12212487492869	0.146640156800711	-21.2910633965821	1.37375281944153e-100	4.49079796675437e-98
"YGR233C"	2577.71558495577	-2.17794666921328	0.107160376873792	-20.3241788872986	7.8592864631179e-92	2.44685785218404e-89
"YCR005C"	5033.75523314285	-3.26299374283477	0.169662362905561	-19.23227807838	1.98704909594971e-82	5.90514863150873e-80
"YPL240C"	4177.18584720107	-2.85144586956787	0.149927131573925	-19.0188783019697	1.19002264785809e-80	3.38276872682443e-78
"YOL082W"	2478.57496934988	-2.5622939328199	0.136478347088277	-18.7743622888586	1.22408885121304e-78	3.33462204551285e-76
"YKL177W"	320.084620337415	-4.4706831287361	0.244400367701159	-18.2924566390286	9.50340727254003e-75	2.48533106991467e-72
"YCL040W"	5250.85674229359	-2.91511053124744	0.165372187951938	-17.6275743058721	1.51321267201101e-69	3.80514786523384e-67
"YHR210C"	671.066234433618	-2.96829499383063	0.16869085100939	-17.5960639007352	2.64050015357272e-69	6.39392222372536e-67
"YHR137W"	690.163023440267	-3.3372885550032	0.190660386208655	-17.5038382191828	1.33931852936578e-68	3.1273087660691e-66
"YJL170C"	274.838809073684	3.9310396954508	0.225163006253069	17.4586392359345	2.95903754551423e-68	6.67109912847312e-66
"YDR481C"	5889.4185718023	-2.37118688918092	0.135905747341536	-17.4472892836684	3.60961272550602e-68	7.86654933311945e-66
"YHR211W"	1398.84107983155	-2.16524974024467	0.124474507974029	-17.3951259216581	8.98291176783771e-68	1.89452506897171e-65
"YMR105C"	1179.12367710262	-1.72316803317298	0.102826484724428	-16.7580175262338	4.9485138382584e-63	1.01104323357917e-60
"YKL161C"	917.591174295154	-1.95846553923553	0.116948883986969	-16.746337993732	6.0221070953155e-63	1.19310715724766e-60
"YJL117W"	4883.0784226445	-1.34769499577614	0.0806992455184077	-16.7002180394453	1.30586726567241e-62	2.51110593616653e-60
"YNR001C"	3033.56415931626	-1.68768024892285	0.102422266555398	-16.4776694139065	5.30924065642187e-61	9.91766154619605e-59
"YCL038C"	1781.52717652629	-2.35764378477632	0.149812507618299	-15.7372960526317	8.39552736184324e-56	1.52472105254809e-53
"YIR034C"	1715.90996688823	-1.57245628639478	0.100861135874722	-15.5903091191428	8.47225977153325e-55	1.49707119962931e-52
"YLR307W"	158.835331422104	-3.40564266771418	0.218975074689042	-15.5526498737374	1.52656676942147e-54	2.62649829959936e-52
"YBR001C"	1405.58892666375	-1.52457587606061	0.100192665482257	-15.2164419293805	2.75090844549675e-52	4.61165113247634e-50
"YOR338W"	1258.13738443653	1.44810687740376	0.095579242578424	15.1508511507148	7.47916795456485e-52	1.22247000217362e-49
"YDR501W"	712.0224241982	-1.68189090253095	0.111175129367789	-15.1283017352463	1.05379904188354e-51	1.68042393556942e-49
"YKL120W"	4266.27665944143	-1.19289966907261	0.0803472109338754	-14.8468086845523	7.2960127702979e-50	1.13574598790971e-47
"YOR317W"	4844.43206626435	-1.41922735472227	0.0968492307514506	-14.653986858858	1.27037412346636e-48	1.9315595393542e-46
"YJL212C"	1311.40243846881	1.84485806427197	0.12675141672709	14.5549305239259	5.43411171580934e-48	8.0745959995367e-46
"SCR1"	358.666756490045	-3.02926263101035	0.208608671919983	-14.5212689536334	8.88500772845193e-48	1.29089290063597e-45
"YDL021W"	518.152602195159	-2.70934926576869	0.189705695954525	-14.2818551237289	2.83940980453651e-46	4.03566550044776e-44
"YPL268W"	1777.1363159058	-1.42493829511192	0.100650721589365	-14.157258612863	1.68437753126792e-45	2.34307665945312e-43
"YKR091W"	860.720777810376	-2.52760976038069	0.178631695620805	-14.149839151425	1.87184933710992e-45	2.54961478458847e-43
"YMR251W-A"	28644.7171943271	-2.0657555502115	0.146260909007177	-14.1237707616745	2.71088902445407e-45	3.617100498343e-43
"YLR266C"	1522.73148994424	-1.51390392162641	0.108478303877494	-13.9558222014246	2.89938660087652e-44	3.79123791930614e-42
"YBR157C"	896.635476170351	-1.9419298473821	0.144357505398591	-13.4522264153857	2.98739986513279e-41	3.82972947416435e-39
"YNL217W"	3484.39783103072	-2.39198340074287	0.178973079018497	-13.3650458150505	9.67754058790537e-41	1.21676462237933e-38
