""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YGR254W"	63821.7436027453	3.66353043085772	0.0865058817913458	42.3500732550677	0	0
"YJL012C"	18239.7496943918	3.12301744333119	0.0778160390576293	40.1333385912683	0	0
"YKR039W"	3098.5193040009	3.75405751757854	0.106696242312616	35.1845335525435	3.4475210414486e-271	7.81093350624205e-268
"YDR481C"	13410.0906207764	3.53693209401874	0.101957272916196	34.6903363816521	1.10194694438562e-263	1.87248334524726e-260
"YPL110C"	5168.46089906298	3.34442220864174	0.0967700243661412	34.5605184099955	9.90697653228176e-262	1.34675438979838e-258
"YPR160W"	2459.73769803026	2.99552303009793	0.0932844613269591	32.1117042161901	3.02671480582592e-226	3.42876342253313e-223
"YLR150W"	30887.3068539572	-2.01593400685071	0.063859883002507	-31.5680817450225	1.01280011694559e-218	9.83428913554168e-216
"YCL038C"	2194.52888936226	2.52747056797065	0.0833979000047123	30.3061655968296	9.50790765549642e-202	8.07815604180114e-199
"YLR048W"	31749.2148561664	-2.35347949218999	0.079209698740428	-29.7120116553201	5.3720921038836e-194	4.05712333667743e-191
"YHR203C"	26526.8493180443	-2.17766153933234	0.073920192814528	-29.4596301283504	9.47719093620473e-191	6.44164667933835e-188
"YMR105C"	1850.67945198798	2.33812253447393	0.0796050076033445	29.3715509220766	1.26821076608286e-189	7.83638961551384e-187
"YMR251W"	808.057761377155	4.0738154338783	0.139591731592157	29.1837875167327	3.11462913879623e-187	1.76417785469983e-184
"YFR031C-A"	29316.9804932411	-2.33111112962789	0.0799668449231328	-29.1509704036547	8.12074389975878e-187	4.2458997143585e-184
"YJL177W"	18263.3712568689	-2.31176790445229	0.0794801446393577	-29.0861059066006	5.38069948339407e-186	2.4381742925753e-183
"YPL131W"	49340.5607146832	-2.30034405450722	0.0790856896132711	-29.08672941661	5.28388341472613e-186	2.4381742925753e-183
"YCL040W"	6623.12629338554	3.11513406914696	0.107819164213231	28.8922112490711	1.49567678041199e-183	6.35382192278769e-181
"YHR033W"	2451.4455935598	3.58896055819416	0.125135176619917	28.6806688186103	6.6478479718873e-181	2.65796603911282e-178
"YKL216W"	20255.5512671983	-2.13985543013436	0.0763951364804808	-28.0103620298015	1.21507897803725e-172	4.58827322984398e-170
"YPL019C"	20581.2089053928	4.36903596043323	0.157290309859763	27.7768920687395	8.25081177906257e-170	2.95161935064675e-167
"YML128C"	5968.62000902944	3.67923839274951	0.132684262534222	27.7292749153318	3.0986317741855e-169	1.05307000845694e-166
"YHL033C"	15071.2811149227	-2.14393806500129	0.0773945073855373	-27.7014240083131	6.71175564855707e-169	2.17237157824964e-166
"YPR035W"	23356.4194027901	2.15816521496515	0.0780915820765439	27.6363361783318	4.07360808029721e-168	1.25855973280819e-165
"YER001W"	9328.11948169299	1.79291575348892	0.0649365317325645	27.6102789239328	8.37505391763908e-168	2.47501049905186e-165
"YGL123W"	46755.2506176354	-2.20516834600211	0.0800766936695272	-27.538204250824	6.12686918337126e-167	1.73518040997394e-164
"YBR191W"	17288.8029626197	-2.38376376096196	0.0893945077037936	-26.6656623789518	1.1781318082202e-156	3.20310476018908e-154
"YDR385W"	28113.7497564923	-1.47282317623579	0.0565179828582533	-26.059372641264	1.05347223903443e-149	2.75401954181423e-147
"YLL045C"	24131.2857594548	-2.37809262536811	0.0917118005532733	-25.9300614645192	3.05223427901055e-148	7.68371718312396e-146
"YFR053C"	8511.69607623514	2.56759000982769	0.0990466507626225	25.9230371754946	3.66291610042798e-148	8.89172883378892e-146
"YGR214W"	24598.8149305311	-2.23804399996638	0.086843522783307	-25.7709950982847	1.87533692587886e-146	4.39540175351677e-144
"YER131W"	19589.3824719057	-2.50455161427962	0.0975315970106817	-25.6793868965902	1.98653533323849e-145	4.50082688667401e-143
"YJR145C"	30642.1984146593	-2.25843576069495	0.0881476429408415	-25.6210567333111	8.88923425579633e-145	1.94903629795638e-142
"YMR116C"	42288.2643896712	-2.39928354878994	0.0937098546236791	-25.6033216402374	1.40099224016425e-144	2.97579508012387e-142
"YMR195W"	5768.068082787	3.83353893266412	0.150183565497229	25.5256886462378	1.02252211667853e-143	2.10608570517091e-141
"YJR009C"	137538.708284064	1.55675694511237	0.0612253887698862	25.426656757761	1.27955964681396e-142	2.55799027041015e-140
"YDL021W"	1228.18491251998	3.90799477151625	0.153759797175397	25.4162326128613	1.66849431119428e-142	3.24021595233929e-140
"YNL069C"	30543.6255927914	-2.24597807378652	0.0900981323544414	-24.9281313063289	3.68732558642537e-137	6.96187555859256e-135
"YLR075W"	32685.9828911964	-1.98438178877553	0.079615425674377	-24.9245893238272	4.02824903178644e-137	7.40000234298714e-135
"YKL180W"	31773.3837627239	-2.27549690951363	0.091445256524829	-24.8837063396043	1.11687985103684e-136	1.99774535460458e-134
"YLL044W"	5982.01676496789	-2.34166846989859	0.0942583677679006	-24.8430831697049	3.07159653654624e-136	5.35324145100123e-134
"YIL133C"	19775.8895386648	-2.32695220470947	0.0940285593401811	-24.7472918976766	3.31555745530001e-135	5.63396100591854e-133
"YPL017C"	2003.14037989419	3.68239357313374	0.149626895697723	24.6105057246721	9.75029360322085e-134	1.61640842978273e-131
"YHR137W"	1056.72851143631	3.83476173150043	0.159939503290814	23.9763263771539	4.91161693769997e-127	7.94863341084445e-125
"YLR441C"	37271.6286814645	-2.09583851249106	0.0878568225397327	-23.855159473167	8.95187933622613e-126	1.41502148484486e-123
"YGR233C"	2953.60846422936	2.22664290851942	0.093970861371959	23.6950356313734	4.05667879372768e-124	6.26664676385615e-122
"YML063W"	33712.6691777466	-2.35790328666712	0.0995797006400788	-23.6785536762109	5.99821944174744e-124	9.05997723234607e-122
"YPL143W"	12183.820370223	-2.12161891205592	0.0897791184638414	-23.6315409235212	1.82749623217496e-123	2.7003243239333e-121
"YOR344C"	9332.09417026546	1.70853089980644	0.0726327953473953	23.5228575691561	2.38072272882754e-122	3.44293029528527e-120
"YJR123W"	67423.9135440925	-2.25881929468183	0.0968476633957851	-23.3234258368296	2.56519691231498e-120	3.6324257110427e-118
"YER037W"	6571.03833449355	4.51396129838484	0.193557968684466	23.320978872967	2.71613080275754e-120	3.76766144211082e-118
"YPL223C"	3362.12000778401	5.33815112109955	0.229047830272896	23.305835793072	3.86859864358489e-120	5.25897299608929e-118
"YGL147C"	26178.139305414	-2.76950589048673	0.12057308456653	-22.9695201084332	9.40444938687923e-117	1.25337338201212e-114
"YER062C"	14166.3690286095	2.69131243370651	0.117197462566855	22.9639138489987	1.06993551874492e-116	1.39852917709792e-114
"YER102W"	18664.797665075	-2.31962201995863	0.101539324599957	-22.8445681424162	1.65487766440386e-115	2.12230254433076e-113
"YIL069C"	15293.688255761	-2.23900624948494	0.0983733276072398	-22.7602979785769	1.1347227558931e-114	1.42827973551952e-112
"YLR167W"	65002.4038106476	-2.47133188120903	0.108760760386793	-22.7226425451613	2.67614609471604e-114	3.30723000105181e-112
"YBR048W"	24454.3951461465	-2.37178986238941	0.104831009743683	-22.6248880764247	2.46588129346479e-113	2.99296341994289e-111
"YMR169C"	1022.99244594431	2.73938093809778	0.121279306361669	22.5873730669981	5.76768935643101e-113	6.87771658871255e-111
"YDR012W"	16295.6371301554	-1.74060678690047	0.0770646384716663	-22.5863226172199	5.90644553428952e-113	6.92174315458033e-111
"YOL084W"	388.306177935144	3.5415613244901	0.15704696056079	22.5509701801534	1.31373749662407e-112	1.51347012958539e-110
"YDR321W"	4453.8582714049	-1.56295098646392	0.0694329176851368	-22.5102305732212	3.29552360650477e-112	3.73327899223549e-110
"YLR061W"	9095.4464658765	-2.22481557865889	0.0989502013773378	-22.4841945513051	5.92663000453614e-112	6.60382035095608e-110
"YPL268W"	2553.63535687928	1.90669957643592	0.0849889445365493	22.4346776728819	1.80613264571016e-111	1.98004574078902e-109
"YMR090W"	2320.00633585437	2.60384857454725	0.116336486281127	22.382045889327	5.8880180136877e-111	6.35251721254529e-109
"YOL120C"	31309.9205347629	-2.34239123288328	0.105059139385698	-22.2959301454373	4.04674388559906e-110	4.29776846725263e-108
"YML073C"	22594.7727788252	-2.34480489767059	0.105428930438384	-22.2406211266742	1.39018634941935e-109	1.45370717184667e-107
"YPL090C"	27518.0116095588	-2.25124466936624	0.10145049914555	-22.1905726273107	4.23565892085818e-109	4.36208692198076e-107
"YJL052W"	35411.5389749243	5.05399696286853	0.227890857883498	22.1772694605073	5.69308665257706e-109	5.77550895187556e-107
"YMR143W"	19387.2552670057	-2.19740211558144	0.0993591931065406	-22.1157403444814	2.23019585840164e-108	2.22921194846411e-106
"YIL136W"	1679.31100758312	2.29826238974969	0.104135106843969	22.070005586044	6.13839517794331e-108	6.04676406151894e-106
"YIL018W"	40151.8600451902	-2.22119063440515	0.100827312280316	-22.0296523250554	1.49718007460427e-107	1.45376185244075e-105
"YNL208W"	24357.4670919072	2.25583422611723	0.102505134434115	22.0070364140361	2.46593550544618e-107	2.36069910288981e-105
"YGL076C"	38312.4179594088	-2.32273080512779	0.105834169631214	-21.9468893007003	9.27337820406345e-107	8.7543266184749e-105
"YHL015W"	40040.0038535852	-2.3130432317337	0.105689729219083	-21.8852224225027	3.59254035739037e-106	3.34499956290169e-104
"YDL083C"	24955.7036244593	-2.34247298283754	0.107618149162898	-21.7665235934492	4.81817830139146e-105	4.42556188034564e-103
"YML026C"	24067.4653131059	-2.37788920216596	0.109293272380329	-21.7569585975169	5.93569766211383e-105	5.37932493458503e-103
"YPL018W"	1328.05591346766	3.60781047295011	0.165898381832911	21.7471106896257	7.35696472726616e-105	6.57964332253001e-103
"YNL096C"	14414.6889398067	-2.23108466009203	0.102611784023568	-21.7429672558816	8.05212734792765e-105	7.10783241348886e-103
"YGR085C"	15552.543039311	-2.09289868917995	0.0964271971230375	-21.7044438874386	1.86262622481104e-104	1.62311159615906e-102
"YNL301C"	5036.5059855924	-2.05710253224761	0.0949155361094583	-21.6729801733967	3.69078608375473e-104	3.17547759636468e-102
"YMR242C"	22588.2945102748	-2.28546899628987	0.105479804464289	-21.6673609502531	4.1697963769959e-104	3.54276324680514e-102
"YER103W"	3007.70513531952	2.65794083299602	0.123151825263187	21.5826345027023	2.61533646911093e-103	2.1946224667342e-101
"YLR029C"	33127.9286072486	-2.14747914883913	0.099549351479092	-21.5720054117094	3.29112866889878e-103	2.7280245807933e-101
"YBL027W"	33817.6170595905	-2.22742727736044	0.103445832523657	-21.5323055846745	7.75766665527528e-103	6.35287472962724e-101
"YBR025C"	13224.8434231167	-1.50297229549949	0.0698076537592258	-21.5301935326949	8.11938483601732e-103	6.56993556314402e-101
"YFL004W"	7364.90902262505	1.73777884111717	0.0808098798939882	21.5045343885786	1.41195297018892e-102	1.12906403980872e-100
"YDR025W"	22473.7868341679	-2.31420424849875	0.107786101135845	-21.4703400912712	2.94852837925339e-102	2.33036597602155e-100
"YOL040C"	38032.9602909082	-2.12447707438978	0.0992060317183248	-21.4147974431816	9.72658049777047e-102	7.59903076360298e-100
"YBR189W"	37906.2033225036	-2.44097079934678	0.114243000422004	-21.3664801373393	2.74029171184055e-101	2.11656395061139e-99
"YBR181C"	22076.5702079971	-2.24010284480128	0.105092348934496	-21.3155654765841	8.1417953739737e-101	6.21795316369654e-99
"YNL217W"	2827.29005167138	1.82650841642436	0.0860306611956002	21.2309006003289	4.95047609729856e-100	3.73870955925982e-98
"YKR075C"	1816.59623556869	-1.84352951912319	0.087106208634952	-21.164157503963	2.04382316026966e-99	1.52657868355527e-97
"YOL052C-A"	2359.63186382389	3.52748546500739	0.166721672469796	21.157929936472	2.33239811928492e-99	1.72318587138909e-97
"YPL265W"	2454.32260375701	1.5184275602168	0.0720065963858576	21.0873397220456	1.03944853031362e-98	7.59691576402332e-97
"YBR092C"	6134.00849591461	-2.02059131529734	0.0958434901286172	-21.0821967416442	1.15878459977945e-98	8.37899885606481e-97
