""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YAR071W"	11459.9440270591	8.2704169546314	0.151252062321882	54.6796971074088	0	0
"YBR072W"	10115.6720090974	7.40433060829629	0.178927407075794	41.3817577156294	0	0
"YBR093C"	78043.4297427726	7.90489330783853	0.133056607752686	59.4100018131489	0	0
"YBR296C"	20938.6672028046	9.26363694151924	0.150007080627464	61.754664531637	0	0
"YDR281C"	5546.60348604662	7.38035917570447	0.15570109357182	47.400817851675	0	0
"YER037W"	6726.7137232597	4.13885787742411	0.102953295677707	40.2013150737858	0	0
"YER062C"	13295.5177460705	3.79544374063822	0.0907024876384876	41.8449795529942	0	0
"YGR254W"	63630.3262534666	3.96343990847745	0.0824008576802927	48.09949823405	0	0
"YHR215W"	15641.9142674321	7.39438673868995	0.121247649663138	60.985815058962	0	0
"YJL012C"	18453.4990724342	3.11322307260316	0.0745376907992032	41.7670984869905	0	0
"YJL052W"	34978.6305923956	7.31130233143562	0.131781829822424	55.4803521948936	0	0
"YML123C"	57984.4465979297	6.87992439479167	0.0770560845962262	89.2846350919912	0	0
"YNL208W"	22534.2037400199	3.22766320576456	0.0780929155956719	41.3310628902098	0	0
"YPL019C"	20785.947793823	4.40364315645679	0.0953793067041538	46.1697962443358	0	0
"YPL223C"	3364.02568128179	6.16232415872795	0.152193636114407	40.4900251814447	0	0
"YMR195W"	5691.41555815892	4.49493052302697	0.122265869030584	36.763575629619	7.05617804848871e-296	3.00284477075998e-293
"YHR136C"	3048.63742066021	8.19312293989051	0.236637902144837	34.6230374155185	1.1374527419362e-262	4.55583277637858e-260
"YDR481C"	13690.859385241	3.36489433823678	0.10033378598848	33.5370015701703	1.39287210375958e-246	5.2689256413883e-244
"YCL064C"	6131.89709446496	5.7375148753369	0.172696705750813	33.2230707609193	4.99999684489801e-242	1.79184097457424e-239
"YCR098C"	4058.05833979166	5.15378813629627	0.158877977469316	32.4386564984541	7.82910751582852e-231	2.66541965376382e-228
"YCL038C"	2096.83733726232	3.19763578467666	0.10280361434209	31.1043128701311	2.10587562806244e-212	6.82805102451294e-210
"YPL110C"	5300.08452348513	3.12690371599756	0.10236760996847	30.5458310197989	6.42347503560021e-205	1.98806552351826e-202
"YDR012W"	22765.9840162402	-2.32195363127488	0.0770495945394234	-30.135831929483	1.64484493648633e-199	4.86945616197191e-197
"YOL140W"	3548.03526238757	-2.29822987003887	0.077082083393864	-29.8153574585637	2.47041513909779e-195	7.00877361754869e-193
"YJL177W"	18371.4475563161	-2.30308612919429	0.0783798824842303	-29.3836384566877	8.88779471966596e-190	2.42067976984822e-187
"YHL033C"	16390.2947097383	-2.27214980795643	0.0776845230717634	-29.2484232136878	4.70245480166471e-188	1.2315005670975e-185
"YDL021W"	1202.83042924773	4.92907637078318	0.174427125556653	28.2586573335592	1.11415307020977e-175	2.80972898335494e-173
"YJL088W"	3469.8205093384	-3.38991374893853	0.120139588300683	-28.2164588449755	3.67358305777607e-175	8.93336680014188e-173
"YGR234W"	26099.9525368113	-2.80485578896571	0.100025429528872	-28.0414270868601	5.08178470559644e-173	1.19316800208297e-170
"YIR038C"	4271.80476158576	3.09104953959669	0.111495156844926	27.7236216089271	3.62520242163718e-169	8.22800109630919e-167
"YHR203C"	26234.3151914713	-2.13883804877903	0.0774675532936809	-27.6094694855103	8.5645813310729e-168	1.88116884784759e-165
"YMR173W"	2585.82299979831	3.13187480411963	0.114763348264122	27.2898521304186	5.59736556560887e-164	1.16330273307049e-161
"YMR251W"	803.934761795105	4.56047794778986	0.167114212910319	27.2895875722864	5.63797770470352e-164	1.16330273307049e-161
"YOL082W"	3032.22547375778	2.56118058867883	0.0944455912186873	27.1180534276974	6.03169425150033e-162	1.20793547524899e-159
"YPL131W"	48004.1268449218	-2.23367208118063	0.0825249842751541	-27.0666162593032	2.43486006782161e-161	4.73684634337067e-159
"YOR185C"	2177.98543737367	2.76298527760946	0.104455245317076	26.4513789539468	3.51787189509779e-154	6.65366381492246e-152
"YLR048W"	30778.5305911436	-2.28076575907141	0.0866927525121246	-26.3086093471589	1.52858741067899e-152	2.81301396738195e-150
"YLR075W"	34387.7343796679	-2.05603467489648	0.0782008575564295	-26.2917151952311	2.38524894958607e-152	4.27398949940304e-150
"YDR032C"	9384.59179908399	2.4937488135371	0.0964215587052177	25.8629796803124	1.73855845573293e-147	3.03534475002192e-145
"YER131W"	20043.0194071885	-2.52476279704477	0.0982537250252846	-25.6963570225459	1.28377764865751e-145	2.18531050242724e-143
"YMR120C"	6593.74118853009	2.73113085124072	0.106624555302801	25.6144641680768	1.05274300073717e-144	1.74832368098034e-142
"YDR070C"	1334.84031738902	4.94283774348501	0.19328181704299	25.5732164520454	3.03039610971546e-144	4.91284931215538e-142
"YPL198W"	6556.16352644985	-2.45985113574695	0.0963001542165902	-25.5435845950408	6.47010324279732e-144	1.02453332512109e-141
