""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YAR071W"	11428.9779425434	8.80318068044121	0.17866042456522	49.2732551255501	0	0
"YBR009C"	7397.81623258987	4.2527084281128	0.103999166057962	40.8917550910227	0	0
"YBR040W"	19727.6095902152	-6.97324521776471	0.159270327678312	-43.7824503748683	0	0
"YBR072W"	10155.2812563509	6.44446033153844	0.161794165560581	39.8312282102993	0	0
"YBR093C"	77920.5579355609	7.85450994556401	0.120618402982056	65.1186697168634	0	0
"YBR296C"	20915.0805694823	8.78153452567761	0.161538071687097	54.3620115924602	0	0
"YCL064C"	6050.62031284197	7.17493802770825	0.150740329908403	47.5979987045807	0	0
"YCR098C"	4065.11615179219	4.98359084395689	0.132332052462834	37.6597411678215	0	0
"YDL003W"	2018.23734881654	4.91246113437965	0.129440988377903	37.9513567992676	0	0
"YDR033W"	19653.7123950214	4.56144684185849	0.107924778881507	42.2650561727498	0	0
"YDR085C"	6546.88764026691	-4.23694170099068	0.104218256781143	-40.654505571785	0	0
"YDR124W"	5223.37189170363	-4.42659963349617	0.107879750458954	-41.0327203637756	0	0
"YDR281C"	5661.36126501844	5.12747563029324	0.129333278742386	39.6454468652765	0	0
"YER001W"	7614.19379574137	4.56292844491885	0.0927906273544636	49.1744540910182	0	0
"YER070W"	7869.33153939585	5.18875409806213	0.130215536998476	39.8474269481596	0	0
"YGL053W"	14426.2994411617	-4.38628670617627	0.0860609639637299	-50.9672039930305	0	0
"YHR215W"	15599.627479484	7.65314646984794	0.136611971442312	56.0210528334239	0	0
"YIL037C"	8003.7154461947	-4.85419552323572	0.116081924269748	-41.8169801523591	0	0
"YJL052W"	35010.5557913832	6.80527834211505	0.120979036560999	56.2517154671151	0	0
"YJL170C"	22272.9119870457	-6.09720466929272	0.13530176640023	-45.0637477359819	0	0
"YML047C"	5423.00478065238	-5.65091894891757	0.150248205269126	-37.6105587337671	0	0
"YML123C"	57774.3323043331	7.24902972710045	0.0994616431979178	72.8826660612843	0	0
"YMR195W"	5500.27614007692	6.49207549031038	0.158069891929289	41.0709174977771	0	0
"YMR199W"	3814.66647785993	5.54911846601603	0.137387770665343	40.3901922212049	0	0
"YMR232W"	11232.7030280338	-5.62120709474315	0.0974599772443889	-57.6770819538313	0	0
"YNL279W"	24379.6366788102	-5.00380436533865	0.115718472905377	-43.241189066073	0	0
"YPL019C"	20820.6076811054	4.29836838001678	0.0980672959004033	43.8308035370139	0	0
"YPL192C"	7643.96586228991	-6.12140287914365	0.128738353284086	-47.5491780265015	0	0
"YPL223C"	3362.38539974441	6.03876966484573	0.147980771074991	40.8077996957153	0	0
"tH(GUG)E2"	5689.2510320603	-8.57685556750175	0.221324733939442	-38.7523591007615	0	0
"YIL017C"	23016.8138627311	-5.32555918624947	0.144601408386963	-36.829234553497	6.28832365428241e-297	1.38180841074103e-294
"YJL012C"	18248.4197462176	3.25019628679845	0.0902667477980006	36.006573473454	6.60110492738617e-284	1.40521021141733e-281
"YBL002W"	5423.44673999989	4.21824874203742	0.119943615372701	35.1685975858745	6.04166906566419e-271	1.24714695985771e-268
"YPL156C"	10610.0397461606	-4.25073347227356	0.120978640792023	-35.1362310276002	1.88660166037796e-270	3.77986191485137e-268
"YCL027W"	9624.09328546183	-3.67089141538521	0.104738050354129	-35.0483076873552	4.137629469422e-269	8.05300912734361e-267
"YMR198W"	5273.15623495054	-3.32767097121595	0.0959451863446128	-34.6830424536749	1.41948014757197e-263	2.68597187923895e-261
"YNL289W"	2408.84535235442	7.80182462188755	0.228724616889976	34.110122154628	5.22126048495382e-255	9.6127638982447e-253
"tF(GAA)D"	1422.11119032721	-6.44475679436907	0.193233325791423	-33.3522013761	6.76851879182519e-244	1.21334605289245e-241
"YIL117C"	5866.39110071371	-3.19295542915181	0.0958322207272303	-33.3181825999838	2.10589023245838e-243	3.67828827269396e-241
"YGR108W"	2773.97349329653	5.70263430722536	0.173400528646837	32.8870641383097	3.36483864621873e-237	5.7303202145105e-235
"YKL127W"	12890.9167006301	-3.01828636509621	0.092486258096986	-32.6349711535639	1.30936597691439e-233	2.17546366700996e-231
"YDR481C"	13638.5891132611	3.39831439947733	0.104368710501227	32.5606628955846	1.47922782927053e-232	2.39916666023591e-230
"YDR133C"	11992.153503921	3.20316652965466	0.0987566065442069	32.4349594598597	8.82759325444068e-231	1.39845500579651e-228
"YOL007C"	2118.41902550241	3.70127047345333	0.117821691098759	31.4141686385312	1.29605277228696e-216	2.00652533745882e-214
"YNL160W"	5776.98105579701	4.35471883673011	0.13878048033236	31.3784678241577	3.98020072798991e-216	6.02513941312606e-214
"YJL108C"	2558.96729285507	-4.08525445806531	0.132301861273476	-30.8782840902052	2.33772838502835e-209	3.46187081713329e-207
