""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YDR461W"	12693.500769932	7.62784415912744	0.155833506340691	48.9486782287443	0	0
"YFL026W"	12738.1632233053	6.37401193942098	0.117652046813787	54.1768045014075	0	0
"YGL089C"	12260.5864309295	-6.58180271505799	0.134621194233147	-48.8912815886861	0	0
"YIL015W"	5425.00334654219	5.62657441678202	0.13435799745141	41.8774804887728	0	0
"YKL178C"	7483.16811785232	-5.44149783948282	0.125349492105159	-43.4106093937565	0	0
"YNL145W"	9120.08091916576	8.14229487225692	0.168017698910075	48.4609355149827	0	0
"YPL187W"	47602.9783962948	-10.9676505807692	0.17279112498217	-63.4734601207146	0	0
"YGL032C"	3153.15812215132	6.95331150544069	0.187951992372031	36.9951465674136	1.37053425114515e-299	1.16478279669199e-296
"YJR004C"	17731.3284989985	-5.13154179633405	0.144122150063511	-35.6055040399599	1.15146259353157e-277	8.69866019269014e-275
"YLR040C"	5444.05424516012	-3.88016247256951	0.115614493845198	-33.561211432235	6.17811606532904e-247	4.20050111281721e-244
"YCR098C"	4240.61823509505	3.91265170142818	0.123267810916508	31.7410658333043	4.21766930364671e-221	2.60690305413582e-218
"YPL223C"	3535.14081554614	4.11572370498411	0.134950666348694	30.4979872744729	2.77103468660071e-204	1.57002206951652e-201
"YKL209C"	3124.782640829	3.26549545006784	0.117061015104059	27.8956700244317	3.01109574233611e-171	1.57480307324179e-168
"YMR199W"	4433.41738279025	2.50542103305288	0.0948167803424061	26.4238146877083	7.29820803234572e-154	3.54432260085132e-151
"YEL065W"	3143.39768789893	-2.81810151851285	0.117020444982945	-24.0821295708077	3.84752946520499e-128	1.74395685559525e-125
"YGR256W"	2090.96847053318	3.62879767568476	0.153581362862589	23.6278517656565	1.99426607515525e-123	8.47438440311282e-121
"YDL227C"	2871.77522390152	2.47135104503569	0.106664802537539	23.1693209591416	9.28531940786852e-119	3.71358156788812e-116
"YMR058W"	15945.6973118889	-2.0130673134812	0.0903413637531551	-22.2828971121315	5.41402948433967e-110	2.04499924800141e-107
"YER001W"	9352.89474902379	1.89682581913946	0.0866141263258678	21.8997281344506	2.61335223917072e-106	9.35167467059039e-104
"YKL177W"	413.001221530472	-4.92799383371795	0.227842365502121	-21.6289618607918	9.59174834434029e-104	3.26071484965848e-101
"YKL216W"	22044.7231138475	-2.25660737938941	0.107794424100657	-20.9343609209529	2.60535324304155e-97	8.43514128544738e-95
"YBR072W"	11570.0067773608	2.81622509317973	0.138624882657775	20.3154371652901	9.39102158632631e-92	2.90225253479239e-89
"YOR382W"	2086.87103397421	-2.03298646679321	0.101360808441769	-20.0569282945404	1.75602091631714e-89	5.19095052610445e-87
"YJL133C-A"	4887.21473759039	-2.18516967998826	0.112695217687525	-19.3900834909177	9.35848576672519e-84	2.65118103033186e-81
