""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YAL060W"	6368.72737791119	2.84233394386603	0.0673016429522353	42.2327571688445	0	0
"YAL061W"	2410.97851569898	3.76250335385295	0.0987291603247608	38.1093421789118	0	0
"YBL078C"	1735.62088411842	4.30117706816815	0.106411097735761	40.42038057768	0	0
"YBR101C"	8496.04739360268	2.9882384609584	0.0743174189059282	40.2091260023568	0	0
"YBR126C"	7072.16440170276	2.85347311967613	0.0687128287874185	41.5275163318354	0	0
"YCL040W"	14476.0192185913	4.47731178202292	0.0708252848396075	63.2162905121009	0	0
"YCR005C"	14187.9382462253	4.8341780303928	0.0989530348580441	48.8532568741101	0	0
"YCR010C"	11459.1314790722	7.81865735152438	0.106036665906099	73.7354129792069	0	0
"YCR021C"	12940.6374932104	6.63957447034466	0.0870659966501551	76.2590991408909	0	0
"YDL214C"	1522.87980313558	5.24902622850803	0.135490007164197	38.7410580187428	0	0
"YDR171W"	30821.951566467	8.96221435703749	0.0994927461404722	90.0790731455326	0	0
"YDR256C"	7111.64534964518	4.56182401465794	0.0833219515917615	54.7493658935012	0	0
"YDR258C"	5373.0715281867	4.76881792046898	0.0849697756195488	56.123696758025	0	0
"YDR343C"	3332.46602423422	6.90679899477085	0.142111563530927	48.6012455507731	0	0
"YDR380W"	2959.87413300609	3.33802470336404	0.0822402291836362	40.5887086709168	0	0
"YDR516C"	4368.36241764447	3.40520845550057	0.0709521750121501	47.9930101496881	0	0
"YEL011W"	5432.18586960971	4.84757872063302	0.120873759205444	40.1044755495179	0	0
"YEL040W"	9756.282350611	-2.97041729876449	0.0639798515357317	-46.4273865516172	0	0
"YER067W"	3922.53614950715	7.69943947595926	0.153844524273725	50.0468867014087	0	0
"YER079W"	2321.09527185185	4.15184808305301	0.0969825779385745	42.8102466577312	0	0
"YER103W"	27436.7303304941	6.18121870589823	0.0735291150786141	84.0649135963291	0	0
"YER150W"	15152.1850951701	5.97644101482477	0.0982371184421463	60.8368925066182	0	0
"YFR015C"	4749.24055402748	6.74302201075703	0.114770760496963	58.7520896573258	0	0
"YFR053C"	45313.7433807518	5.3094657016032	0.077654510637757	68.3729207485552	0	0
"YGL055W"	21491.1688213513	-2.38737862577651	0.0557630612190035	-42.8129047004849	0	0
"YGR008C"	10844.4193512795	4.99649802864823	0.131112024647466	38.1086177418342	0	0
"YGR142W"	33826.3890302709	8.11680382693206	0.0852705301816297	95.1888514079007	0	0
"YGR250C"	6075.7040819451	3.16298751822918	0.0669876626219002	47.2174635511928	0	0
"YGR254W"	44108.4511715651	3.23510495032745	0.0733268906852729	44.1189435430022	0	0
"YHL021C"	12401.0695782006	6.20876855247296	0.0975894740639464	63.6212933005931	0	0
"YHR087W"	5313.04481600277	5.47361003159495	0.12415201807135	44.0879666446444	0	0
"YHR137W"	3514.13452273709	5.7849033030057	0.109175704191739	52.9870940227323	0	0
"YIL136W"	5167.86508698525	4.25507565578648	0.0735299509084195	57.8686046055724	0	0
"YIL160C"	3522.71091832492	4.60227366959963	0.0965723255448596	47.6562373706304	0	0
"YJL133C-A"	3645.28975191278	4.85742610903789	0.101017885673384	48.0848126711259	0	0
"YJL144W"	2387.25409560216	6.9056427046917	0.155923548806193	44.2886450286939	0	0
"YJR008W"	3150.33662892163	3.64638603966862	0.0803299768994331	45.3925941524123	0	0
"YJR148W"	5465.1028295379	3.18110796049066	0.0809089434801444	39.3171363221586	0	0
"YKL217W"	8268.41509341269	5.7842044443069	0.0891291925525073	64.8968567834757	0	0
"YKR009C"	3203.29307322721	3.23523427087492	0.085557233903368	37.8136847496604	0	0
"YLL026W"	14253.3353771906	4.15007315865646	0.0846477633563702	49.02755836778	0	0
"YLR142W"	4448.0827642173	5.90532788304219	0.108015286580564	54.6712235831327	0	0
"YLR149C"	2324.7301101456	5.03194184477061	0.102190922817065	49.240595016237	0	0
"YLR178C"	3601.92845608615	3.79981857246096	0.0938221894758794	40.5002120893571	0	0
"YLR258W"	6700.39253835859	3.98373739002078	0.080213160409138	49.6643863637986	0	0
"YLR327C"	37409.9596895495	9.39611450727829	0.104699403563826	89.7437252500712	0	0
"YLR345W"	2526.54207015106	3.30998811706129	0.0822373933846944	40.2491856907193	0	0
"YLR355C"	23036.1174512376	-3.67187433831605	0.0722550120663587	-50.8182648276887	0	0
"YLR413W"	6137.06223610915	-3.17365804982665	0.0671317398718279	-47.2750751862829	0	0
"YLR414C"	6426.29142943208	2.44489465107341	0.063559247195421	38.466387802805	0	0
"YML042W"	1994.703545572	3.61396189843984	0.0905301470277148	39.919982647697	0	0
"YML128C"	8248.87971418989	4.32438546082079	0.100812548339132	42.8953094834346	0	0
"YML131W"	4382.22130041064	4.26060373090823	0.0767108288582853	55.5410988816093	0	0
"YMR081C"	4015.75305444981	5.64437835221836	0.0974733698244976	57.9068761281277	0	0
"YMR105C"	2663.64877133921	3.10595877695679	0.076406560754134	40.6504198893515	0	0
"YMR107W"	11144.1239103896	9.71952826327624	0.176853389234735	54.9581113787741	0	0
"YMR303C"	6394.57846166499	3.71217286190696	0.066342465029252	55.9547020188377	0	0
"YNL173C"	4432.13866255296	2.97825428269157	0.0754538544054483	39.4712013873809	0	0
"YNL194C"	3712.55398196868	6.05578297673833	0.108787020583019	55.6664107931605	0	0
"YNR002C"	2788.80185305187	4.74293126149717	0.107312822767802	44.1972463231134	0	0
"YNR034W-A"	15734.6601375907	7.95846084065395	0.10863859328138	73.256295026217	0	0
"YOL016C"	3863.14098548134	3.71608489671276	0.0779033422683373	47.701225499578	0	0
"YOL052C-A"	5098.65104798394	4.84892124896823	0.115496257737562	41.9833624392079	0	0
"YOR220W"	3180.35669965755	3.29602366779794	0.0874579625848377	37.686947767628	0	0
"YOR317W"	9330.7487996846	2.58490886247928	0.0656556144382509	39.3707207615944	0	0
"YOR374W"	13444.4696451225	4.41299225530962	0.0705995137655002	62.5074029541846	0	0
"YOR388C"	1903.27967030204	7.1288921948369	0.17656403111481	40.3756764604075	0	0
"YPL093W"	10784.9508209844	-2.50009445739079	0.0577634414359481	-43.2816050297671	0	0
"YPL240C"	14121.0840009663	4.72530000932382	0.0679060165634027	69.5858813174806	0	0
"YPL265W"	5156.46810800211	2.9913002419606	0.0709631197737698	42.152885209907	0	0
"YPR001W"	2140.09137094528	4.34031245985772	0.103162361565607	42.0726357364112	0	0
"YPR036W-A"	25830.8614188037	3.92642052289339	0.0794829713078661	49.3995186426153	0	0
"YPR160W"	5175.81995751805	4.30891517667124	0.0742906551440991	58.0007696568751	0	0
"YPL203W"	2601.29531770294	3.01440886276644	0.0803476194407116	37.5170899119267	4.8495881977813e-308	4.45179089561195e-306
"YPR184W"	2309.42842982764	3.35598674609024	0.0900571903372499	37.2650616072143	6.04295787964285e-304	5.47330838352185e-302
"YPL230W"	1424.01768378698	4.1905272132385	0.112482689261687	37.2548633104726	8.83883494731297e-304	7.90029023646013e-302
"YGR043C"	3301.09945778964	5.15636967078896	0.140290843799242	36.754855350131	9.72491415333038e-296	8.5793950446199e-294
"YNR001C"	6137.96465880804	2.89588226083765	0.0789534090526491	36.6783688707674	1.6159537659765e-294	1.40732999131774e-292
"YMR169C"	1917.06174476837	3.89479798886396	0.106972183669122	36.4094464118919	3.01744490938478e-290	2.59462066701909e-288
"YOR019W"	2428.56545671468	3.50957451478942	0.0973223440627734	36.0613438628824	9.15875780222215e-285	7.77693021881188e-283
"YHR097C"	4633.68994796178	3.623576623059	0.100849513380993	35.93053155715	1.0194827486843e-282	8.54981026149683e-281
"YGR243W"	2884.72024760712	5.3692123397827	0.150864878019541	35.5895448315496	2.03315522591111e-277	1.68429554263587e-275
"YBR169C"	3799.19691811133	3.5327562984517	0.0997241337529819	35.4252894008825	6.96796652235599e-275	5.70281886582702e-273
"YOR173W"	1244.26448214052	3.81038144383657	0.107608899707878	35.4095381904329	1.21780432631697e-274	9.84826760556096e-273
"YMR110C"	3426.68654437321	2.45537853573701	0.0695702280476038	35.2935243227449	7.38173550761395e-273	5.89930932979077e-271
"YER024W"	3439.86272043765	3.2796902599109	0.0930589281980054	35.2431553147976	4.36789346503511e-272	3.45012794278878e-270
"YMR090W"	2303.07867273071	2.75464526383862	0.0781857767656165	35.2320508638858	6.46168233451233e-272	5.04531127567152e-270
"YKR097W"	1420.35546997514	3.38611943135031	0.0962521710985059	35.1796680813039	4.09174285461784e-271	3.15854650129761e-269
"YOR386W"	1287.08355185002	3.26608710860242	0.093320726420076	34.998517841582	2.36970995711615e-268	1.80870109423483e-266
"YGR079W"	2708.11859990721	-3.18635313152982	0.092308064504178	-34.5186864077905	4.20689123129155e-261	3.17526801490706e-259
"YPR030W"	1601.49650384327	3.10173849649199	0.0899127045055098	34.4972216501609	8.82907102782686e-261	6.59075598813493e-259
"YDR453C"	1574.17836124972	3.15848844441451	0.0916073078360936	34.4785641999847	1.68112116897196e-260	1.24128870661158e-258
"YKR039W"	1638.817492786	2.89663789443015	0.0849573694698598	34.0951928303028	8.69115207570722e-255	6.34827914519131e-253
"YER145C"	6081.10798164187	-2.62731608866282	0.0773753185310249	-33.9554801006648	1.01249941436464e-252	7.31692395933935e-251
"YDL204W"	1665.14455267462	3.20922901171719	0.0945272081501324	33.9503204899497	1.2065407622229e-252	8.62740147134751e-251
"YER020W"	3434.51367174822	2.42349628958354	0.0719769281231808	33.6704601429501	1.56497141802882e-248	1.10738029611144e-246
"YGR159C"	19627.3341286287	-1.98414794367043	0.0593011759407334	-33.4588296470447	1.91498303468077e-245	1.34108038707077e-243
"YPL275W"	1167.23317076529	5.65524497901485	0.169637892725023	33.3371565053676	1.11830477942946e-243	7.75167792516766e-242
"YBR132C"	1483.62051270353	3.43884777850371	0.103446166538667	33.2428730185794	2.58766162817282e-242	1.77555408486646e-240
"YNL134C"	11201.5515380332	3.40772982473643	0.102569346147685	33.2236672331886	4.90180028185875e-242	3.32979293146665e-240
"YPR002W"	1654.51590391367	3.66480978229428	0.110801252223205	33.0755267540808	6.68382410674214e-240	4.49536803535637e-238
"YGR088W"	1556.78628542003	3.44224339605087	0.104804359828515	32.8444675553881	1.3662338333168e-236	9.09884944090295e-235
"YDL222C"	1182.45478574249	4.14225989984453	0.126408756057654	32.768773533024	1.64056536281788e-235	1.08197674850697e-233
"YNL066W"	5730.19982673545	-2.37883952662775	0.0726917816940489	-32.7250133535041	6.88527233717457e-235	4.49727451792566e-233
"YPL201C"	895.856459292278	3.79312303309089	0.11621552521605	32.6386945809461	1.1594065534456e-233	7.50080830243423e-232
"YPL135W"	5729.72243379107	2.03382375098451	0.0625222865056109	32.5295804849042	4.07167439337449e-232	2.60932869379178e-230
"YNL065W"	3782.55478475456	-3.49663221363702	0.107506505876493	-32.5248428932668	4.7507397172484e-232	3.01605372890359e-230
"YCR091W"	1347.30162582936	3.02430525139286	0.0934999127100464	32.3455409073115	1.60280776020492e-229	1.0081363995437e-227
"YJR096W"	2713.9662816294	2.76615987033227	0.0860580147569433	32.1429663250406	1.10753670436349e-226	6.90229067223964e-225
"YJL048C"	2388.42613035156	2.75676980201405	0.0858983620144687	32.0933919735245	5.45164167249404e-226	3.36663653465927e-224
"YDR345C"	37413.2034578655	-1.83939172067323	0.0573667823439476	-32.0637073497515	1.41410236070797e-225	8.65405165431464e-224
"YGR136W"	3958.77016528466	2.17249998919062	0.0677632545078078	32.0601483056028	1.58520789497039e-225	9.61456895583383e-224
"YPL147W"	1570.33453947895	3.12027351831209	0.0975870426853468	31.9742604391947	2.48605517825316e-224	1.4944931704313e-222
"YLR257W"	7570.77271206275	2.05988333656213	0.0645067923035648	31.9328130108912	9.35942351336202e-224	5.57706701107616e-222
"YGL205W"	1558.37221549437	3.75692918208139	0.118110679767778	31.8085476221798	4.9309289866151e-222	2.91267831357186e-220
"YNL305C"	2162.52502557267	2.66110155757221	0.0837754341341149	31.7647002976086	1.98988617892012e-221	1.1652842080521e-219
"YOR385W"	2455.16604310823	2.70761974716201	0.0852487570153239	31.7613985465535	2.21013780082734e-221	1.28320222914702e-219
"YKR052C"	2267.77752427873	2.70666560924556	0.0856953620444582	31.5847385981211	5.98235258047408e-219	3.44390856603054e-217
"YBR280C"	1264.09920854732	3.30569038328777	0.104798859175078	31.5431905395577	2.22323632431589e-218	1.26911297067881e-216
"YLR284C"	1764.61961500749	3.63425605758133	0.115280683244591	31.52528207931	3.91282775765552e-218	2.21498657981283e-216
"YLR350W"	6897.22432571071	2.37909036311259	0.0756808627681521	31.4358250698188	6.55787991067571e-217	3.68162630026613e-215
"YDL124W"	9331.52260151253	2.25570666708082	0.0718961116087976	31.3745293953393	4.50429608289104e-216	2.50800682713761e-214
"YOL084W"	690.270962762939	4.57195316372297	0.146100980634131	31.2931038784206	5.79162049911932e-215	3.19857545126159e-213
"YOR100C"	911.860467191541	6.50033347905047	0.207965717174221	31.2567550429713	1.80722799041126e-214	9.90040301521263e-213
