""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YAR071W"	11292.7933613649	-8.09228569637828	0.130197839741404	-62.1537631688128	0	0
"YBR093C"	76797.9742640889	-8.28830709923541	0.0909136135190612	-91.1668426588023	0	0
"YBR296C"	20912.7787695599	-5.98943967870871	0.0839575284120889	-71.3389232864352	0	0
"YCR010C"	11962.4666714601	7.26205894965624	0.0968143079918416	75.0101828984638	0	0
"YCR021C"	13448.570201876	7.03146115897372	0.121648082217318	57.80166058362	0	0
"YCR098C"	3949.64786181724	-5.98537814288848	0.139959692279821	-42.7650135934991	0	0
"YDR171W"	32344.6412907013	6.73493344926496	0.110260926289372	61.0817782501629	0	0
"YDR256C"	7453.08722582607	4.36317797937785	0.0833527876738293	52.3459154893721	0	0
"YDR343C"	3455.67567755524	8.04547512677556	0.182134898674328	44.1731660727005	0	0
"YEL011W"	5715.8020633764	4.46929770003574	0.0826933749861408	54.0466234542342	0	0
"YER001W"	8003.71817967385	-3.17830362358969	0.0746205772978254	-42.5928576095632	0	0
"YER037W"	6764.90501070048	-3.66222729568897	0.0860428542325585	-42.5628290501686	0	0
"YER067C-A"	3641.4538808312	6.14667801213564	0.148554053421496	41.3767101641821	0	0
"YER067W"	4113.61511530597	6.44303949878115	0.131056359812817	49.1623566226281	0	0
"YER150W"	16829.5469224207	3.58886589606235	0.0868936026029726	41.3018425816721	0	0
"YFR015C"	5010.65342018504	5.48569543352383	0.116285081975841	47.1745415689995	0	0
"YGR142W"	35239.4810141776	8.0976853537699	0.0911403664096007	88.8485055828884	0	0
"YGR236C"	4040.5568185295	8.32423980313257	0.182208435830009	45.6852602088008	0	0
"YGR243W"	3068.76992966289	4.45289955653774	0.0925592284770721	48.1086503183285	0	0
"YHL021C"	12974.1237239615	5.81182078080959	0.104501291356253	55.6148226053649	0	0
"YHR215W"	15370.4217462569	-8.1314113265253	0.118828325885422	-68.4299073132266	0	0
"YIL057C"	3546.38032964575	9.03812352219334	0.23719285294741	38.1045356547789	0	0
"YIL160C"	3657.77579795703	4.72101693456368	0.111148419391039	42.4748904251563	0	0
"YJL012C"	17556.1758881345	-3.68901511194094	0.0762141983513862	-48.4032528287276	0	0
"YKL217W"	8641.77477058103	5.54287479202527	0.0946032729315528	58.5907296889785	0	0
"YLR142W"	4807.25571705183	4.18881903630533	0.0959128650504254	43.6731718326117	0	0
"YLR177W"	3369.00702982069	3.46322397814047	0.0843709811015329	41.0475726716131	0	0
"YLR258W"	7297.55329781546	3.16506987151186	0.0719232415107678	44.0062183659785	0	0
"YLR300W"	29723.5799212574	-2.96236394264815	0.0680552581066803	-43.5288032851845	0	0
"YLR327C"	39082.3867295067	7.85513626550508	0.131778045867987	59.6088385873793	0	0
"YLR355C"	16477.8688321204	-3.07690445489144	0.0812362919736838	-37.8759835060935	0	0
"YML123C"	56863.2955717091	-7.93452292929094	0.0808589407482435	-98.1279603203719	0	0
"YMR081C"	4207.1672523013	5.28265441736114	0.0945863096394606	55.8500954048984	0	0
"YMR107W"	11634.4115273408	8.18661887478995	0.14444100355977	56.6779423642146	0	0
"YMR199W"	4062.95351842054	-3.28630206762383	0.0833011041901129	-39.4508824291657	0	0
"YNL194C"	3863.68554312652	6.13638247444997	0.134829923526606	45.5120222124806	0	0
"YNR002C"	2954.17727256627	4.19326536197447	0.091885490381666	45.6357727923837	0	0
"YOR374W"	14580.529788734	3.47503258078027	0.073213834422546	47.4641522082355	0	0
"YOR388C"	2004.99423938995	5.7637802360662	0.128520061380037	44.8473193536888	0	0
"YPL019C"	20337.9566929161	-4.63270987168942	0.0813458845300764	-56.950759075913	0	0
"YPL240C"	16176.3643466045	2.82465536124732	0.0738145160816067	38.2669359794282	0	0
"YPR001W"	2278.82354676992	3.7833021500458	0.0992731729250107	38.1100154107459	0	0
"YML131W"	5001.15043320882	2.71162898332792	0.0728967089998386	37.1982359770717	7.28727143401594e-303	1.15155835800322e-300
"YOR317W"	9507.74657573326	2.82396249224969	0.0763211341222188	37.001055143225	1.10123808361886e-299	1.70066199504322e-297
"YNR034W-A"	17179.4942875215	4.25828397675204	0.115314640944088	36.9275223153731	1.67184040307337e-298	2.52447900864079e-296
"YDR258C"	6081.10748876794	2.98668089549673	0.0813453064213915	36.716081442055	4.04522662558765e-295	5.97550324366698e-293
"YFR053C"	53297.4625475586	2.66643887754624	0.0727161646448114	36.669135268213	2.26779411646661e-294	3.27865128114694e-292
"YIL162W"	5683.32296646322	2.90627233707048	0.0796134468176185	36.5047922586278	9.3085592085743e-292	1.3177429129638e-289
"YDR380W"	3190.63634010087	2.86672459332433	0.0791681940221292	36.2105594138351	4.15250523667261e-287	5.75842307820212e-285
"YGL224C"	2928.6001569875	-3.04376688005817	0.084073873663797	-36.2034809081105	5.36662182053618e-287	7.29323905410866e-285
"YLR350W"	7090.51041606303	2.50292075320014	0.0692646254608855	36.1356282019249	6.25692466842242e-286	8.33643198469222e-284
"YLL026W"	16774.5689543519	2.37090772574022	0.0664169872726645	35.6973091237461	4.35207059655636e-279	5.6869845583847e-277
"YLR149C"	2632.97448587268	3.05292626484391	0.0856426180179325	35.6472786037982	2.59651550534268e-278	3.32892884128369e-276
"YDR481C"	13875.5006664245	-2.95494056086042	0.0834120513390284	-35.4258229287524	6.8374022870507e-275	8.60373121120547e-273
"YER062C"	13942.4249827324	-2.8227522204125	0.0798587375290855	-35.346817489876	1.12207376953246e-273	1.3862711389042e-271
"YPR036W-A"	28325.921393482	3.0362712401154	0.0859547269739153	35.3240752080665	2.50786004078865e-273	3.04301946020695e-271
"YNL144C"	1596.48886306533	3.45206835279595	0.0984350516478674	35.0695031394412	1.96684373890769e-269	2.34468477296101e-267
"YER103W"	30776.5682788691	3.44750739408125	0.099102709562995	34.7872163060267	3.79610110308096e-265	4.44732879231641e-263
"YPL110C"	5137.95870609764	-3.36698311959553	0.0984947615879837	-34.1843877309948	4.12549997961618e-256	4.75131734940542e-254
"YOR100C"	967.022267501829	5.09810630287709	0.151868098450086	33.5693035924373	4.70750139968964e-247	5.33124533514851e-245
"YDL214C"	1624.53160741868	4.29496816301265	0.128026877906248	33.547394369468	9.82614159989594e-247	1.094567740513e-244
"YPR002W"	1741.66493831598	3.47694127026024	0.104978093758496	33.1206363706603	1.49973450455334e-240	1.64366063845805e-238
"YOR344C"	8248.68054730013	-2.65057102003256	0.0806963455785718	-32.846233630887	1.28916779290891e-236	1.39045954806603e-234
"YMR104C"	2081.7062527381	3.43817026444565	0.105537043841613	32.5778526600154	8.44623380195367e-233	8.967524794418e-231
"YHR033W"	2361.21139312148	-4.37418189600065	0.134680582683224	-32.4781925416001	2.16702465071681e-231	2.26537423101857e-229
"YER072W"	19199.4630219181	-3.2022246440499	0.0993671719059355	-32.2261827787676	7.58704173678029e-228	7.8112043335488e-226
"YAL060W"	6979.72462835205	2.33189514464123	0.0725612522085796	32.1369198251723	1.34535819486483e-226	1.36443416926963e-224
"YKR093W"	1338.9554765929	3.37832373648203	0.107386704768393	31.459422688947	3.11998890899326e-217	3.11769479950135e-215
"YJL144W"	2549.64175223405	4.88992801602325	0.157684670403612	31.0108015161328	3.85505465401145e-211	3.79639077884171e-209
"YGL028C"	8415.00220915744	-2.71433850079275	0.0875777965077016	-30.993455065452	6.60429661821307e-211	6.41088507439397e-209
"YML042W"	2164.606573471	2.98105996960069	0.096278511339498	30.9628797550562	1.70452653522152e-210	1.63130391645496e-208
"YGR060W"	15149.195342234	-2.14916741447019	0.0695222047091714	-30.9133955613274	7.89186363746187e-210	7.44794630785464e-208
"YJL117W"	4028.94640062726	-2.46630396550614	0.0798583864739475	-30.8834685297672	1.99154777046771e-209	1.85377631511344e-207
"YER024W"	3828.717646202	2.4852957095235	0.0819405585302923	30.3304706985213	4.54684734841984e-202	4.17511185574498e-200
"YCR005C"	17215.3422950079	2.28247211618928	0.0752902988247264	30.3156203630272	7.13655509191061e-202	6.46571891327101e-200
"YDR012W"	18056.9526002678	1.93807255637978	0.0639940656737536	30.285191852948	1.79614616747298e-201	1.60589647473407e-199
"YBR101C"	8785.81906806831	3.08530957609101	0.101994553539144	30.2497483349139	5.25719409010539e-201	4.6393030963982e-199
"YDR516C"	5000.7859885223	2.30391142214309	0.0764235213342807	30.1466273984635	1.18755910423821e-199	1.03454668119214e-197
"YLR414C"	7042.90317250257	2.02801046028984	0.0678096990415705	29.9073803446109	1.57769852500137e-196	1.35702044017523e-194
"YGL055W"	21263.6682948801	-2.29837294928023	0.0768814094834197	-29.8950417886902	2.28260342885716e-196	1.93878628738555e-194
"YNL289W"	2456.54229276308	-4.705149890053	0.157639334706535	-29.8475624679095	9.44203663755525e-196	7.9208196237269e-194
"YNL173C"	4886.94713189919	2.37607978618932	0.0800578033478606	29.6795526085693	1.41004229256236e-193	1.1684435826782e-191
"YPL230W"	1541.86483991236	3.37787007358203	0.113920162885425	29.651204738702	3.27239921618151e-193	2.67903044264498e-191
"snR30"	822.943195682848	4.51892193372916	0.152453265725099	29.6413586959665	4.3830873200322e-193	3.54560456424033e-191
"YOR385W"	2574.42992400422	2.64013140883065	0.0892741467475457	29.5733031904136	3.29499126034736e-192	2.63405477812474e-190
"YJR008W"	3498.97941286119	2.72509530765506	0.0930306645105171	29.2924416050687	1.29452904749129e-188	1.02282847415155e-186
"YER054C"	826.547882821789	3.93730395224942	0.134480684226238	29.2778399731048	1.98626353457097e-188	1.55134031234595e-186
"YLR150W"	28213.6047067001	1.85913558717989	0.0636848196211805	29.1927589375094	2.39634140865283e-187	1.85035680361318e-185
"YOL014W"	899.807342004609	3.7021677644365	0.126963909780166	29.1592135973654	6.38408782825653e-187	4.87414345988799e-185
"YJR148W"	6082.57387933169	2.42406584146914	0.0833196180042037	29.093578433675	4.32835461837051e-186	3.26790773686973e-184
"YNL066W"	6129.69203396988	-2.42438798167634	0.0839676403063404	-28.8728845163614	2.61549046349426e-183	1.9529953515872e-181
"YHR143W"	14000.7033397934	-2.03664956335909	0.0706760354495827	-28.8166922550707	1.32533315668707e-182	9.78873782574855e-181
"YBR158W"	8496.05887070312	-2.12896516058361	0.0741437870970283	-28.7140061755618	2.55088643748391e-181	1.86379283254872e-179
"YMR195W"	6431.80814000929	-2.33404685233298	0.0813205865729499	-28.7017955808667	3.62337450984425e-181	2.61923721216933e-179
"YPL131W"	45142.5403468351	2.15247559232689	0.074995846938465	28.7012638725585	3.67916233239957e-181	2.63156926827948e-179
"YKR052C"	2352.22460019409	2.75424780960966	0.0964093050723894	28.5682777978912	1.66558039905993e-179	1.17891862620961e-177
"YMR116C"	38077.1456868979	2.22467234617694	0.0779146672057641	28.5526772552571	2.60199249361897e-179	1.82273597877742e-177
"YNL009W"	1526.50530778458	2.6526133540673	0.0932009620255336	28.4612228931777	3.5394722498057e-178	2.4541544834112e-176
"YGR043C"	4007.85502082072	2.33485906789903	0.0825613906710481	28.2802778504771	6.04188609007398e-176	4.14693090727805e-174
"YGR250C"	6795.60175510631	2.36903406108122	0.0841576368297453	28.1499594133552	2.39912341966995e-174	1.63020436366573e-172
"YMR280C"	1264.81040321506	2.79283200974535	0.0998629492370355	27.9666486027391	4.13646035694173e-172	2.78289585400189e-170
"YCL038C"	2192.56906304584	-2.49408597152154	0.0892362552815749	-27.9492451095324	6.73304356331853e-172	4.48539519732838e-170
"YMR015C"	3822.35495386273	-2.57338261020053	0.0931604550413341	-27.623121946525	5.8715096072249e-168	3.87348619233915e-166
"YBR031W"	43192.2354719383	1.71342780565109	0.0624073686039093	27.4555368056932	5.96669610518045e-166	3.89843269564434e-164
"YLR284C"	1947.27895355368	2.79515899052157	0.101899913691303	27.4304353091925	1.18931861240665e-165	7.6965904488602e-164
"YER131W"	15142.2062134104	2.06393612314284	0.075463101531423	27.3502689560594	1.07197115863502e-164	6.87173964426884e-163
"YLR075W"	31245.6634042153	1.9103411945617	0.069897650444497	27.3305494879063	1.83924806402151e-164	1.16800846682488e-162
"YOL019W"	2675.31502593951	-2.48624516209029	0.0909913984358828	-27.3239581414086	2.20278129023396e-164	1.3859165617722e-162
"YPL203W"	2920.40374175341	2.24535806169285	0.0830255109603463	27.0441944376019	4.46981602881264e-161	2.7864587078699e-159
"YGR108W"	3182.22914162705	-2.43479840618075	0.0901291580352725	-27.0145473369215	9.97202423877845e-161	6.15999133659087e-159
"YDR492W"	2511.90293367002	-2.90048080346831	0.107628992579049	-26.9488799808103	5.87933368066576e-160	3.59910561802917e-158
"YJL157C"	3234.75515749667	-2.12714155859411	0.0789721212743972	-26.9353478704609	8.46997863489483e-160	5.138705787867e-158
"YCR024C-A"	3834.55229460112	-2.6150691939676	0.0972358830269791	-26.8940756494392	2.5761655330717e-159	1.54911900860373e-157
"YDL081C"	24896.7177998433	1.82027435896346	0.0676873457756045	26.8923879065667	2.69595772144167e-159	1.60693269449089e-157
"YDL234C"	3474.8915395985	2.10540174907996	0.0790656544233899	26.6285249193754	3.1737857349168e-156	1.87529339728345e-154
"YIL053W"	43836.7924862462	-1.85786877940169	0.0697802365642348	-26.6245698048253	3.52677650568262e-156	2.06590054794081e-154
"YER070W"	8950.9543553655	-2.43852767351728	0.0916493119850705	-26.6071574428678	5.60961286781161e-156	3.25789055015213e-154
"YBR132C"	1679.18694831542	2.42186053960989	0.0911587555181891	26.5675033170746	1.61233144987567e-155	9.28456966263152e-154
"YLL045C"	19286.8081401797	1.99094567179719	0.0750837868853472	26.5163193598287	6.28473876671682e-155	3.58863864872612e-153
"YHR087W"	5950.69959440272	3.33421651989836	0.125924800336593	26.4778384479158	1.74476365511078e-154	9.87972419706477e-153
"YNL077W"	2404.25868283279	2.48442637406578	0.0941962261820038	26.3750096449239	2.65199354988351e-153	1.48928067532714e-151
"YOR019W"	2589.91337744985	3.13904962901032	0.119709608978676	26.2222026768918	1.48370971773359e-151	8.26377666557356e-150
"YGR008C"	12522.9962988924	2.80426995653379	0.106956039071814	26.2189024656281	1.61802194336774e-151	8.93858463836078e-150
"snR37"	599.829322968743	6.07523706180586	0.231958267918162	26.1910778879815	3.35820262872176e-151	1.840240875981e-149
"YOR028C"	1161.84372052981	3.19081862464196	0.122167051912665	26.1184875519712	2.24829607956872e-150	1.22217374885355e-148
"YPL201C"	902.158994646258	4.77849321431846	0.183258686719247	26.0751252770851	6.98277410571024e-150	3.76571032129373e-148
"YJR095W"	692.406225515486	4.50477711870065	0.172873328470368	26.0582540902068	1.08467729042636e-149	5.80345054208434e-148
"YEL040W"	5764.62329290175	-2.00466024045826	0.0772547908430084	-25.948685105264	1.88150587599955e-148	9.98815033391947e-147
"YBR025C"	14243.6056936733	1.65429060344009	0.0639559524872976	25.8660928201899	1.60386504736978e-147	8.44826588905246e-146
"YDR074W"	5297.59191902619	2.18998761501536	0.0848466115966415	25.8111381680921	6.64914991853553e-147	3.47545951511146e-145
"YGR146C"	2159.69984819607	-2.57419565591792	0.0998117851749209	-25.7904981000653	1.13341154948187e-146	5.87903166315216e-145
"YAL061W"	2817.87616085674	2.28736685033672	0.089011444477972	25.6974467019551	1.24827594713311e-145	6.4257841369466e-144
"YNL054W-B"	1984.51248780146	-2.49189695963959	0.0970563649087544	-25.6747402602838	2.23867568348682e-145	1.14374445633782e-143
"YCR065W"	2213.93409942706	-3.16463122855343	0.123261419925309	-25.6741422455709	2.2733656394654e-145	1.1527999641916e-143
"YBR028C"	2139.82885702785	-2.1493496808196	0.0838291374595493	-25.6396492431614	5.51562570844572e-145	2.77619827325101e-143
"YBR189W"	30759.6235456345	2.08386258327309	0.0815508702887604	25.5529165525079	5.09577986948979e-144	2.54601648626347e-142
"YOL016C"	4783.51458372232	1.84135737491892	0.0721638896006622	25.5163265881115	1.29896411849007e-143	6.44267239791245e-142
"YKR097W"	1602.85069800605	2.4171815567517	0.0953320339340492	25.3553968902406	7.83558126108377e-142	3.85817207746842e-140
"YHR007C"	15799.3060006392	-1.74807088204165	0.0690251474551962	-25.3251307166901	1.68916358992444e-141	8.25745798096156e-140
"YLR029C"	30113.2772176399	1.98442485204838	0.0784154583774125	25.3065517069016	2.70555851784494e-141	1.31316215205403e-139
"YBL086C"	1795.29917496368	2.6669046531509	0.105540864875867	25.2689293032381	7.01588668252145e-141	3.3810602842364e-139
