""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBR068C"	4395.551916762	4.17016035218017	0.103928465388846	40.1252951881625	0	0
"YBR069C"	4712.29483146986	4.21606332416226	0.0885038492246173	47.637061676969	0	0
"YBR092C"	5184.37295579488	2.88466785189331	0.06912345150031	41.7321153571212	0	0
"YBR291C"	2966.26513733616	-3.57257274080282	0.0920163343861928	-38.8254190371105	0	0
"YBR294W"	11744.0456890337	-5.05451437462584	0.0987395828319483	-51.1903557788822	0	0
"YDR046C"	2728.38953123681	5.65461390197445	0.128041088525126	44.1624947671765	0	0
"YFL026W"	14802.8473015248	-7.22227596850176	0.123489638975735	-58.4848739408891	0	0
"YFR030W"	8278.66374571976	-3.39570925600922	0.0771405641023396	-44.0197617884186	0	0
"YGL089C"	7940.05063754737	6.20826034966933	0.0909388422561952	68.2685219609379	0	0
"YIL015W"	4197.61153322824	-5.63482575318581	0.102589848032904	-54.9257637205831	0	0
"YIR031C"	3709.79213745519	-3.7975809931153	0.0729306848334145	-52.071100138297	0	0
"YIR034C"	5245.31064354422	-2.93396351996356	0.0695795929760937	-42.1670118273273	0	0
"YJL172W"	12047.8506547774	-3.41845796680977	0.0845223453709799	-40.4444286514494	0	0
"YJR004C"	13322.9165730368	4.71013900407206	0.0925507079696316	50.8925226765157	0	0
"YJR010W"	6538.2980281857	-4.03903197603554	0.0896888817668122	-45.0338090571458	0	0
"YJR137C"	8861.32262009804	-3.44213117411177	0.0681829837105918	-50.4837275634955	0	0
"YJR152W"	12294.6084616583	-5.84461340746131	0.0984853922335812	-59.3449777160803	0	0
"YKL001C"	5728.29689516228	-3.80906256917237	0.0748900508864762	-50.8620641071058	0	0
"YKL178C"	5835.00988018869	5.58646183193475	0.0968930435710466	57.6559639995052	0	0
"YKL209C"	4362.79074162719	-4.36558340102003	0.0762638921051361	-57.2431235872635	0	0
"YKR039W"	28595.1110220987	-7.31095658098703	0.0957766570840893	-76.333386480259	0	0
"YLR040C"	4104.13773468995	4.17270655796747	0.081502952314527	51.1969988751405	0	0
"YLR303W"	31284.0406989413	-3.38123518885575	0.0547861856371403	-61.7169300898284	0	0
"YNL142W"	33127.9988245881	-7.25172300131178	0.0720564183314623	-100.639515108197	0	0
"YNR050C"	14291.1852684473	-3.24798786536997	0.0639731753816998	-50.7710903201327	0	0
"YOR375C"	40333.4728382242	-3.59373320701876	0.0631743126767681	-56.8859882244565	0	0
"YPR035W"	53692.4901845544	-2.54339519730186	0.0602652313223677	-42.2033590760957	0	0
"YCL064C"	2045.9358201207	4.09629375751147	0.110553269932016	37.0526693604852	1.62663866481901e-300	3.94924630122843e-298
"YIR032C"	1257.98241774771	-4.60500895821366	0.124453048286669	-37.0019780279414	1.06424117959519e-299	2.49472811685797e-297
"YML123C"	15288.4167532241	-3.86780387956471	0.112319806339257	-34.4356352243183	7.38841110693168e-260	1.67421395683072e-257
"YER081W"	4161.9259555015	-2.63118782912215	0.0791585347888187	-33.2394710960947	2.89776766100826e-242	6.35452405146262e-240
"YPR167C"	2798.85485625275	-3.5410065244394	0.10736156772826	-32.9820679724234	1.46840345107838e-238	3.11943958138464e-236
"YIR029W"	1464.35471071622	-3.3809427637	0.102592595940744	-32.9550366934157	3.58291340137957e-238	7.38080160684192e-236
"YJL200C"	12669.5857713131	-2.67205497048814	0.0811207626747146	-32.9392239715841	6.035381927232e-238	1.20672136298009e-235
"YJL133C-A"	8932.76351841832	-3.32876185945337	0.101681825054864	-32.7370388725544	4.64323066010079e-235	9.01848057924719e-233
"YDR461W"	10547.0601472044	-9.53443222705893	0.304353722210195	-31.3268132810092	2.01354667626793e-215	3.80224730701927e-213
"YDL131W"	11758.3382662906	-1.74803182096489	0.0567337791156308	-30.8111295988616	1.8591656584035e-208	3.41584003941269e-206
"YIL094C"	12345.1172745947	-1.76766919642426	0.0574655108038715	-30.760523515701	8.84381439358038e-208	1.58211184861999e-205
"YLR142W"	1164.34010785505	-3.56422476408138	0.116214852697889	-30.6692705909708	1.46277743634148e-206	2.54973359288446e-204
"YNL145W"	6546.4399239173	-9.53747282913119	0.313619195054394	-30.4109983685056	3.93019457711654e-203	6.67936568380955e-201
"YPL187W"	24378.4329268537	10.6133124458449	0.356817153604776	29.7444008468285	2.04880726000081e-194	3.3970223788989e-192
"YMR088C"	4231.01985957236	-1.92820153037962	0.0663313200272298	-29.0692470704347	8.78998133324671e-186	1.42272126436693e-183
"YGL032C"	2243.24877472901	-9.22029159404518	0.321730455109958	-28.6584358042634	1.25846444154102e-180	1.98954448223159e-178
"YEL063C"	7724.97108108984	-1.74215689488437	0.0618859577229967	-28.1510856256328	2.32416319538355e-174	3.59083213686758e-172
"YPL014W"	1681.72209241339	2.95597211466667	0.105561158109205	28.0024600678277	1.51648643890474e-172	2.29090551370542e-170
"YOR348C"	988.619400770579	-4.459217934152	0.162081296508698	-27.5122301598364	1.25355367553636e-166	1.85253432310787e-164
"YLR053C"	690.583779467555	-3.62355859769256	0.134085374761643	-27.0242642356333	7.66665280282882e-161	1.10889161177937e-158
"YJL088W"	4614.08518632287	-3.70432394843747	0.137388435034641	-26.9624146130164	4.08004463776435e-160	5.77836321823375e-158
"YER069W"	7353.99224711211	-2.63547428389717	0.098091297535761	-26.8675647086466	5.25889762167306e-159	7.29591551676193e-157
"YER064C"	1630.61884433876	2.22543311071465	0.0846255656077676	26.2974090008372	2.05314231840217e-152	2.7914522960996e-150
"YBR147W"	610.603602548167	-4.40219962650041	0.168801411558114	-26.0791635915015	6.28385821766448e-150	8.37601336542806e-148
"YHR215W"	2117.21116740849	-3.72891945481372	0.143693125472003	-25.9505765677028	1.79125595956248e-148	2.34172269482803e-146
"YHR136C"	690.584225333668	-4.11093237957592	0.160325446541724	-25.6411721797767	5.30408439902238e-145	6.8032388197272e-143
"YBR208C"	2968.88573456933	-2.3102882077793	0.090516196812513	-25.5234785500834	1.08195581798106e-143	1.36206215752505e-141
