""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBR069C"	4852.25326717251	3.74262866355152	0.0722827668583468	51.7776065612705	0	0
"YBR291C"	3058.78679029665	-3.60562122206524	0.0883110679748726	-40.8286447525599	0	0
"YBR294W"	8282.8139394884	-4.51788354655204	0.0636303445881657	-71.0020286043256	0	0
"YCL064C"	2053.10097366418	4.26874607748919	0.101888008024577	41.8964523917229	0	0
"YDL182W"	24052.5914214426	-3.24684703715327	0.0752064793653165	-43.1724375951926	0	0
"YDR046C"	2775.52449156659	5.18436287465789	0.109770422149533	47.2291421781686	0	0
"YDR461W"	16410.1033593224	-10.1589412540354	0.224829858302814	-45.1850182654686	0	0
"YER091C"	70784.1846327412	-2.14311379814123	0.0524981104596708	-40.8226844619022	0	0
"YFL026W"	17320.5255074704	-7.43584362634839	0.189865810690828	-39.1636788071166	0	0
"YFR030W"	10888.5824930552	-3.80870471702264	0.0584889042395942	-65.1184146213553	0	0
"YGL089C"	8014.26647736965	6.24602000861252	0.0848821516313118	73.5846098216536	0	0
"YHR215W"	2033.89328653824	-3.65206566083941	0.095365518538429	-38.2954522432314	0	0
"YIL015W"	4398.71855940661	-5.68955374919466	0.0939520190189103	-60.5580785661401	0	0
"YIR034C"	6400.08579013625	-3.23932368599391	0.0612022277752513	-52.928198919318	0	0
"YJL200C"	13129.7761933147	-2.71533814199663	0.0707337944435512	-38.3881306433178	0	0
"YJR004C"	13363.3419213752	4.99794856267489	0.07637205297259	65.4421135499481	0	0
"YJR010W"	8443.05689966774	-4.41296724688372	0.0750640558906999	-58.7893525672181	0	0
"YJR137C"	10849.8342314778	-3.74338881459165	0.0602084973140767	-62.1737625349512	0	0
"YKL001C"	6683.99124779854	-4.03172723634107	0.067479608307555	-59.7473420113152	0	0
"YKL178C"	5890.13999186881	5.60800327538288	0.0909298338670663	61.6739637243968	0	0
"YKL209C"	5059.39830907134	-4.57447137533068	0.0717036508126418	-63.796910247758	0	0
"YKR039W"	5397.87893089506	-4.85206134640901	0.077556283777465	-62.5618081486628	0	0
"YLR040C"	4162.98534093201	4.05116580595434	0.0728874619742632	55.5811067668239	0	0
"YLR058C"	36124.2743322141	-2.42434488805931	0.0620048148102452	-39.0993005217189	0	0
"YLR092W"	2875.32698039626	-3.1367642134632	0.0812317773103002	-38.6149893222323	0	0
"YLR303W"	31733.3300322591	-3.3885581305239	0.0517090230189423	-65.531273512605	0	0
