""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YDR461W"	6489.66941868718	-8.84667903959519	0.233232183681603	-37.9307816783649	0	0
"YFL026W"	12226.6051133685	-6.95839597000175	0.13021589866185	-53.4373762459806	0	0
"YGL089C"	7858.91314411728	6.27379904007723	0.109210641322217	57.4467740883136	0	0
"YIL015W"	4208.98753291562	-5.65317141901112	0.0983010090964696	-57.508783185158	0	0
"YJR004C"	13100.1165363734	5.03036956640999	0.104353401715646	48.2051325946934	0	0
"YKL178C"	5744.41644054448	6.08649520692422	0.108143362416498	56.281727060446	0	0
"YKL209C"	3766.02716122856	-4.156974530038	0.081910573231847	-50.7501579591163	0	0
"YLR040C"	4202.39198820447	3.45148227681942	0.0850067479122889	40.6024505299356	0	0
"YPL187W"	24139.4750554805	10.9792171748202	0.188484312367377	58.2500317237036	0	0
"YNL145W"	5502.63440933874	-9.29932956055419	0.253752716441331	-36.6472118642491	5.06866117471163e-294	3.3062876842644e-291
"YGL032C"	1974.13830876235	-9.05002762599393	0.322859305208702	-28.0308712804292	6.83449264725083e-173	4.05285413981974e-170
"YCR021C"	1425.32590402007	3.2399248141659	0.116517235942425	27.8063995250184	3.62985177059229e-170	1.97312692496446e-167
"YDR171W"	786.949966240888	3.45995135996546	0.129231978992914	26.7731825120095	6.63402325111881e-158	3.32874874361908e-155
"YCR005C"	3573.28786831654	2.58728692952145	0.115003897084902	22.4973848287192	4.40267284721287e-112	2.05133107016925e-109
"YLR304C"	8652.62224048074	1.97093675924132	0.0928803299311997	21.2201739668805	6.2193503563877e-100	2.70458815831446e-97
"YER130C"	3531.21654912939	1.68819649957258	0.0818634964274195	20.6220913257637	1.7387759538373e-94	7.08877221680042e-92
"YPR157W"	670.754268177947	2.36392701471388	0.114901570953553	20.5734960374864	4.74212509914265e-94	1.81958129539456e-91
"YGR052W"	1038.77405106196	2.45532425509403	0.120254546591497	20.4177249400369	1.16358227195728e-92	4.21669286665408e-90
"YJL170C"	287.433992045932	-4.69904906488447	0.23659646121784	-19.8610285238288	8.8479972489382e-88	3.0376571607802e-85
"YKL177W"	306.147728591013	4.29638123928683	0.217238931906323	19.7772158129533	4.67817474030679e-87	1.52578669155106e-84
"YJL133C-A"	929.229669000428	2.63519971932592	0.13442220638558	19.6039016929022	1.43210703987411e-85	4.44839724814228e-83
"YER053C"	1262.17617143113	2.1153692042549	0.108485649594499	19.4990693438421	1.11798063768214e-84	3.31481259072756e-82
"YOR338W"	1304.03450495988	-1.64647632513365	0.0849763582021486	-19.3756988410456	1.23769743041667e-83	3.51021753852519e-81
"YGR079W"	3576.214185327	-1.39360966371684	0.0762667339103075	-18.2728378713028	1.36181050239824e-74	3.70128746130987e-72
"YPL265W"	2413.97557667652	1.55970147645296	0.0870374726862158	17.9198847153563	8.24989162209885e-72	2.15256172203803e-69
"YOR136W"	5526.22018062449	1.88043148543253	0.106521336009629	17.6530970777775	9.63258987668874e-70	2.41666860637079e-67
"YGR138C"	3855.33257871951	1.87378750381505	0.108581998622177	17.2568890570443	9.93196419570231e-67	2.39948897957652e-64
"YEL071W"	7608.96386643971	1.30370896620331	0.0763892999476777	17.0666437196869	2.62884769021143e-65	6.12427624401756e-63
"YNL037C"	4408.56477954423	1.8624096217698	0.110466387862527	16.8595140821254	8.93203479810373e-64	2.00909182717347e-61
"YPL014W"	1666.71411206091	2.94979056052955	0.175034503419738	16.8526233565268	1.00362219513682e-63	2.18220919295917e-61
"YPR036W-A"	6361.53155730014	1.46462368480051	0.0880663954139344	16.6309030580439	4.16272607785877e-62	8.75918135673314e-60
"YGR254W"	15905.0151414072	1.34477070931265	0.0824480244435882	16.3105267638372	8.3073246588245e-60	1.69339621092226e-57
"YBR126C"	3183.20324669018	1.31524584279844	0.0849014596093995	15.4914397096281	3.96315151275176e-54	7.83382949020598e-52
"YBR054W"	2625.86551887845	2.26700700950382	0.147412016723701	15.3787124000409	2.2742545738755e-53	4.36322428982055e-51
"YPR156C"	3816.13899523936	1.31349197634963	0.0856804989590397	15.3301158642593	4.81127618429862e-53	8.96684415719426e-51
"YNL134C"	4582.59526134697	1.79710214596859	0.117610081343668	15.280170929542	1.03668451883446e-52	1.87841475454366e-50
"YLL026W"	3929.4584772945	1.95354086934194	0.128356475575617	15.2196518374413	2.61921204224166e-52	4.6176000409574e-50
"YER150W"	1100.52304871689	1.7578006100539	0.125509537059179	14.0053150640264	1.44636866272269e-44	2.48280599656319e-42
"YNR001C"	2858.08126783421	1.43637506582438	0.102627099568982	13.9960602205161	1.64754230770603e-44	2.75562012132473e-42
"YNL007C"	4071.55635806882	1.49916875756745	0.108249998958088	13.8491341523975	1.28754720235855e-43	2.09966760024621e-41
"YCL040W"	3140.92801317144	1.91134101860884	0.140308294904224	13.622437788967	2.94568263572733e-42	4.68650922752424e-40
"YFR015C"	253.199626049266	2.14560194087874	0.157609613232454	13.6133951278355	3.33389016580623e-42	5.1778489408462e-40
"YOR135C"	612.290698089068	1.87233458995134	0.139042145082042	13.4659501178334	2.48106071052796e-41	3.76371139878463e-39
"YPR035W"	11901.5884315533	0.919757295255141	0.0687224908386969	13.3836431716942	7.53610106580625e-41	1.11722698300578e-38
"YOL016C"	1087.23033244935	1.458737900692	0.112506908333301	12.9657629233798	1.91317342994169e-38	2.77325117411326e-36
"YNR067C"	5140.13675168906	1.01784489637515	0.0811044920346357	12.5497968218638	3.98531292964226e-36	5.65134700870793e-34
"YLR303W"	2712.91630943659	14.8092556493905	1.18058388648635	12.544009637016	4.28740925128254e-36	5.95037671193957e-34
"YLR297W"	1032.2942730085	2.2514605544278	0.180273726147275	12.4891219732623	8.55930191389119e-36	1.16317346633984e-33
"YGR250C"	1864.33977877149	0.909512250589246	0.0731129116657354	12.4398308023546	1.58840024136727e-35	2.11451730090586e-33
"YDR258C"	1064.38021976894	2.09942443194905	0.170666374894143	12.3013360613726	8.90882149662372e-35	1.16224485244953e-32
"YJL164C"	358.527344299166	2.00460035583637	0.163062502799256	12.2934477358305	9.82255275460947e-35	1.25632375722191e-32
"YKL109W"	2484.07103396592	1.41221319451959	0.11698527812535	12.0717172036503	1.48992389897484e-33	1.86899492173324e-31
"YFL027C"	880.335344985893	-1.37459026650209	0.114108159456729	-12.0463801453511	2.02655842320639e-33	2.49419633859911e-31
"YEL007W"	2116.49385866211	1.54721006260546	0.131806146812125	11.7385273754406	8.08825253673221e-32	9.77030949946374e-30
"YOL014W"	630.620103075614	1.23361059690184	0.106347062645754	11.5998558513181	4.1277292138594e-31	4.89548684763725e-29
"YGR044C"	1457.2847349679	0.963324008933712	0.0834617029051528	11.5421082412906	8.0917321088945e-31	9.42542295469979e-29
"YLR348C"	2427.10886415633	0.79439655932449	0.0689069133113603	11.5285465731858	9.47294383308239e-31	1.08407039689818e-28
"YGL037C"	3539.08814120064	1.57314183220055	0.13741899517328	11.4477756893571	2.41256778841239e-30	2.7133068420369e-28
"YDL124W"	5706.71978592224	1.21973057682294	0.106996667878092	11.3997061872307	4.19532542054137e-30	4.63832334206634e-28
"YCL054W-A"	354.986515852491	-9.51378988312532	0.851343226169915	-11.1750344522346	5.4029404223372e-29	5.87389672915093e-27
"YBR267W"	3509.81802124551	-0.744898223507949	0.0671931720511936	-11.0859213930311	1.46830857564061e-28	1.57012735063995e-26
"YML043C"	1750.04473323228	-0.826546823577296	0.0751517103831593	-10.9983767417024	3.89072474091109e-28	4.09341894918758e-26
"YHR016C"	758.581737565596	1.08338140887421	0.0986147070319784	10.9860024075607	4.46256765687355e-28	4.62052838504543e-26
"YOR220W"	1022.89086287494	1.19021850344447	0.108871395711693	10.9323343901674	8.07441078660347e-28	8.22959086890851e-26
"YDR492W"	3170.29876073832	-0.945047122374581	0.0864685735741303	-10.9293710224604	8.34246534089486e-28	8.37198483363957e-26
"YDL022W"	2552.00767867982	1.50747612500573	0.138717958537973	10.8672023499615	1.65188640769792e-27	1.63064490852158e-25
"YOL158C"	2053.45977966141	0.897524849734721	0.0825998342567592	10.865940081003	1.67489205689017e-27	1.63064490852158e-25
"YGR136W"	2183.84361909808	0.897139131334142	0.0831448191749952	10.7900785669632	3.83461584760245e-27	3.67841164322217e-25
"YBR040W"	156.203063996222	-2.07811846999287	0.195067762336876	-10.6533157765148	1.68262723647412e-26	1.59069238601749e-24
"YCR097W"	460.851839954108	-12.3343370508376	1.18616236229054	-10.398523375012	2.51804912076651e-25	2.34646205925142e-23
"YGR142W"	517.441793275642	1.58910643132652	0.15312661906587	10.3777281900473	3.13137991089427e-25	2.8769001632061e-23
"YNL065W"	5506.20027680405	-1.02163087101071	0.0996984373513039	-10.2472104694162	1.21808211024455e-24	1.10354855626739e-22
"YOL101C"	938.360379268383	-1.01568153505362	0.0992857496418647	-10.2298823216554	1.45696312604229e-24	1.30188636591423e-22
"YCL055W"	1558.30881027026	-0.890350710122735	0.0873205320364643	-10.1963500377086	2.05864182676365e-24	1.81466495080801e-22
