""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YAR071W"	11824.4982850258	-6.93107941294716	0.117038943430314	-59.2202835210486	0	0
"YBR093C"	80197.1896299567	-7.62267830830833	0.0898917305870478	-84.7984376152021	0	0
"YBR296C"	21512.0983857332	-8.95797139011278	0.173034708588294	-51.769794991979	0	0
"YCR098C"	4110.0515740018	-6.12900787821497	0.13090431893651	-46.8205169089003	0	0
"YDR281C"	5705.7233451244	-6.9594609175439	0.142129167512475	-48.9657474207963	0	0
"YDR461W"	12885.0467418669	-9.75875810094415	0.188527495319682	-51.7630496517042	0	0
"YFL026W"	12928.6928295058	-6.96036913648096	0.147753863751939	-47.1078654712311	0	0
"YGL089C"	8323.64275429295	5.98918042405886	0.119194838493364	50.2469779712172	0	0
"YHR215W"	16120.2660951287	-6.68339357240368	0.125082862462829	-53.4317287021615	0	0
"YIL015W"	5505.07408073276	-5.96712702413749	0.102708712576246	-58.0975739493162	0	0
"YKL178C"	6150.92310202274	5.12427368661991	0.101210163858822	50.6300305349543	0	0
"YKL209C"	3096.04541539612	-3.77228399508312	0.0928130411721999	-40.6439003338362	0	0
"YLR040C"	4419.47959987288	3.52671896304595	0.0870223083940358	40.5266078104596	0	0
"YML123C"	60063.3605325112	-5.84704854350174	0.136650818948189	-42.7882437039668	0	0
"YMR195W"	6067.15639566693	-3.56767649991114	0.0813289371804507	-43.8672460700583	0	0
"YNL145W"	9269.28836443432	-9.97297140513212	0.231862938485328	-43.012356654676	0	0
"YPL019C"	21430.068774587	-4.27575287041429	0.0944459500349114	-45.2719557464749	0	0
"YPL187W"	25503.3376247789	10.040491972295	0.151822654616732	66.1330286816662	0	0
"YHR136C"	3158.24421282946	-6.30186134208256	0.172797556923908	-36.4696206026663	3.36230651999279e-291	1.20352877065637e-288
"YJR004C"	13927.0886022972	4.74291898759916	0.130102105841439	36.4553590960285	5.65775848140961e-291	1.92392077160334e-288
"YJL012C"	18902.7609377375	-3.14629799684047	0.0874681612592423	-35.970780127815	2.39599871917434e-283	7.75961299481174e-281
"YPL223C"	3464.79749159098	-5.85203627855213	0.164779305134338	-35.5143886168302	2.94781933190463e-276	9.11278148921971e-274
"YDR481C"	14079.9565179718	-3.34340846610905	0.0980770253467065	-34.0896194015872	1.05116093689185e-254	3.10823718773978e-252
"YKR039W"	3181.95366960587	-4.00014003292476	0.12017826373169	-33.2850542911444	6.35319351074856e-243	1.80033621110837e-240
"YPL110C"	5397.5132205096	-3.25070829663078	0.0979887214534543	-33.1743107616207	2.5271353950071e-241	6.87481912857732e-239
"YHR033W"	2528.65236450624	-3.71175217496583	0.113902963711691	-32.5869674854197	6.27427811383478e-233	1.64120636354578e-230
"YNL208W"	25339.1424741353	-2.23806200923176	0.070186004432561	-31.8875825362338	3.96904954507772e-223	9.99759479854576e-221
"YFR031C-A"	27209.2637503494	2.13520184340584	0.0669653419836253	31.885177916779	4.2856684239579e-223	1.04095824826206e-220
"YJL052W"	38591.512178572	-3.61684648598511	0.114426828139727	-31.6083784265047	2.83241581389825e-219	6.64250343114552e-217
"YER072W"	20013.6059592521	-3.19807758494185	0.101308134740437	-31.5678261487657	1.02101335485601e-218	2.31463727545858e-216
"YGR256W"	2080.29405871081	-4.17357901151531	0.133637146543025	-31.2306803869957	4.08489580310345e-214	8.96173430867953e-212
"YER037W"	7132.04052607328	-3.45228776840211	0.111898751653489	-30.8518881344864	5.28433374894107e-209	1.12308605707963e-206
"YJL177W"	17140.1613639591	2.1351683677723	0.0692300518436947	30.8416404568498	7.25133624289663e-209	1.49443447842242e-206
"YLR048W"	30683.0390050989	2.22920694007657	0.0730931528938515	30.4981636695013	2.75615144647526e-204	5.5131135257289e-202
"YCL038C"	2262.30548373919	-2.59749871871582	0.0853292151999355	-30.4409071691284	1.58044158090999e-203	3.07102376907681e-201
"YGL032C"	3191.56028468035	-9.66489481304064	0.318063611624927	-30.3866725390701	8.2397031805223e-203	1.556617259187e-200
"YGR254W"	73459.2331493565	-2.34895415754045	0.0784414466335196	-29.9453191947724	5.06278143590815e-197	9.30593960692198e-195
"YGL123W"	42683.1768191154	1.97627627517523	0.0663879124669868	29.7686160286782	9.95895035010863e-195	1.78239003502865e-192
"YGL224C"	3195.38904392009	-2.52600740563005	0.0849045891204676	-29.7511292592913	1.67678269110955e-194	2.92405104672719e-192
"YJR145C"	26609.1427159152	1.94081349936368	0.0658223028568392	29.4856517491476	4.39769783525416e-191	7.47718574439088e-189
"YER102W"	16796.3222801925	2.06854875763748	0.0701629544403556	29.4820646327817	4.88888665869299e-191	8.10958979652952e-189
"YHR137W"	1084.69433418565	-4.10024940874932	0.140913126480786	-29.0977108460397	3.83745957016051e-186	6.21394346110991e-184
"YGL121C"	1456.37462728941	-3.65890585676191	0.12583496056587	-29.0770215233358	7.00986255316081e-186	1.10869942381504e-183
"YIL018W"	36286.2800508073	1.97458308286207	0.0686566837868362	28.7602455282099	6.74387540247673e-182	1.04238855936919e-179
"YIL133C"	17660.0215407578	2.06234022975782	0.0717116429045591	28.7587921044089	7.03209682887129e-182	1.06278423407008e-179
"YNL069C"	28053.8938306902	2.02931128656263	0.0706278585525126	28.7324481890359	1.50093202693459e-181	2.21909537286568e-179
"YLL045C"	22248.0173668596	2.17163012459871	0.0761690798993119	28.5106519268632	8.64342926089893e-179	1.2507226043271e-176
"YKL180W"	30109.5906833834	2.11525499235309	0.0749630209456943	28.2173125584874	3.58603874389717e-175	5.08096864525931e-173
"YLR150W"	28090.8622296432	1.77377705257492	0.0643185705369343	27.5779924486404	2.04368959234103e-167	2.83655773826763e-165
"YHR203C"	24367.0423313713	1.95913095387512	0.0713560096512598	27.4557246607543	5.93596051886119e-166	8.074093497755e-164
"YIL069C"	14013.9180011491	2.01790153237986	0.073645299089835	27.4002761522953	2.72182262362196e-165	3.62963052220645e-163
"YER131W"	17902.4730528856	2.28577935469431	0.0838141787205396	27.2719889353775	9.11820984563355e-164	1.19255663769527e-161
"YHL033C"	14584.2047494271	2.01862533113221	0.0740980235372219	27.2426339431064	2.03175641574098e-163	2.60716516668951e-161
"YBR072W"	10638.538225001	-5.03016676653534	0.184669239293436	-27.2387907470746	2.25631454764833e-163	2.84170282195487e-161
"YMR116C"	37995.5983899223	2.14793602643782	0.0788599188096065	27.2373603582275	2.34608073666749e-163	2.90103547092284e-161
"YGR214W"	23257.308850006	2.07301317566547	0.0762357651348743	27.1921344528772	8.04632216817259e-163	9.77197090459674e-161
"YPL131W"	47018.3624478017	2.15042089762315	0.0794585663824083	27.0634243169437	2.65487318468256e-161	3.16768289982914e-159
"YDR070C"	1376.32100173937	-4.75241962614751	0.175790858304748	-27.0345094846104	5.8099926763251e-161	6.8127172744288e-159
"YMR251W"	847.481117711156	-3.83299328474048	0.143182313104569	-26.7700192965954	7.22114562540838e-158	8.32390023701736e-156
"YOL040C"	35290.8386481396	1.92281706888919	0.0723548598776082	26.5748157365204	1.32724762908218e-155	1.50443518756465e-153
"YLR075W"	31998.6620185551	1.87761259908299	0.0707165336421751	26.5512533261838	2.48402693284435e-155	2.76948642135646e-153
"YDR012W"	16819.4639957594	1.72985902689298	0.0651676017075103	26.5447704314339	2.95126083400394e-155	3.23734273097755e-153
"YGL147C"	22445.8415852209	2.4485161429271	0.0923230908991023	26.5211673383317	5.52553282632666e-155	5.96494424632502e-153
