""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YFL026W"	7807.26128483762	-6.30327136200389	0.141601544473692	-44.5141427336264	0	0
"YGL089C"	7864.022224581	6.31736812600372	0.112265006895923	56.2719256932872	0	0
"YJR004C"	13036.6018997187	5.34826195034403	0.125180693554252	42.7243355064664	0	0
"YKL178C"	5689.37051334867	7.9961069098047	0.152999314263991	52.2623709019237	0	0
"YKL209C"	3653.46018536613	-4.10912545622042	0.087534054639993	-46.9431636992058	0	0
"YKR039W"	3353.51859339312	-4.16216519194899	0.103933421367915	-40.0464560597432	0	0
"YLR040C"	4137.06120158594	3.77266978742874	0.0847252076941326	44.5283037965335	0	0
"YPL187W"	24166.4594049622	10.7092076914209	0.174102970110991	61.510769658862	0	0
"YDR461W"	2301.01869509552	-7.34335606959967	0.225960688001687	-32.4983789637993	1.12402126734785e-231	8.50259643122683e-229
"YJL052W"	2968.50813344157	3.70742154060787	0.117374739776103	31.586196039113	5.71294066174581e-219	3.88937000251655e-216
"YJR048W"	5559.83302948506	-3.52534564581688	0.119029589191369	-29.6173890018979	8.92420744363613e-193	5.52327311602498e-190
"YGR052W"	957.430504723665	3.49428884032066	0.128654814671144	27.1601871197159	1.91939164799782e-162	1.08893486163077e-159
"YCL025C"	2919.43085663975	-2.03776194294439	0.0758481097148789	-26.8663510614114	5.43344561622643e-159	2.84545367348227e-156
"YIL121W"	1988.66081826659	2.43261403801066	0.0926213541756693	26.2640733301833	4.93682488194223e-152	2.40070741401876e-149
"YCR021C"	1384.07229917354	3.78363140294277	0.145646559000917	25.9781722884296	8.74023252773712e-149	3.96690020325562e-146
"YLR227W-B"	667.484407820998	6.8432484611674	0.272418505018265	25.1203509860998	2.98101233129724e-139	1.26842074696697e-136
"YGR234W"	26149.3401449401	-2.41124727294374	0.0974430097157176	-24.7452052228104	3.49155499952628e-135	1.39826508451617e-132
"YCL064C"	2025.23866234809	4.13682142391702	0.168196798376904	24.5951258516053	1.42436139088031e-133	5.38725130506287e-131
"YOL140W"	3547.5379095698	-2.0139653059779	0.0829443514752943	-24.2809217283202	3.11837110003792e-130	1.11736160258201e-127
"YER081W"	2997.52333078915	-2.07946042839435	0.087607080413768	-23.7362142257574	1.52509740383413e-124	5.19143156265137e-122
"YOL126C"	5534.65961715075	1.47585450154624	0.0624634874509081	23.6274752143187	2.01212023443931e-123	6.52310216955373e-121
"YOR375C"	11824.0959974214	-1.51876821380536	0.0652537436578786	-23.2748058374731	7.97983231775359e-120	2.46939538269393e-117
"YNL145W"	3865.84389960025	-8.78976259150913	0.386441080392412	-22.7454145987367	1.59309614710416e-114	4.71556459542831e-112
"YPL014W"	1651.42683479541	3.08187009141918	0.136897825122413	22.5121917653797	3.15292146971108e-112	8.94378723574711e-110
