""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBL002W"	8399.79526560785	4.91203775595948	0.105197997321774	46.6932629994355	0	0
"YBR009C"	7996.47534716858	4.40533614367179	0.0960248291532465	45.8770526593835	0	0
"YBR040W"	19144.5382312492	-9.33644692690247	0.139256372785825	-67.0450245121766	0	0
"YBR056W-A"	2829.045646459	-3.72221034100094	0.0971612863574143	-38.3096033466306	0	0
"YCL027W"	9094.80424884346	-4.53375441789193	0.07824420087977	-57.9436477964481	0	0
"YCL055W"	13418.336430324	-4.57642253466037	0.0899093276246103	-50.9004199627414	0	0
"YDL127W"	7058.64034600671	-3.70487176416191	0.0964819568725654	-38.3996333019587	0	0
"YDR033W"	28381.7870144683	5.14383891900574	0.0967099423571369	53.1883154268692	0	0
"YDR085C"	6350.45078852625	-4.46164847120414	0.0897066405951769	-49.7359887919382	0	0
"YDR124W"	5082.95350399913	-4.56692110111566	0.0857054098029086	-53.2862640948562	0	0
"YDR461W"	13681.4341212564	-9.94110189010792	0.190484062182144	-52.1886281520083	0	0
"YER070W"	4517.2075546762	4.39264778775798	0.115219244898945	38.1242542564015	0	0
"YFL026W"	28056.2834246977	-8.18059619920191	0.142258130310015	-57.5052981602837	0	0
"YGL053W"	13790.003742113	-5.32054151584287	0.0813024771618932	-65.4413211204914	0	0
"YGL089C"	7789.39007888934	5.97198897529687	0.106621509884332	56.0111086569262	0	0
"YIL017C"	22272.7621292098	-6.20456150848609	0.148477463470334	-41.7879007592675	0	0
"YIL037C"	7680.9663808557	-5.92665275521552	0.130338697567719	-45.471167548964	0	0
"YIL117C"	5540.0122556248	-3.78568229671903	0.0822658710469035	-46.0176528679876	0	0
"YJL170C"	21447.9820853344	-10.9893182384893	0.201397935665133	-54.5651980105764	0	0
"YJR004C"	12999.7465153317	4.83948403798428	0.119578731350504	40.4711104000508	0	0
"YKL209C"	5167.45428356969	-4.6527887385723	0.0955876374344959	-48.6756327852622	0	0
"YML047C"	5209.43070770244	-8.5598296241965	0.196497969603032	-43.5619240315266	0	0
"YMR065W"	3048.84779809277	-3.31557146520218	0.0875106820471506	-37.8876199755334	0	0
"YMR198W"	5034.42261497564	-3.75437908392751	0.0904092796368555	-41.5264793504342	0	0
"YMR232W"	10840.249747196	-7.02742577126075	0.102963374507195	-68.2517041122197	0	0
"YNL145W"	13084.3167928699	-10.566306921189	0.232539781387538	-45.4387066941453	0	0
"YNL279W"	23348.1186663956	-6.55680740576492	0.0887385255720315	-73.8890731336592	0	0
"YNL300W"	1596.74212466963	4.72798723174421	0.123808574098934	38.1878821087634	0	0
"YPL156C"	10141.5024042281	-5.05220022188184	0.0920173067995555	-54.9048912384192	0	0
"YPL187W"	23864.4017796567	10.1490989856419	0.155188788499185	65.3984033498347	0	0
"YPL192C"	7468.54810066222	-6.0743198140078	0.139624494455858	-43.5046861775973	0	0
"YKL189W"	4233.78602193106	-3.1683616432577	0.0854575158442924	-37.0752836886881	7.03089930936177e-301	1.49384638763596e-298
"YDR224C"	10179.2212005817	3.08133616076847	0.0849194394493075	36.2854039163538	2.74909866836781e-288	5.66397631704022e-286
"YCL064C"	1932.54621180691	5.53992741136061	0.152946077671375	36.2214415414031	2.79911883088308e-287	5.59741439152178e-285
"YMR305C"	42495.1382134917	-2.70106154470933	0.0751632431449663	-35.9359366585583	8.39391903825293e-283	1.63057872974519e-280
"YJL108C"	2508.78067296316	-4.01369262308787	0.113969807632826	-35.2171571265496	1.09237339649408e-271	2.06306853410091e-269
