""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YAR071W"	8751.52120512206	-6.63483066516862	0.15426630723127	-43.0089420317939	0	0
"YBR093C"	60365.1466876351	-7.35245966117119	0.0959450486382009	-76.6319863872973	0	0
"YBR296C"	25209.5729796715	-9.32836420420018	0.182993467977597	-50.9764873429373	0	0
"YDR281C"	2589.59837115617	-5.9493654816911	0.139085158719907	-42.7749843077944	0	0
"YER072W"	18040.236571627	-3.18842411320227	0.0804474374307331	-39.6336317853203	0	0
"YHR136C"	4185.72185136812	-6.85531347197529	0.167322558435084	-40.9706469712806	0	0
"YPL019C"	15254.0281887953	-3.90592741817308	0.0984744625528406	-39.6643689837575	0	0
"YML123C"	44263.6348894572	-5.54209009998369	0.149894552988377	-36.9732587975589	3.08112039852229e-299	2.61741177854468e-296
"YHR215W"	11472.4945877338	-6.32968737670437	0.17524086423383	-36.1199278740057	1.10379647768606e-285	8.33488984706051e-283
"YMR251W"	793.462103383654	-3.88239306955012	0.139993033741199	-27.7327590223339	2.81290429293396e-169	1.91164975747792e-166
"YPL110C"	2779.73926429409	-2.31428249375727	0.0885782892361595	-26.1269721250445	1.80075958871246e-150	1.11254201498999e-147
"YJL012C"	14797.1995261895	-2.9081447202937	0.11289204161165	-25.7604050628985	2.46466968526575e-146	1.39582459842217e-143
"YFL004W"	7997.39479389681	-1.96936856863633	0.0795531699026138	-24.7553751918015	2.71346913369748e-135	1.41851817173908e-132
"YGR233C"	2668.43192139334	-2.13096558978082	0.0979785451656829	-21.749308342733	7.01290342965898e-105	3.40426369342589e-102
"YHR137W"	700.718829587186	-3.57639577727413	0.171481422314993	-20.8558788992586	1.34798841649173e-96	6.10728618565185e-94
"YNL160W"	6610.00574861167	2.70394504033163	0.145391830271999	18.5976408390561	3.35762220954721e-77	1.42615003350518e-74
"YCL038C"	1823.34352409104	-2.39719757501378	0.140873680620577	-17.0166461503217	6.18112576631626e-65	2.47099592399325e-62
"YDR017C"	4857.78375267355	-1.48052266491667	0.0884044819599659	-16.7471448516279	5.94099798966095e-63	2.24305679654088e-60
"YHR210C"	696.961756332017	-2.85479339001929	0.173090178196927	-16.4930986827649	4.11303923222589e-61	1.47116919064248e-58
"YDR481C"	6226.54733607799	-2.1497849199662	0.131957993793689	-16.2914337976924	1.13535935051046e-59	3.85795107303454e-57
"YPL268W"	1830.80130742653	-1.41724589648108	0.0933135855453	-15.1879909897264	4.24738792326543e-52	1.3745356345958e-49
"SCR1"	365.91583048965	-3.12681472778139	0.206433803073954	-15.1468154983379	7.95277641684267e-52	2.45668493313013e-49
"YPR078C"	214.89327624954	-3.40034784083007	0.227289917457886	-14.9603989427297	1.33224998527821e-50	3.9365090869351e-48
"YNL208W"	14351.1185206941	-1.36216762471703	0.0913809996816333	-14.9064644670418	2.99180240418363e-50	8.47178714117998e-48
"YJL117W"	4987.79549809676	-1.38570137894231	0.0930334838126421	-14.8946521419422	3.57037993298045e-50	9.70572080981404e-48
"YJL212C"	1290.11791447415	1.76155649238271	0.120493408798244	14.6195257479376	2.10864015801431e-48	5.51166096687126e-46
"YLR307W"	163.44232096123	-3.4019036254796	0.237014691964806	-14.3531339651499	1.01829612736603e-46	2.56308906725169e-44
"YKL161C"	955.938201319343	-1.86960859832213	0.13565702233352	-13.781878491521	3.27634488625458e-43	7.95215708820934e-41
"YHR211W"	1471.35700321332	-1.99684583298484	0.146693406776012	-13.6123761583495	3.38070754899682e-42	7.92251327689049e-40
"YER011W"	459.02785179748	1.84433998887538	0.139874969300963	13.1856328411911	1.06159391678395e-39	2.40486408615457e-37
"YDR501W"	745.278560025357	-1.58036534991949	0.122748570306478	-12.8748167573247	6.23869673103941e-38	1.36768332206916e-35
"YHL016C"	582.385928471979	-1.93383278746998	0.151248866561261	-12.7857671362232	1.96910195279515e-37	4.1818802722487e-35
"YCR098C"	243.77277846555	-1.86532836845179	0.147350564870741	-12.6591192241991	9.9610634259793e-37	2.05137536493804e-34
"YGL224C"	1988.75555232125	-1.86379216752282	0.148206896147318	-12.5756102851665	2.87570950789952e-36	5.74803582814268e-34
"YJL133C-A"	2802.17641479194	-1.40858132874506	0.112270697087411	-12.5462953850583	4.16546382525523e-36	8.08814061612416e-34
"YOL082W"	2748.27900879116	-1.94223375328627	0.156242322290277	-12.4309068427559	1.77608008007703e-35	3.35284450672319e-33
"YIR034C"	1896.69330835888	-1.19807147570335	0.0965872557610309	-12.4040326672861	2.4849561568941e-35	4.56426001141955e-33
"YLR266C"	1672.75656986726	-1.18013278731644	0.0982914887305258	-12.0064595882953	3.28614581914199e-33	5.87701236497078e-31
"YIL117C"	1859.78684719037	-2.04365997592408	0.172441355282966	-11.8513332986195	2.11793910473413e-32	3.69064465532645e-30
"YNL217W"	3777.61449297778	-1.96627656196542	0.167458000841763	-11.7419087298398	7.771248918927e-32	1.3203351913257e-29
"YER037W"	3476.34814885458	-2.4386998235421	0.212793122325757	-11.4604259615533	2.08486885933763e-30	3.45579726050209e-28
"YDR005C"	2662.88659518633	-1.63137148391992	0.143616332364679	-11.3592337101148	6.67273585817283e-30	1.07971221171768e-27
"YBR001C"	1558.39337217916	-1.14341269884334	0.101573569360157	-11.2569904360558	2.13940706429594e-29	3.35840775694885e-27
"YNL279W"	799.828154479241	-1.2405869238607	0.110219904618506	-11.2555615807747	2.17436641120879e-29	3.35840775694885e-27
"YMR251W-A"	30792.6904635492	-1.7628952412182	0.156720441522881	-11.2486617832864	2.3513237897949e-29	3.55102143898803e-27
"YKR039W"	667.060477566966	-1.55041081719862	0.139976209963257	-11.0762451534128	1.63590124350507e-28	2.41686627192619e-26
"YPL031C"	782.153252798988	12.9585123432451	1.18473718847167	10.9378792776496	7.59558408205959e-28	1.09828913663143e-25
"YMR006C"	2562.49218256496	1.05124122686646	0.0970533395465216	10.8315822183796	2.43903943756407e-27	3.4532733370178e-25
"YOR163W"	1785.69973917284	-1.10655566972884	0.103136516993051	-10.729038579065	7.43658447427762e-27	1.03140873647328e-24
"YMR255W"	1893.50023250633	-1.21167272448474	0.114618000836364	-10.5713999166204	4.0441217575844e-26	5.49677029290872e-24
"YOL130W"	5140.71335471878	-1.04559933950597	0.0992850383745157	-10.5312880633821	6.19804889001532e-26	8.10037312625848e-24
"YPL198W"	4201.58843936028	0.99392464388853	0.0943634407411571	10.5329419538114	6.09008026615792e-26	8.10037312625848e-24
"YPL017C"	940.201463108042	-2.11617441395597	0.201111630211762	-10.5223870530398	6.81253962782633e-26	8.73547534164297e-24
"YBR050C"	283.372293539179	-2.89732211714904	0.278058723223326	-10.4198209772474	2.01331803724094e-25	2.53379803353509e-23
"YNL104C"	9750.1114348413	-0.947280415830741	0.0913657134874557	-10.3680076439265	3.46677291809211e-25	4.28367068206436e-23
"YDR011W"	4691.8767622285	0.920946993614675	0.0899508215475781	10.2383388808467	1.33508855089366e-24	1.62022531997738e-22
"YPL197C"	1861.34475674675	1.09412258223504	0.106976416602712	10.2276989357232	1.4901803804502e-24	1.77671330974379e-22
"YBR297W"	455.593713608135	-1.66381376825333	0.163659357329327	-10.1663222647593	2.80292711014625e-24	3.28425735181963e-22
"YNR068C"	389.999310243757	-1.27462023212839	0.126615117686977	-10.0668881837598	7.73878866594055e-24	8.91403521588677e-22
"YGR032W"	2196.76587658664	-1.00014498184759	0.099747029416533	-10.0268147101513	1.16204990084944e-23	1.31621518769546e-21
"YOR155C"	1552.66345299876	-0.8980600965787	0.0897313589525133	-10.0083193552653	1.4011246907626e-23	1.56099072105289e-21
"YKL120W"	4810.6101722238	-0.796734814342978	0.0796857270612998	-9.99846325967602	1.54780244319314e-23	1.69659119418397e-21
"YPL018W"	666.95643004146	-2.2815397691417	0.228531429001983	-9.98348358081594	1.8003271588912e-23	1.94206720187692e-21
"YPR036W-A"	12772.2899436984	-0.892159548833222	0.0895718239146135	-9.96026998047617	2.27444222471056e-23	2.41517333736453e-21
"YDR194C"	4316.37532372867	0.779094600598558	0.0794280956927054	9.80880372120151	1.03184521307237e-22	1.07883385662152e-20
"YOR187W"	4503.15676870463	0.944148928981258	0.0967597070792251	9.7576662588303	1.71045876780888e-22	1.76125421000441e-20
"YMR195W"	1877.15977426123	-1.75975362731558	0.180722082106689	-9.73734701815084	2.08937792475379e-22	2.11931528009355e-20
"YHR071W"	5754.62486637171	-1.59587428584552	0.168481873707721	-9.47208296492487	2.74318019449772e-21	2.74156655908919e-19
