""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBL002W"	7749.65923318737	-4.78289244493021	0.0946301016314102	-50.5430340079297	0	0
"YBR009C"	9050.50973288637	-4.58299851391006	0.0852668259044122	-53.748904867736	0	0
"YBR040W"	19322.0096293132	7.67851125824395	0.132172751102717	58.0945103599806	0	0
"YBR056W-A"	2720.06500794007	5.1449607885741	0.113641134815615	45.2737540585272	0	0
"YBR294W"	7922.46600704933	-4.22483731292583	0.0940747997187546	-44.9093415617825	0	0
"YDL127W"	7200.23815072758	3.44561432517393	0.0903976028332768	38.1162134523499	0	0
"YDL182W"	21785.4016946315	-4.14366444079452	0.0730030318159553	-56.760169238463	0	0
"YDR033W"	14785.7071159662	-4.15604931059986	0.0836984347953202	-49.6550421852361	0	0
"YDR085C"	6360.47836812248	4.61410393359477	0.111798191508043	41.2717224791855	0	0
"YDR124W"	5119.37953983986	4.52342883980752	0.0870170173131805	51.9832669456754	0	0
"YER070W"	7244.2937605866	-5.09106000461666	0.103735904224889	-49.0771256360745	0	0
"YGL053W"	13930.9714688913	5.08899681011408	0.109990523985365	46.2675931136686	0	0
"YGL156W"	4324.81622414361	4.09419326728573	0.104735317727623	39.0908564189702	0	0
"YGR234W"	23354.3375984909	4.45351376944382	0.0990916962747226	44.9433599067359	0	0
"YHR030C"	7956.79885253299	2.85226541774473	0.0679410767524899	41.9814573757135	0	0
"YHR215W"	1860.75524981159	-4.55789534385172	0.117974174608316	-38.6346872863006	0	0
"YIL017C"	22397.3632561422	6.24397094308144	0.132416303756494	47.1540948202553	0	0
"YIL037C"	7794.90660622617	5.29629285854658	0.0893668482062111	59.2646262552033	0	0
"YIL117C"	5940.48801049244	2.80299801940712	0.0705506185703026	39.7303110335451	0	0
"YJL108C"	2570.67865226242	3.61389880692468	0.0913067517829005	39.5797543594303	0	0
"YJL133C-A"	4056.00954746928	-4.1910590505702	0.108063114961411	-38.783437364977	0	0
"YJL170C"	21889.0859549016	6.0522863669336	0.110890592514414	54.5788982608861	0	0
"YJR010W"	8579.13575037917	-3.02816888257126	0.0760385354556211	-39.824134755181	0	0
"YJR137C"	10866.414005813	-2.87923301448767	0.0663319951490959	-43.40639849617	0	0
"YKL189W"	4247.44235362867	3.20765797801807	0.0794019096231636	40.3977434956088	0	0
"YLR092W"	2575.13854533556	-4.24835011587528	0.0969116763791738	-43.8373400874143	0	0
"YLR194C"	10278.414050294	3.42750202938186	0.0911771113722187	37.5916935489383	0	0
"YML047C"	5298.22577018809	6.18947647164527	0.159474222295633	38.8117677110926	0	0
"YML123C"	15347.0703361597	-5.33626483601328	0.104382834248572	-51.1220534911495	0	0
"YMR198W"	5071.15801285477	3.72682370950162	0.0807588936532796	46.1475329949653	0	0
"YMR232W"	10988.8987716633	6.01481858665389	0.0957335220706075	62.8287610918327	0	0
"YMR305C"	43107.1007324419	2.61251821404986	0.063185588254589	41.3467419741893	0	0
"YNL208W"	28379.6349583182	3.08610129033065	0.0802789419692263	38.4422267487489	0	0
"YNL220W"	7708.63522118408	-2.88634267252272	0.0744537353660785	-38.7669289973293	0	0
"YNL279W"	23745.4907405532	5.52166205939411	0.100394637614605	54.9995715965495	0	0
"YNL300W"	2036.28148388747	-5.08181413344358	0.117730875417814	-43.164667852921	0	0
"YNR050C"	14232.6727915066	-3.76487335835859	0.0789861251498113	-47.6649962410213	0	0
"YOR128C"	5256.20333608003	-3.43471689389016	0.0858476890270332	-40.0094275433387	0	0
"YPL156C"	10225.0929627658	4.94229696843293	0.0852427587261611	57.9790828252035	0	0
"YPL192C"	7523.14030072782	5.94060277006159	0.103640114881775	57.3195309252424	0	0
"YPR141C"	4354.40515636923	2.98187254680808	0.0764589852296133	38.9996353973734	0	0
"tH(GUG)E2"	5585.92450162001	8.4736264281942	0.207827180475835	40.7724649335723	0	0
"YCL018W"	6182.13412265376	-2.74371220488537	0.0732168797384999	-37.4737658130852	2.46432549184151e-307	3.89592667291594e-305
"YDL003W"	1440.96919866164	-4.43320947173541	0.120958674207105	-36.6506122921361	4.47435445630332e-294	6.91287763498864e-292
"YLR120C"	8881.61965858157	2.75217986979653	0.0752401207932267	36.5786210971141	6.25680874177873e-293	9.45195240591374e-291
"YMR120C"	19050.2694564704	-4.35390527585243	0.12114450394891	-35.9397672525745	7.31361569097118e-283	1.08082520580918e-280
"YML052W"	2469.67627723221	-3.17789110631376	0.0886864000184034	-35.8329022900277	3.39577726263088e-281	4.91159443220526e-279
"YBR296C"	2962.69602622785	-5.96820931515832	0.166844002608882	-35.7711947797672	3.09851746137451e-280	4.38827535467165e-278
"YKL127W"	12987.3636189881	2.71980339908054	0.0767882786766393	35.419512534378	8.55158582974938e-275	1.18640164225788e-272
"YBR105C"	5081.11400343905	-2.64127216703391	0.0756054233201031	-34.934956396595	2.19138468317612e-267	2.97940661524626e-265
"YER001W"	2791.0062918215	-3.03336059648256	0.0873337295554752	-34.7329790210751	2.50487918387122e-264	3.33885660626599e-262
"YMR199W"	1589.77503460442	-4.27001901095316	0.124608740385212	-34.2674117221068	2.40074684830524e-257	3.13851482207289e-255
"YFR030W"	10708.6334860517	-3.15825672496409	0.0923730919968072	-34.1902241950854	3.3786756280638e-256	4.33362960746749e-254
"YOR129C"	3231.7239686845	2.55016467729654	0.074700879793471	34.1383486291875	1.9911377905854e-255	2.50662124081473e-253
"YDR224C"	10193.9769175887	-3.07417825134363	0.0901590295011064	-34.0972864099642	8.09187939272067e-255	1.00015629294028e-252
"YBR291C"	2911.19504308995	-3.52553740373919	0.103589445594668	-34.0337510592937	7.06040554770627e-254	8.57082802023344e-252
"YHR094C"	16682.4979788506	-2.76978762030282	0.0821193735539718	-33.7287962685494	2.18763025648503e-249	2.60903692694478e-247
"YLR205C"	1234.14373979666	3.22412909752237	0.096813124583216	33.3026034579749	3.54009120622873e-243	4.14923103792120e-241
"YDR133C"	9980.08917650096	-2.93483082222243	0.0882128202655153	-33.2698899478416	1.05280538309665e-242	1.21304593123577e-240
"YJL196C"	2322.46345453484	-3.36097076511681	0.10187414835918	-32.9913998718002	1.0790321265197e-238	1.22254339934682e-236
"YDR098C"	10183.9842026277	2.83477504623527	0.0875532499330865	32.3777249662551	5.65093325728086e-230	6.29754824311398e-228
"YKR061W"	2974.17316474283	2.49602660417038	0.0773032847675481	32.2887521749685	1.00619462490074e-228	1.10324371936697e-226
"YCL027W"	9367.35077877703	3.87651316910108	0.120076545502556	32.2836833194753	1.18528871584715e-228	1.27898296671888e-226
"YNL289W"	1140.43383693189	-6.74158980132756	0.208983252723783	-32.2589954623686	2.63125297517572e-228	2.79488401956946e-226
"tA(AGC)P"	1173.02474813172	6.3884660093155	0.198395718712716	32.2006243419306	1.72974291400296e-227	1.80904497375263e-225
"YMR316W"	1791.53215152051	3.030869694811	0.0948166773541196	31.9655758816707	3.28252485962975e-224	3.38100060541864e-222
"YBL003C"	7390.02051414668	-4.0670491380814	0.127521662529713	-31.8930059207296	3.33810606071912e-223	3.38693208966695e-221
"YLR183C"	881.38970908159	-4.17006258067502	0.13201154442512	-31.5886205167485	5.29135484131705e-219	5.28979856048137e-217
"YKL104C"	23469.6855334076	2.94020444930575	0.0933474482892728	31.4974271197472	9.42051753136618e-218	9.28125770698946e-216
"YNL142W"	3594.60347808648	-2.74133528688908	0.0875246513611214	-31.3207221537907	2.43729495542675e-215	2.36696158671301e-213
"YPR149W"	7607.92855030245	-3.07774442761015	0.0985767491120726	-31.221808949198	5.39030209270684e-214	5.16102445439734e-212
"YNL280C"	8013.24153766866	2.218176949103	0.0717058823663103	30.9343791039544	4.12168664176695e-210	3.89155913760163e-208
"YBR287W"	4709.63748813974	2.15116932174817	0.0697235933108796	30.852817813859	5.13476295905546e-209	4.78166008159713e-207
"YPR036W-A"	10883.3515051248	-2.75322754140361	0.0896435430045712	-30.7130602955219	3.80966491333518e-207	3.49974352443954e-205
"YCL055W"	14094.3543315228	3.50680888252223	0.11455664239647	30.6120082533974	8.47191433710365e-206	7.67894315515075e-204
"YCR009C"	11510.7217046227	2.45965921209379	0.0804429789622835	30.5764312041083	2.51880318996922e-205	2.25300316913299e-203
"YDR507C"	1579.11853387219	-2.69141431885273	0.0894000617695548	-30.1052847792248	4.13197407727187e-199	3.64794282822003e-197
"YPL026C"	2358.59886970469	-2.69875965582045	0.0897822497111104	-30.0589444406235	1.66816235996185e-198	1.45386765679752e-196
"YOL016C"	1890.76555981289	2.55947605145847	0.0852187358919836	30.0341940615343	3.51208028522621e-198	3.02216731379339e-196
"YDL135C"	5339.73773536513	2.29656597783594	0.0765905278432586	29.9849869495067	1.54025011642229e-197	1.30882753642984e-195
"YDR125C"	1454.89616690796	3.10890059771339	0.103800644024652	29.9506869820099	4.31019296673331e-197	3.61736935652507e-195
"YEL058W"	6634.40165099584	1.96821595346458	0.0660747919088095	29.7876981009783	5.63841705970428e-195	4.67438526486216e-193
"YJL107C"	2231.42594892592	3.37351727440433	0.113279649507826	29.7804353126222	7.00176343933502e-195	5.73469733260235e-193
"YGR108W"	1270.85397695145	-4.57023153657607	0.153792244492322	-29.7169181167925	4.64253149446769e-194	3.75713441659421e-192
"YMR065W"	3105.73636449274	3.12962264406767	0.106291415427049	29.4437949809373	1.51166471921331e-190	1.20897608955436e-188
"YNL192W"	16047.6984362936	2.96113863064572	0.100951498060722	29.3322901346607	4.02015747571198e-189	3.17779424649884e-187
"YHR154W"	1343.63708591233	-2.67134356389023	0.0922756699031919	-28.9495981626878	2.83914479454544e-184	2.21844900153102e-182
"YEL071W"	22549.5063100479	-1.76490628711605	0.0616601131533959	-28.6231438259832	3.46222572168267e-180	2.67456936999986e-178
"YGL194C-A"	1956.00663234171	2.89419010358885	0.101309755853002	28.5677334746344	1.69171513616553e-179	1.29216623546666e-177
"YNL030W"	10061.6290992401	-2.60909851029178	0.0915827079150537	-28.4889862910781	1.60390191798524e-178	1.21148058205152e-176
"YDR225W"	9883.1772196354	-2.60054412726012	0.0913140987356282	-28.4791085195857	2.12579149997691e-178	1.58803633152121e-176
"YCR089W"	42390.7872350391	5.64309041170274	0.19897273227889	28.361124396649	6.10325871418339e-177	4.50977747163247e-175
"YOR134W"	937.625976735448	4.53744185521051	0.160702966725454	28.2349601109872	2.17777191313649e-175	1.5918810177959e-173
"tR(ACG)L"	1384.29086460158	8.18081035798403	0.289844119412668	28.2248622968836	2.89712683245582e-175	2.09517746883347e-173
"YDR451C"	643.837700118698	-4.01200255722951	0.142776855501602	-28.0998103168373	9.84850435073446e-174	7.04738237645188e-172
"YIL158W"	660.650427032642	-3.97668177205933	0.14373354184533	-27.667040838238	1.74087158529413e-168	1.23275469133641e-166
"YDL234C"	2445.52640922942	2.24560876757881	0.081241718177792	27.641079213323	3.57250343811015e-168	2.50369880126523e-166
"YOR130C"	3082.56002864119	2.28984315537093	0.083123704647725	27.5474146042359	4.75250262809341e-167	3.29668498630398e-165
"YKL001C"	7424.30212620081	-2.03560001898434	0.0751591907881459	-27.0838469339321	1.52612234964076e-161	1.04793734675332e-159
"YOL007C"	1512.76931657712	-3.19772903216798	0.118786044334788	-26.9200733981465	1.27866319058127e-159	8.69235236957145e-158
"YHR043C"	2802.94727898779	2.10850508372245	0.0791912302604779	26.6254871503713	3.44156246614842e-156	2.3164100638492e-154
"YPL088W"	2379.66609854917	2.46059789472094	0.092539775701398	26.589624581117	8.94849124112312e-156	5.9639062212897e-154
"YIL094C"	12390.472689584	-2.32451703973811	0.0877118444007688	-26.5017462079242	9.25341458311576e-155	6.1072536248564e-153
"YPL265W"	3776.09823338075	-2.68399301858222	0.101637948113074	-26.4073908260744	1.12694443880801e-153	7.36631566828546e-152
"YDR046C"	1174.67279722573	3.97322313708581	0.152469760818835	26.0590894597573	1.06128658348417e-149	6.87107256621468e-148
"YIR034C"	6477.16141591764	-2.46463860592877	0.094965942078446	-25.9528684914521	1.68767122186856e-148	1.08233858172287e-146
"YHR209W"	1818.80217879771	2.84270461167008	0.111216097647153	25.5601902225423	4.23015670392088e-144	2.68753320310786e-142
"YMR315W"	8585.79759403609	1.87313824438134	0.0738531200519467	25.3630211298293	6.45613378689631e-142	4.06377754475196e-140
"YMR076C"	994.287724359408	-2.53812955972963	0.10048827024883	-25.2579684518868	9.25828220501478e-141	5.7741103146505e-139
"YLR084C"	2433.45746974864	-1.83351697487218	0.0726849238494809	-25.2255471666876	2.10135860539164e-140	1.29863961813203e-138
"YDR480W"	1742.41126479975	2.17128566936204	0.0865211112268011	25.0954436272826	5.57684525010602e-139	3.41544090182169e-137
"YER044C"	2018.3276652989	2.22965214881554	0.0888484024426888	25.0950167646938	5.63700231733291e-139	3.42145908510974e-137
"YJL200C"	12339.937167194	-2.80778572674676	0.112596139447699	-24.9367850489313	2.97069629127046e-137	1.78714985735014e-135
"YLL039C"	12008.0525011635	2.24049325440713	0.0899278696800088	24.9143370390013	5.20293731621349e-137	3.10259367329994e-135
