""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YDR124W"	5040.89675351588	4.57055023677816	0.117368697899255	38.9418159916995	0	0
"YIL037C"	7630.17538617559	5.78492964399312	0.144296630426082	40.0905386834831	0	0
"YML047C"	5207.70586010422	6.52204706396736	0.146479056317372	44.5254579592334	0	0
"YNL279W"	23227.722148063	6.16372181404464	0.161829207824835	38.08782046759	0	0
"YCL064C"	3821.40850400809	-6.55150038805173	0.187586173113037	-34.9252840938542	3.07303222488462e-267	4.18178225162299e-264
"YGL053W"	13710.7357239819	5.17459135037878	0.149116658893217	34.7016315198179	7.44425592215514e-264	8.44178621572393e-261
"YBR040W"	19047.3689625244	7.78155073890575	0.22861285696062	34.0381151014886	6.08508227016213e-254	5.91469996659759e-251
"tH(GUG)E2"	5507.19226350617	8.84906446541054	0.278936871342857	31.72425510765	7.19409421275374e-221	6.11857712794706e-218
"YIL117C"	5429.60070256575	4.06018570513361	0.131787406335772	30.8086016564355	2.00992068401274e-208	1.51950003711363e-205
"YMR232W"	10756.7459972278	6.88167666117438	0.226245426659298	30.4168652723198	3.28728118555503e-203	2.23666611865164e-200
"YJL108C"	2510.34048930219	3.80468836127259	0.135219894554322	28.1370457639584	3.45214733304531e-174	2.13531004127639e-171
"YBR009C"	9238.18772057568	-4.63536344093948	0.165217695326707	-28.0560955155158	3.36594792648949e-173	1.90849247431954e-170
"YKL189W"	4184.6646304086	3.2163327145453	0.116010917275855	27.7243968935904	3.54801480048357e-169	1.85697636173002e-166
"YDL127W"	7118.53613550018	3.38828284638555	0.123221603875758	27.4974739803085	1.88209228944698e-166	9.14696852671231e-164
"YMR198W"	5068.72570461764	3.46524138335402	0.12867553982897	26.9300706875593	9.76546538929439e-160	4.42961510058393e-157
"YIL017C"	22084.801585787	6.12240540063858	0.227572330987549	26.9031185560671	2.0192482763875e-159	8.58685329533785e-157
"YIL158W"	925.896786179787	-4.51103626677556	0.168653314765992	-26.7473916716945	1.32413278525376e-157	5.29964674756859e-155
"YNL300W"	1339.12554045736	-4.47616277705871	0.171762887247448	-26.060127707391	1.03291600838229e-149	3.90442251168506e-147
"YLR183C"	888.645534757419	-4.20429155534978	0.162156070758373	-25.9274385207233	3.26736675828261e-148	1.17006123280815e-145
"YMR065W"	3079.2558683507	3.04731588395114	0.118964675862905	25.6153001876194	1.03040513319205e-144	3.50543826311935e-142
"YDL003W"	1141.64249364916	-4.10177609936085	0.160517594465959	-25.5534361389319	5.02846800106278e-144	1.62922363234434e-141
"YER081W"	4151.35251991184	3.065282192549	0.120994659096895	25.3340289185348	1.34782955975645e-141	4.16846923844675e-139
"YDR451C"	732.631741320417	-4.23203386365121	0.170220308445738	-24.8620972567458	1.91340722498346e-136	5.66035772121193e-134
"YBL002W"	9619.65526474084	-5.12560582772189	0.206911117100706	-24.7720175674621	1.79576538298419e-135	5.09099486076019e-133
"YKR061W"	2858.11381796522	2.76232843670748	0.112001610916426	24.6632920196897	2.65029569416834e-134	7.21304476124854e-132
"YKL104C"	23091.0787904103	2.95896880394672	0.122981631760528	24.0602499868311	6.52084980517365e-128	1.70645623363083e-125
"YCL055W"	13629.0539589681	3.90419454060523	0.165031087500546	23.6573278388674	9.92173862607881e-124	2.50027813377186e-121
"tA(AGC)P"	1148.19310442823	7.77940142639611	0.353965481099911	21.9778533268906	4.69125536336634e-107	1.13997505329802e-104
"YDR085C"	6235.19546542268	4.827809627818	0.220496164576826	21.8952090939246	2.88577890788322e-106	6.77063437559912e-104
"YCL027W"	9220.58349489211	3.91377074834739	0.179321971333647	21.8253832435593	1.3321637275088e-105	3.02134733398995e-103
"YGR234W"	24824.9264170899	2.97900310635048	0.137293993525267	21.6979856864767	2.14348839407291e-104	4.70461130105551e-102
