""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBR069C"	5082.9752463536	4.37604392775141	0.100732502006975	43.4422241140044	0	0
"YBR294W"	11348.2377065836	-5.26602984739919	0.120442580487956	-43.7223266561096	0	0
"YCL025C"	2420.13239053779	4.52154216540209	0.114890607872968	39.3551940329314	0	0
"YFR030W"	8024.56611945919	-3.41300567444182	0.0908141057121701	-37.5823298338601	0	0
"YGR234W"	22517.9297804038	4.82840214317401	0.108975420389095	44.3072587004872	0	0
"YJL133C-A"	8026.31671654562	-5.80953978043404	0.12530760678027	-46.3622275591075	0	0
"YJR010W"	6348.32975149252	-4.02664674862348	0.0951253934300193	-42.3298827309004	0	0
"YJR137C"	8835.98765854615	-3.03458112546195	0.0730783826891939	-41.5250175741872	0	0
"YJR152W"	11923.6566391085	-5.92314574644838	0.113042021796913	-52.3977336241354	0	0
"YKL001C"	5560.76483882855	-3.80303459721009	0.0948332638736667	-40.102327409888	0	0
"YML123C"	14350.57276767	-4.89974289759608	0.0708855487603794	-69.1218870881441	0	0
"YNL142W"	32661.4720401752	-5.47093709242706	0.0762425458914078	-71.7570095340115	0	0
"YNR050C"	13887.4299190821	-3.22917708397343	0.0811360308212276	-39.799544681801	0	0
"YBR291C"	2987.36120326943	-3.00091925654949	0.0806045317220838	-37.2301555810331	2.21978490975662e-303	1.07960824646663e-300
"YIR031C"	3666.97017717925	-3.44576377744217	0.0930439626848914	-37.0337169442344	3.28407365534924e-300	1.49075050128487e-297
"YPR167C"	2751.21701373338	-3.3205121300131	0.0900778416236838	-36.8626964207816	1.83098284381745e-297	7.79197636472065e-295
"YKR039W"	30709.2205443391	-3.13549050953477	0.0853467554866194	-36.7382508175879	1.79089680929637e-295	7.17306845558764e-293
"YPR035W"	53481.7406952037	-2.30403470165689	0.06351180185471	-36.2772687023998	3.69379143933918e-288	1.3972792172478e-285
"YDR046C"	2169.86241710068	5.36209837765354	0.155158415258484	34.5588627514701	1.04908776348452e-261	3.75959925345584e-259
"YBR092C"	4845.36621300403	2.82291428250031	0.0821439777327013	34.3654441922224	8.28108477724701e-259	2.81929531241374e-256
"YOR128C"	5734.89405376149	-3.21944362172566	0.0943698370191716	-34.1151762408111	4.39374821720041e-255	1.42462055290084e-252
"YBR068C"	4122.74531421135	4.11856116945611	0.121779864034789	33.8197221855951	1.01183044810056e-250	3.13161523687122e-248
"YMR120C"	17216.1844377809	-4.31734970157591	0.128780905312477	-33.5247658890129	2.10014279672282e-246	6.21733578386333e-244
"YLR303W"	32188.4648062041	-2.62635480105533	0.0831146767548068	-31.5991700094465	3.79028614357862e-219	1.07533576465112e-216
"YBR296C"	2540.06001052075	-6.27190873721876	0.20070460199114	-31.2494515571478	2.2711447135703e-214	6.18568974188006e-212
"YNL220W"	8042.27426611964	-2.48145630580923	0.0826032834669552	-30.0406497376333	2.8923873154103e-198	7.57471739639567e-196
"YOR375C"	44811.0180211654	-2.06159951329829	0.0689129457304831	-29.9159975160713	1.21887165338546e-196	3.07381373625986e-194
"YCL018W"	6453.15036790197	-2.64380737144856	0.0889707016856408	-29.7154829776424	4.84503692725966e-194	1.17820915848968e-191
"YJL172W"	11364.5114478625	-3.98761131969705	0.140257246813673	-28.4306972387277	8.44335427721845e-178	1.98244135426139e-175
"YIL094C"	11718.0881053939	-1.91437116007245	0.0676242600340481	-28.3089405948188	2.68238033096282e-176	6.08810922450861e-174
"YHR215W"	1997.94311048313	-4.43836816215692	0.158763126870044	-27.9559129985513	5.58678869298701e-172	1.22711110356608e-169
"YIL121W"	2141.66044138596	-2.57930018958015	0.093353070249352	-27.6295164442977	4.919586469905e-168	1.04679575854947e-165
