""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBR069C"	5201.8069328893	3.89415199899982	0.081155642999665	47.9837489429527	0	0
"YBR294W"	8002.51372477856	-4.73779383838937	0.0868929507179422	-54.5244901829657	0	0
"YBR296C"	3024.74874132827	-6.52076081846949	0.1627868672591	-40.0570447006065	0	0
"YDL182W"	23766.6526077204	-3.01406169723223	0.0544551806849207	-55.3494021931848	0	0
"YFR030W"	10569.9973883431	-3.8343568111876	0.0720771917574455	-53.1979218070952	0	0
"YGR234W"	22905.3273613925	4.38562343556478	0.0913120283190069	48.0289783974923	0	0
"YHR215W"	1919.52784314095	-4.37101345517652	0.105056022876027	-41.6065003748961	0	0
"YJL133C-A"	4085.41840376281	-4.80352433423702	0.0971816952274871	-49.4282830011631	0	0
"YJR010W"	8206.85840942877	-4.4095951449167	0.084361410806024	-52.2702868857407	0	0
"YJR137C"	10778.6118154434	-3.34448235330174	0.0639627926607125	-52.2879351288237	0	0
"YKL001C"	6495.45761775242	-4.03460635530754	0.086698826629655	-46.5358818815608	0	0
"YML123C"	15832.902668637	-5.03832898076883	0.0974834288219495	-51.6839532795998	0	0
"YMR120C"	19451.957991918	-4.49455879922983	0.0928252834676986	-48.4195537177524	0	0
"YNR050C"	14941.8585710547	-3.33751190249627	0.0742005393914379	-44.9796178015573	0	0
"YOR128C"	5493.55451043629	-3.14231273609354	0.0715157584970025	-43.9387458391459	0	0
"YPR167C"	2867.07630564344	-3.37744630141632	0.0906346891565812	-37.2643888652987	6.19647868720265e-304	2.63543984165088e-301
"YLR303W"	32662.4125039677	-2.6426328532471	0.0757486263642031	-34.8868749189087	1.1757331965059e-266	4.70639082483685e-264
"YBR291C"	3080.91855777537	-3.04250523392734	0.0877869422926037	-34.657833550989	3.40423520522394e-263	1.28699003175272e-260
"YNL220W"	8193.02561809873	-2.50439884785891	0.072679548145258	-34.4580960087094	3.40606660550143e-260	1.21990964475985e-257
"YCL018W"	6411.50905753468	-2.62472269747068	0.0764322945830246	-34.3404932664893	1.95277675180154e-258	6.64432289800474e-256
"YLR092W"	2676.10607628862	-3.90862228533401	0.117167656026285	-33.359225727424	5.35360309576243e-244	1.73482233650778e-241
"YPR036W-A"	10800.2444449345	-3.16980264265259	0.0973749406095837	-32.5525502024349	1.92685799199529e-232	5.96012210705816e-230
"YDR046C"	2202.07989660155	4.88413984677213	0.150891332997783	32.3685910233418	7.59733020322159e-230	2.24781878404013e-227
"YIL094C"	13062.242501864	-2.10079197024763	0.0695081747192799	-30.2236676294841	1.1577375318427e-200	3.28266829341233e-198
"YBR092C"	5198.29556238585	2.19818489854048	0.0746438940879146	29.4489579543035	1.29823508681182e-190	3.53379590630178e-188
"YIL074C"	6493.42667223496	-1.99478238979575	0.0682303861298118	-29.2359827189102	6.76861565734364e-188	1.77155498262398e-185
"YNL142W"	3931.30046843231	-2.14738709532835	0.0745141390372402	-28.8185185130455	1.25730716574118e-182	3.16887972698841e-180
"YCR005C"	7649.32676084582	-3.20623301163216	0.111475184026819	-28.7618543949727	6.43856856711982e-182	1.56480211068751e-179
"YIR034C"	6494.52844334907	-2.69244126850814	0.0942170081284033	-28.5770193937676	1.29705706976075e-179	3.04361150335237e-177
"YLR359W"	13454.2654317937	-1.87752661388431	0.0662383410576804	-28.3450126302131	9.64276324629932e-177	2.18730012970223e-174
"YEL071W"	21407.6442867333	-2.33697447018228	0.0827304880339825	-28.2480440490372	1.50430364863845e-175	3.30218913838215e-173
"YAR015W"	7646.28013254704	-2.20238822538155	0.0806447269916305	-27.3097610660908	3.24806239601045e-164	6.90720768901598e-162
"YPR035W"	35665.4733782101	-1.55569604612581	0.0577885075050501	-26.9205091685377	1.26373034826638e-159	2.60596515756142e-157
"YHR136C"	585.935506192335	-5.8566213738065	0.229498955743639	-25.5191634961016	1.20811921800182e-143	2.41801508191246e-141
"YLR214W"	1320.51882443775	2.32052262527793	0.0910498484248914	25.4862876261916	2.7976345348201e-143	5.43940085984308e-141
"YMR291W"	1918.11186535021	-2.32192196025258	0.0922083836055232	-25.1812456683548	6.42942161389915e-140	1.21533928007177e-137
"YDL131W"	12991.9945767818	-1.42418317771223	0.0578402647477271	-24.6226946561166	7.21926982553087e-134	1.32776030169561e-131
"YHR128W"	6665.80472260064	1.66411654480819	0.0677033143785184	24.5795432628952	2.09068042193143e-133	3.74396849243248e-131
"YGL055W"	17941.2726707211	1.28545898812042	0.0525123282767824	24.4791847991392	2.46135410986871e-132	4.29474736350169e-130
"YPL265W"	4083.62605784716	-2.19670904971394	0.0931126455029801	-23.5919518540973	4.66172068247851e-123	7.93075231106656e-121
"YAR071W"	611.207715831583	-4.02352168305942	0.171671416982557	-23.4373418346529	1.77955965688456e-121	2.8833103488332e-119
"YER091C"	74974.8424889199	-1.57115749499016	0.0670335766812839	-23.438365857462	1.73728147307226e-121	2.8833103488332e-119
"YPL019C"	5133.25038441683	-2.23786749986382	0.0956012743594309	-23.4083438202941	3.51421240392794e-121	5.56144544389062e-119
"YKR069W"	1386.25968409347	-2.09108854799013	0.0907921711499611	-23.0315953622949	2.2495466425559e-117	3.47912838695293e-115
"YLR227W-B"	429.934594941825	-6.21174942639835	0.272393506697811	-22.8043226936741	4.15396662655236e-115	6.28172064304195e-113
"YOR202W"	2189.67745924666	-2.48550624132084	0.109218190885795	-22.757255189475	1.21624919978789e-114	1.79925560968622e-112
"YPL061W"	20005.7793793757	-1.4165777972734	0.0630786597121033	-22.4573223930056	1.0853468606953e-111	1.57144369936841e-109
