""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBL078C"	1724.85872024416	-4.51802365466808	0.112691182242722	-40.0920778782572	0	0
"YBR072W"	47550.6822050004	-9.76904367856901	0.115535743466327	-84.5542979642158	0	0
"YBR101C"	8699.0382949202	-2.71239510327164	0.0674875707023815	-40.1910318454524	0	0
"YCL040W"	14536.3583724611	-4.35249813824197	0.0986167620703378	-44.1354800833714	0	0
"YCR005C"	14426.8827542081	-4.26158000208731	0.093791248536578	-45.4368618456478	0	0
"YCR010C"	11440.5315516791	-8.645857459147	0.128839692989061	-67.1055422328668	0	0
"YCR021C"	12903.9116924143	-7.17095667047074	0.112702006642575	-63.6275864476206	0	0
"YDL214C"	1542.94854596203	-4.65585244948215	0.122349246999153	-38.0537891623836	0	0
"YDR171W"	30927.2365901868	-7.59684104085298	0.0840882891681639	-90.3436271091263	0	0
"YDR256C"	7126.10873170923	-4.50286156513019	0.09009392596794	-49.9796353278305	0	0
"YDR343C"	3325.04659504091	-7.39786702887246	0.15633872264135	-47.3194798056756	0	0
"YDR516C"	4472.68218452079	-3.05809504559702	0.0746741915437542	-40.9525028979414	0	0
"YEL040W"	12549.960971383	3.37359536482432	0.0679692882891802	49.6341134318065	0	0
"YER024W"	3481.15257136819	-3.10822405844948	0.0824055536698321	-37.7186235639283	0	0
"YER067C-A"	3462.58342536308	-7.81756312528994	0.170314906358164	-45.9006395414973	0	0
"YER067W"	3919.99686086665	-8.02699030034363	0.168811955501372	-47.5498922840116	0	0
"YER079W"	2313.99053174632	-4.24444769903183	0.0981882104396002	-43.2276714284631	0	0
"YER103W"	27381.2941333564	-6.44152995732458	0.108417718729218	-59.413996465032	0	0
"YER150W"	15005.5252737251	-7.43133076159018	0.121478430957437	-61.1740759492849	0	0
"YFR015C"	4790.95993626199	-5.79269064571542	0.118760480530564	-48.7762479558561	0	0
"YFR053C"	44913.2406626978	-5.97894574054328	0.11957520334248	-50.0015519389813	0	0
"YGR008C"	10793.2322451529	-5.25967420369019	0.103107582948027	-51.0115168381111	0	0
"YGR043C"	3251.05502230621	-6.33788557876102	0.129232401969757	-49.0425425989081	0	0
"YGR142W"	33974.9258345704	-7.01289463095987	0.0865329822011424	-81.043024897243	0	0
"YGR236C"	3883.43567737366	-7.92583888421034	0.167998075375507	-47.1781528835651	0	0
"YGR243W"	2865.71386090075	-5.88354705200191	0.12297581079844	-47.8431247072253	0	0
"YGR254W"	43396.5784870703	-3.50663445126187	0.0714082065555173	-49.1068830938303	0	0
"YHL021C"	12504.7011024901	-5.52827379228093	0.0818103453133716	-67.5742630238886	0	0
"YHR087W"	5311.45516273853	-5.51642236984919	0.0948758650041341	-58.143579187487	0	0
"YHR137W"	3501.00235530943	-6.14222914215674	0.121853617945921	-50.406621040031	0	0
"YIL136W"	5210.30413509023	-4.03903677693036	0.103220682514982	-39.130111122295	0	0
"YIL162W"	5541.2941547685	-2.72937571207459	0.0689596923325509	-39.5792907386023	0	0
"YJL052W"	20274.1392861816	-6.64687394461444	0.0903343177530596	-73.580828526148	0	0
"YJL088W"	3126.12188567938	3.68102312362966	0.0937207229824678	39.2765122428501	0	0
"YJL133C-A"	3660.20780539819	-4.70634285203157	0.101192145239536	-46.5089740008081	0	0
"YJL144W"	2391.85400422412	-6.64509714261141	0.146009763841791	-45.5113203923247	0	0
"YJR008W"	3135.76532402463	-3.74369036640081	0.0964870843172981	-38.7999118523436	0	0
"YJR096W"	2640.23295724863	-3.11451771370742	0.0810727220296765	-38.4163456676261	0	0
"YKL217W"	8243.50994720226	-6.07537053978426	0.093107978640076	-65.2508048023423	0	0
"YKR009C"	3173.41190718665	-3.38531470070394	0.0889781621242679	-38.0465792940966	0	0
"YLL026W"	14919.8763292074	-3.2465639115114	0.0713281177945167	-45.515906095604	0	0
"YLR142W"	4501.79430595393	-5.11721997543444	0.100371527066475	-50.9827849091643	0	0
"YLR149C"	2353.26858259836	-4.54535779466707	0.109486552142403	-41.5152153915229	0	0
"YLR258W"	6724.93123579898	-3.9049900482505	0.079383125778826	-49.1916891649041	0	0
"YLR350W"	6613.21349269944	-2.80866946054627	0.0695764712209023	-40.368092995531	0	0
"YLR355C"	27568.1690316879	3.94891934089451	0.0802666312783097	49.1975217846425	0	0
"YMR081C"	4027.81498997375	-5.45977211022781	0.0999531945370068	-54.6232877850281	0	0
"YMR107W"	11145.1186944987	-9.86963768023903	0.185009213417244	-53.3467360783834	0	0
"YMR303C"	6294.71386936527	-4.07794753000313	0.0923161411612257	-44.1737217208981	0	0
"YNL009W"	1348.19969911219	-3.9245016275092	0.104196423096348	-37.6644563305238	0	0
"YNL173C"	4563.65115547593	-2.6447939520235	0.0702438462036643	-37.651610709858	0	0
"YNL194C"	3723.99916650507	-5.7992794007776	0.105483420317121	-54.978112990107	0	0
"YNR002C"	2760.3027823686	-5.24896251753234	0.109488349532444	-47.9408315126437	0	0
"YOL016C"	3893.52648944734	-3.57011758620314	0.0907895014601253	-39.3230222524256	0	0
"YOR019W"	2434.2002302075	-3.47681895363163	0.0904312447344127	-38.4470982771794	0	0
"YOR374W"	13366.8682406894	-4.62142401486841	0.112004232156824	-41.2611552784689	0	0
"YOR388C"	1902.8346385403	-7.23421475137851	0.183147649472836	-39.4993589718522	0	0
"YPL093W"	11450.4926116238	2.60072118886785	0.062271809707188	41.7640213299864	0	0
"YPL240C"	14951.8181324992	-3.34432219398001	0.0706540316851823	-47.3337771987524	0	0
"YPR001W"	2134.95289392664	-4.42940105604363	0.095624526172731	-46.3207634414062	0	0
"YPR036W-A"	25275.6788614271	-4.55326221208408	0.0885785737928352	-51.4036523407241	0	0
"YPR154W"	5481.11956877892	-3.53912184716712	0.0917157005844934	-38.5879606720847	0	0
"YMR015C"	4765.10458063976	3.00472816253642	0.0815346716458254	36.8521526104687	2.70136240200831e-297	2.91704260648612e-295
"YKR097W"	1391.99473932587	-3.76433744582287	0.102306699108695	-36.7946329870684	2.24970383193383e-296	2.39136487010091e-294
"YDR133C"	26654.1636185919	-2.49568532214152	0.0679180086659316	-36.7455608779264	1.36879705642992e-295	1.43260405767581e-293
"YDR453C"	1522.97170564062	-3.72744772470364	0.102129654099959	-36.4972128570554	1.22778572528275e-291	1.2655494377422e-289
"YEL011W"	5422.76703261028	-4.93253580685361	0.136090556975801	-36.2445118637489	1.21259471582853e-287	1.23123609728082e-285
"YLR345W"	2586.11165401194	-2.98537941287145	0.0824896101790735	-36.1909749166059	8.44205550404638e-287	8.44577994029817e-285
"YML042W"	1991.93454986065	-3.6476024130021	0.102121378681555	-35.7183036509566	2.05524730430091e-279	2.02635469726943e-277
"YLR178C"	3592.14612884546	-3.86551181836952	0.108829684598086	-35.5189104208568	2.51014179777352e-276	2.43949923575046e-274
"YGL037C"	7627.52981131367	-3.10315067002929	0.0876405981378041	-35.4076847484538	1.30047498770499e-274	1.24607483681085e-272
"YLR327C"	37395.4421714649	-10.2768513336363	0.291004755107437	-35.315063253321	3.44865025106366e-273	3.25849550805362e-271
"YOR220W"	3173.13042052835	-3.33942251005027	0.0948845600445756	-35.194582853959	2.41993296687737e-271	2.25517862652969e-269
"YNL077W"	2162.81805057133	-3.26063308288457	0.092863034232493	-35.1122824042256	4.37819030944492e-270	4.02497684799375e-268
"YJR148W"	5492.16972272045	-3.11328222909125	0.0892572447261764	-34.879882732681	1.50080727632214e-266	1.3613322534426e-264
"YLR177W"	3163.78615440713	-3.90334354183906	0.112182470507386	-34.7945942372706	2.93608743763409e-265	2.62818458397693e-263
"YDR070C"	1372.65779023267	-5.11427735105838	0.147375671371422	-34.7023175770252	7.26897608732707e-264	6.42218757429689e-262
"YIL057C"	3403.95495470589	-9.41020809114393	0.274115018628347	-34.3294144853207	2.85754795303709e-258	2.49229470827068e-256
"YMR251W-A"	58445.7030648383	-3.56241167583943	0.103810892415164	-34.3163573008555	4.47498916047337e-258	3.85358876692409e-256
"YPL275W"	1177.5596379937	-5.10053945553197	0.148977439000318	-34.2369924584425	6.81136970458914e-257	5.79221851253999e-255
"YGR161W-C"	1658.10975610299	-3.31624175633092	0.0968750166081123	-34.2321670998632	8.03597282173589e-257	6.74922507484806e-255
"YGR161C"	1700.35457493096	-3.46124912180821	0.101188713594618	-34.2058812574162	1.97701020943912e-256	1.64019517741638e-254
"YNL208W"	12665.6374735311	-2.42370989237175	0.0709625673494027	-34.1547661380116	1.136126702529e-255	9.31213247868046e-254
"YDR258C"	6060.20554942617	-2.56721139753528	0.075207093539473	-34.135229493849	2.21504940952674e-255	1.79392632535838e-253
"YIL111W"	2343.41109029352	-3.58321691889229	0.105116399861322	-34.0880863844228	1.10760375033857e-254	8.86473919241561e-253
"YPR002W"	1656.57946894414	-3.65145552794911	0.107927935080331	-33.8323486429285	6.59868567356308e-251	5.21986728340112e-249
"YIL160C"	3490.44766740528	-4.99058168974027	0.147667772204127	-33.7960112436828	2.25709254678869e-250	1.76494259721879e-248
"YPL265W"	5280.81013921174	-2.71232337132497	0.0804236784119501	-33.7254329182977	2.45065302665099e-249	1.8945218795803e-247
"YLR284C"	1711.7968401365	-4.39024472018773	0.13034681054279	-33.6812592644644	1.08749593297949e-248	8.31262340680842e-247
"YJR109C"	5958.86154689895	2.49811244837685	0.074325433308831	33.6104659894399	1.17973970846986e-247	8.91752137413383e-246
"YFR017C"	960.819872717919	-5.06167500675553	0.150617525723614	-33.6061489686387	1.36412038611327e-247	1.01979241612402e-245
"YER081W"	2528.43534751792	3.33740471759798	0.100264432954614	33.286027948801	6.15041574591278e-243	4.54796503472225e-241
"YNL144C"	1521.22891511858	-3.5928521652851	0.107953525706125	-33.2814712792769	7.15863546779681e-243	5.23658033198083e-241
"YER056C"	10180.4472791574	2.30586723561609	0.0693968579008398	33.2272570454257	4.3501987007112e-242	3.14834061286578e-240
"YMR090W"	2237.4455439026	-3.1182906773965	0.0938955137394282	-33.210220096885	7.66511417835507e-242	5.48902860582627e-240
"YPL012W"	7316.73453397702	2.08860209122701	0.0629542713507299	33.1764953578928	2.35030666105515e-241	1.66553502241231e-239
"YOR385W"	2445.48916524609	-2.75599394404034	0.0832235929676036	-33.1155366617392	1.77594806742883e-240	1.2455437837854e-238
"YGR250C"	6528.78281716223	-2.36379976640626	0.071447428369197	-33.0844625252511	4.9720160301448e-240	3.4514923523546e-238
"YMR173W"	1999.19607018363	-2.85781342394126	0.0867055048003566	-32.959999835322	3.04181115478277e-238	2.09024659454416e-236
"YBR132C"	1480.90632610393	-3.47817502641605	0.105538740392237	-32.9563818318214	3.42741227193671e-238	2.33166856859854e-236
"YOR100C"	919.500619653852	-5.69952187402018	0.174103368389332	-32.7364250717701	4.73756330782268e-235	3.1910537805067e-233
"YOR386W"	1300.18864481116	-3.12324641551458	0.0956928730873632	-32.6382343297728	1.17697107061007e-233	7.8499354836866e-232
"YPR119W"	1801.13187091026	2.75902161923009	0.0847839325865584	32.5417981339014	2.73510512673943e-232	1.80649710458333e-230
"YNL065W"	3444.23529529565	3.34864583468148	0.103726397934295	32.2834485856016	1.19431367587761e-228	7.81241917018788e-227
"YPL203W"	2749.67074498707	-2.41547427254309	0.0751518014940168	-32.1412690650589	1.16969683194956e-226	7.57852147405034e-225
"YBR126C"	7395.50157941685	-2.3953002568597	0.0749187765030697	-31.9719617519588	2.67584475088845e-224	1.71733696606548e-222
"YLR414C"	6286.34919077809	-2.66724907277305	0.0834674794608156	-31.9555483165777	4.52407281853458e-224	2.87638012939166e-222
