""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBL002W"	5846.37958815216	4.39224217621402	0.0975838750801915	45.0099175976012	0	0
"YBR009C"	6944.15702194963	4.21576951498839	0.105286332727538	40.040994930444	0	0
"YBR040W"	18824.7999684103	-10.4980288476184	0.191244200599968	-54.8933186715425	0	0
"YCL027W"	8849.89782299593	-4.98905419478605	0.089706106569004	-55.6155470971016	0	0
"YCL055W"	13199.4713856823	-4.59376328105325	0.109365597563996	-42.0037322830443	0	0
"YDR033W"	20366.1313892306	4.67297148282615	0.10119414825483	46.1782777306306	0	0
"YDR085C"	6250.73065439336	-4.4558322993507	0.099353728398916	-44.8481639406631	0	0
"YDR124W"	4985.54092651049	-4.69186640364336	0.0983433215311665	-47.7090495886539	0	0
"YGL053W"	13470.7290829978	-5.83767508066891	0.0857978967825414	-68.0398389655723	0	0
"YIL037C"	7524.73406932217	-6.4004013199027	0.122433861171393	-52.2763985278784	0	0
"YIL117C"	5440.42194060913	-3.83225300610156	0.0890235830211774	-43.047615879378	0	0
"YJL170C"	21206.6170304601	-7.59703400404689	0.161266104381847	-47.1086843274801	0	0
"YMR065W"	2936.41017747717	-3.70089342058528	0.094947392408268	-38.9783576643334	0	0
"YMR198W"	4888.3688316621	-4.06318058196656	0.0877207061285749	-46.3195152124179	0	0
"YMR232W"	10651.5324932834	-7.34963489098562	0.113215644935468	-64.917131330876	0	0
"YMR305C"	41967.5238527045	-2.6633379798497	0.0658650061672231	-40.4363126162595	0	0
"YNL208W"	26846.9104248116	-3.63004622010518	0.086282594640339	-42.0715931786323	0	0
"YNL279W"	22917.3512878546	-6.9650932262137	0.0977135966847772	-71.2806964693256	0	0
"YPL156C"	9871.00804305529	-5.73163208645848	0.105711310740468	-54.219667188975	0	0
"YPL192C"	7373.38243706801	-5.79191102582755	0.117464660655911	-49.3076895935006	0	0
"YKL189W"	4095.56997048223	-3.43813424041552	0.0962189585542819	-35.7323992285355	1.24163962278804e-279	4.01759106516417e-277
"YER001W"	3113.41076244254	3.24424594047692	0.091911008908502	35.2976860879266	6.37254571235814e-273	1.96824764161243e-270
"YML052W"	3370.22226666152	3.7025695764528	0.106202798663931	34.8632015637293	2.68633768531155e-266	7.93637590073565e-264
