""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YAR071W"	8430.19164375963	-7.96998227784779	0.186372137760141	-42.7638077967699	0	0
"YBR093C"	58485.3074076703	-7.63001925706759	0.138370477072685	-55.141959603562	0	0
"YBR296C"	24441.0133807974	-9.62922269786556	0.152750760603163	-63.0387872364295	0	0
"YDR281C"	2500.56863806411	-6.36463163261137	0.147133180031791	-43.2576230000343	0	0
"YHR136C"	4034.52263933004	-8.74114349110232	0.229101383447856	-38.1540406240796	0	0
"YHR215W"	11063.698787258	-7.03419828485689	0.176313513748954	-39.895967899957	0	0
"YKL178C"	6492.94529075905	-8.27945224644643	0.186971050269944	-44.2820010610882	0	0
"YML123C"	42450.2683342804	-6.56918044522839	0.0966246547912067	-67.9865864403193	0	0
"YPL019C"	14713.6750067895	-4.02832622906275	0.0949680665779652	-42.417692327722	0	0
"YPL187W"	38839.7929905429	-11.4821332351942	0.219339118296747	-52.3487708182537	0	0
"YFL026W"	7370.4900242176	5.85775984211343	0.167527908108053	34.9658746907725	7.43076112113275e-268	4.60504532388745e-265
"YKL209C"	3486.37606611773	3.74582427138941	0.109036488825999	34.3538599942172	1.2333751902467e-258	7.00659889325982e-256
"YJR004C"	18213.7840856897	-5.93315474224265	0.174942769476013	-33.914832605049	4.02689975572522e-252	2.11164427959837e-249
"YLR040C"	4355.47252370228	-3.94741328411164	0.12558519280254	-31.4321553044732	7.36058375585537e-217	3.584078533119e-214
"YJL133C-A"	2107.71192807203	-3.88388101499534	0.125923733376002	-30.8431215535697	6.92721108154995e-209	3.1481865295284e-206
"YGL089C"	10750.164425048	-6.8671016817533	0.238872903995881	-28.7479306647174	9.6134644948473e-182	4.09593671633588e-179
"YOL082W"	2512.88697055361	-2.40949784704469	0.0845085185913446	-28.5118930873257	8.34254995196392e-179	3.34536253073753e-176
"YMR251W"	750.066957806105	-4.60391892191388	0.162622867783732	-28.3104029873371	2.5734649036292e-176	9.74628347113347e-174
"YNL145W"	3648.45453564716	7.43224901161921	0.267333583537051	27.8014041980219	4.17143706123747e-170	1.4966677077082e-167
"YPR036W-A"	9070.73693059434	-2.97723891880523	0.107102600889163	-27.7980076495646	4.58507062392019e-170	1.5628213221632e-167
"YJL012C"	14389.2463469015	-2.86923887123744	0.105187506898127	-27.2773731011257	7.87131559718459e-164	2.55517897266702e-161
"YLR227W-B"	900.090597180877	-7.36858631566252	0.273656416624614	-26.9264152711987	1.07770787063395e-159	3.33942479732348e-157
"YCL064C"	3558.68177445064	-5.0791434683893	0.192397878030143	-26.3991657308899	1.40072511436297e-153	4.15162743678797e-151
"YJL088W"	3364.55809690337	2.53997625941205	0.096422806552263	26.3420693737568	6.32693051408079e-153	1.7971118881037e-150
"YPR158C-D"	1244.01362087792	-3.02449740569032	0.115102226957426	-26.2766193638376	3.548970419817e-152	9.67733254075701e-150
"YER072W"	17456.9898758813	-3.22169069481038	0.125660520845051	-25.6380498277815	5.74686487170763e-145	1.50678376270888e-142
"YNL208W"	11985.7873240377	-2.34643787486827	0.0964455472602107	-24.3291467727127	9.6389002638526e-131	2.43364381846975e-128
"YJR048W"	5160.33040683306	3.77103330637135	0.159997105801004	23.5693845053769	7.94459166084088e-123	1.9342243339983e-120
"YPL110C"	2737.3149270338	-2.18512448463425	0.0939544185417762	-23.257282824465	1.20054293918999e-119	2.82210386774419e-117
"YEL024W"	3036.54113704956	2.35578730908446	0.101965911524571	23.1036752759944	4.25241708137149e-118	9.66290908123648e-116
"YKR039W"	3466.28237796791	2.62944607353925	0.113937789514664	23.0779101888829	7.71784748798634e-118	1.69717955889042e-115
"YDR461W"	2212.77489555418	5.10372325062721	0.245033077721094	20.8287113645794	2.37772641411005e-96	5.06530030155881e-94
"YFL004W"	7906.08775781959	-1.83700957525701	0.0884731115508099	-20.7634787909772	9.26135139855686e-96	1.91317068133219e-93
"YBR157C"	844.505782513311	-2.39800520037339	0.115946999357374	-20.6819082310376	5.04069904104943e-95	1.01066015773041e-92
"YGL032C"	578.243259570105	5.10582095878439	0.252874882754347	20.1910957038164	1.1723548481267e-90	2.28341228562278e-88
"YOL143C"	4600.44543896282	-2.11980915693056	0.105634322284716	-20.0674280014506	1.42174163918503e-89	2.6922257650901e-87
"YKL177W"	309.815425285733	-6.14873969271713	0.313414528382607	-19.6185534998905	1.07364952397697e-85	1.97812670404082e-83
"YOR226C"	979.287861979419	-2.22761163266185	0.118235998054728	-18.8403842257141	3.5239826960757e-79	6.32183948398633e-77
"YCL038C"	1673.4619313146	-2.99276959299939	0.159272646493353	-18.7902295773323	9.07857897848459e-79	1.58688904862383e-76
"YHR137W"	674.79900025008	-3.69628615342711	0.204826726822398	-18.0459172041161	8.49425109032539e-73	1.41556454511615e-70
"YPL198W"	6387.83700029574	1.8839443101672	0.104397992335161	18.0457906136639	8.51373717907618e-73	1.41556454511615e-70
"YMR251W-A"	27579.1664948931	-2.35333840121996	0.130617554125006	-18.0170147648587	1.43268603348057e-72	2.32538587862786e-70
"YIL051C"	7100.25634006846	-1.7796915780727	0.0990643744997229	-17.9650009103694	3.66272058950529e-72	5.80668982759478e-70
"YBR244W"	1154.75669142861	-2.65343789086772	0.148244144586026	-17.8991075720224	1.19826674601142e-71	1.85649645626361e-69
"YPL197C"	2874.87517523795	1.99719454594054	0.112170125749203	17.8050486491028	6.45761220349505e-71	9.78256497582795e-69
