""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YCR021C"	9597.48331721892	-6.74101787372104	0.124214779846962	-54.2690481923833	0	0
"YER053C"	5241.08634257846	-3.90790145169899	0.0913261643025016	-42.790600936165	0	0
"YFL026W"	7433.68196171086	5.95273852588001	0.105302326196833	56.5299812537191	0	0
"YGL089C"	3814.22851110292	-5.33313068391128	0.138173087542211	-38.5974633611777	0	0
"YGR052W"	1386.61782699403	-4.14717953841353	0.107956893083473	-38.4151434888638	0	0
"YJL052W"	13099.1844392217	-6.00917094109161	0.0997864865389007	-60.2202878317496	0	0
"YKL178C"	3159.60824277581	-7.21947173076851	0.152994387456825	-47.1878207480379	0	0
"YKL209C"	3468.59188800057	4.09314621351544	0.0942182388579295	43.4432469034731	0	0
"YKR039W"	3170.45951975202	4.26316358472231	0.0922718825980709	46.202195779318	0	0
"YLR040C"	3289.91063328496	-3.49720668543841	0.0907380034557404	-38.5418077569257	0	0
"YPL187W"	28436.5412965163	-11.0198328855557	0.176271529952183	-62.5162378096169	0	0
"YER150W"	3552.34913351505	-5.3265441818753	0.143188062001636	-37.199638764679	6.91649627391226e-303	3.92222976199774e-300
"YJR004C"	9689.25479711295	-4.98638502373846	0.136064859330775	-36.6471185011591	5.08604620167946e-294	2.6623495694176e-291
"YPR036W-A"	13129.9159328831	-3.55129392632689	0.0993147221345602	-35.7579807907562	4.97231499122888e-280	2.41690025109375e-277
"YMR120C"	7286.00717383591	-3.04074150434951	0.0881075066601771	-34.511718917179	5.3516762541393e-261	2.42787712729453e-258
"YCL064C"	4236.04859673304	-5.32120141927529	0.156970749193215	-33.8993184821042	6.81749486780781e-252	2.89956578596451e-249
"YOR153W"	38456.3479932653	-3.60654960152523	0.107412166015355	-33.5767328349906	3.66751487943626e-247	1.4680846326214e-244
"YPR157W"	1730.38949691039	-4.09255408756139	0.122562918958697	-33.3914541390824	1.82425503914235e-244	6.89669752297982e-242
"YGR254W"	34263.1001969015	-3.13213703196683	0.094337120430934	-33.2015331574587	1.02307509432307e-241	3.66422421940448e-239
"YER130C"	4729.38751422989	-2.69226324426075	0.0830230604201141	-32.4278969076463	1.11022570377975e-230	3.77754295711061e-228
"YBR054W"	12129.3893291362	-4.04962460144203	0.125423583482571	-32.2875849102556	1.04487832090295e-228	3.38590332083076e-226
"YDR171W"	1769.19082573969	-3.34084980364106	0.103509785833599	-32.2756904261378	1.53455681860019e-228	4.74666325026105e-226
"YMR102C"	4022.04938861906	-2.51561585710079	0.0799552959520425	-31.4627796338803	2.80698169438594e-217	8.30500453491143e-215
"YJR048W"	5310.32697710124	3.41186864305245	0.109040380373197	31.2899554401327	6.39190274528638e-215	1.81237075756974e-212
"YDR461W"	2197.64082177904	6.31152131452478	0.204309976803772	30.8918899275616	1.53498805541977e-209	4.17823748685262e-207
