""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBR093C"	59484.8819359333	7.62912981726929	0.141637247810912	53.8638665688726	0	0
"YML123C"	43210.9722517234	6.43378491963286	0.140416704577326	45.8192274131447	0	0
"YPL187W"	39504.4299027224	11.8275140997547	0.320331804714186	36.9226967965537	1.99818318741498e-298	4.36070177600196e-295
"YHR136C"	4107.36088401312	8.24354101499148	0.264409796301313	31.1771391616572	2.17519656743427e-213	3.56025298174804e-210
"YKL178C"	6684.66785367045	6.0224909940109	0.19335416777881	31.1474588998796	5.49025509016656e-213	7.18894001506409e-210
"YHR215W"	11253.08751116	6.97396105398528	0.226067566556917	30.8490119135663	5.77519656344008e-209	6.3017019834737e-206
"YAR071W"	8609.40423867118	6.92281829229908	0.245178148734452	28.2358698278494	2.12247725745135e-175	1.98512265779057e-172
"YBR296C"	24874.2649018793	9.04828927802572	0.339713786282573	26.6350370323192	2.6677945196861e-156	2.18325634004812e-153
"YLR040C"	4452.96651232463	3.82984605506731	0.155196914821867	24.6773336922525	1.87328100886222e-134	1.36270786278011e-131
"YDR281C"	2537.75632867937	6.59099239576103	0.290693142177312	22.6733673398486	8.20701394383456e-114	5.37313202902849e-111
"YNL145W"	3546.72855868073	-7.36735890106882	0.328478460866025	-22.4287427603167	2.06386754980229e-111	1.22837644077778e-108
"YDR461W"	5099.19554286272	-6.30709094821718	0.293167151375771	-21.5136345208505	1.16046065657979e-102	6.33127993218988e-100
"YIL015W"	3672.29887532729	-5.58383442726858	0.279463544552632	-19.9805467872643	8.13282588349099e-89	4.09581623532427e-86
"YGL032C"	1681.48501614293	-6.65038682154792	0.337414509277276	-19.7098424599247	1.77518710570609e-86	8.30153570075555e-84
"YFL026W"	8624.32490430772	-6.06145489608777	0.314862710502917	-19.2511043508647	1.38185687272748e-82	6.03134463049787e-80
"YKL177W"	320.991381307103	4.91608548178237	0.257767403490499	19.0717888112008	4.33228930078464e-81	1.77271862826481e-78
"YJR004C"	18521.841113152	5.95928415460279	0.341762211590754	17.4369311541639	4.32692938301587e-68	1.66637686297676e-65
"YOL082W"	2640.24933189805	2.13712772043072	0.123803750496029	17.2622211513638	9.05594810819285e-67	3.29384957024103e-64
"YMR251W-A"	27665.7511082817	2.47848053052029	0.156677463040044	15.8189983577079	2.30124595176158e-56	7.92960907693844e-54
"YHR137W"	699.521880482879	3.34243350981033	0.234961733222951	14.2254377509156	6.37044654014621e-46	2.08536567491686e-43
"YGL089C"	10999.0823035084	6.13196161356897	0.432901084104147	14.1648100194957	1.51275469075444e-45	4.71619283827109e-43
"YNL160W"	4590.55176371883	-2.10273660832126	0.158628525674821	-13.2557281193657	4.18039750689528e-40	1.24404829443834e-37
"YHR210C"	699.347806467253	2.66580479956012	0.212123992676099	12.5672007486237	3.19849330084095e-36	9.10458071330683e-34
"YPL019C"	14734.0190171514	4.46996616374496	0.357962808122686	12.4872362779458	8.76456297495922e-36	2.39089974154408e-33
"YBR157C"	946.982690195784	1.68146586161487	0.137025883938811	12.2711550057633	1.29394243113319e-34	3.38857643865159e-32
"YKL161C"	940.011441408652	1.8936148565078	0.156344043421846	12.1118452296802	9.14142351820464e-34	2.30188076052637e-31
"YER037W"	3175.28618219265	3.38803040371715	0.283060227999563	11.9692915803148	5.14661696248301e-33	1.2479593056806e-30
"YCL038C"	1749.176180276	2.67173935463532	0.232217754032459	11.5053190733292	1.24029799599758e-30	2.90008249278435e-28
"YFL004W"	7654.6243197613	2.19330618944553	0.194472935760727	11.2782078435022	1.68136336069274e-29	3.79582273188116e-27
"YJL012C"	14169.2600010809	3.3078795399597	0.306491479593255	10.7927291954399	3.72558423481751e-27	8.13046666178341e-25
"YJL170C"	351.899909214309	-4.284177823885	0.398022652995776	-10.7636532535008	5.11032420125856e-27	1.07926750147225e-24
"YPL031C"	849.371395333643	-13.09669177784	1.21911655651776	-10.7427724673422	6.40903032338564e-27	1.31124754772518e-24
"YBR296C-A"	103.746246085169	5.88007839388375	0.549505387836883	10.7006746867953	1.01039823460636e-26	2.00456886120237e-24
"YER072W"	18068.9718280948	2.98002380452626	0.278925567444351	10.6839392022419	1.21024693431022e-26	2.33043725850853e-24
"YLR266C"	1624.22943930899	1.25417773761424	0.120179498204096	10.435870979294	1.70047073655233e-25	3.1808519749166e-23
"YDR481C"	5812.42119884136	2.63546785399411	0.254846052597559	10.3414113231564	4.57745903307713e-25	8.32461785820999e-23
"YHL016C"	590.87176566688	1.74758383190555	0.171302200558031	10.2017593831991	1.94712827874877e-24	3.44536455161302e-22
"YJL117W"	4832.16898040882	1.47820431405926	0.146413429285038	10.0960978871787	5.74841857339988e-24	9.90392010527605e-22
"YCR097W"	594.744459375216	-12.5824039131793	1.27250680209942	-9.88788735150221	4.69838252877417e-23	7.88725908099602e-21
"YIL117C"	1775.07237801597	2.30902406890924	0.236859213526686	9.74850855294717	1.87198188761482e-22	3.06396635455356e-20
"YGR138C"	7234.06310927719	3.40219192342441	0.349769303005074	9.72695972515077	2.31405868985495e-22	3.6951566445074e-20
"YNL217W"	3599.77104264294	2.23594630213623	0.230442449696857	9.7028403624314	2.93219968160416e-22	4.57074078939581e-20
"YPR036W-A"	10714.3034666402	1.69452759751106	0.179125092724003	9.46002356086426	3.07873826899999e-21	4.68755801096348e-19
"YCL040W"	5864.70272897288	2.01744859095222	0.21350720108552	9.44908921429837	3.41791677476025e-21	5.08570480098985e-19
"YKR091W"	876.321729585034	2.49539541002144	0.264254396716111	9.44315569024287	3.61718038941241e-21	5.26259555766289e-19
"YOR155C"	1406.41206639188	1.27815847359259	0.137104951999245	9.32248219305477	1.1364981478261e-20	1.61753334213423e-18
"YGR233C"	2540.61562557114	2.42187089661677	0.261218255414827	9.27144579834485	1.8363953539306e-20	2.55805965578375e-18
"YCL054W-A"	429.407353980518	-10.2529843063077	1.11978683017346	-9.15619297354965	5.37604758492785e-20	7.33270490385888e-18
"YLR307W"	167.258157858562	2.91669573968696	0.323684365142448	9.01092562318656	2.04324564294766e-19	2.73002637232211e-17
"YPR078C"	214.875830856968	3.22381255037173	0.358492221262721	8.99269875094209	2.41232758135094e-19	3.15870173502093e-17
"YBR001C"	1446.22833321032	1.44351501573474	0.160778472521276	8.97828542029296	2.75018874106109e-19	3.53048738975039e-17
"YKL120W"	4392.88685053762	1.12314206388555	0.12586045178773	8.92370913922819	4.50927074067938e-19	5.57345411590622e-17
"YOR273C"	2326.66252429879	3.33592707577686	0.373830097278397	8.92364499290851	4.511884346159e-19	5.57345411590622e-17
"YMR195W"	1741.05518362112	2.20620060257216	0.247695574225707	8.90690360321825	5.24776498301702e-19	6.36242913774304e-17
"YFL027C"	779.098207338692	-1.50873665239171	0.173352402233798	-8.70329244331383	3.22391736475531e-18	3.837633997646e-16
"YPL110C"	2631.0841057847	2.70629343515593	0.313079619949705	8.64410604430491	5.42281743957592e-18	6.3398546030185e-16
"YDR501W"	767.783200093755	1.34884140647309	0.157748586825834	8.55057679827151	1.22474908982248e-17	1.40674250720488e-15
"YDL021W"	569.004598505343	2.00821499754669	0.237572143878627	8.45307435779453	2.83730850331036e-17	3.20273427089189e-15
"YHR211W"	1387.35134900331	2.34888986240807	0.281794732680888	8.33546404527022	7.71948325850611e-17	8.56600964295585e-15
"YPR157W"	1489.10675844893	4.0625587335599	0.487708056663149	8.32989875409384	8.09115208011973e-17	8.82879544475731e-15
