""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YFL026W"	12149.4052732369	-6.49892319818983	0.171891398008382	-37.8083096274133	0	0
"YIL015W"	5154.50641516288	-6.01677801330087	0.127798514227019	-47.0801875099486	0	0
"YKL178C"	7044.48574447419	5.42047594915971	0.137335700435735	39.4688047751734	0	0
"YNL145W"	8698.84289250013	-8.60030996684446	0.194953100388684	-44.1147637544505	0	0
"YPL187W"	41314.8187337584	10.8279852409587	0.211878809065518	51.1046163073835	0	0
"YGL032C"	3003.7297676324	-7.42429580427592	0.201127712069335	-36.9133409209992	2.8232587533541e-298	3.07829312740709e-295
"YDR461W"	12124.7547236746	-7.50187128952049	0.20698223797565	-36.244034091481	1.23379172079453e-287	1.15306649106255e-284
"YCR098C"	3994.0567495917	-4.26609935160485	0.12448927791182	-34.2688095164844	2.288369104987e-257	1.87131383560312e-254
"YJR004C"	19526.7146834597	5.34322081991336	0.17752058340829	30.0991621215223	4.96922472461875e-199	3.61207423871732e-196
"YLR040C"	4680.81028672259	3.71828149028102	0.1244613856853	29.8749806601276	4.1599933719111e-196	2.72146766390424e-193
"YKL209C"	2960.07648242793	-3.39299213079053	0.113864893174969	-29.7984043736531	4.09707081521872e-195	2.43663975210553e-192
"YGL089C"	11454.5126540247	6.54769821135329	0.242507814012846	26.9999473543003	1.48000130271422e-160	8.06847376863034e-158
"YGL121C"	1373.57051417732	-3.53640182293789	0.148890947001611	-23.7516242199711	1.05708793424738e-124	5.31959174295875e-122
"YNL160W"	6213.76908996303	-2.54839771251977	0.114325512891536	-22.2907175140995	4.54647562990356e-110	2.12450311220208e-107
"YHL033C"	12070.1025210377	1.79247677143932	0.0823936915553086	21.7550244151409	6.19135001269363e-105	2.70025411886945e-102
"YKL177W"	337.411077762543	4.69473537949773	0.228297368199354	20.5641239604575	5.75294188551525e-94	2.35223411344005e-91
"YKL120W"	4097.55392729884	1.73156143408369	0.0857450686305724	20.1942976049622	1.09878123715495e-90	4.22836873733393e-88
"YDR070C"	1389.54361571783	-3.09086404041988	0.156419141498032	-19.7601393973817	6.56232933676929e-87	2.38504214006359e-84
"YML128C"	6421.55998513451	-2.37629063383785	0.121244928314919	-19.5990930661092	1.57404251185154e-85	5.41967690133305e-83
"YKR039W"	3317.81714359189	-2.45120098230879	0.128032251466419	-19.145183766074	1.06163419120105e-81	3.47260543941864e-79
"YMR174C"	448.157278206097	-4.12953843675592	0.217903251144282	-18.9512474690963	4.31238354275298e-80	1.34341014936619e-77
"YGR256W"	1944.46277724649	-4.24323832338915	0.224986603067311	-18.859959951125	2.4340420707316e-79	7.23795601214823e-77
"YDR453C"	1118.47844127682	-3.31872901774751	0.176205667104889	-18.8344056821509	3.94531025505264e-79	1.12218346471975e-76
"YPL223C"	3304.11216342406	-4.81970976171846	0.257105492215948	-18.7460396904718	2.08555637923261e-78	5.68487909705823e-76
"YCL048W-A"	538.963389277158	-4.69468292443958	0.255015313050372	-18.4094157652104	1.10407153704297e-75	2.88913439813404e-73
"YJL170C"	327.213446102826	-4.10509257665487	0.223312525878617	-18.3827242135366	1.80663659819589e-75	4.5457756251529e-73
"YHR203C"	20559.4715813928	1.76691519491455	0.0963059315071284	18.3468989631627	3.49498894406444e-75	8.46822876743318e-73
"YBR285W"	677.70180668446	-3.52048699032232	0.197612258806204	-17.8151244846344	5.393777061271e-71	1.26021748338696e-68
"YNL301C"	4039.75157844898	1.70385499288972	0.0964514431921363	17.6654172970284	7.74380329293017e-70	1.74689521180514e-67
"YMR090W"	2334.43159593165	-2.28767540222877	0.129982636649597	-17.5998538050572	2.46960885412923e-69	5.38539370790448e-67
"YPL131W"	38874.9727149079	1.92678652748636	0.109610513420274	17.578482823984	3.60083167738386e-69	7.59891639788555e-67
"YJR145C"	25733.5899637175	1.99851801335732	0.115371820359665	17.3224103349246	3.18723456182899e-67	6.51590265733913e-65
"YNL015W"	4518.26258974338	-1.89333775004068	0.109821681222806	-17.2401089562586	1.32786333184842e-66	2.63238845968253e-64
"YGR043C"	738.341276875165	-2.83614763340156	0.166348551112507	-17.0494279296931	3.52970959374864e-65	6.79157651832459e-63
"YLR264W"	8586.583101345	1.91188211629633	0.112926121673309	16.9303796851126	2.68641617476833e-64	5.02129560438127e-62
"YOR317W"	4889.53033040558	1.70288805462607	0.102350915058763	16.6377413787496	3.71363491656958e-62	6.74849989561061e-60
"YDR025W"	16200.2798566552	1.77753370422528	0.108074257645081	16.4473367012406	8.76380681387173e-61	1.54953578854997e-58
"YKL216W"	26749.9309469848	2.66557441546161	0.164422653766968	16.21172237762	4.16724010123835e-59	7.17423282692139e-57
"YBR072W"	10286.6308305519	-3.97876222335167	0.246631203505887	-16.1324364751628	1.50946101897023e-58	2.53202409900083e-56
"YMR175W"	429.216278572673	-4.71191735722686	0.292982894163175	-16.0825681331504	3.38068933484703e-58	5.52911740714231e-56
"YDR012W"	14027.3371118494	1.50770408775629	0.0938829942463423	16.059394993306	4.91320120610299e-58	7.83955177812824e-56
"YDR533C"	2663.20509474104	-2.01156486680696	0.125360131692361	-16.0462887175599	6.06860589211939e-58	9.45257613005835e-56
"YLR420W"	4883.02084985971	1.30306292288277	0.0816384831545566	15.961380865147	2.37419847091917e-57	3.61209451087284e-55
"YGL102C"	5172.25421975563	1.71260138857349	0.109330052564967	15.6645071359114	2.64471878546343e-55	3.93221597602312e-53
"YMR169C"	1057.74890567121	-2.16500351822434	0.138683899437823	-15.6110660790511	6.12056628699593e-55	8.89794325545052e-53
"YGR085C"	11729.6851616155	1.62486787478755	0.105235442945195	15.4403101209329	8.76776783386224e-54	1.24692906889406e-51
"YGL038C"	3515.99924584858	-1.67562175232633	0.108577431580866	-15.4325049683862	9.89537268038471e-54	1.37735166117185e-51
"YOR161C"	1219.46893777272	1.83877852452295	0.119375246953846	15.4033484448738	1.55409096352575e-53	2.11809647570531e-51
"YHR210C"	781.992436130924	2.06886320284666	0.13442134096063	15.3908835313033	1.88441490406676e-53	2.51588618416423e-51
"YFL027C"	1007.24489824548	-1.90800001075106	0.124700048597729	-15.3007158554211	7.56202745136542e-53	9.89415671736652e-51
"YLR346C"	590.830685582005	-2.13010265586571	0.139870986872239	-15.2290528829356	2.26853990866497e-52	2.90995844754632e-50
"YIL018W"	34677.4678282008	2.01052455912769	0.133690252175509	15.0386772888143	4.09653687876401e-51	5.15375851170657e-49
"YPR036W-A"	11566.1573806628	1.51016802008984	0.100567886472228	15.0164040735496	5.73348137766312e-51	7.07706324012682e-49
"YIL069C"	10792.5372106691	1.6560075420105	0.111073714897845	14.9090857682534	2.87664291858656e-50	3.48499962470246e-48
"YNL162W"	14308.5347744756	1.94607728093038	0.130969372492385	14.8590257698878	6.08029613633747e-50	7.23223587707631e-48
"YOL143C"	5552.73313648801	1.33692457382557	0.0905300235858219	14.7677479897945	2.36483515757255e-49	2.76263421443565e-47
"YLR448W"	12904.6815151245	1.69061447594647	0.115391522380315	14.6511150998982	1.32522763251545e-48	1.52098932840633e-46
"YPR044C"	4179.92781374899	2.03063543989912	0.138787510431673	14.6312548844144	1.77483138481732e-48	2.00188739990946e-46
"YLR029C"	28670.8386577826	1.93849909312544	0.133292270591913	14.5432220826993	6.4484539163912e-48	7.15013313915783e-46
"YOL120C"	25271.6245592649	2.01407712691404	0.139103163361237	14.4790174302772	1.64430888933947e-47	1.79284479234313e-45
"YER001W"	9690.2693021602	-1.4086848551989	0.0973171161582054	-14.4752013911802	1.73815901763645e-47	1.86410431038978e-45
"YPR132W"	16680.3605632865	1.89034873124512	0.130927812577429	14.4380990870614	2.97946576921853e-47	3.14381694552059e-45
"YOR237W"	377.413982567696	-2.37451428801456	0.164696045621478	-14.4175549513308	4.01309117187255e-47	4.16724483276035e-45
