""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YAR071W"	8272.3770033586	7.76687862495772	0.170193751889987	45.6355097570106	0	0
"YBR093C"	57223.4854665318	7.98671417290839	0.0958181593753678	83.3528239842348	0	0
"YBR296C"	24210.7900555344	6.32934330959891	0.0822886964863789	76.9163151180381	0	0
"YCR010C"	10982.4083842005	-7.16862660688963	0.115167040074943	-62.2454705984003	0	0
"YDR256C"	6846.63244173166	-4.33129348222305	0.0867260409718193	-49.942248414527	0	0
"YDR343C"	3199.28206658493	-6.29244495189387	0.135199235220592	-46.5420158747724	0	0
"YER072W"	17171.4104319112	3.16114911577936	0.0804399484997431	39.2982488767935	0	0
"YER103W"	26538.5993851366	-5.27806621070175	0.115694427040961	-45.6207472191644	0	0
"YFR053C"	44949.0671211909	-3.9714618051815	0.0655802611088594	-60.5587983034882	0	0
"YGR236C"	3713.93715644133	-7.70480354249885	0.172732565451149	-44.6053905491138	0	0
"YHR215W"	10820.9170268411	7.74859679163124	0.176882656090496	43.8064249084259	0	0
"YIL015W"	1949.69841498779	-4.70083867438677	0.117594029105027	-39.9751476343098	0	0
"YKL178C"	6470.81766968844	5.5777301761369	0.117577321012712	47.4388268766036	0	0
"YKL217W"	7932.87390733851	-5.52152430480135	0.0936047792265297	-58.9876323669211	0	0
"YLR142W"	4284.50467516888	-5.35924726180578	0.113532422397254	-47.2045531016117	0	0
"YML123C"	41391.6273934834	7.59881815181598	0.100042468089611	75.9559244880832	0	0
"YMR107W"	10662.9972793039	-8.90769059103599	0.15537286833938	-57.331055841609	0	0
"YNL145W"	3956.97961245213	-7.57816952558501	0.16010205968366	-47.3333668571064	0	0
"YNL160W"	7892.31864308175	-3.07775093018415	0.0800350477874296	-38.4550395766434	0	0
"YNL194C"	3598.58204990424	-5.09726520732709	0.104571600788814	-48.7442591380159	0	0
"YNR002C"	2744.06638064285	-3.8877117165122	0.0934026621109327	-41.6231360932179	0	0
"YOR388C"	1825.91222039942	-6.55009808101486	0.172328099350121	-38.0094604752006	0	0
"YPL019C"	14311.5650748199	4.23189013061257	0.084590433465782	50.0279991155789	0	0
"YPL187W"	38016.5576088203	13.1772332412014	0.321178714830399	41.0277289021463	0	0
"YPR001W"	2036.2298637529	-4.49669554733161	0.113763042094742	-39.5268574445009	0	0
"YJR004C"	17965.2559693913	5.375111107835	0.143556271731003	37.4425376406188	7.94466199402312e-307	2.0772235475142e-304
"YGR043C"	3152.88515092036	-5.19842436930637	0.138915433504809	-37.4215034150717	1.74687741081466e-306	4.39824912545113e-304
"YDR461W"	4607.41631497151	-6.21392783568241	0.172169570113023	-36.0919053907331	3.03832980613762e-285	7.37663072218699e-283
"YER073W"	5734.15159483532	3.46767981900664	0.0972272267520457	35.6657279534478	1.3442207155168e-278	3.15103876692524e-276
"YIL162W"	5360.71177318739	-2.60044424047792	0.0731226548555403	-35.5627711495884	5.27429495981781e-277	1.19515523789472e-274
"YML042W"	1951.53380151108	-3.22287077590934	0.0936803318299419	-34.4028539710963	2.28549903239933e-259	5.01187820072602e-257
"YIL136W"	5227.30006986536	-3.13908856729926	0.0914640336157281	-34.320469404265	3.88554573184056e-258	8.2543562140788e-256
"YIL160C"	3351.92537766379	-4.77765930233496	0.139334640693642	-34.2890990966109	1.1408149775775e-257	2.35007885380965e-255
"YFL026W"	3866.43563721412	-4.93592666926771	0.147133501644752	-33.5472656743078	9.86869427930908e-247	1.97315834443362e-244
"YPL275W"	1117.54701583997	-5.52903498724074	0.16986598117452	-32.549395405783	2.13545369898774e-232	4.14766121306248e-230
"YGL032C"	1209.66336709146	-6.21992419818237	0.191534051523772	-32.4742475225633	2.46353090746214e-231	4.65196753025767e-229
"YJL012C"	13568.4178421384	3.42016653978895	0.106001270409892	32.265335373469	2.14411043777192e-228	3.93936831242527e-226
"YKR097W"	1375.13063594592	-3.18783008066978	0.099040677728463	-32.187078620461	2.67642429382436e-227	4.78798219721526e-225
"YNR044W"	3951.23354735632	2.35886985985008	0.0734790724901408	32.1026079931342	4.05444748774899e-226	7.06721385172247e-224
"YHR097C"	4620.71816733903	-2.96809669299307	0.0951231385181939	-31.2026783307342	9.79941434487147e-214	1.66541046791091e-211
"YNL009W"	1374.98703181078	-2.86194723611856	0.0917891107993908	-31.179594302569	2.01474607227282e-213	3.34054726812454e-211
"YML128C"	8467.34948144512	-2.9746005300422	0.0975789084314403	-30.4840521159568	4.24004559781545e-204	6.86281666046414e-202
"YGR161W-C"	1590.51634679614	-3.25873172871145	0.107260794367259	-30.3813872341241	9.67675637790445e-203	1.52982767109289e-200
"YDR453C"	1447.27510702718	-3.85123675130178	0.127430827776488	-30.2221747947585	1.21122810764391e-200	1.87134742630984e-198
"YGL089C"	10522.6951889057	6.75550261339632	0.224557348180385	30.0836408522676	7.93144511331515e-199	1.19817697511814e-196
"YPL147W"	1489.68122319178	-3.23158274997449	0.107497047189035	-30.0620606284348	1.51883718166352e-198	2.24457720890187e-196
"YLR040C"	4313.26733772311	3.70320929017862	0.124635121032594	29.7124057769413	5.30948033474618e-194	7.67954198204351e-192
"YJL117W"	3994.32686808169	2.59722097036044	0.0874199083701085	29.7097196597898	5.75110243651832e-194	8.14499882571908e-192
"YBR072W"	45959.05843177	-6.32584096827796	0.214243052974356	-29.5264694955367	1.31696530272206e-191	1.82708778120502e-189
"YKL120W"	3553.66912401688	2.15144963586091	0.0731001066625379	29.431552621297	2.16845084399807e-190	2.94822576749977e-188
"YLR355C"	17236.3672436475	3.28663440172047	0.111995105308146	29.346232522194	2.66922350675226e-189	3.55791792135331e-187
"YOR019W"	2407.76217671197	-2.96756562265395	0.101770344456272	-29.1594338066631	6.34317815512671e-187	8.29248559587526e-185
"YOR100C"	894.946955413582	-4.71979078029723	0.164578109084837	-28.6781201129506	7.15260894903172e-181	9.17423313877691e-179
"YJR016C"	10847.0757938341	2.23410204293787	0.0783887625416543	28.5002846135084	1.16195303942004e-178	1.46276977073656e-176
"YFL004W"	7658.22658136183	1.91490605987219	0.0676585590268602	28.3024954627245	3.21994992292432e-176	3.97985810473446e-174
"YKR009C"	3136.94667965821	-2.90812215446258	0.102861473684688	-28.2722194256826	7.59023485493855e-176	9.21400295426291e-174
"YLR284C"	1765.29831905281	-2.93916646121174	0.104402587074354	-28.1522378283452	2.24989334196586e-174	2.68329384889191e-172
"YDR070C"	1409.5128921491	-3.24503435498539	0.116546334878245	-27.8432981901615	1.29844751423246e-170	1.52187003478487e-168
"YBR285W"	711.638831255974	-3.72392087382482	0.135309290097398	-27.521546163935	9.69763887432957e-167	1.11736523843546e-164
"YMR090W"	2283.2024285723	-2.39121241734211	0.0871677423918584	-27.4323086927333	1.12966706272642e-165	1.27991278206903e-163
"YDL214C"	1504.82467140484	-4.0408455866434	0.147309776831198	-27.4309395721493	1.17295937344579e-165	1.30717669191549e-163
"YNL066W"	5961.69119753007	2.52332443417375	0.0922945163889079	27.3399171792725	1.4232557267218e-164	1.56053103713787e-162
"YEL040W"	11155.8276935736	3.25866150176134	0.119735663351614	27.2154628833684	4.26199749552119e-163	4.59889824992905e-161
"YOL130W"	4146.94834330513	1.94116571151814	0.0725498344837819	26.756307927237	1.04278919811967e-157	1.10763765137774e-155
"YAL054C"	2466.38604015243	-3.34156557191072	0.126683879767297	-26.3771963571748	2.50315522015543e-153	2.61791525947948e-151
"YER024W"	3395.27575701134	-2.84943829599806	0.108098692869288	-26.3595999208203	3.9836850720306e-153	4.10319562419152e-151
"YNL190W"	7451.24703848646	2.77731918684818	0.106203333795619	26.1509604980287	9.61041428220778e-151	9.75098452096247e-149
"YMR169C"	1894.57516784023	-3.27256342297501	0.125344240656643	-26.1086062337685	2.91126063131542e-150	2.91040437818857e-148
"YJR095W"	642.649604614372	-4.15669155227547	0.159920824981064	-25.9921842747351	6.06961506820762e-149	5.97989032372107e-147
"YDL204W"	1662.72542271557	-2.66760143362019	0.103097015132723	-25.8746718339616	1.28420952440517e-147	1.24715090670091e-145
"YMR110C"	3532.86566497711	-1.86239978091424	0.0731331068322698	-25.4658917360867	4.70760797405748e-143	4.50736887431588e-141
"YCR091W"	1327.65960230864	-2.66293731957523	0.104846516644213	-25.3984338708329	2.62436394898117e-142	2.47783696182972e-140
"YNL117W"	674.406721992289	-3.87288503095917	0.154587688577357	-25.0529978590186	1.61934246665555e-138	1.50798494360608e-136
"YPL110C"	2615.79982912674	2.4001884409605	0.0964146936872282	24.8944258304318	8.54970360597392e-137	7.85417366397442e-135
"YLR413W"	4840.22225293133	2.86187145870732	0.116378156014028	24.5911394090345	1.5713329022719e-133	1.42425614261925e-131
"YDR529C"	4392.94479260107	-1.92064829856443	0.0785152139095499	-24.4621163584555	3.73998908806058e-132	3.34532181850471e-130
"YHR136C"	4614.30608872049	2.55205468585048	0.104766415234788	24.3594732160222	4.60107109521711e-131	4.06208848120596e-129
"YGR243W"	2842.06341836565	-4.17475509025857	0.171785507179947	-24.3021379323081	1.86091121129609e-130	1.62185569415267e-128
"YGR189C"	8137.45925099748	2.16689989561152	0.0897380782037996	24.1469389470364	8.04048989065314e-129	6.91889244008355e-127
"YER079W"	2447.47612468417	-2.60065958886145	0.107784509618746	-24.1283241725594	1.26110718851476e-128	1.07162583344042e-126
"YHR211W"	1319.41679043039	2.47113583157033	0.103293891965684	23.9233490436324	1.75070929395986e-126	1.46929898522705e-124
"YDL079C"	1360.40752264915	-2.35051566780656	0.0986248921964541	-23.8328845330902	1.52399243975256e-125	1.26342690310219e-123
"YLR300W"	17934.3711554887	2.25768424448811	0.0952245414154162	23.7090587250926	2.90780652644302e-124	2.38159864659755e-122
"YPL276W"	555.878174046401	-4.04778029358871	0.170893915646122	-23.6859239738566	5.03597625039699e-124	4.07554363692842e-122
"YPL054W"	770.87973416173	-2.62902319015139	0.111439660070377	-23.5914501936842	4.71731997378008e-123	3.77274602138318e-121
"YIL047C"	2329.68174471549	1.99477020798565	0.0847319860839268	23.5421155596405	1.51195010570698e-122	1.19514381611582e-120
"YOR020C"	8288.68349780657	-2.11079166158778	0.0896729113236318	-23.5387881404884	1.63537162494447e-122	1.27784555245661e-120
"YBR158W"	7935.22359389478	2.16011964181876	0.0923797454579694	23.3830438816435	6.35856376969541e-121	4.91199051208971e-119
"YPL201C"	834.571015208893	-4.48133039939279	0.192821897321754	-23.2407753561048	1.76343558103649e-119	1.34694776178495e-117
"YLR345W"	2638.36555773118	-2.30590585509699	0.0997956822772205	-23.1062687531056	4.00463924093925e-118	3.02483750665611e-116
"YGR067C"	1158.191577381	-3.46814597517915	0.151779318097341	-22.8499246053729	1.46391316676907e-115	1.09359139645013e-113
"YNL077W"	2226.46624673121	-2.40057366578705	0.105306750401304	-22.7960093407015	5.02272566703329e-115	3.71135750918395e-113
"YOL011W"	2348.16092171464	1.6741828126961	0.0741963225793667	22.5642289872959	9.73559608991934e-113	7.11640669024426e-111
"YDR017C"	4463.42529344047	1.67276669317715	0.0746065918472472	22.4211648295373	2.44697609372377e-111	1.76963228565258e-109
"YNL036W"	5286.54792395126	-2.05183656018808	0.0915157348517758	-22.4205877110789	2.47890803602679e-111	1.77385440304317e-109
"YGR146C"	1784.63935626047	2.39617210650264	0.108038287219563	22.1789160877104	5.4885251315636e-109	3.88656185878847e-107
"YML120C"	2145.85717448384	-1.80719714980431	0.0820523506462947	-22.0249284215469	1.66171759735452e-107	1.16457280688825e-105
"YHR160C"	454.411579735309	-3.00426871025296	0.137845287413315	-21.7944970526629	2.6165082962092e-105	1.81500238751328e-103
"YDR380W"	2906.85049481028	-2.95558150147593	0.135666885709822	-21.7855778586797	3.17909926486972e-105	2.18298149521054e-103
"YER054C"	800.939922164538	-2.99911155289796	0.137824628600345	-21.7603456171436	5.51313031739367e-105	3.74782598976422e-103
"YPR030W"	1589.2553512009	-2.65559479792775	0.122286390936631	-21.7161924363594	1.44250881087203e-104	9.70908405575053e-103
"YJR008W"	3305.43502028876	-2.43398945124404	0.112274389365067	-21.6789373338721	3.24280478931372e-104	2.16123401546615e-102
"YPL203W"	2730.68585824884	-2.09616046452894	0.0966939386585595	-21.6783026279526	3.28782855811073e-104	2.16996684835308e-102
"YLR108C"	1596.24208952527	-2.55595650562457	0.118634114086265	-21.5448694948403	5.91500231254206e-103	3.86636401160201e-101
"YEL057C"	341.189715368978	-3.88427475306096	0.181815615648525	-21.3638126692583	2.90135983361658e-101	1.87842325227862e-99
"YGL008C"	112385.31837769	2.08864911036308	0.097861243171405	21.3429652299102	4.53268775098072e-101	2.90690672935537e-99
"YHR096C"	1045.69572026867	-2.01449914366921	0.0947720562873967	-21.2562565653343	2.88534352994521e-100	1.8331369454736e-98
"YLR149C"	2281.5295752253	-4.10982586557192	0.19468689199259	-21.1099259097954	6.44736793685455e-99	4.05825992914233e-97
"YKL177W"	314.934499943291	4.25021357299339	0.20141100478548	21.1021913997213	7.59341808888721e-99	4.73578496956471e-97
"YOR180C"	981.474989345041	-2.03276833860753	0.0965578506053759	-21.0523362508895	2.17681257520798e-98	1.34527017147853e-96
"YOL085W-A"	405.106493115541	-4.05844442339193	0.192806544599306	-21.0493084237688	2.32040822296174e-98	1.42109325222468e-96
"YPL226W"	7252.49828094384	1.55745144198758	0.0740793152188224	21.0241068966017	3.94754123479844e-98	2.39601654590712e-96
"YKL187C"	948.401075817267	-2.08668595019378	0.0993763750588151	-20.9978070638901	6.86834846338298e-98	4.13194981009536e-96
"YKL142W"	5273.6811246494	-1.57205571430983	0.0753868005731745	-20.853195816208	1.42574708589565e-96	8.50195499115669e-95
"YBL086C"	1779.94480295571	-1.99730129230012	0.0958555788012309	-20.8365680670688	2.01797286343048e-96	1.19288517613917e-94
"YBL078C"	1896.76903525815	-2.31588606163598	0.111334658408086	-20.8011242388451	4.22782553348895e-96	2.47765154971188e-94
"YKL209C"	1335.78641079284	-2.21257869772942	0.106945307732046	-20.6888805563409	4.36223248692715e-95	2.53456892701972e-93
"YLR178C"	3822.5020413017	-2.39937541574275	0.116152206361466	-20.6571660660141	8.41609013882288e-95	4.84852379353542e-93
"YEL039C"	604.709583829961	-2.7990626386842	0.136206374484339	-20.5501588988115	7.67117083459738e-94	4.38223691878933e-92
"YGL205W"	1508.36760272294	-3.51194102869211	0.17165268975181	-20.4595747015091	4.93670444807661e-93	2.7966430698354e-91
"YIL053W"	34078.7259604432	1.54475500171109	0.0760325766834327	20.3170150098002	9.09405537201809e-92	5.10920565446107e-90
"YMR311C"	3525.79274274316	-1.57155739440697	0.0778507181917977	-20.1868066333722	1.27866640928997e-90	7.12489692651905e-89
"YOR386W"	1310.54282338826	-2.50931511272447	0.125067108124865	-20.0637493770081	1.53093524819668e-89	8.46121773759432e-88
"YKR093W"	1357.0144553662	-2.24640500973706	0.112406847167603	-19.9845922765504	7.49973532567308e-89	4.11154844709077e-87
"YDL171C"	3908.57137905856	1.41614845855608	0.070868094957336	19.9828774769327	7.76185394607261e-89	4.22120665003213e-87
"YFL052W"	321.615080884073	-3.71294340359924	0.186363612801467	-19.9231134650445	2.56533112212285e-88	1.38405721969771e-86
"YKL218C"	1434.2347739224	-1.82253463554433	0.0915249636208307	-19.9129785300404	3.14075106103587e-88	1.68116737897022e-86
"YPR006C"	1287.52701191963	-1.95534679409711	0.0983632417521588	-19.8788364359107	6.20563271834771e-88	3.29577275150998e-86
"YCR024C-A"	3750.57973587764	2.72154134924969	0.1395333735149	19.5045907706021	1.00357083596624e-84	5.28858491697555e-83
"YMR114C"	1110.02151470202	-1.995963778002	0.1029275461507	-19.3919300774899	9.0284580881286e-84	4.72118908331525e-82
"YML054C"	1610.04806830716	-2.23749754866749	0.115850857767228	-19.3136036434288	4.12743313794159e-83	2.14185423448297e-81
"YDR516C"	4683.16217131208	-2.13795727597221	0.111998929888578	-19.0890866376951	3.11162266484863e-81	1.60248567239704e-79
"YPL093W"	6551.99534177598	1.69188270033192	0.0886374782211533	19.0876673647079	3.19731026849412e-81	1.63423422595662e-79
"YOL048C"	1561.40240399891	-1.69533837253983	0.0888746138584541	-19.0756201229735	4.02618396860718e-81	2.04253721034266e-79
"YJL183W"	1258.56770290449	2.32209846740028	0.121790811399724	19.0662862059357	4.81296102261319e-81	2.42359326160922e-79
"YDL169C"	703.125974175835	-3.54866238841002	0.186724596631158	-19.0047934360774	1.5565756321187e-80	7.78058907878157e-79
"YLR258W"	7353.74130550106	-2.18103708100149	0.114862699260279	-18.988210228799	2.13481377284384e-80	1.05930394363448e-78
"YLR264W"	8006.75098858117	1.82740473399713	0.0962719075118128	18.981702775266	2.41636424436399e-80	1.19032203863669e-78
"YKR052C"	2198.98024801867	-2.56075223679477	0.13491799549776	-18.9800643520328	2.49290475714981e-80	1.21919183734564e-78
"YLR216C"	10991.3184750583	-1.78046420369432	0.0946236628346464	-18.8162680492052	5.55630185884501e-79	2.69798143117345e-77
"YGR211W"	8392.01218346257	-1.47484515174629	0.0783874619893358	-18.8148093370714	5.71135502764995e-79	2.75360223247974e-77
"YGR209C"	10934.7403235767	-1.7733540547192	0.0945267509303615	-18.7603407211747	1.59374629274724e-78	7.62977978739138e-77
"YIL111W"	2738.77192609919	-1.62216023530578	0.0865067648999248	-18.751830994748	1.87039142027685e-78	8.89155305946994e-77
"YGR060W"	9090.07755958518	1.35300043822061	0.0722155786497183	18.7355756682826	2.5388091064166e-78	1.19852946565417e-76
"YPR036W-A"	31057.7629089754	-1.55501582629055	0.0833859518292034	-18.6484148969798	1.30076875321785e-77	6.09836274784478e-76
"YML131W"	4252.90521980216	-3.87504563822994	0.207819268604736	-18.6462288326118	1.35504715097871e-77	6.30932228243372e-76
"YNL015W"	3714.23651111411	-1.68162527397845	0.0902655388398697	-18.6297594363409	1.84351005538325e-77	8.52529343979273e-76
"YBR238C"	1652.99801204728	1.73538300296024	0.0932253762589916	18.6149208788295	2.43219062504945e-77	1.1171643154788e-75
"YBR028C"	1692.18274525884	1.88186758638705	0.101116623994557	18.6108625075177	2.62359933938498e-77	1.19699518853283e-75
"YPR154W"	5756.59668661856	-2.37019880169399	0.127390426915688	-18.6057842734343	2.88439720768642e-77	1.30720881452348e-75
"YIL105C"	2202.15019191683	-1.51309012163055	0.0813880805041545	-18.5910530418924	3.79650574801764e-77	1.70918185927311e-75
"YKR049C"	1627.80787661056	-1.91020755684242	0.102808645125883	-18.5802230396432	4.64570430657042e-77	2.07773012342538e-75
"YMR303C"	6383.95420047754	-3.01165010465266	0.1625349019096	-18.5292516823723	1.19943353634399e-76	5.32924783010878e-75
"YMR191W"	3089.30038770878	-1.8970387879466	0.102921913460328	-18.4318258781481	7.29779416579203e-76	3.22145485318534e-74
"YJL056C"	977.851559324438	2.53182352330202	0.137683099050305	18.3887749532495	1.61590038932585e-75	7.08702635266913e-74
"YLL028W"	1009.34226286374	2.15252380867614	0.117344635182856	18.3436064658764	3.71326049440666e-75	1.61812466929337e-73
"YNL196C"	361.967410314659	-2.90925283843776	0.158695950282512	-18.3322437230356	4.57632125718578e-75	1.9815179558184e-73
"YIL087C"	906.568495058284	-1.9386896901531	0.105795026298107	-18.3249606147863	5.23192710660531e-75	2.25105319434828e-73
"YML004C"	5822.86228671638	-1.31535767141136	0.0719248582691898	-18.2879424869832	1.03238885806422e-74	4.413949344101e-73
"YDR501W"	664.179126493507	1.9921556864738	0.109192098866258	18.2445040177664	2.28804148404631e-74	9.72131625534178e-73
"YCL026C-B"	501.96220702107	-3.40449126789263	0.18679496013707	-18.2258197190889	3.22014366006067e-74	1.35966065845295e-72
"YMR251W-A"	74094.0748362811	-1.18828452581664	0.0653644337805187	-18.1793745786382	7.51863456951182e-74	3.15504183972478e-72
"YKL161C"	856.870570958886	2.30946635137316	0.127052981583979	18.1771912991012	7.82397086563872e-74	3.2630278493627e-72
"YDR096W"	1973.78743588583	-1.9924702267272	0.109677404477713	-18.1666427667157	9.48257862422243e-74	3.93064448094293e-72
"YGR233C"	2419.4528292947	2.54014932084695	0.140841073872415	18.0355719464907	1.02430119328621e-72	4.2201209163392e-71
"YHR001W-A"	1522.49651344589	-1.74172594419256	0.09664556066215	-18.0217894361565	1.31422999514912e-72	5.38200934158055e-71
"YIL007C"	1052.82418863807	-1.67774943322777	0.0932014013930961	-18.0013326854552	1.90187038276286e-72	7.74186518683949e-71
"YPL171C"	540.903133941289	-4.37984727299189	0.243452373902765	-17.9905712266383	2.30964738542363e-72	9.34582317030349e-71
"YPR119W"	989.12940731835	1.79298722900232	0.0998063972562909	17.9646523498704	3.68579895410274e-72	1.48260717692251e-70
"YJL170C"	236.741192838068	-3.73438532611544	0.208298167567991	-17.928075746977	7.12015851830377e-72	2.84722574161347e-70
"YLR327C"	35999.4061894448	-6.94951850815046	0.388911198017191	-17.8691653610942	2.05039128345863e-71	8.1512046461706e-70
"YER052C"	4018.03663719749	1.2332881186048	0.0692428642740536	17.8110500126571	5.80112655919482e-71	2.29279409008177e-69
"YER001W"	3173.21690747304	1.74120776915241	0.0980512241141949	17.758144121939	1.49083040925497e-70	5.85818793185856e-69
"YDR379C-A"	464.476171149912	-3.10697197831333	0.175429292344874	-17.7106795380864	3.46859433663283e-70	1.35514392531207e-68
"YHR137W"	3913.67845634396	-2.42444755232597	0.136933701053733	-17.7052656407397	3.81874708264432e-70	1.48341958101806e-68
"YBR069C"	4793.69018514977	1.31464351852688	0.0744415775172721	17.6600706536862	8.51330418510299e-70	3.28826374149603e-68
"YOR028C"	1136.15054066301	-2.45335911809162	0.138979593102874	-17.6526572233926	9.70791549276719e-70	3.72849771298482e-68
"YLR432W"	9746.2846490077	1.66925561556154	0.0947382981431462	17.6196495850005	1.74079866091329e-69	6.64828612184749e-68
"YPR138C"	1381.12828799088	2.03605106360172	0.115600782796498	17.6127792074381	1.96552931731893e-69	7.46461916152744e-68
"YOR173W"	1335.09518198309	-2.30570622258284	0.131857219889875	-17.4863858384738	1.81935751201796e-68	6.87110687038785e-67
"YGL227W"	1583.65557360032	-1.57177442776079	0.0899030205091786	-17.4829991123638	1.93071758135047e-68	7.2513912254257e-67
"YGR108W"	1861.0616448318	1.62469800626386	0.0936453346575837	17.3494815540423	1.99032332044817e-67	7.43418567714651e-66
"YJR122W"	1046.25013109242	-1.89508888288279	0.109284085657631	-17.3409410114826	2.30925226970578e-67	8.5783043330382e-66
"YIL057C"	3254.77060719299	-9.05447661573044	0.522910018701425	-17.3155539039317	3.59050669205464e-67	1.32653611372758e-65
"YGL225W"	4315.80461621428	1.77605018059227	0.102599739254136	17.3104746026016	3.921690471432e-67	1.44106226079972e-65
"YBR023C"	2128.87925153856	1.64486186248655	0.0953562091240327	17.2496566043961	1.12566398595566e-66	4.11412030996052e-65
"YNL173C"	4649.68611691178	-2.08009634777878	0.120788914318162	-17.2209209720997	1.85020456303197e-66	6.72603776443386e-65
"YDR119W-A"	854.553563963858	-4.23149430778732	0.245791421664537	-17.2157932898187	2.02158589448499e-66	7.30996856952606e-65
"YER162C"	1345.44047771314	-1.6845190040026	0.0978491255960384	-17.2154732476301	2.03279256487205e-66	7.31159992380963e-65
"YCR024C-B"	4759.71537984042	2.45747124792387	0.142818817786899	17.2069149290305	2.35656094371094e-66	8.43152699755104e-65
"YIL033C"	5247.68975018494	-1.56808981350312	0.0913841892743933	-17.1593119767657	5.35441866202584e-66	1.90572450599223e-64
"YPL268W"	1701.58140149038	1.53677028879873	0.0898614737983933	17.1015477917324	1.44514807723692e-65	5.11672741096696e-64
"YPL005W"	715.762059692271	-1.73953782434974	0.101808532508241	-17.0863657641754	1.87501168057611e-65	6.60431575365615e-64
"YER065C"	2058.19403628079	-1.89142352128708	0.111029452811878	-17.035331377268	4.4919007625959e-65	1.57401759711994e-63
"YAL053W"	3221.65249113908	1.76075469797304	0.103677511144768	16.9829954300741	1.0973931966087e-64	3.82568151310047e-63
"YML118W"	542.831678028644	-2.32221334576458	0.13677430247774	-16.9784331098491	1.1861062064961e-64	4.11385203661251e-63
"YAL061W"	2659.18842721947	-2.06534748012303	0.121768859084425	-16.9612123793578	1.59029009280706e-64	5.4877117009657e-63
"YBR280C"	1301.15907137784	-2.42927469899322	0.144144521279383	-16.853049130357	9.96421482986029e-64	3.42104709158537e-62
"YHR007C"	11230.3124397272	1.24887637126752	0.07446733124366	16.7707953328037	3.99130436329705e-63	1.36346166139163e-61
"YBR101C"	8427.39997496366	-2.57015449742942	0.153656630387817	-16.7266097853542	8.38788450455969e-63	2.85104194309984e-61
"YPL186C"	746.774115408215	-2.60812160154827	0.156096419759215	-16.7084011636616	1.13847257777555e-62	3.85041621080508e-61
"YJR148W"	5363.8792526986	-2.83719417764517	0.169836153090987	-16.7054783449151	1.19565313359335e-62	4.02378712978593e-61
"YDR003W"	1435.68766948056	-1.7570596663908	0.105236646130683	-16.6962719831349	1.39513928580521e-62	4.67199845561766e-61
"YGL045W"	1194.41857321982	-1.80395594683965	0.108484012327424	-16.6287723705775	4.31341687183221e-62	1.43738273993703e-60
"YMR105C"	3165.71258051816	-1.36729160260954	0.0822607274104381	-16.6214382689259	4.87489512006615e-62	1.61656278176633e-60
"YOR285W"	4896.06448523424	-2.02202384099891	0.121876888602126	-16.5907077559217	8.13559686396579e-62	2.68474696510871e-60
"YGL080W"	2606.58003720588	-1.49902333610308	0.0903568430681573	-16.5900366281317	8.22701730632699e-62	2.70180017625173e-60
"YPR093C"	732.125595288162	-2.21271852642198	0.133452691308325	-16.5805462949397	9.63489689655626e-62	3.14894370686488e-60
"YER145C"	4516.66274705294	2.19444019789204	0.132360767057303	16.5792345169925	9.8475164728927e-62	3.20303430539352e-60
"YIR012W"	2524.08740826637	1.34035970929353	0.0811594202374687	16.5151464287411	2.85467290159974e-61	9.24098399289288e-60
"YNL195C"	612.273812816787	-2.83313519308414	0.172799767199278	-16.3954803817351	2.06005760579217e-60	6.63709554700244e-59
"YNL093W"	376.487464284639	-3.27698773243216	0.199876918300076	-16.3950283019293	2.07544021328366e-60	6.65511441976523e-59
"YKR011C"	1934.98388975809	-1.34595205331834	0.082339954872614	-16.3462811632655	4.62349890334537e-60	1.47561246689868e-58
"YPL113C"	608.12886265453	-1.92048293936364	0.117703571218494	-16.3162673781463	7.56202789657641e-60	2.40218063742647e-58
"YKL051W"	2002.1767002294	2.16624013483091	0.132995849036466	16.2880281642245	1.20037448824052e-59	3.79541663770189e-58
"YAL036C"	1824.86716481224	1.48582834196239	0.0913175712805371	16.2710015293527	1.58543224862282e-59	4.98970760469349e-58
"YER011W"	480.723829089471	-2.02184718599427	0.124295603164308	-16.2664417286069	1.7079902935668e-59	5.35065346344106e-58
"YER015W"	1594.16277376884	-1.6663234933158	0.102459011548805	-16.2633180637514	1.79735128096804e-59	5.6047678935875e-58
"YLR151C"	654.239835013732	-1.87139733034089	0.11516663600857	-16.2494746325805	2.25286697633233e-59	6.99314598406721e-58
