""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YAR071W"	8328.28620813429	8.4752126614653	0.219345551216133	38.6386348593605	0	0
"YBL002W"	6233.68494069482	4.56470558198754	0.115158585554401	39.6384304306271	0	0
"YBR009C"	8306.5688710572	4.56301682991955	0.119226740743194	38.2717568347185	0	0
"YBR040W"	17935.2453493632	-8.62038053944922	0.17902707760167	-48.1512665845403	0	0
"YBR093C"	57756.2045588542	7.55066022475555	0.118566824242442	63.6827398641982	0	0
"YBR296C"	24147.9522112205	9.11928798950923	0.163607606933892	55.7387774346826	0	0
"YCL027W"	8600.44278948123	-4.20445279550412	0.107488810344511	-39.115260295732	0	0
"YCL055W"	12538.9337130527	-4.6367005131053	0.116619124300252	-39.7593494285505	0	0
"YDR033W"	21944.7439411334	4.86038892242351	0.126167942102118	38.5231687340163	0	0
"YDR124W"	4777.94124274073	-4.41331857752861	0.113277022274968	-38.9604042275735	0	0
"YDR461W"	12856.3039287413	-7.69622728732432	0.204367761676546	-37.658714976314	0	0
"YFL026W"	26292.5076010594	-7.72996399665764	0.165560896653866	-46.6895514151417	0	0
"YGL032C"	5708.04030283004	-8.46171814456484	0.192926506430963	-43.8598008179492	0	0
"YGL053W"	13099.4454777523	-4.62220207269434	0.087000317399767	-53.1285656287355	0	0
"YHR215W"	10936.2460493718	7.26838003637624	0.192617939164027	37.734699415441	0	0
"YIL017C"	20861.7893182835	-6.02912557253423	0.151847123091712	-39.7052341182176	0	0
"YIL037C"	7231.42370800137	-5.47118451407168	0.113760335790752	-48.0939553847243	0	0
"YJL170C"	20081.2245044116	-10.2316663386288	0.184821347161572	-55.3597649609394	0	0
"YML047C"	4919.49611097406	-6.387532739509	0.130835375441626	-48.8211442658249	0	0
"YML123C"	41871.4771875081	6.91168958717075	0.112854720654891	61.2441335822066	0	0
"YMR198W"	4728.14685106348	-3.67598142012816	0.0917795649004381	-40.0522864116412	0	0
"YMR232W"	10196.9956741243	-6.26193479732721	0.107566860743595	-58.214349233949	0	0
"YNL145W"	12262.7526996805	-9.20436110724637	0.197846095558867	-46.5228342325699	0	0
"YNL279W"	22155.1295006947	-5.3274234570996	0.0841791533527012	-63.286731273933	0	0
"YPL019C"	14622.7566491599	3.89568801629408	0.0956490314744419	40.7289855029535	0	0
"YPL187W"	38325.3877764807	10.9289288123067	0.19797344741925	55.2040132390201	0	0
"YPL192C"	7017.36168246751	-5.73367412201221	0.12642184966151	-45.3535060384256	0	0
"YKL209C"	4888.27677310304	-4.28209739486697	0.114513771939531	-37.3937328440122	4.94018161674261e-306	1.2015227432149e-303
"YCL064C"	3456.15324223467	6.48956599950031	0.176739442186628	36.7182668407862	3.73309062903955e-295	8.76632661508942e-293
"tH(GUG)E2"	5195.71609773982	-8.89693271004289	0.253869090874576	-35.0453561691699	4.58893730599798e-269	1.04168876846154e-266
"YKL178C"	6407.67407633869	8.3190303685999	0.240594564278975	34.5769672458343	5.60774454368135e-262	1.2318948497571e-259
"YDR281C"	2585.59095336022	4.0845608483369	0.119755636634704	34.1074621881576	5.71757600237238e-255	1.21677164300487e-252
"YDR133C"	13674.9135425822	3.55283262495371	0.106918387778116	33.2293883099581	4.05252098317878e-242	8.36292966528712e-240
"YJR004C"	18085.8020639511	5.42878085815931	0.164117496684002	33.078623351245	6.03255400453655e-240	1.20828508149688e-237
"YJL108C"	2372.96345350461	-3.76438534792791	0.118496429394234	-31.7679221827344	1.79612004946076e-221	3.49473643909364e-219
"YKL189W"	3947.60067302901	-3.22096982179441	0.101620050997256	-31.6962035561405	1.75256310960557e-220	3.31526521567053e-218
"YPR036W-A"	9256.59502927943	2.60413201107891	0.0853763726501345	30.5017879097586	2.46743090414285e-204	4.54140661005752e-202
"YMR251W"	741.882014306996	4.56243121754498	0.151231745816931	30.1684754936831	6.14032200355408e-200	1.10041033800535e-197
"YJL107C"	2047.99935274312	-3.60664221984474	0.121231340059826	-29.750081274899	1.72994602568396e-194	3.02075190638661e-192
"YOR129C"	2893.28131964022	-2.97954248106191	0.100538757877348	-29.6357598200765	5.17523338138204e-193	8.81083483180292e-191
"YMR065W"	2916.02849445061	-3.00268678001151	0.10411006185766	-28.8414657184317	6.4830790611304e-183	1.07682361966581e-180
"YKL127W"	12497.9654669699	-2.38511849274948	0.0835849714785995	-28.5352552086489	4.28097451664413e-179	6.94129439484441e-177
"YLR227W-B"	891.554887492565	6.80623811479294	0.239163163094174	28.4585553508208	3.81900185368124e-178	6.04823316827192e-176
"YGL089C"	10615.9043091235	6.52199445690117	0.229826485460154	28.3779062445435	3.78914298746795e-177	5.86455994196744e-175
"YDR224C"	9441.62692822702	3.06683826173537	0.108967711578961	28.144467909772	2.80069769646056e-174	4.23838918064365e-172
"YPR141C"	3992.00396285747	-3.1806695822774	0.113220106118973	-28.0927981019123	1.19961513113587e-173	1.77595196587724e-171
"YPR149W"	8462.99185602218	3.3630813363231	0.12058136972219	27.8905551004385	3.4734839300451e-171	5.03285650289513e-169
"YJL196C"	2232.02936020047	3.41223667528835	0.122378901830989	27.8825567498621	4.34267553052052e-171	6.16117090892598e-169
"YER001W"	2745.91843986103	3.12383804612914	0.112103870214718	27.8655682461801	6.97712658470586e-171	9.69678204935651e-169
