""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBR068C"	5419.50583326725	4.58649540326751	0.0975728176200461	47.0058722822536	0	0
"YBR069C"	3267.55285576639	3.75569080603228	0.0912429157273967	41.1614510133918	0	0
"YBR291C"	2812.9762974566	-3.34775437460924	0.0891396488298536	-37.5562885714224	0	0
"YBR294W"	10987.4800931649	-5.07472019750375	0.10803501419422	-46.9729210974202	0	0
"YCL064C"	4296.44717626834	5.30826736512025	0.0985290562164595	53.8751467735412	0	0
"YCR021C"	9774.97755844135	6.18329394996658	0.114564550875726	53.9721397474328	0	0
"YDR046C"	3232.11576966584	6.00029684539893	0.129595416127468	46.3002243805994	0	0
"YER053C"	5259.80640652555	4.16935035203847	0.0840332300831192	49.6154955356884	0	0
"YFL026W"	13880.7284104322	-6.84449906622489	0.0999750052267538	-68.4621026095557	0	0
"YGL089C"	3873.66026401662	5.25027819943245	0.116440971501434	45.0896117726722	0	0
"YIL015W"	3953.46602102244	-5.23005059419536	0.126102578307446	-41.4745730372315	0	0
"YIR031C"	3476.54841820138	-3.77272218733191	0.0798673945264986	-47.2373264421464	0	0
"YJL172W"	10958.7029278356	-3.99475995276238	0.0768779113491324	-51.9623892306417	0	0
"YJR004C"	9980.82744269799	4.37490316605909	0.105834288102945	41.3372947886572	0	0
"YJR010W"	6135.11819992034	-3.98001304207103	0.0774965981839886	-51.3572612906425	0	0
"YJR137C"	8247.22788068265	-3.54420072705226	0.0709693615562846	-49.9398705206248	0	0
"YJR152W"	11515.9923905666	-5.79164025196387	0.102930522764783	-56.2674714593546	0	0
"YKL001C"	5373.37849816201	-3.76282435133607	0.0706367989370084	-53.2700293326094	0	0
"YKL178C"	3293.96879349767	4.83707199160119	0.10083069262143	47.9722182387662	0	0
"YKL209C"	4089.29106612344	-4.322632163758	0.0835699849527349	-51.7246971649303	0	0
"YKR039W"	26755.421194074	-7.38486187517154	0.0910605492688791	-81.0983673441929	0	0
"YLR040C"	3266.30721011365	3.92465251337833	0.0881161457886782	44.5395390169527	0	0
"YLR303W"	30983.3948443925	-2.6472736150641	0.0641449930924414	-41.2701520015605	0	0
"YML123C"	14036.705804789	-4.37897824481217	0.0728949688755434	-60.0724345227251	0	0
"YMR011W"	8886.82773298355	-3.0013928163962	0.076463857259316	-39.2524380010992	0	0
"YMR102C"	3847.10905471345	3.2057708064374	0.0766191809044974	41.8403168579061	0	0
"YNL142W"	31003.6067058199	-7.29640672807428	0.078451401058774	-93.0054355894546	0	0
"YNR050C"	13497.1728443718	-3.11794665294842	0.0723579926830638	-43.090563147673	0	0
"YOR153W"	41729.8151134405	2.66071988828931	0.0638846688449837	41.6488014478959	0	0
"YOR375C"	37003.1284314677	-4.02938461562166	0.0900650301911562	-44.7386139444977	0	0
"YJL200C"	12238.1951220225	-2.36690052686015	0.0651028706262555	-36.3563158443215	2.08825036175396e-289	4.57933095458174e-287
