""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBR069C"	3380.55103076422	3.27770339843949	0.0739636531164915	44.315055575705	0	0
"YBR291C"	2901.93935464797	-3.38528511727254	0.0897005491524214	-37.7398482981434	0	0
"YBR294W"	7754.8447265866	-4.54327839518564	0.0746571532914402	-60.8552321496907	0	0
"YBR296C"	2933.45482220909	-5.86772976250508	0.135602195789841	-43.27164267752	0	0
"YCL064C"	4316.43329839403	5.47631331461718	0.0912731138295151	59.9991945584999	0	0
"YCR021C"	9904.64461943882	5.66140064569222	0.112409060244478	50.3642734258186	0	0
"YDL182W"	25133.7937398279	-2.10271568107492	0.0516966339384026	-40.6741313869746	0	0
"YDR046C"	3275.50193285325	5.5257533334194	0.114971993454818	48.0617337090091	0	0
"YDR461W"	15387.9759069754	-9.10332684275932	0.15411382365308	-59.0688533122862	0	0
"YER053C"	5325.93671592452	4.03249745502475	0.103024986201624	39.1409657375057	0	0
"YER091C"	63202.1199697319	-2.56714114691735	0.0561477540328976	-45.7211724873846	0	0
"YFL026W"	16255.2502583535	-7.06358257628283	0.0876776824955376	-80.5630620613442	0	0
"YFR030W"	10681.4702907056	-3.03804221553889	0.0667500760036841	-45.5136892334208	0	0
"YGL032C"	2818.8727707926	-7.94178602423803	0.204868488419854	-38.7652883344473	0	0
"YGL089C"	3900.30692938839	5.28237565490586	0.109080572813532	48.4263651964482	0	0
"YHR215W"	1891.50064984819	-3.80252367194651	0.0876178160061907	-43.3989780306535	0	0
"YIL015W"	4146.18779804699	-5.2895513270282	0.112885142452762	-46.8578168224545	0	0
"YJL200C"	12677.9398843385	-2.41488420753814	0.0579886983142259	-41.6440492327056	0	0
"YJR004C"	9972.96723435714	4.65809692600564	0.0915924459138356	50.8567805950688	0	0
"YJR010W"	7924.17371548414	-4.35849481164128	0.0663940786802284	-65.6458361691101	0	0
"YJR137C"	10115.0152926849	-3.85005004267263	0.061214455637769	-62.8944585484015	0	0
"YKL001C"	6272.76561222185	-3.98998967331742	0.0641264268484406	-62.220676707086	0	0
"YKL178C"	3317.26267276171	4.85336638245436	0.0986234543654225	49.2110767533201	0	0
"YKL209C"	4745.3403139947	-4.53627155758992	0.0767236718139983	-59.1247974756374	0	0
"YKR039W"	5048.324551312	-4.93039756311159	0.0750989343520874	-65.6520309595385	0	0
"YLR040C"	3309.12010948696	3.79820350596999	0.0789098890184418	48.1334285628297	0	0
"YLR092W"	2667.65333264719	-3.28266130529496	0.0851344696685964	-38.5585452998462	0	0
"YLR303W"	31436.3962759925	-2.65929464844353	0.0573107466058791	-46.4013262073038	0	0
"YML123C"	15459.730673926	-4.51356224410201	0.0859872298876893	-52.4910762911809	0	0
"YMR102C"	3960.15393817241	2.91507144166301	0.0695419702624941	41.9181600788666	0	0
"YNL142W"	3289.3545708417	-3.96915711241521	0.0769190582569297	-51.6017382734613	0	0
"YNR050C"	14511.7121168979	-3.22234876951177	0.0649277045702945	-49.6297965689373	0	0
"YOR153W"	41972.4790767742	2.67733584786466	0.0584358457185921	45.8166698015774	0	0
"YPL187W"	29054.1339930214	10.4539963254827	0.141736598426723	73.7565063753619	0	0
"YER130C"	4803.89868139831	2.75235698803699	0.0744018999674161	36.9931008380481	1.47836361660170e-299	2.76411757344043e-297
"YIR034C"	6682.16447486801	-2.10547123683573	0.0574453444004305	-36.6517297234612	4.2946775463536e-294	7.80676940648278e-292
"YPR157W"	1802.23205352278	3.65734027328777	0.101538034523762	36.0194117449841	4.15593123926891e-284	7.35038217020966e-282
"YIL074C"	6312.00922734031	-1.9356866138941	0.056349169534595	-34.351644041634	1.33101649860092e-258	2.29215051759063e-256
"YBR068C"	5641.81518813994	3.70900710441656	0.109941316191895	33.7362443245881	1.70123893462024e-249	2.85459168927048e-247
"YPL014W"	2809.72163827646	3.93910892136153	0.119762702155012	32.8909489388695	2.96090474643704e-237	4.844040165171e-235
"YGL062W"	5928.35075268212	-2.97398412571959	0.0939705639687248	-31.648039557466	8.06918964027966e-220	1.25725659538072e-217
"YPR167C"	2886.27135510801	-2.78878459223807	0.0881175605765436	-31.6484543374936	7.9638529387015e-220	1.25725659538072e-217
"YJL133C-A"	4695.86408522817	-2.08871316797389	0.0673813758297699	-30.998375177894	5.66926027830826e-211	8.62782308401146e-209
