""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YAR071W"	11172.7829795926	-7.121689539642	0.127629605942279	-55.7996672250389	0	0
"YBR093C"	75921.4090569573	-7.39470377754831	0.0948687725935199	-77.9466580560927	0	0
"YBR296C"	20352.0496850682	-8.64000569098299	0.136275216634319	-63.4011517601736	0	0
"YCR021C"	10109.6870854941	6.63685941206821	0.133639278269302	49.6624906840188	0	0
"YCR098C"	3909.63590269765	-5.64955866908764	0.139712545696956	-40.4370175985616	0	0
"YDR281C"	5387.24598630716	-7.32799997833956	0.151784934813465	-48.2788360211455	0	0
"YDR461W"	12202.8785130261	-8.72470421930704	0.159491360260246	-54.7033030821902	0	0
"YER053C"	5675.66681704254	3.3614506278344	0.0858941647494516	39.1347961487204	0	0
"YFL026W"	12256.1634786901	-6.60910791734372	0.109654357550837	-60.2721867599259	0	0
"YGL032C"	3026.90380548809	-8.00150577880695	0.208316878332301	-38.4102615345608	0	0
"YHR136C"	2977.63291711631	-6.76374589786384	0.176457275318975	-38.3307850902563	0	0
"YHR215W"	15230.3578807848	-6.85607864107964	0.100585891108511	-68.1614346258897	0	0
"YIL015W"	5231.29564461468	-5.58851120059709	0.139922051670385	-39.9401747893317	0	0
"YJL012C"	17755.0709437543	-3.24733956179272	0.0776651845464667	-41.8120368960155	0	0
"YKL178C"	3465.84159840818	4.34875124652215	0.100785999877923	43.1483663583192	0	0
"YKL209C"	2930.62720116841	-3.75562273290409	0.0975643967578028	-38.4937831597235	0	0
"YKR039W"	2996.83813634274	-4.09974818578336	0.107097146070343	-38.2806483292334	0	0
"YML123C"	56504.6707369692	-6.38521703350242	0.0824876945877775	-77.4081160276305	0	0
"YNL145W"	8782.35114149784	-8.60937759131277	0.18569409485891	-46.3632276398135	0	0
"YPL019C"	20133.2937057409	-4.4875936187629	0.0896751140472818	-50.0427980096773	0	0
"YPL187W"	29939.6349502323	10.3528422882322	0.153620487287029	67.3923281397268	0	0
"YPL223C"	3277.55462184407	-5.85269141295648	0.141149874931554	-41.4643754788628	0	0
"YPL110C"	5040.70213602683	-3.4514757698683	0.0935397890880971	-36.8984771455669	4.88835138564559e-298	1.44567678805049e-295
"YDR481C"	13376.0795453765	-3.26900323009908	0.0899817989468951	-36.3296051908049	5.51683676507603e-289	1.56356348650196e-286
"YGL089C"	4040.82941275584	5.00390161739829	0.141344286922327	35.4022205379131	1.57829283337347e-274	4.29421914104254e-272
"YLR040C"	3514.58945401596	3.25299370483082	0.0923242943758484	35.2344280215998	5.9421283622814e-272	1.55455219693223e-269
"YKL109W"	4615.85704449136	3.38732070821494	0.101318018439629	33.4325597794168	4.61405364667647e-245	1.16239973721087e-242
"YJR004C"	10354.7947554665	4.38167929569536	0.134314416545358	32.6225539178489	1.96419387206692e-233	4.77158811349971e-231
"YOL058W"	17206.0687723417	2.50033142941851	0.0770208717947911	32.4630372411288	3.54636409808089e-231	8.31805813625732e-229
"YER001W"	8539.10828022156	-2.3105493990396	0.0712894426058246	-32.4108214987056	1.93220696334e-230	4.38095725487956e-228
"YHR033W"	2342.95380594425	-4.1907086817885	0.132095972539986	-31.7247271147496	7.08706582040781e-221	1.55503941001335e-218
"YBR072W"	10086.9764706172	-4.92935276522187	0.157802191813917	-31.2375430820038	3.29605654750855e-214	7.00618019879787e-212
"YJL177W"	16762.4669558669	2.19427258102708	0.0742235521054624	29.5630230403053	4.46699336169931e-192	9.2074208625087e-190
"YMR102C"	4122.59021692476	2.7902360128918	0.0951510255244118	29.3242873370392	5.08503378243541e-189	1.01730587612134e-186
"YKL180W"	30716.1916620436	2.24871732216289	0.0772776001835717	29.0992126673331	3.67318229762878e-186	7.13856742527742e-184
"YER131W"	19041.6586822465	2.48770033514698	0.0854985440590855	29.09640582216	3.98615727848523e-186	7.53162272451571e-184
"YML128C"	6213.78516869595	-2.80551779373185	0.0965111111580211	-29.0693761585469	8.75701991964494e-186	1.6098716079304e-183
"YGR256W"	1969.92739488594	-4.14848612849732	0.142880322682771	-29.0346917658351	2.40154859317887e-185	4.29877198179018e-183
"YBR191W"	17809.7958643367	2.46616615913731	0.0854775224694532	28.8516335978108	4.8333300639056e-183	8.42982335761178e-181
"YPR157W"	1886.8961074761	3.37576788967639	0.117039518030408	28.8429749753356	6.20659873457017e-183	1.05543211481366e-180
"YER072W"	18934.7588293127	-3.19687398899747	0.112594063911168	-28.3929176898674	2.47318370501384e-177	4.10307208817175e-175
"YMR199W"	4387.08733318434	-2.26930217538743	0.0812675957881615	-27.9238256451289	1.37091930008384e-171	2.22023644742149e-169
"YPL131W"	45153.5032342831	2.17784892471132	0.0791937576153576	27.5002599988889	1.74310965432096e-166	2.75735624853284e-164
"YFL014W"	33722.8256494781	-3.82804989525746	0.140609469575382	-27.2246948005532	3.31383518039836e-163	5.12288793115219e-161
"YLR048W"	29235.2114239257	2.24235699977334	0.0825583558695892	27.1608727687772	1.88393093661774e-162	2.84766627352752e-160
"YNL208W"	24053.1475612111	-2.20727664064339	0.0814947278938433	-27.0849010443796	1.48311020210594e-161	2.19306860754883e-159
"YPL143W"	12374.7859675074	2.1817289965011	0.0805612856936267	27.081605981292	1.62174662872462e-161	2.34704692948614e-159
"YGR233C"	2884.0484672728	-2.26986831600707	0.0846367272759332	-26.8189518789737	1.94268118740765e-158	2.75294113265559e-156
"YKR094C"	19444.5873841624	2.28815404724579	0.0853917499545595	26.7959615356683	3.6010913304452e-158	4.99890269993637e-156
"YLL044W"	6245.44445071075	2.44756214653291	0.0921319894443992	26.5658232422084	1.68603274700852e-155	2.29367894903039e-153
"YLR061W"	9037.62692244184	2.2459666427802	0.0850152646775804	26.4183926415804	8.42404333059513e-154	1.1235361320531e-151
"YHR137W"	1003.06259533331	-4.83103618738996	0.183392284373826	-26.3426359723095	6.23306521904924e-153	8.15332877307172e-151
"YHL033C"	13734.2975077806	2.01129461669437	0.0764066343584236	26.3235599052745	1.03080227773261e-152	1.32292775342212e-150
"YDR025W"	19472.2257800504	2.09500339730949	0.08041128974599	26.0535977463782	1.22481038904321e-149	1.54280745671703e-147
"YMR145C"	11080.4695439504	2.68499869965275	0.103482284618462	25.9464574980375	1.99363388946606e-148	2.46558140293602e-146
"YFR031C-A"	28234.2918658151	2.29789042293703	0.0888169082763198	25.8722181117589	1.3685122127603e-147	1.66225358414207e-145
"YLL045C"	23231.9178230477	2.3443643952781	0.0911784370397463	25.7118291494309	8.6200854600113e-146	1.02866353156135e-143
"YGL121C"	1434.30267828929	-3.01790046515821	0.117410162806041	-25.7039117656596	1.05691684414248e-145	1.23950834032019e-143
