""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBR093C"	75652.4429940502	7.24478303628013	0.151873072955663	47.7028804072144	0	0
"YCL064C"	6806.92305069397	5.9360946787801	0.14716704061666	40.3357616889396	0	0
"YFL026W"	14378.9794266285	-6.61853823157515	0.108443943719181	-61.0318843504443	0	0
"YGL089C"	11689.2351952934	6.81934713285147	0.107283950663132	63.5635348129933	0	0
"YIL015W"	4086.34836250658	-5.27652461817817	0.131915702506943	-39.9992155437329	0	0
"YJR004C"	16942.1474601959	5.11606717901966	0.120275970820287	42.5360705395091	0	0
"YJR152W"	12010.8797183566	-5.22047971608083	0.109169247687873	-47.8200576320428	0	0
"YKL178C"	7100.22091776819	5.92239626237646	0.126431397780225	46.8427650596043	0	0
"YKL209C"	4308.97774423605	-3.84094587042388	0.0974000075045566	-39.434759491617	0	0
"YLR040C"	5076.537210069	4.54323536182695	0.110194144916532	41.2293717172386	0	0
"YNL142W"	32206.9102301984	-6.55082118694367	0.104554151707816	-62.6548164749155	0	0
"YNL145W"	6355.12409541664	-7.68587068044237	0.188768469633967	-40.7158605213345	0	0
"YOR375C"	38275.3676727703	-4.02859505002185	0.101180832516993	-39.8157926734321	0	0
"YPL187W"	45442.6096535443	11.5568241891298	0.19406376344921	59.5516854034131	0	0
"YBR294W"	11565.4324096074	-4.39898686629968	0.117327089386676	-37.4933605640031	1.18165386462723e-307	5.15279861901781e-305
"YDR461W"	10247.1238436791	-7.38757443664202	0.205991184837763	-35.8635465030236	1.13104111277924e-281	4.62383744918062e-279
"YBR069C"	3285.20794014123	3.71163372331417	0.106069598936137	34.9924366693315	2.93220464741268e-268	1.12820885874861e-265
"YIR031C"	3757.98498623693	-3.04300340286325	0.0882050893909399	-34.4991816671275	8.25134338952612e-261	2.99844650616058e-258
"YKR039W"	28011.4477171487	-5.79632949431029	0.168202968308575	-34.460328212976	3.15369085706188e-260	1.08569957347588e-257
