""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YAR071W"	12916.4033329959	7.14427440239997	0.11709201560808	61.0141892707071	0	0
"YBR093C"	76611.6352273566	7.64111758188674	0.114054176407387	66.995508823751	0	0
"YBR296C"	33613.7031234116	9.68609726662762	0.197475054718648	49.0497257004326	0	0
"YDR281C"	4390.57324869571	6.66309050357213	0.139632661825163	47.7187100530613	0	0
"YER072W"	19270.0198699225	3.23113149963461	0.0756139642566257	42.7319415322347	0	0
"YHR136C"	4788.01967324016	6.99403507051905	0.146630914466852	47.6982299124934	0	0
"YHR215W"	17139.0758810814	6.85733574929357	0.127014030368875	53.9888052475657	0	0
"YML123C"	51354.2068344049	5.70222649938768	0.140652605085565	40.5412078640049	0	0
"YPL019C"	15966.9450319659	3.91540991892365	0.0902262588672679	43.3954590169102	0	0
"YJL012C"	16123.9224732746	2.98374197380145	0.0877634465165175	33.9975478656697	2.42166427773927e-253	1.64479437744051e-250
"YMR251W"	1073.45644459003	4.28418890120859	0.135979149195291	31.5062193473186	7.13948243361335e-218	4.40830588082744e-215
"YHR137W"	872.001496016539	3.85542221615713	0.126736626490066	30.4207419980467	2.92124035755871e-203	1.65342204237823e-200
"YDR481C"	6550.30676609145	2.16949243753509	0.0903295415304583	24.0175296008068	1.82419957721297e-127	9.53074117571578e-125
"YGL224C"	2325.06116986575	2.07599708364527	0.0875704045919092	23.7066060539484	3.08221850496616e-124	1.49531629183787e-121
"YCL038C"	1986.52552972457	2.47602941372963	0.107946212042557	22.937622051559	1.95845635848086e-116	8.86789039120134e-114
"YFL004W"	7730.14503758543	1.83501461805136	0.0800149815265667	22.9333880111201	2.15857948087967e-116	9.16316989633419e-114
"YPL110C"	2996.29058667208	2.37531217091658	0.105936776792673	22.4219788710889	2.40263189758172e-111	9.59922108727943e-109
"YJL133C-A"	4677.72978587106	2.28312804894527	0.104034633357767	21.9458460635294	9.48859302954212e-107	3.58036243648056e-104
"YLR346C"	677.925900320538	2.72235384012775	0.12569261452131	21.6588210094571	5.01915339131427e-104	1.79421525441087e-101
"YPR078C"	305.615338364551	3.88948258737559	0.180011188325002	21.6068935690448	1.54713577506045e-103	5.2540730921053e-101
"SCR1"	459.716846276684	3.42864489533091	0.164318202490508	20.8658860878725	1.09349293764912e-96	3.53666858691086e-94
"YIL121W"	2102.53053317487	-1.94797404741162	0.104435400482471	-18.6524304825028	1.20665127733821e-77	3.72526157985506e-75
"YOR163W"	2171.55528098744	1.42617205689824	0.0771950499356087	18.4749159186744	3.28739044750082e-76	9.70780692148937e-74
"YDL227C"	1717.81787309362	-1.60589870269923	0.0872685282364268	-18.4018080189063	1.27053859745996e-75	3.59562423081169e-73
"YLR307W"	253.832543663026	4.02469948826046	0.222015680526837	18.1279965392983	1.91614140389321e-73	5.20577296609706e-71
"YNL208W"	15815.3408288864	1.47705647965421	0.0838964269927741	17.6057137663494	2.22682624446355e-69	5.81715532784478e-67
"YLR136C"	2167.06695890322	2.07690940721823	0.119669452111692	17.3553849421804	1.79592636101783e-67	4.51775253482708e-65
"YHR210C"	757.15527735912	2.92647297470908	0.168771267652588	17.3398767184304	2.35240928563974e-67	5.70627281002326e-65
"YGR233C"	2570.34336769719	1.99320333166479	0.115101632404471	17.3168989007958	3.50757845030558e-67	8.21499063257775e-65
"YMR195W"	2808.05742698117	2.40835144845135	0.141280547946575	17.0465890984657	3.70534885264097e-65	8.38890980237916e-63
"RUF21"	237.172269693988	3.01819141122895	0.178731188299567	16.8867640837828	5.63077630254113e-64	1.23368492409224e-61
"YIR034C"	2529.40686621835	1.68937147790611	0.100117429433322	16.873899854083	7.00172546558288e-64	1.48611623006997e-61
"YNR050C"	4878.53752116392	1.39711363712413	0.0828704724334833	16.8590041313634	9.00942868143385e-64	1.8543042304333e-61
"YHR071W"	6902.97771678478	1.86339594226138	0.111534613139124	16.7068848836822	1.167787694377e-62	2.33282765300252e-60
"YER037W"	3497.81918764909	2.3819832690294	0.143391713247069	16.6117219404803	5.73238294775451e-62	1.11240985660425e-59
"YHL016C"	748.302128072349	2.30855883881487	0.140944695698544	16.3791821137595	2.69340543742056e-60	5.08155825860012e-58
"YMR255W"	2179.84598050887	1.41717828330086	0.0865745645761733	16.3694532018575	3.1604058533954e-60	5.80148015034096e-58
"YPR036W-A"	17090.6610513558	1.41948297557609	0.0873222037164395	16.2556934566787	2.03552111698133e-59	3.6382261648782e-57
"YPL018W"	760.43623069669	2.44002802908057	0.150467024146433	16.2163639702607	3.86403067358378e-59	6.72935803461052e-57
"YDR017C"	5248.61806576588	1.5541802572994	0.096391569856003	16.1236118430393	1.74127840515782e-58	2.95669073195798e-56
"YMR006C"	2458.47322777593	-1.44476298486777	0.0909255734689677	-15.8895119353947	7.49085258704143e-57	1.24092367734599e-54
"YCR098C"	310.010218348035	2.22697614552968	0.140246137207699	15.879055137409	8.85015133076617e-57	1.43119590091819e-54
"YML058W-A"	407.27664191676	2.15569246102746	0.135898562979356	15.8625110800835	1.15194396069678e-56	1.81953567001222e-54
"YJL117W"	5026.95330300961	1.32236749868815	0.0837384745133283	15.7916358803225	3.55246225469331e-56	5.48370991679022e-54
"YKL161C"	1058.02394460239	1.98322420181252	0.127404890252754	15.566311449098	1.23316414302956e-54	1.86125574654595e-52
"YOL082W"	3549.05772076792	2.32666661244574	0.150334026770415	15.476646654313	4.98804185323606e-54	7.3649522319955e-52
