""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBR093C"	75155.1026577522	7.89926003878327	0.164153169788642	48.1212762991666	0	0
"YHR215W"	16767.7325052426	7.48952718178017	0.169349784699073	44.225194588164	0	0
"YML123C"	49954.3277925938	6.57491405419864	0.12318986545598	53.3721993271278	0	0
"YPL187W"	45231.5084094045	11.9670890380032	0.284987347473206	41.9916503104696	0	0
"YHR136C"	4674.69475484252	8.35683668095199	0.23698907780147	35.2625393477106	2.20425485917333e-272	2.88228365385504e-269
"YAR071W"	12661.2329746289	7.41726521427728	0.219205423785793	33.8370515025459	5.62719948270507e-251	6.13177170298763e-248
"YKL178C"	7060.88904772604	6.0337316817874	0.180183294857739	33.4866319685809	7.5446983527846e-246	7.04674826150081e-243
"YLR040C"	5153.31244885698	3.98136551589967	0.141538457441694	28.1292136982613	4.30430061976521e-174	3.51768968150312e-171
"YBR296C"	33011.4163607893	9.38692866002291	0.350646785161262	26.7703257444836	7.16206635014101e-158	5.20284331080244e-155
"YDR461W"	5341.02674385094	-6.44903744548305	0.243898623533458	-26.4414671639111	4.57387765579003e-154	2.99040121135552e-151
"YDR281C"	4294.32829996106	7.28650180769638	0.292308999482929	24.9273947110271	3.75576709227967e-137	2.23229138630222e-134
"YNL145W"	3726.6211030665	-6.91670197602933	0.304391516967584	-22.7230444689624	2.65176979258216e-114	1.44477257532518e-111
"YFL026W"	9055.5496453166	-5.94753518888845	0.280287680766123	-21.219395631773	6.32315365040824e-100	3.1800598897207e-97
"YKL177W"	390.869010090685	5.13782203306567	0.257001210822907	19.9914312333961	6.5392999536887e-89	3.05385307837262e-86
"YOL082W"	3417.90754079751	2.50173610888275	0.126488475420737	19.7783719074901	4.57215598417536e-87	1.99285038830257e-84
"YHR137W"	865.739540713805	3.59893141752428	0.190928190920819	18.8496596556389	2.95738861923281e-79	1.20846292453401e-76
"YGL032C"	1770.00833081405	-6.19230891993181	0.335137293427546	-18.4769318168124	3.16685826582955e-76	1.21793643188198e-73
"YIL015W"	3875.31245626482	-5.19842618122007	0.282608051703583	-18.3944730161917	1.45468251470798e-75	5.28373015620043e-73
"YJR004C"	16701.5675321358	5.73714105606591	0.327993770946178	17.4916158911059	1.65983450976056e-68	5.71157790779712e-66
"YMR251W-A"	31613.4450780121	2.62325053875328	0.154005165922773	17.0335230187585	4.63291257235044e-65	1.51449911990136e-62
"YER037W"	3172.47126891407	3.31222430749597	0.199625526519373	16.5921882098307	7.93749425724854e-62	2.47120654542338e-59
"YGL089C"	11696.4172373529	6.15297876720945	0.38591676241674	15.9437976435059	3.14637667166095e-57	9.35045939969059e-55
"YER062C"	9267.73090494562	2.25418721197759	0.150961120523981	14.9322368842612	2.03329172851373e-50	5.77985274827077e-48
"YMR195W"	2645.98448909886	2.83551024805546	0.203410785074799	13.9398225468368	3.62841221019394e-44	9.88439959593667e-42
"YCL038C"	1901.09103589132	2.72998686897122	0.203004391244776	13.4479202751801	3.16653525999917e-41	8.28112301194982e-39
"YKL161C"	1038.20599734802	1.98736816012797	0.148526984606575	13.3805191386077	7.85964880585736e-41	1.97639938048829e-38
"YHL016C"	753.358255917552	2.10301186240096	0.159563432503902	13.1797858030506	1.14716060812706e-39	2.77782816886472e-37
"YLR266C"	1844.39562706536	1.41379537234383	0.108705877188131	13.0056939782295	1.13563270661006e-38	2.65170236993448e-36
"YDL021W"	935.3375281574	2.7783916209689	0.214092568001699	12.9775248477885	1.64098320844893e-38	3.69956835063416e-36
"YHR210C"	756.678731718674	2.71770451103144	0.21067731693594	12.8998439440816	4.51009578425517e-38	9.82900207915343e-36
"YLR346C"	635.82779465673	3.33847884859284	0.25903579840412	12.8880983599977	5.25229911471795e-38	1.10772682619439e-35
"YCL054W-A"	451.546141534309	-8.2349696227367	0.653830552194267	-12.5949599557561	2.25074135255812e-36	4.5985459259453e-34
"YPL019C"	15362.0851837555	4.46088387721677	0.356356895680029	12.5180231708556	5.94985972139142e-36	1.17879341995325e-33
"YBR296C-A"	190.641442408452	6.69382563892255	0.540217188980325	12.3909897268492	2.92412067887374e-35	5.62291205837545e-33
"YPR036W-A"	14862.1657401654	2.2026492213977	0.177969840341686	12.3765308614584	3.50153607195153e-35	6.54086938240545e-33
"YBR157C"	914.750205928352	1.52376111099643	0.128107227022984	11.8944195921363	1.26529593436101e-32	2.29791800523674e-30
"YPR078C"	303.053474797449	3.69998918057505	0.312219439959768	11.8506047575123	2.13643391242148e-32	3.77513646470586e-30
"YOR230W"	7576.03975079638	1.24323570578871	0.10727363710031	11.589387098213	4.66458372670817e-31	8.02553905400475e-29
"YLR136C"	2005.50581662105	2.58671288518368	0.225049770996011	11.4939591972725	1.41475954968604e-30	2.37171741944803e-28
"YIL117C"	1704.21197274283	2.1533312179623	0.187541516165385	11.4818908473757	1.62683280786119e-30	2.65905822444911e-28
"YNL217W"	3736.27383584594	2.21788997756271	0.193242396453349	11.477243184045	1.7166713686517e-30	2.73746278249873e-28
"YPL018W"	726.418620156005	2.69006805553135	0.237588252527512	11.3223950549485	1.01656051040303e-29	1.58244586119405e-27
"YLR307W"	255.733838064722	3.5233287508653	0.311698955225763	11.3036270792546	1.25907988452165e-29	1.91438704302385e-27
"YDR481C"	6102.53304110214	2.63675555161424	0.234002505047843	11.2680654896201	1.88669607352148e-29	2.80345884742805e-27
"YJL012C"	15407.6060175043	3.36506245207721	0.298844889246258	11.2602308862116	2.06217717012279e-29	2.99611429739174e-27
"YER072W"	19218.0164719846	3.00267463659169	0.275574326286274	10.8960608814931	1.2035565597298e-27	1.71062017119857e-25
"YPR195C"	246.973388587782	2.13990280216941	0.197269154417849	10.8476300234792	2.04663322512832e-27	2.8469974523168e-25
"YPL017C"	1166.98114950602	2.39270469558479	0.221774806893396	10.7888931529312	3.88439530825536e-27	5.29087010945283e-25
"YBR297W"	647.998935112077	2.20572326247054	0.207545549987714	10.6276586638505	2.21606040925502e-26	2.95685774606312e-24
"YFL004W"	7364.54780016769	2.03990859456965	0.192659274854591	10.58816709504	3.38148035693047e-26	4.42162371472228e-24
"YHR140W"	330.647842379323	2.40548486603905	0.228517770008501	10.5264674425519	6.52369029398732e-26	8.36311512589982e-24
"YFL036W"	793.264874159817	-13.0768497346101	1.25535102535686	-10.4168869666496	2.07638487588782e-25	2.61065467664511e-23
"YDR501W"	932.766638087485	1.63698492057314	0.157754910230004	10.3767604963069	3.16327335358398e-25	3.90216626145888e-23
"YJL170C"	371.472351720978	-4.10431643920667	0.398801755851949	-10.2916207839625	7.6871379942197e-25	9.30713114929786e-23
"YMR006C"	2283.34347005337	-1.33501115357535	0.131284927810701	-10.1688074620439	2.73233335783604e-24	3.24799918064219e-22
"YJL117W"	4861.40107701322	1.39550068486439	0.138123188261151	10.1033049007376	5.34112265371581e-24	6.23576069821321e-22
"YPL031C"	891.02011467852	-12.2808449623505	1.21771508008064	-10.0851546993548	6.42638755979655e-24	7.37117927472804e-22
