""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YFL026W"	11973.8130914043	-6.37411584602936	0.107093704400236	-59.5190527933156	0	0
"YGL089C"	11509.8085001267	6.86724864303474	0.131478415198697	52.2309964921358	0	0
"YIL015W"	4127.22242672244	-5.31374117173321	0.132186774056087	-40.1987355367231	0	0
"YJL133C-A"	3892.79260354707	4.90472355020398	0.125034402757518	39.2269922680065	0	0
"YJR004C"	16601.4214131958	5.41805653665974	0.127410153179176	42.5245272960338	0	0
"YKL178C"	6962.35281664388	6.40415012583624	0.138235640997391	46.3277782750477	0	0
"YPL187W"	44756.1627195049	11.9043034030365	0.204552225482797	58.1968901826378	0	0
"YNL145W"	5390.37261899498	-7.46932015588782	0.201977670866924	-36.9809203355409	2.3205054434293e-299	1.9724296269149e-296
"YKL209C"	3754.65884244096	-3.65169409768447	0.107717692647641	-33.9005970878865	6.52805961109483e-252	4.93231170616054e-249
"YJL012C"	15661.107554295	2.9782213896921	0.0880077284676508	33.8404528959841	5.01489577341763e-251	3.41012912592399e-248
"YLR040C"	5138.3689266898	3.80424605204286	0.118257631555327	32.1691378561309	4.76996045889303e-227	2.94870282913387e-224
"YGL032C"	1945.91886629752	-6.34118360416418	0.197961711326545	-32.0323741478683	3.86375105181992e-225	2.06853325892078e-222
"YMR251W"	1033.91998847238	4.54311738097448	0.141832138628451	32.0316497015942	3.95454887734854e-225	2.06853325892078e-222
"YDR461W"	6378.08108390384	-6.72222350089423	0.212604436642271	-31.6184535330515	2.05917083627783e-219	1.00016869190637e-216
"YCR005C"	7712.93380913925	3.85885672601103	0.133464194082381	28.9130485711332	8.18408367041848e-184	3.71011793058971e-181
"YPR036W-A"	13732.3516303828	2.87201655106785	0.104187507915453	27.565843626843	2.85811577613367e-167	1.21469920485681e-164
"YPL019C"	15432.507786722	4.02700211800542	0.152562415826365	26.3957678973087	1.53236545714169e-153	6.12946182856677e-151
"YHR137W"	856.935856954882	3.60781572573641	0.150282274794592	24.0069278340884	2.35408789615476e-127	8.89322094102909e-125
"YDR481C"	6201.3648313214	2.38049576403346	0.101219578519318	23.5181355114925	2.66091299282043e-122	9.52326755325206e-120
"YLR304C"	18083.4559794782	3.25412446221532	0.139123468643316	23.3901906985818	5.37822379479945e-121	1.82859609023181e-118
"YER072W"	18806.9025437524	3.15273138166968	0.138172041491113	22.8174335968862	3.07843052928688e-115	9.96825123769084e-113
"YPL110C"	2873.75371322053	2.48610986543585	0.111511261118026	22.2946977776935	4.15970292391628e-110	1.2857263583014e-107
"YLR136C"	1944.44082196688	2.80902046624582	0.12757908801655	22.0178754207854	1.94155209281492e-107	5.7402409700615e-105
"YOL082W"	3249.48786789794	2.934880680953	0.135354040047925	21.6829928379961	2.96929669451e-104	8.41300730111167e-102
"YFL004W"	7457.54605958899	1.8775862578459	0.0878822435964414	21.36479658471	2.84087757932431e-101	7.72718701576212e-99
"YDL021W"	880.098462923738	3.48784333145564	0.165796231496052	21.0369276791354	3.01276518360164e-98	7.87953971095812e-96
"YPL265W"	3965.60844731024	2.49815842987757	0.119011855048443	20.990836827648	7.95332101185144e-98	2.00305862520703e-95
"YOR136W"	12378.0531098388	3.28527229834203	0.157282960210526	20.8876555600469	6.93407653307793e-97	1.68399001517607e-94
"YCL038C"	1939.72408415056	2.42425560069709	0.117471530765194	20.6369627168882	1.2784828423458e-94	2.99782183722462e-92
"YEL071W"	11168.3537771081	2.07673966000523	0.102245088725475	20.3113879198758	1.01981513010265e-91	2.311580961566e-89
"SCR1"	449.403182638474	3.32050987904416	0.165813130117871	20.0256148393298	3.29421081663934e-89	7.22601082359597e-87
"YKL177W"	390.551466924497	4.70091238315874	0.235596580056867	19.9532284467969	1.40515412549923e-88	2.98595251668586e-86
"YLR346C"	631.936107904981	3.24561856619842	0.163095090284322	19.9001610688609	4.05623141600612e-88	8.3582950390429e-86
"YNL037C"	11008.9459081683	3.44193286361573	0.178950069136405	19.2340404238241	1.92065074737021e-82	3.84130149474042e-80
"YOR135C"	1448.71876136014	3.36479529623005	0.175276126578816	19.1971112204891	3.91255859554768e-82	7.60154241420693e-80
"YDL227C"	1931.07089870048	-1.88077682466154	0.098134064836182	-19.1653818457554	7.20262690034124e-82	1.36049619228668e-79
"YDL182W"	8853.08107673194	1.73254854357053	0.0905378897289424	19.1361710412904	1.26211312539894e-81	2.31955925748995e-79
"YIR034C"	2326.14088835683	2.05219753702268	0.107800119509149	19.0370617988834	8.41160234947553e-81	1.50523410464299e-78
