""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YAR071W"	12538.0509300076	8.47941821489344	0.156140149069107	54.3064565100451	0	0
"YBR093C"	74675.7710600757	7.92005938894476	0.150248422452486	52.7130951504624	0	0
"YBR296C"	32785.2105419644	9.98881736324786	0.179860462340867	55.5364821887165	0	0
"YDR281C"	4271.51768655319	7.08005179166382	0.158799811913593	44.5847618227424	0	0
"YFL026W"	7715.54926378681	-5.72432723392345	0.118064298183194	-48.4848283690409	0	0
"YGL089C"	11552.9562361819	6.90601138825968	0.134057549993876	51.5152737654475	0	0
"YHR136C"	4638.87998346684	8.87967644476507	0.217084823423059	40.9041788585109	0	0
"YHR215W"	16649.6706640185	7.56398411761356	0.126421874589181	59.8312921888982	0	0
"YJL133C-A"	3921.15618631581	4.75803017740373	0.124496212281537	38.2182725900438	0	0
"YJR004C"	16592.5141524875	5.73164232529082	0.145076218358793	39.5078007279987	0	0
"YKL178C"	6930.97529853457	8.31003704880177	0.179625664278451	46.2630831857066	0	0
"YML123C"	49562.8959696345	6.73078979973744	0.0899274151154101	74.846917273218	0	0
"YPL019C"	15485.8329770372	4.03915639286553	0.0990139037467644	40.7938303614003	0	0
"YPL187W"	44938.6168723402	11.6301816265365	0.193060789730067	60.2410341467968	0	0
"YJL012C"	15760.340943747	2.94608193733277	0.0861148290977161	34.2110873144717	1.65424127592863e-256	7.51687235781971e-254
"YLR040C"	5092.2539650776	4.11928430892229	0.122367570363487	33.6632025681818	1.99855076045817e-248	8.5138262395518e-246
"YCL064C"	6720.35855976395	5.95199500784887	0.187534659952362	31.7381064884795	4.63346103178534e-221	1.85774531721464e-218
"YKL209C"	3667.63560707869	-3.60921012859764	0.11543528594287	-31.2660907721394	1.34938370112437e-214	5.10966628159095e-212
"YPR036W-A"	13199.1312419409	3.50539332433875	0.115650437180482	30.3102470669289	8.40046805688227e-202	3.01355738293208e-199
"YMR251W"	1026.28784833545	5.00716579804477	0.166936709607025	29.9943961387033	1.16119898748416e-197	3.95736614934603e-195
"YNL145W"	3822.88210233592	-6.96403349405562	0.232681631268203	-29.9294510533513	8.14574375490757e-197	2.64387568730714e-194
"YER062C"	8456.79742192388	3.16961582274221	0.107088456539434	29.5981091255624	1.58038086041413e-192	4.8963072475376e-190
"YOR382W"	1698.82486180407	3.76765206378146	0.133984954952205	28.1199636565572	5.58506658177854e-174	1.65512234006098e-171
"YBR072W"	1413.29978969929	4.59314339603531	0.164018912353017	28.0037425571358	1.46292337537411e-172	4.15470238606246e-170
"YOL082W"	3301.50208575396	2.79419850573951	0.103668010152877	26.953334028684	5.21342538345081e-160	1.42138829654403e-157
