""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YAR071W"	12420.3522083583	8.99931469790486	0.176797476695331	50.9018277077171	0	0
"YBL002W"	7528.8883299161	4.79126876813764	0.120891922172032	39.6326626465544	0	0
"YBR009C"	10891.8998056648	4.91306741493429	0.109705151962067	44.7842906833862	0	0
"YBR040W"	18607.3592919508	-9.12800069178571	0.17672589662566	-51.6506118575289	0	0
"YBR093C"	74014.054225321	7.85590060380577	0.138424303692105	56.7523216246729	0	0
"YBR296C"	32498.7126134582	9.49373442466148	0.185078283129576	51.2957774630682	0	0
"YCL027W"	8996.68346759098	-4.00064846981121	0.102865184986676	-38.892152581356	0	0
"YCL055W"	13161.2378971095	-4.27998821676753	0.109276597351809	-39.1665582612202	0	0
"YCL064C"	6604.10967840975	7.37832847131559	0.18171210405715	40.6044963795864	0	0
"YDR085C"	6232.68139226426	-4.14638709666771	0.0934454638764829	-44.3722672525704	0	0
"YDR124W"	4918.13330364818	-4.70601253493692	0.0988607472237422	-47.6024374394647	0	0
"YDR281C"	4352.52161463267	4.81395775080357	0.126011233203477	38.2026080407468	0	0
"YDR461W"	13347.1009559687	-7.79760992458493	0.162317323542649	-48.0392958336088	0	0
"YFL026W"	27312.8507390474	-7.5796031413158	0.118656825797746	-63.8783575269025	0	0
"YGL032C"	5933.09834803151	-7.96638359467537	0.184231520632438	-43.2411542136112	0	0
"YGL089C"	11477.4762104874	6.58113280267186	0.123219511594958	53.4098270435047	0	0
"YHR215W"	16494.5788685039	7.80995295329739	0.133634712527192	58.4425468922098	0	0
"YIL017C"	21649.5394055457	-5.97220143397859	0.149025079709364	-40.0751433626197	0	0
"YIL037C"	7551.17082861822	-5.13045965652292	0.127565837334168	-40.218131779932	0	0
"YJL170C"	20853.1937696465	-10.0155128011718	0.176566003071662	-56.7239028291692	0	0
"YJR004C"	16567.160175636	5.24491413501217	0.135104626305579	38.8211290644426	0	0
"YKL178C"	6868.95920911807	8.36769743673024	0.21663134475757	38.6264390598435	0	0
