""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YAR071W"	12151.5463644289	7.31752542802634	0.128852627866558	56.7898811936106	0	0
"YBR093C"	72213.797652479	7.39578485052687	0.118035938988521	62.6570594846212	0	0
"YBR296C"	31661.6998523842	9.35228029601982	0.163208684931537	57.3025896259316	0	0
"YDR281C"	4126.04758786014	7.01408106070045	0.151775787417404	46.213438783953	0	0
"YHR136C"	4499.25426352658	7.43743589467052	0.153998348202677	48.295556293124	0	0
"YHR215W"	16121.2626831719	7.01251331088524	0.100644778370121	69.6758781175585	0	0
"YJL012C"	15086.7358977859	3.06749457428379	0.0801995357179244	38.2482834448406	0	0
"YML123C"	48070.6814108072	6.22302522261434	0.0854044662339827	72.8653371073723	0	0
"YPL019C"	14917.1598930254	4.10993500811523	0.0864751153489357	47.5273723721701	0	0
"YER072W"	18167.8891281443	3.21198216808623	0.0964334979374519	33.3077430227571	2.98268635399719e-243	2.02464749709329e-240
"YNL160W"	12793.205507399	-3.33954754932844	0.106572040711137	-31.3360570656639	1.50679097726499e-215	9.29827013970432e-213
"YMR251W"	1054.04154920321	3.37720952913343	0.119833284077588	28.1825667645627	9.5649609012079e-175	5.41057954978327e-172
"YHR137W"	800.35349931525	4.56856190101038	0.177489470250805	25.7399038633373	4.18187883166945e-146	2.18358411610556e-143
"YOL082W"	3323.14229804656	2.37782131098977	0.0941899868302016	25.2449479080651	1.28689865423051e-140	6.23962004636905e-138
"YPL110C"	2765.57813744363	2.55820624665503	0.10181258763043	25.126620452287	2.54594868703958e-139	1.15212664584165e-136
"YDR481C"	6239.81493167005	2.0774432525959	0.0840628921324642	24.7129643044201	7.75963374377415e-135	3.29202461579618e-132
"YPL061W"	27921.1755070393	3.61006065811466	0.146233404634777	24.6869767351099	1.47593390660033e-134	5.89331726941354e-132
"YFL004W"	7202.97189531387	1.90444632235172	0.0796218585032928	23.9186368938244	1.9599846166425e-126	7.39131976542739e-124
"YJL133C-A"	4528.37395835446	2.06121068117834	0.0883230756254754	23.3371705704484	1.86037767652588e-120	6.64644403592508e-118
"YDR017C"	4648.48082509874	1.93562558298649	0.0901682842081635	21.4668117507691	3.18107210801064e-102	1.07965587345881e-99
"SCR1"	427.263190377476	3.67080304857678	0.173831504910756	21.1170181749352	5.54887504480613e-99	1.79360780019733e-96
"YJL117W"	4490.36068412449	1.60789200498869	0.0772686113836789	20.8091225686025	3.57833955269511e-96	1.10408040380429e-93
"YHR210C"	724.386851330255	2.73451743357155	0.141687919027883	19.2995807428961	5.4146735946783e-83	1.59803497220332e-80
"YHR211W"	1600.93749313373	2.33958631348907	0.124192989912899	18.8383121714834	3.66466645541288e-79	1.03648982913928e-76
"YGR233C"	2403.99637721916	2.03720849865753	0.111335980685131	18.2978448307647	8.60875607801108e-75	2.33744945030157e-72
"YMR251W-A"	33577.2301333399	1.80428206637226	0.0993679544183002	18.1575848766791	1.11837570396638e-73	2.9198208763553e-71
"YLR307W"	232.078107052309	5.03089414304762	0.277999376065735	18.0967821375902	3.37837187151481e-73	8.4934771347565e-71
"YIL121W"	1930.85528046946	-1.90305645460237	0.107481986778354	-17.7058176132043	3.78149120003305e-70	9.16741509493727e-68
"YDR171W"	2013.1380449586	-1.99988935893225	0.113234668389508	-17.6614581680319	8.30657612418259e-70	1.94431168037764e-67
"YDR133C"	15988.1305803013	1.52348027593245	0.0912231819912516	16.7005824909566	1.29791513678179e-62	2.93674931615827e-60
"YDR501W"	841.697913930791	2.03987183941498	0.125128899970281	16.3021639277534	9.52589594177085e-60	2.08586392428195e-57
"YMR011W"	8873.66203655123	3.02091324400524	0.185581056681537	16.2781336523438	1.41107224889059e-59	2.99323700795916e-57
"YOR163W"	2051.41363588784	1.40876711319154	0.0872918895988881	16.1385796511557	1.36649835999858e-58	2.81084571747587e-56
"YBR050C"	324.003188648125	3.02218406064875	0.187557398469714	16.1133822782084	2.05470980361547e-58	4.10216769027701e-56
"YCL038C"	2037.188008573	1.81010601086351	0.113369629482319	15.966410220524	2.19034522935102e-57	4.24801811909563e-55
"YGL224C"	2463.50648118243	1.35157111674056	0.0869271411220073	15.5483212641671	1.63331118403749e-54	3.07969897701291e-52
"YHL016C"	711.983223576711	2.22256043925438	0.143346227978102	15.5048407663291	3.21713256689601e-54	5.90213401732164e-52
"YBR297W"	627.638059914552	2.13191483791496	0.138559887686667	15.3862338769787	2.02479509141526e-53	3.61692344224388e-51
