	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YIR031C	3872.83631128699	-2.95936821636649	0.0675075510741936	-43.8375880812803	0.0	0.0	DAL7	Malate synthase; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA; recycles glyoxylate generated during allantoin degradation; SWAT-GFP and mCherry fusion proteins localize to the cytosol; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation
YJL172W	12176.4126546963	-3.12599510515849	0.0763511579500566	-40.9423404842569	0.0	0.0	CPS1	Vacuolar carboxypeptidase S; expression is induced under low-nitrogen conditions
YJR152W	12338.6322207586	-5.07359633367675	0.0862806943457292	-58.8033785790679	0.0	0.0	DAL5	Allantoate permease; ureidosuccinate permease; also transports dipeptides, though with lower affinity than for allantoate and ureidosuccinate; expression is constitutive but sensitive to nitrogen catabolite repression
YKR039W	33288.4490145876	-2.46275596363552	0.0654213575770491	-37.6445255012484	0.0	0.0	GAP1	General amino acid permease; Gap1p senses the presence of amino acid substrates to regulate localization to the plasma membrane when needed; essential for invasive growth
YNL142W	35868.6524298264	-3.33532549527528	0.0542549316551926	-61.4750658331363	0.0	0.0	MEP2	Ammonium permease involved in regulation of pseudohyphal growth; belongs to a ubiquitous family of cytoplasmic membrane proteins that transport only ammonium (NH4+); expression is under the nitrogen catabolite repression regulation
YOR375C	46289.343699007	-1.98140185089768	0.0557364559023019	-35.5494768876371	8.46475223806566e-277	9.21811518725351e-274	GDH1	NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh3p; expression regulated by nitrogen and carbon sources; GDH1 has a paralog, GDH3, that arose from the whole genome duplication
YCL025C	1575.51804235811	3.83519305235642	0.109222289414717	35.1136482572178	4.173009519890639e-270	3.89520631470934e-267	AGP1	Low-affinity amino acid permease with broad substrate range; involved in uptake of asparagine, glutamine, and other amino acids; expression regulated by SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p); AGP1 has a paralog, GNP1, that arose from the whole genome duplication
YMR088C	4337.44817459463	-1.71121038272831	0.0623741448642616	-27.4346107101307	1.06044322955547e-165	8.66117007739427e-163	VBA1	Permease of basic amino acids in the vacuolar membrane
YIR032C	1431.21283519353	-2.36256130386658	0.0909392751193324	-25.9795484488565	8.432834020478921e-149	6.122237498867701e-146	DAL3	"Ureidoglycolate lyase; converts ureidoglycolate to glyoxylate and urea in the third step of allantoin degradation; expression is sensitive to nitrogen catabolite repression; this enzyme is sometimes referred to ""ureidoglycolate hydrolase"" but should not be confused with the Arabidopsis thaliana ureidoglycolate hydrolase enzyme which converts ureidoglycolate to glyoxylate, ammonia and carbon dioxide"
YIR029W	1523.91786947018	-2.73328035821099	0.109340204745462	-24.9979443935917	6.43628827878879e-138	3.82315523760054e-135	DAL2	Allantoicase; converts allantoate to urea and ureidoglycolate in the second step of allantoin degradation; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation
