	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YPL187W	24405.9555751815	-11.0519779616873	0.264765001556664	-41.7425939860183	0.0	0.0	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YKL178C	5832.79279857865	-5.71999918105783	0.155287118803858	-36.8349881504514	5.0866599658701204e-297	1.6936034356364601e-293	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YLR040C	4207.66144346755	-3.6319233214086	0.101047848834341	-35.9426090045994	6.60299203618499e-283	1.46564413229853e-279	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YDR461W	5420.70350362236	8.57031521426254	0.269621551264736	31.7864620764217	9.95909152851743e-222	1.6579397622099398e-218	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YNL145W	3795.61500319015	8.74918413717069	0.376613533079019	23.2311995419851	2.20378874594052e-119	2.93500585184358e-116	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YIL015W	3947.06037786396	5.54218016863218	0.262964475938762	21.0757751549788	1.3271523014609502e-98	1.4729178625714101e-95	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YFL026W	9226.38227814697	6.53155705170041	0.314001593054085	20.8010315749429	4.23600134842485e-96	4.02964756845159e-93	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YGL032C	1791.13374845477	8.89531740171499	0.437686992749551	20.3234675671639	7.974009163257089e-92	6.63736587726612e-89	AGA2	Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds
YKL177W	305.570702014665	-4.73568843299959	0.237540976574105	-19.936301101811	1.97112294942188e-88	1.45841196891114e-85	YKL177W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene STE3
YCR021C	1479.64261188668	-2.88828579234028	0.162898473359808	-17.7305884626719	2.43472596811691e-70	1.62128402216905e-67	HSP30	Negative regulator of the H(+)-ATPase Pma1p; stress-responsive protein; hydrophobic plasma membrane localized; induced by heat shock, ethanol treatment, weak organic acid, glucose limitation, and entry into stationary phase
YJR004C	13165.3623397239	-5.35122825402057	0.325950500755802	-16.4173033684941	1.4381779885349802e-60	8.70620656877678e-58	SAG1	Alpha-agglutinin of alpha-cells; binds to Aga1p during agglutination, N-terminal half is homologous to the immunoglobulin superfamily and contains binding site for a-agglutinin, C-terminal half is highly glycosylated and contains GPI anchor
YPL014W	1661.50174173867	-3.12789481906656	0.199489118477179	-15.6795259959223	2.08806592607651e-55	1.1587025834786201e-52	CIP1	Cyclin-dependent kinase inhibitor; interacts with and inhibits the Cdc28p/Cln2p, G1/S phase cyclin-dependent kinase complex but not S-phase, or M-phase complexes; overexpression blocks cells in G1 phase and stabilizes the Cdc28p inhibitor Sic1p, while disruption accelerates the G1/S phase transition; phosphorylated during S phase in a Cdc28p-dependent manner; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus
YGL089C	8011.09006726083	-5.56395181696776	0.387801131453184	-14.3474357491385	1.10549710701363e-46	5.662696335079799e-44	MF(ALPHA)2	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; binds copper(II) ions
YPR157W	658.145423931016	-2.64129370692662	0.18512988769642	-14.2672463090232	3.5013341841033903e-46	1.66538459513889e-43	TDA6	Putative protein of unknown function; induced by treatment with 8-methoxypsoralen and UVA irradiation; null mutant is sensitive to expression of the top1-T722A allele; SWAT-GFP and mCherry fusion proteins localize to the cell periphery and vacuole; TDA6 has a paralog, VPS62, that arose from the whole genome duplication
YGR052W	1053.0212054343	-2.42350024428791	0.183824480774497	-13.1837730974521	1.08809789095375e-39	4.83042923724066e-37	FMP48	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; induced by treatment with 8-methoxypsoralen and UVA irradiation
YGR138C	3733.46554162887	-2.1887660162748	0.173428727317687	-12.6205505288949	1.62680015555194e-36	6.77053889738772e-34	TPO2	Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; specific for spermine; localizes to the plasma membrane; transcription of TPO2 is regulated by Haa1p; TPO2 has a paralog, TPO3, that arose from the whole genome duplication
YJL170C	370.070579671317	5.05776885723419	0.418826307939855	12.0760533933807	1.4134252516891399e-33	5.53646985352822e-31	ASG7	Protein that regulates signaling from G protein beta subunit Ste4p; contributes to relocalization of Ste4p within the cell; specific to a-cells and induced by alpha-factor
YER130C	3616.16403325669	-1.61332419404538	0.15052094938699	-10.7182701186498	8.355135191225001e-27	3.09093584657596e-24	COM2	Transcription factor that binds IME1 Upstream Activation Signal (UAS)ru; COM2 transcription is regulated by Haa1p, Sok2p and Zap1p transcriptional activators; may bind the IME1 promoter under all growth conditions to negatively regulate its transcription in the absence of a positive regulator that binds more effectively; repressor activity may depend on phosphorylation by PKA; C. albicans homolog (MNL1) plays a role in adaptation to stress
YCL054W-A	460.969091815623	9.87233810094224	0.957419076397901	10.3114073495224	6.25781333886748e-25	2.19319889597466e-22	RDT1	Short open reading frame, shows evidence of translation; may be new protein-coding gene that originated de novo from noncoding sequence; same allele found in at least 33 other S. cerevisiae strains; at least 3 strains have a second allele with three nucleotide substitutions leading to two amino acid differences
YCR097W	638.291448706744	12.7870775202318	1.27619503007694	10.0196891688733	1.24895112963989e-23	4.15838278613602e-21	HMRA1	Silenced copy of a1 at HMR; homeobox corepressor that interacts with Alpha2p to repress haploid-specific gene transcription in diploid cells
YKL209C	3124.53780739711	3.85408586891288	0.430989534943036	8.94241172102306	3.80767957867768e-19	1.20739706259117e-16	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
YFL027C	866.983474336694	1.32006588254704	0.148651045089404	8.88030004601113	6.66802539446809e-19	2.01829005008014e-16	GYP8	GTPase-activating protein for yeast Rab family members; Ypt1p is the preferred in vitro substrate but also acts on Sec4p, Ypt31p and Ypt32p; involved in the regulation of ER to Golgi vesicle transport
YOR273C	1320.32796427231	-2.27953314011837	0.259226893177555	-8.79358276518412	1.44864802992682e-18	4.1941509701229297e-16	TPO4	Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; recognizes spermine, putrescine, and spermidine; localizes to the plasma membrane
YDL048C	2428.98064879053	-2.53433849467574	0.288699843709955	-8.77845468188714	1.65736040548884e-18	4.5984845583959e-16	STP4	Protein containing a Kruppel-type zinc-finger domain; similar to Stp1p, Stp2p; predicted transcription factor; relative distribution to the nucleus increases upon DNA replication stress; STP4 has a paralog, STP3, that arose from the whole genome duplication
YFR015C	290.584789020145	-1.35854506666541	0.161118517836315	-8.43196104898129	3.39920134556461e-17	9.0541127040459e-15	GSY1	Glycogen synthase; expression induced by glucose limitation, nitrogen starvation, environmental stress, and entry into stationary phase; GSY1 has a paralog, GSY2, that arose from the whole genome duplication; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
YER053C	1285.43661823106	-2.06646824014048	0.250999088399829	-8.23297109688582	1.82626271444693e-16	4.67733977519313e-14	PIC2	Mitochondrial copper and phosphate carrier; imports copper and inorganic phosphate into mitochondria; functionally redundant with Mir1p but less abundant than Mir1p under normal conditions; expression is induced at high temperature
YKL043W	795.922769927486	-1.32545746297643	0.161313461095986	-8.21665751866637	2.09253559354329e-16	5.1608127842239996e-14	PHD1	Transcriptional activator that enhances pseudohyphal growth; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; regulates expression of FLO11, an adhesin required for pseudohyphal filament formation; similar to StuA, an A. nidulans developmental regulator; potential Cdc28p substrate; PHD1 has a paralog, SOK2, that arose from the whole genome duplication
YER150W	1100.19641528167	-1.82690445904439	0.227737699437445	-8.02196765646261	1.04064545716004e-15	2.4748778925816797e-13	SPI1	GPI-anchored cell wall protein involved in weak acid resistance; basal expression requires Msn2p/Msn4p; expression is induced under conditions of stress and during the diauxic shift; SPI1 has a paralog, SED1, that arose from the whole genome duplication
