	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YBR093C	59484.8819359333	-7.62912981726929	0.141637247810912	-53.8638665688726	0.0	0.0	PHO5	Repressible acid phosphatase; 1 of 3 repressible acid phosphatases that also mediates extracellular nucleotide-derived phosphate hydrolysis; secretory pathway derived cell surface glycoprotein; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2
YML123C	43210.9722517234	-6.43378491963286	0.140416704577326	-45.8192274131447	0.0	0.0	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YPL187W	39504.4299027224	-11.8275140997547	0.320331804714186	-36.9226967965537	1.99818318741498e-298	4.3607017760019605e-295	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YHR136C	4107.36088401312	-8.24354101499148	0.264409796301313	-31.1771391616572	2.17519656743427e-213	3.56025298174804e-210	SPL2	Protein with similarity to cyclin-dependent kinase inhibitors; downregulates low-affinity phosphate transport during phosphate limitation by targeting Pho87p to the vacuole; upstream region harbors putative hypoxia response element (HRE) cluster; overproduction suppresses a plc1 null mutation; promoter shows an increase in Snf2p occupancy after heat shock; GFP-fusion protein localizes to the cytoplasm
YKL178C	6684.66785367045	-6.0224909940109	0.19335416777881	-31.1474588998796	5.4902550901665596e-213	7.188940015064091e-210	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YHR215W	11253.08751116	-6.97396105398528	0.226067566556917	-30.8490119135663	5.77519656344008e-209	6.3017019834737e-206	PHO12	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; pregulated by phosphate starvation; PHO12 has a paralog, PHO11, that arose from a segmental duplication
YAR071W	8609.40423867118	-6.92281829229908	0.245178148734452	-28.2358698278494	2.1224772574513499e-175	1.98512265779057e-172	PHO11	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2; PHO11 has a paralog, PHO12, that arose from a segmental duplication
YBR296C	24874.2649018793	-9.04828927802572	0.339713786282573	-26.6350370323192	2.6677945196861e-156	2.1832563400481198e-153	PHO89	Plasma membrane Na+/Pi cotransporter; active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p; mutations in related human transporter genes hPit1 and hPit2 are associated with hyperphosphatemia-induced calcification of vascular tissue and familial idiopathic basal ganglia calcification
YLR040C	4452.96651232463	-3.82984605506731	0.155196914821867	-24.6773336922525	1.87328100886222e-134	1.36270786278011e-131	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YDR281C	2537.75632867937	-6.59099239576103	0.290693142177312	-22.6733673398486	8.20701394383456e-114	5.37313202902849e-111	PHM6	Protein of unknown function; expression is regulated by phosphate levels
YNL145W	3546.72855868073	7.36735890106882	0.328478460866025	22.4287427603167	2.06386754980229e-111	1.22837644077778e-108	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YDR461W	5099.19554286272	6.30709094821718	0.293167151375771	21.5136345208505	1.16046065657979e-102	6.33127993218988e-100	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YIL015W	3672.29887532729	5.58383442726858	0.279463544552632	19.9805467872643	8.13282588349099e-89	4.09581623532427e-86	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YGL032C	1681.48501614293	6.65038682154792	0.337414509277276	19.7098424599247	1.77518710570609e-86	8.30153570075555e-84	AGA2	Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds
YFL026W	8624.32490430772	6.06145489608777	0.314862710502917	19.2511043508647	1.38185687272748e-82	6.03134463049787e-80	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YKL177W	320.991381307103	-4.91608548178237	0.257767403490499	-19.0717888112008	4.33228930078464e-81	1.7727186282648098e-78	YKL177W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene STE3
YJR004C	18521.841113152	-5.95928415460279	0.341762211590754	-17.4369311541639	4.3269293830158704e-68	1.66637686297676e-65	SAG1	Alpha-agglutinin of alpha-cells; binds to Aga1p during agglutination, N-terminal half is homologous to the immunoglobulin superfamily and contains binding site for a-agglutinin, C-terminal half is highly glycosylated and contains GPI anchor
YOL082W	2640.24933189805	-2.13712772043072	0.123803750496029	-17.2622211513638	9.055948108192851e-67	3.29384957024103e-64	ATG19	Receptor protein for the cytoplasm-to-vacuole targeting (Cvt) pathway; delivers cargo proteins aminopeptidase I (Ape1p) and alpha-mannosidase (Ams1p) to the phagophore assembly site for packaging into Cvt vesicles; interaction with Atg19p during the Cvt pathway requires phosphorylation by Hrr25p
YMR251W-A	27665.7511082817	-2.47848053052029	0.156677463040044	-15.8189983577079	2.3012459517615796e-56	7.92960907693844e-54	HOR7	Protein of unknown function; overexpression suppresses Ca2+ sensitivity of mutants lacking inositol phosphorylceramide mannosyltransferases Csg1p and Csh1p; transcription is induced under hyperosmotic stress and repressed by alpha factor; HOR7 has a paralog, DDR2, that arose from the whole genome duplication
YHR137W	699.521880482879	-3.34243350981033	0.234961733222951	-14.2254377509156	6.37044654014621e-46	2.08536567491686e-43	ARO9	Aromatic aminotransferase II; catalyzes the first step of tryptophan, phenylalanine, and tyrosine catabolism
YGL089C	10999.0823035084	-6.13196161356897	0.432901084104147	-14.1648100194957	1.51275469075444e-45	4.71619283827109e-43	MF(ALPHA)2	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; binds copper(II) ions
YNL160W	4590.55176371883	2.10273660832126	0.158628525674821	13.2557281193657	4.18039750689528e-40	1.24404829443834e-37	YGP1	Cell wall-related secretory glycoprotein; induced by nutrient deprivation-associated growth arrest and upon entry into stationary phase; may be involved in adaptation prior to stationary phase entry; YGP1 has a paralog, SPS100, that arose from the whole genome duplication
