	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YGR234W	23814.333502346	-3.17949939378347	0.0786596178798845	-40.4209870258798	0.0	0.0	YHB1	Nitric oxide oxidoreductase; flavohemoglobin that plays role in oxidative and nitrosative stress responses; protects against nitration of cellular targets and against cell growth inhibition under aerobic or anaerobic conditions; yeast flavohemoglobin Yhb1p and human homolog neuroglobin NGB protect cells against alpha-synuclein cytotoxicity and aggregate formation; protein increases in abundance, relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
YKR039W	3295.13020473466	-3.94852490391336	0.0882238339320185	-44.7557618835282	0.0	0.0	GAP1	General amino acid permease; Gap1p senses the presence of amino acid substrates to regulate localization to the plasma membrane when needed; essential for invasive growth
YJL088W	3295.81591896183	-3.22606430847097	0.0861068858660812	-37.4658109629971	3.3207700021324397e-307	7.38649940807659e-304	ARG3	Ornithine carbamoyltransferase; also known as carbamoylphosphate:L-ornithine carbamoyltransferase; catalyzes the biosynthesis of the arginine precursor citrulline
YOL140W	3542.34804346359	-1.84403973020952	0.0618215267577302	-29.8284404627542	1.6716120436512e-195	2.78866679182111e-192	ARG8	Acetylornithine aminotransferase; catalyzes the fourth step in the biosynthesis of the arginine precursor ornithine
YEL024W	3158.20404437858	-2.32782498981901	0.0808908101745576	-28.7773726681153	4.11777685637307e-182	5.4955849925155e-179	RIP1	Ubiquinol-cytochrome-c reductase; a Rieske iron-sulfur protein of the mitochondrial cytochrome bc1 complex; transfers electrons from ubiquinol to cytochrome c1 during respiration; during import, Rip1p is first imported into the mitochondrial matrix where it is processed, acquires its Fe-S cluster, and is folded, then is translocated into the inner membrane by the action of a homo-oligomer of Bcs1p, and finally is delivered by Bcs1p to Complex III for assembly
YCL064C	3106.51455325602	4.82104306749725	0.174073206296254	27.6954918569854	7.9120397762941e-169	8.79950690453509e-166	CHA1	Catabolic L-serine (L-threonine) deaminase; catalyzes the degradation of both L-serine and L-threonine; required to use serine or threonine as the sole nitrogen source, transcriptionally induced by serine and threonine
YJR048W	5538.81434227269	-3.16754110778435	0.11615135685428	-27.2708058999109	9.417595399309429e-164	8.977659157084551e-161	CYC1	Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; CYC1 has a paralog, CYC7, that arose from the whole genome duplication; human homolog CYC1 can complement yeast null mutant; mutations in human CYC1 cause insulin-responsive hyperglycemia
YER081W	2903.58399137989	-2.12498806115785	0.0782631956707006	-27.1518182071037	2.40989179447938e-162	2.01015099307011e-159	SER3	3-phosphoglycerate dehydrogenase and alpha-ketoglutarate reductase; 3PG dehydrogenase that catalyzes the first step in serine and glycine biosynthesis; also functions as an alpha-ketoglutarate reductase, converting alpha-ketoglutarate to D-2-hydroxyglutarate (D-2HG); localizes to the cytoplasm; SER3 has a paralog, SER33, that arose from the whole genome duplication
YOR375C	11473.7788121943	-1.54200827475606	0.0591991970122067	-26.0477903853679	1.42517427682245e-149	1.05668754991513e-146	GDH1	NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh3p; expression regulated by nitrogen and carbon sources; GDH1 has a paralog, GDH3, that arose from the whole genome duplication
YPR145W	15660.9951391025	-1.55972226629251	0.0656639037639185	-23.7531151346131	1.02024479281756e-124	6.80809350247161e-122	ASN1	Asparagine synthetase; catalyzes the synthesis of L-asparagine from L-aspartate in the asparagine biosynthetic pathway; ASN1 has a paralog, ASN2, that arose from the whole genome duplication
YOL126C	5499.44557742042	1.51396762077065	0.0642214599640934	23.5741700923199	7.095666997152849e-123	4.30448962472736e-120	MDH2	Cytoplasmic malate dehydrogenase; one of three isozymes that catalyze interconversion of malate and oxaloacetate; involved in the glyoxylate cycle and gluconeogenesis during growth on two-carbon compounds; interacts with Pck1p and Fbp1
YCL025C	2945.12198215109	-1.79830936616567	0.0791661065800564	-22.7156474386819	3.13806788324254e-114	1.74502724873979e-111	AGP1	Low-affinity amino acid permease with broad substrate range; involved in uptake of asparagine, glutamine, and other amino acids; expression regulated by SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p); AGP1 has a paralog, GNP1, that arose from the whole genome duplication
YLR227W-B	524.616947133509	6.53029337472534	0.288446177689663	22.6395559373688	1.7681563452144302e-113	9.07608253201221e-111	YLR227W-B	YLR227W-B
YER069W	6128.96945560975	-2.0812100084775	0.0944229527737102	-22.0413569724432	1.15619746143374e-107	5.51093261439095e-105	ARG5,6	Acetylglutamate kinase and N-acetyl-gamma-glutamyl-phosphate reductase; N-acetyl-L-glutamate kinase (NAGK) catalyzes the 2nd and N-acetyl-gamma-glutamyl-phosphate reductase (NAGSA), the 3rd step in arginine biosynthesis; synthesized as a precursor which is processed in the mitochondrion to yield mature NAGK and NAGSA; enzymes form a metabolon complex with Arg2p; NAGK C-terminal domain stabilizes the enzymes, slows catalysis and is involved in feed-back inhibition by arginine
YDR258C	1094.12656720666	-2.19348296017609	0.101057331364775	-21.7053323153618	1.82697839480791e-104	8.12761788570212e-102	HSP78	Oligomeric mitochondrial matrix chaperone; cooperates with Ssc1p in mitochondrial thermotolerance after heat shock; able to prevent the aggregation of misfolded proteins as well as resolubilize protein aggregates
