	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YAR071W	12279.9374183158	4.26365243999429	0.107154413727068	39.7897976545716	0.0	0.0	PHO11	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2; PHO11 has a paralog, PHO12, that arose from a segmental duplication
YBR093C	80312.1162031959	6.46694472383173	0.170666532430939	37.8922840449027	0.0	0.0	PHO5	Repressible acid phosphatase; 1 of 3 repressible acid phosphatases that also mediates extracellular nucleotide-derived phosphate hydrolysis; secretory pathway derived cell surface glycoprotein; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2
YBR294W	8511.88025997976	-4.43044611646603	0.0809406674123543	-54.7369605181905	0.0	0.0	SUL1	High affinity sulfate permease of the SulP anion transporter family; sulfate uptake is mediated by specific sulfate transporters Sul1p and Sul2p, which control the concentration of endogenous activated sulfate intermediates
YCL064C	6254.77363832554	5.88919483147083	0.106176387762955	55.4661441733994	0.0	0.0	CHA1	Catabolic L-serine (L-threonine) deaminase; catalyzes the degradation of both L-serine and L-threonine; required to use serine or threonine as the sole nitrogen source, transcriptionally induced by serine and threonine
YDL182W	26818.6099284845	-2.30435276349938	0.0602227177331942	-38.2638454429838	0.0	0.0	LYS20	Homocitrate synthase isozyme and functions in DNA repair; catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate to form homocitrate, which is the first step in the lysine biosynthesis pathway; LYS20 has a paralog, LYS21, that arose from the whole genome duplication
YDR281C	5995.09403087025	3.96118483721817	0.105443316062645	37.5669600040346	0.0	0.0	PHM6	Protein of unknown function; expression is regulated by phosphate levels
YHR215W	17819.7772000431	3.04050944556546	0.0759502100653637	40.0329300333568	0.0	0.0	PHO12	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; pregulated by phosphate starvation; PHO12 has a paralog, PHO11, that arose from a segmental duplication
YJR010W	9027.57693147684	-3.43805515148486	0.0850509636535917	-40.4234708672777	0.0	0.0	MET3	ATP sulfurylase; catalyzes the primary step of intracellular sulfate activation, essential for assimilatory reduction of sulfate to sulfide, involved in methionine metabolism; human homolog PAPSS2 complements yeast null mutant
YMR195W	6253.09218627969	3.0236099291142	0.0786275311615409	38.4548501580466	0.0	0.0	ICY1	Protein of unknown function; required for viability in rich media of cells lacking mitochondrial DNA; mutants have an invasive growth defect with elongated morphology; induced by amino acid starvation; ICY1 has a paralog, ICY2, that arose from the whole genome duplication
YKL001C	7314.6514086812	-2.91047667980914	0.0797939560908176	-36.4749013884783	2.77286319880123e-291	1.8874879794239998e-288	MET14	Adenylylsulfate kinase; required for sulfate assimilation and involved in methionine metabolism; human homolog PAPSS2 complements yeast null mutant
YNL208W	24039.8745138184	2.68533252456578	0.0740255071316774	36.275773427517	3.899849443119049e-288	2.41329774175558e-285	YNL208W	Protein of unknown function; may interact with ribosomes, based on co-purification experiments; authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; potential orthologs found in other fungi
