	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YBR069C	4852.25326717251	3.74262866355152	0.0722827668583468	51.7776065612705	0.0	0.0	TAT1	Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress
YBR291C	3058.78679029665	-3.60562122206524	0.0883110679748726	-40.8286447525599	0.0	0.0	CTP1	Mitochondrial inner membrane citrate transporter; member of the mitochondrial carrier family
YBR294W	8282.8139394884	-4.51788354655204	0.0636303445881657	-71.0020286043256	0.0	0.0	SUL1	High affinity sulfate permease of the SulP anion transporter family; sulfate uptake is mediated by specific sulfate transporters Sul1p and Sul2p, which control the concentration of endogenous activated sulfate intermediates
YCL064C	2053.10097366418	4.26874607748919	0.101888008024577	41.8964523917229	0.0	0.0	CHA1	Catabolic L-serine (L-threonine) deaminase; catalyzes the degradation of both L-serine and L-threonine; required to use serine or threonine as the sole nitrogen source, transcriptionally induced by serine and threonine
YDL182W	24052.5914214426	-3.24684703715327	0.0752064793653165	-43.1724375951926	0.0	0.0	LYS20	Homocitrate synthase isozyme and functions in DNA repair; catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate to form homocitrate, which is the first step in the lysine biosynthesis pathway; LYS20 has a paralog, LYS21, that arose from the whole genome duplication
YDR046C	2775.52449156659	5.18436287465789	0.109770422149533	47.2291421781686	0.0	0.0	BAP3	Amino acid permease; involved in uptake of cysteine, leucine, isoleucine and valine; BAP3 has a paralog, BAP2, that arose from the whole genome duplication
YDR461W	16410.1033593224	-10.1589412540354	0.224829858302814	-45.1850182654686	0.0	0.0	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YER091C	70784.1846327412	-2.14311379814123	0.0524981104596708	-40.8226844619022	0.0	0.0	MET6	Cobalamin-independent methionine synthase; involved in methionine biosynthesis and regeneration; requires a minimum of two glutamates on the methyltetrahydrofolate substrate, similar to bacterial metE homologs
YFL026W	17320.5255074704	-7.43584362634839	0.189865810690828	-39.1636788071166	0.0	0.0	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YFR030W	10888.5824930552	-3.80870471702264	0.0584889042395942	-65.1184146213553	0.0	0.0	MET10	Subunit alpha of assimilatory sulfite reductase; complex converts sulfite into sulfide
YGL089C	8014.26647736965	6.24602000861252	0.0848821516313118	73.5846098216536	0.0	0.0	MF(ALPHA)2	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; binds copper(II) ions
YHR215W	2033.89328653824	-3.65206566083941	0.095365518538429	-38.2954522432314	0.0	0.0	PHO12	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; pregulated by phosphate starvation; PHO12 has a paralog, PHO11, that arose from a segmental duplication
YIL015W	4398.71855940661	-5.68955374919466	0.0939520190189103	-60.5580785661401	0.0	0.0	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YIR034C	6400.08579013625	-3.23932368599391	0.0612022277752513	-52.928198919318	0.0	0.0	LYS1	Saccharopine dehydrogenase (NAD+, L-lysine-forming); catalyzes the conversion of saccharopine to L-lysine, which is the final step in the lysine biosynthesis pathway; also has mRNA binding activity
