	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YBL002W	7749.65923318737	-4.78289244493021	0.0946301016314102	-50.5430340079297	0.0	0.0	HTB2	Histone H2B; core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB1; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates reassembly after DNA replication, transcriptional activation, meiotic DSB formation and H3 methylation
YBR009C	9050.50973288637	-4.58299851391006	0.0852668259044122	-53.748904867736	0.0	0.0	HHF1	Histone H4; core histone protein required for chromatin assembly and chromosome function; one of two identical histone proteins (see also HHF2); contributes to telomeric silencing; N-terminal domain involved in maintaining genomic integrity
YBR040W	19322.0096293132	7.67851125824395	0.132172751102717	58.0945103599806	0.0	0.0	FIG1	Integral membrane protein required for efficient mating; may participate in or regulate the low affinity Ca2+ influx system, which affects intracellular signaling and cell-cell fusion during mating
YBR056W-A	2720.06500794007	5.1449607885741	0.113641134815615	45.2737540585272	0.0	0.0	YBR056W-A	Protein of unknown function; mRNA identified as translated by ribosome profiling data; partially overlaps dubious ORF YBR056C-B; YBR056W-A has a paralog, YDR034W-B, that arose from the whole genome duplication
YBR294W	7922.46600704933	-4.22483731292583	0.0940747997187546	-44.9093415617825	0.0	0.0	SUL1	High affinity sulfate permease of the SulP anion transporter family; sulfate uptake is mediated by specific sulfate transporters Sul1p and Sul2p, which control the concentration of endogenous activated sulfate intermediates
YDL127W	7200.23815072758	3.44561432517393	0.0903976028332768	38.1162134523499	0.0	0.0	PCL2	Cyclin, interacts with cyclin-dependent kinase Pho85p; member of the Pcl1,2-like subfamily, involved in the regulation of polarized growth and morphogenesis and progression through the cell cycle; localizes to sites of polarized cell growth; PCL2 has a paralog, PCL9, that arose from the whole genome duplication
YDL182W	21785.4016946315	-4.14366444079452	0.0730030318159553	-56.760169238463	0.0	0.0	LYS20	Homocitrate synthase isozyme and functions in DNA repair; catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate to form homocitrate, which is the first step in the lysine biosynthesis pathway; LYS20 has a paralog, LYS21, that arose from the whole genome duplication
YDR033W	14785.7071159662	-4.15604931059986	0.0836984347953202	-49.6550421852361	0.0	0.0	MRH1	Protein that localizes primarily to the plasma membrane; also found at the nuclear envelope; long-lived protein that is asymmetrically retained in the plasma membrane of mother cells; the authentic, non-tagged protein is detected in mitochondria in a phosphorylated state; null mutation confers sensitivity to acetic acid
YDR085C	6360.47836812248	4.61410393359477	0.111798191508043	41.2717224791855	0.0	0.0	AFR1	Protein required for pheromone-induced projection (shmoo) formation; regulates septin architecture during mating; has an RVXF motif that mediates targeting of Glc7p to mating projections; interacts with Cdc12p; AFR1 has a paralog, YER158C, that arose from the whole genome duplication
YDR124W	5119.37953983986	4.52342883980752	0.0870170173131805	51.9832669456754	0.0	0.0	YDR124W	Putative protein of unknown function; non-essential gene; expression is strongly induced by alpha factor
YER070W	7244.2937605866	-5.09106000461666	0.103735904224889	-49.0771256360745	0.0	0.0	RNR1	Major isoform of large subunit of ribonucleotide-diphosphate reductase; the RNR complex catalyzes rate-limiting step in dNTP synthesis, regulated by DNA replication and DNA damage checkpoint pathways via localization of small subunits; relative distribution to the nucleus increases upon DNA replication stress; RNR1 has a paralog, RNR3, that arose from the whole genome duplication
YGL053W	13930.9714688913	5.08899681011408	0.109990523985365	46.2675931136686	0.0	0.0	PRM8	Pheromone-regulated protein; contains with 2 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding; forms a complex with Prp9p in the ER; member of DUP240 gene family; PRM8 has a paralog, PRM9, that arose from a segmental duplication
YGL156W	4324.81622414361	4.09419326728573	0.104735317727623	39.0908564189702	0.0	0.0	AMS1	Vacuolar alpha mannosidase; involved in free oligosaccharide (fOS) degradation; delivered to the vacuole in a novel pathway separate from the secretory pathway
YGR234W	23354.3375984909	4.45351376944382	0.0990916962747226	44.9433599067359	0.0	0.0	YHB1	Nitric oxide oxidoreductase; flavohemoglobin that plays role in oxidative and nitrosative stress responses; protects against nitration of cellular targets and against cell growth inhibition under aerobic or anaerobic conditions; yeast flavohemoglobin Yhb1p and human homolog neuroglobin NGB protect cells against alpha-synuclein cytotoxicity and aggregate formation; protein increases in abundance, relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
YHR030C	7956.79885253299	2.85226541774473	0.0679410767524899	41.9814573757135	0.0	0.0	SLT2	Serine/threonine MAP kinase; coordinates expression of all 19S regulatory particle assembly-chaperones (RACs) to control proteasome abundance; involved in regulating maintenance of cell wall integrity, cell cycle progression, nuclear mRNA retention in heat shock, septum assembly; required for mitophagy, pexophagy; affects recruitment of mitochondria to phagophore assembly site; plays role in adaptive response of cells to cold; regulated by the PKC1-mediated signaling pathway
YHR215W	1860.75524981159	-4.55789534385172	0.117974174608316	-38.6346872863006	0.0	0.0	PHO12	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; pregulated by phosphate starvation; PHO12 has a paralog, PHO11, that arose from a segmental duplication
YIL017C	22397.3632561422	6.24397094308144	0.132416303756494	47.1540948202553	0.0	0.0	VID28	GID Complex subunit, serves as adaptor for regulatory subunit Vid24p; protein involved in proteasome-dependent catabolite degradation of fructose-1,6-bisphosphatase (FBPase); localized to the nucleus and the cytoplasm
YIL037C	7794.90660622617	5.29629285854658	0.0893668482062111	59.2646262552033	0.0	0.0	PRM2	Pheromone-regulated protein; predicted to have 4 transmembrane segments and a coiled coil domain; regulated by Ste12p; required for efficient nuclear fusion
YIL117C	5940.48801049244	2.80299801940712	0.0705506185703026	39.7303110335451	0.0	0.0	PRM5	Pheromone-regulated protein, predicted to have 1 transmembrane segment; induced during cell integrity signaling; PRM5 has a paralog, YNL058C, that arose from the whole genome duplication
YJL108C	2570.67865226242	3.61389880692468	0.0913067517829005	39.5797543594303	0.0	0.0	PRM10	Pheromone-regulated protein; proposed to be involved in mating; predicted to have 5 transmembrane segments; induced by treatment with 8-methoxypsoralen and UVA irradiation
YJL133C-A	4056.00954746928	-4.1910590505702	0.108063114961411	-38.783437364977	0.0	0.0	YJL133C-A	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YJL170C	21889.0859549016	6.0522863669336	0.110890592514414	54.5788982608861	0.0	0.0	ASG7	Protein that regulates signaling from G protein beta subunit Ste4p; contributes to relocalization of Ste4p within the cell; specific to a-cells and induced by alpha-factor
