	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YER081W	2847.093364073	2.41933568354634	0.0942083322141699	25.6806975209614	1.92068964289333e-145	1.2810999918098499e-141	SER3	3-phosphoglycerate dehydrogenase and alpha-ketoglutarate reductase; 3PG dehydrogenase that catalyzes the first step in serine and glycine biosynthesis; also functions as an alpha-ketoglutarate reductase, converting alpha-ketoglutarate to D-2-hydroxyglutarate (D-2HG); localizes to the cytoplasm; SER3 has a paralog, SER33, that arose from the whole genome duplication
YGR234W	24616.5439225689	2.94616722426268	0.125265223417498	23.5194345556178	2.58070422823278e-122	8.60664860115631e-119	YHB1	Nitric oxide oxidoreductase; flavohemoglobin that plays role in oxidative and nitrosative stress responses; protects against nitration of cellular targets and against cell growth inhibition under aerobic or anaerobic conditions; yeast flavohemoglobin Yhb1p and human homolog neuroglobin NGB protect cells against alpha-synuclein cytotoxicity and aggregate formation; protein increases in abundance, relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
YCL064C	3933.84873298196	-5.15127268706302	0.228558035690978	-22.5381386022577	1.7554500784420202e-112	3.90295067440277e-109	CHA1	Catabolic L-serine (L-threonine) deaminase; catalyzes the degradation of both L-serine and L-threonine; required to use serine or threonine as the sole nitrogen source, transcriptionally induced by serine and threonine
YJL088W	3392.46511373073	3.03991921346121	0.138931360486629	21.8807273088913	3.96470161603794e-106	6.611139944743269e-103	ARG3	Ornithine carbamoyltransferase; also known as carbamoylphosphate:L-ornithine carbamoyltransferase; catalyzes the biosynthesis of the arginine precursor citrulline
YKR039W	3353.8496095717	3.89162913246175	0.21301628311967	18.2691626924852	1.45668633138991e-74	1.94321956607413e-71	GAP1	General amino acid permease; Gap1p senses the presence of amino acid substrates to regulate localization to the plasma membrane when needed; essential for invasive growth
YCL025C	2979.01114227729	1.82439656068351	0.103771701791368	17.5808677046796	3.45252074481736e-69	3.83805222798863e-66	AGP1	Low-affinity amino acid permease with broad substrate range; involved in uptake of asparagine, glutamine, and other amino acids; expression regulated by SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p); AGP1 has a paralog, GNP1, that arose from the whole genome duplication
YJR109C	6820.52919768613	1.77559525097204	0.103704981387078	17.1216004016687	1.02420435082276e-65	9.75920431426832e-63	CPA2	Large subunit of carbamoyl phosphate synthetase; carbamoyl phosphate synthetase catalyzes a step in the synthesis of citrulline, an arginine precursor
YIL121W	1429.64995155943	-1.86831958280461	0.135382890646054	-13.8002636366301	2.5392230245784098e-43	2.1170771967422497e-40	QDR2	Plasma membrane transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; exports copper; has broad substrate specificity and can transport many mono- and divalent cations; transports a variety of drugs and is required for resistance to quinidine, barban, cisplatin, and bleomycin; contributes to potassium homeostasis; expression is regulated by copper
YCL019W	412.281648727242	9.06846697097091	0.676512345679641	13.4047324175001	5.67275110925339e-41	4.20413887763557e-38	YCL019W	YCL019W
YDR007W	896.351401965978	-1.4705642260918	0.112126212694276	-13.1152581609212	2.69263754935988e-39	1.79598924542304e-36	TRP1	Phosphoribosylanthranilate isomerase; catalyzes the third step in tryptophan biosynthesis; in 2004, the sequence of TRP1 from strain S228C was updated by changing the previously annotated internal STOP (TAA) to serine (TCA); enhances vegetative growth at low and high temperatures when used as an auxotrophic marker in strains such as W303
YKL216W	20417.6684440081	-1.53218737975804	0.119517929400295	-12.819728282159	1.27145303593546e-37	7.70962886335411e-35	URA1	Dihydroorotate dehydrogenase; catalyzes the fourth enzymatic step in the de novo biosynthesis of pyrimidines, converting dihydroorotic acid into orotic acid
YIL015W	3746.328627771	-15.3020344201318	1.22003815125393	-12.5422589485457	4.3832024931126296e-36	2.4363300524217697e-33	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YEL034C-A	28639.0865954818	0.99197912921115	0.0830354908821729	11.9464474608667	6.776028415228389e-33	3.47662380996718e-30	YEL034C-A	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps HYP2/YEL034W, a verified gene that encodes eiF-5A
YER053C-A	309.642115433781	3.52748688372317	0.295724498191025	11.928287664029	8.42894772368832e-33	4.01579152264293e-30	YER053C-A	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; protein abundance increases in response to DNA replication stress
YLR205C	866.841760895118	2.03049234576484	0.178768862897754	11.3581991452627	6.75221770150129e-30	3.00248613793424e-27	HMX1	ER localized heme oxygenase; involved in heme degradation during iron starvation and in the oxidative stress response; expression is regulated by AFT1 and oxidative stress; relocates to the perinuclear region in the presence of oxidants
YER011W	243.993239877894	-2.80368607922897	0.256669106566255	-10.9233484182688	8.914741430647259e-28	3.71633283390108e-25	TIR1	Cell wall mannoprotein; expression is downregulated at acidic pH and induced by cold shock and anaerobiosis; abundance is increased in cells cultured without shaking; member of the Srp1p/Tip1p family of serine-alanine-rich proteins
YIL016W	984.760062545554	-13.3736039331473	1.26939220687921	-10.5354388192017	5.93060287200429e-26	2.3268894797805102e-23	SNL1	Ribosome-associated protein; proposed to act in protein synthesis and nuclear pore complex biogenesis and maintenance as well as protein folding; has similarity to the mammalian BAG-1 protein
YNL052W	3402.30317290176	1.74712977477202	0.170212045513933	10.2644308720737	1.01920166650905e-24	3.7767083975641e-22	COX5A	Subunit Va of cytochrome c oxidase; cytochrome c oxidase is the terminal member of the mitochondrial inner membrane electron transport chain; Cox5Ap is predominantly expressed during aerobic growth while its isoform Vb (Cox5Bp) is expressed during anaerobic growth; COX5A has a paralog, COX5B, that arose from the whole genome duplication
YNR074C	411.873160872564	-12.1162446699278	1.19226007290577	-10.1624175339514	2.9175098290139e-24	1.02419950313277e-21	AIF1	Mitochondrial cell death effector; translocates to the nucleus in response to apoptotic stimuli, homolog of mammalian Apoptosis-Inducing Factor, putative reductase
YPR145W	16860.958685265	1.25385211669113	0.125025291804341	10.0287877644257	1.13906434889049e-23	3.7987796035497805e-21	ASN1	Asparagine synthetase; catalyzes the synthesis of L-asparagine from L-aspartate in the asparagine biosynthetic pathway; ASN1 has a paralog, ASN2, that arose from the whole genome duplication
YBR244W	865.082362817798	-2.06356888687635	0.206620277809794	-9.98725250372565	1.7331907839452202e-23	5.5049440613879104e-21	GPX2	Phospholipid hydroperoxide glutathione peroxidase; protects cells from phospholipid hydroperoxides and nonphospholipid peroxides during oxidative stress; induced by glucose starvation; protein abundance increases in response to DNA replication stress
YOR382W	877.672949492276	-2.69947644750609	0.274695657083534	-9.82715371683209	8.60154452611781e-23	2.60783190860026e-20	FIT2	Mannoprotein that is incorporated into the cell wall; incorporated via a glycosylphosphatidylinositol (GPI) anchor; involved in the retention of siderophore-iron in the cell wall 
YGL187C	2956.42902801657	1.39557876389528	0.142388941658235	9.80117379652259	1.11284829045689e-22	3.22726004232498e-20	COX4	Subunit IV of cytochrome c oxidase; the terminal member of the mitochondrial inner membrane electron transport chain; precursor N-terminal 25 residues are cleaved during mitochondrial import; phosphorylated; spermidine enhances translation
YER069W	6094.21628164642	2.24661172671214	0.232904823010518	9.64605068144374	5.108533773854339e-22	1.41974667798369e-19	ARG5,6	Acetylglutamate kinase and N-acetyl-gamma-glutamyl-phosphate reductase; N-acetyl-L-glutamate kinase (NAGK) catalyzes the 2nd and N-acetyl-gamma-glutamyl-phosphate reductase (NAGSA), the 3rd step in arginine biosynthesis; synthesized as a precursor which is processed in the mitochondrion to yield mature NAGK and NAGSA; enzymes form a metabolon complex with Arg2p; NAGK C-terminal domain stabilizes the enzymes, slows catalysis and is involved in feed-back inhibition by arginine
YML047C	61.337519705556	-3.64445967136509	0.378707559109415	-9.62341411915715	6.36816293976637e-22	1.69902587232967e-19	PRM6	Potassium transporter that mediates K+ influx; activates high-affinity Ca2+ influx system (HACS) during mating pheromone response; expression up-regulated in response to alpha factor; regulated by Ste12p during mating; localized to sites of polarized growth; member of a fungal-specific gene family; PRM6 has a paralog, KCH1, that arose from the whole genome duplication
YBR067C	6187.483076593	-1.12918988889257	0.120557480919735	-9.36640248517103	7.5046887671463e-21	1.9252413106486797e-18	TIP1	Major cell wall mannoprotein with possible lipase activity; transcription is induced by heat- and cold-shock; member of the Srp1p/Tip1p family of serine-alanine-rich proteins
