	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YAR071W	8751.52120512206	6.63483066516862	0.15426630723127	43.0089420317939	0.0	0.0	PHO11	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2; PHO11 has a paralog, PHO12, that arose from a segmental duplication
YBR093C	60365.1466876351	7.35245966117119	0.0959450486382009	76.6319863872973	0.0	0.0	PHO5	Repressible acid phosphatase; 1 of 3 repressible acid phosphatases that also mediates extracellular nucleotide-derived phosphate hydrolysis; secretory pathway derived cell surface glycoprotein; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2
YBR296C	25209.5729796715	9.32836420420018	0.182993467977597	50.9764873429373	0.0	0.0	PHO89	Plasma membrane Na+/Pi cotransporter; active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p; mutations in related human transporter genes hPit1 and hPit2 are associated with hyperphosphatemia-induced calcification of vascular tissue and familial idiopathic basal ganglia calcification
YDR281C	2589.59837115617	5.9493654816911	0.139085158719907	42.7749843077944	0.0	0.0	PHM6	Protein of unknown function; expression is regulated by phosphate levels
YER072W	18040.236571627	3.18842411320227	0.0804474374307331	39.6336317853203	0.0	0.0	VTC1	Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; VTC complex is involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; also has mRNA binding activity; protein abundance increases in response to DNA replication stress
YHR136C	4185.72185136812	6.85531347197529	0.167322558435084	40.9706469712806	0.0	0.0	SPL2	Protein with similarity to cyclin-dependent kinase inhibitors; downregulates low-affinity phosphate transport during phosphate limitation by targeting Pho87p to the vacuole; upstream region harbors putative hypoxia response element (HRE) cluster; overproduction suppresses a plc1 null mutation; promoter shows an increase in Snf2p occupancy after heat shock; GFP-fusion protein localizes to the cytoplasm
YPL019C	15254.0281887953	3.90592741817308	0.0984744625528406	39.6643689837575	0.0	0.0	VTC3	Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; VTC3 has a paralog, VTC2, that arose from the whole genome duplication
YML123C	44263.6348894572	5.54209009998369	0.149894552988377	36.9732587975589	3.0811203985222904e-299	2.6174117785446803e-296	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YHR215W	11472.4945877338	6.32968737670437	0.17524086423383	36.1199278740057	1.1037964776860599e-285	8.33488984706051e-283	PHO12	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; pregulated by phosphate starvation; PHO12 has a paralog, PHO11, that arose from a segmental duplication
YMR251W	793.462103383654	3.88239306955012	0.139993033741199	27.7327590223339	2.81290429293396e-169	1.91164975747792e-166	GTO3	Omega class glutathione transferase; putative cytosolic localization
YPL110C	2779.73926429409	2.31428249375727	0.0885782892361595	26.1269721250445	1.80075958871246e-150	1.11254201498999e-147	GDE1	Glycerophosphocholine (GroPCho) phosphodiesterase; hydrolyzes GroPCho to choline and glycerolphosphate, for use as a phosphate source and as a precursor for phosphocholine synthesis; may interact with ribosomes
YJL012C	14797.1995261895	2.9081447202937	0.11289204161165	25.7604050628985	2.46466968526575e-146	1.39582459842217e-143	VTC4	Vacuolar membrane polyphosphate polymerase; subunit of the vacuolar transporter chaperone (VTC) complex involved in synthesis and transfer of polyP to the vacuole; regulates membrane trafficking; role in non-autophagic vacuolar fusion; protein abundance increases in response to DNA replication stress
YFL004W	7997.39479389681	1.96936856863633	0.0795531699026138	24.7553751918015	2.7134691336974798e-135	1.4185181717390802e-132	VTC2	Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; VTC2 has a paralog, VTC3, that arose from the whole genome duplication
YGR233C	2668.43192139334	2.13096558978082	0.0979785451656829	21.749308342733	7.01290342965898e-105	3.40426369342589e-102	PHO81	Cyclin-dependent kinase (CDK) inhibitor; regulates Pho80p-Pho85p and Pcl7p-Pho85p cyclin-CDK complexes in response to phosphate levels; inhibitory activity for Pho80p-Pho85p requires myo-D-inositol heptakisphosphate (IP7) generated by Vip1p; relative distribution to the nucleus increases upon DNA replication stress
YHR137W	700.718829587186	3.57639577727413	0.171481422314993	20.8558788992586	1.34798841649173e-96	6.10728618565185e-94	ARO9	Aromatic aminotransferase II; catalyzes the first step of tryptophan, phenylalanine, and tyrosine catabolism
YNL160W	6610.00574861167	-2.70394504033163	0.145391830271999	-18.5976408390561	3.3576222095472097e-77	1.42615003350518e-74	YGP1	Cell wall-related secretory glycoprotein; induced by nutrient deprivation-associated growth arrest and upon entry into stationary phase; may be involved in adaptation prior to stationary phase entry; YGP1 has a paralog, SPS100, that arose from the whole genome duplication
YCL038C	1823.34352409104	2.39719757501378	0.140873680620577	17.0166461503217	6.1811257663162606e-65	2.47099592399325e-62	ATG22	Vacuolar integral membrane protein required for efflux of amino acids; required for efflux of amino acids during autophagic body breakdown in the vacuole; null mutation causes a gradual loss of viability during starvation
YDR017C	4857.78375267355	1.48052266491667	0.0884044819599659	16.7471448516279	5.94099798966095e-63	2.24305679654088e-60	KCS1	Inositol hexakisphosphate and inositol heptakisphosphate kinase; generation of high energy inositol pyrophosphates by Kcs1p is required for many processes such as vacuolar biogenesis, stress response, RNA polymerase I-mediated rRNA transcription and telomere maintenance; inositol hexakisphosphate is also known as IP6; inositol heptakisphosphate is also known as IP7
YHR210C	696.961756332017	2.85479339001929	0.173090178196927	16.4930986827649	4.1130392322258905e-61	1.47116919064248e-58	YHR210C	Putative aldose 1-epimerase superfamily protein; non-essential gene; highly expressed under anaeorbic conditions
YDR481C	6226.54733607799	2.1497849199662	0.131957993793689	16.2914337976924	1.13535935051046e-59	3.85795107303454e-57	PHO8	Repressible vacuolar alkaline phosphatase; regulated by levels of Pi and by Pho4p, Pho9p, Pho80p, Pho81p and Pho85p; dephosphorylates phosphotyrosyl peptides; contributes to NAD+ metabolism by producing nicotinamide riboside from NMN
YPL268W	1830.80130742653	1.41724589648108	0.0933135855453	15.1879909897264	4.2473879232654305e-52	1.3745356345957999e-49	PLC1	Phospholipase C; hydrolyzes phosphatidylinositol 4,5-biphosphate (PIP2) to generate the signaling molecules inositol 1,4,5-triphosphate (IP3) and 1,2-diacylglycerol (DAG); involved in regulating many cellular processes; Plc1p and inositol polyphosphates are required for acetyl-CoA homeostasis which regulates global histone acetylation
SCR1	365.91583048965	3.12681472778139	0.206433803073954	15.1468154983379	7.95277641684267e-52	2.45668493313013e-49	SCR1	SCR1
YPR078C	214.89327624954	3.40034784083007	0.227289917457886	14.9603989427297	1.33224998527821e-50	3.9365090869351e-48	YPR078C	Putative protein of unknown function; possible role in DNA metabolism and/or in genome stability; expression is heat-inducible
YNL208W	14351.1185206941	1.36216762471703	0.0913809996816333	14.9064644670418	2.99180240418363e-50	8.47178714117998e-48	YNL208W	Protein of unknown function; may interact with ribosomes, based on co-purification experiments; authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; potential orthologs found in other fungi
YJL117W	4987.79549809676	1.38570137894231	0.0930334838126421	14.8946521419422	3.57037993298045e-50	9.705720809814039e-48	PHO86	Endoplasmic reticulum (ER) resident protein; required for ER exit of the high-affinity phosphate transporter Pho84p, specifically required for packaging of Pho84p into COPII vesicles; protein abundance increases in response to DNA replication stress
YJL212C	1290.11791447415	-1.76155649238271	0.120493408798244	-14.6195257479376	2.10864015801431e-48	5.5116609668712605e-46	OPT1	Proton-coupled oligopeptide transporter of the plasma membrane; also transports glutathione and phytochelatin; member of the OPT family
YLR307W	163.44232096123	3.4019036254796	0.237014691964806	14.3531339651499	1.01829612736603e-46	2.56308906725169e-44	CDA1	Chitin deacetylase; together with Cda2p involved in the biosynthesis ascospore wall component, chitosan; required for proper rigidity of the ascospore wall
YKL161C	955.938201319343	1.86960859832213	0.13565702233352	13.781878491521	3.2763448862545798e-43	7.95215708820934e-41	KDX1	Protein kinase; implicated in Slt2p mitogen-activated (MAP) kinase signaling pathway; interacts with numerous components in the mating pheromone and CWI MAPK pathways; associates with Rlm1p; KDX1 has a paralog, SLT2, that arose from the whole genome duplication
YHR211W	1471.35700321332	1.99684583298484	0.146693406776012	13.6123761583495	3.3807075489968195e-42	7.922513276890489e-40	FLO5	Lectin-like cell wall protein (flocculin) involved in flocculation; binds mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin resistant but heat labile; important for co-flocculation with other yeasts, mediating interaction with specific species; FLO5 has a paralog, FLO1, that arose from a segmental duplication
YER011W	459.02785179748	-1.84433998887538	0.139874969300963	-13.1856328411911	1.06159391678395e-39	2.40486408615457e-37	TIR1	Cell wall mannoprotein; expression is downregulated at acidic pH and induced by cold shock and anaerobiosis; abundance is increased in cells cultured without shaking; member of the Srp1p/Tip1p family of serine-alanine-rich proteins
YDR501W	745.278560025357	1.58036534991949	0.122748570306478	12.8748167573247	6.23869673103941e-38	1.36768332206916e-35	PLM2	Putative transcription factor, contains Forkhead Associated domain; found associated with chromatin; target of SBF transcription factor; induced in response to DNA damaging agents and deletion of telomerase; PLM2 has a paralog, TOS4, that arose from the whole genome duplication
YHL016C	582.385928471979	1.93383278746998	0.151248866561261	12.7857671362232	1.96910195279515e-37	4.1818802722486996e-35	DUR3	Plasma membrane transporter for both urea and polyamines; expression is highly sensitive to nitrogen catabolite repression and induced by allophanate, the last intermediate of the allantoin degradative pathway
YCR098C	243.77277846555	1.86532836845179	0.147350564870741	12.6591192241991	9.9610634259793e-37	2.05137536493804e-34	GIT1	Plasma membrane permease; mediates uptake of glycerophosphoinositol and glycerophosphocholine as sources of the nutrients inositol and phosphate; expression and transport rate are regulated by phosphate and inositol availability
YGL224C	1988.75555232125	1.86379216752282	0.148206896147318	12.5756102851665	2.87570950789952e-36	5.74803582814268e-34	SDT1	Pyrimidine nucleotidase; responsible for production of nicotinamide riboside and nicotinic acid riboside; overexpression suppresses the 6-AU sensitivity of transcription elongation factor S-II, as well as resistance to other pyrimidine derivatives; SDT1 has a paralog, PHM8, that arose from the whole genome duplication
YJL133C-A	2802.17641479194	1.40858132874506	0.112270697087411	12.5462953850583	4.1654638252552295e-36	8.08814061612416e-34	YJL133C-A	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YOL082W	2748.27900879116	1.94223375328627	0.156242322290277	12.4309068427559	1.77608008007703e-35	3.35284450672319e-33	ATG19	Receptor protein for the cytoplasm-to-vacuole targeting (Cvt) pathway; delivers cargo proteins aminopeptidase I (Ape1p) and alpha-mannosidase (Ams1p) to the phagophore assembly site for packaging into Cvt vesicles; interaction with Atg19p during the Cvt pathway requires phosphorylation by Hrr25p
YIR034C	1896.69330835888	1.19807147570335	0.0965872557610309	12.4040326672861	2.4849561568941e-35	4.56426001141955e-33	LYS1	Saccharopine dehydrogenase (NAD+, L-lysine-forming); catalyzes the conversion of saccharopine to L-lysine, which is the final step in the lysine biosynthesis pathway; also has mRNA binding activity
YLR266C	1672.75656986726	1.18013278731644	0.0982914887305258	12.0064595882953	3.2861458191419896e-33	5.87701236497078e-31	PDR8	Transcription factor; targets include ATP-binding cassette (ABC) transporters, major facilitator superfamily transporters, and other genes involved in the pleiotropic drug resistance (PDR) phenomenon; PDR8 has a paralog, YRR1, that arose from the whole genome duplication
YIL117C	1859.78684719037	2.04365997592408	0.172441355282966	11.8513332986195	2.11793910473413e-32	3.69064465532645e-30	PRM5	Pheromone-regulated protein, predicted to have 1 transmembrane segment; induced during cell integrity signaling; PRM5 has a paralog, YNL058C, that arose from the whole genome duplication
YNL217W	3777.61449297778	1.96627656196542	0.167458000841763	11.7419087298398	7.771248918927e-32	1.3203351913256998e-29	YNL217W	Putative protein of unknown function; weak sequence similarity to bis (5'-nucleotidyl)-tetraphosphatases; (GFP)-fusion protein localizes to the vacuole; null mutant is highly sensitive to azaserine and resistant to sodium-O-vandate
YER037W	3476.34814885458	2.4386998235421	0.212793122325757	11.4604259615533	2.0848688593376298e-30	3.45579726050209e-28	PHM8	Lysophosphatidic acid (LPA) phosphatase, nucleotidase; principle and physiological nucleotidase working on GMP, UMP and CMP; involved in LPA hydrolysis in response to phosphate starvation and ribose salvage pathway; phosphatase activity is soluble and Mg2+ dependent; expression is induced by low phosphate levels and by inactivation of Pho85p; repressed by Gcn4p under normal conditions; PHM8 has a paralog, SDT1, that arose from the whole genome duplication
