	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YCR021C	9780.76340324357	5.86227831495903	0.135474035153133	43.2723385579575	0.0	0.0	HSP30	Negative regulator of the H(+)-ATPase Pma1p; stress-responsive protein; hydrophobic plasma membrane localized; induced by heat shock, ethanol treatment, weak organic acid, glucose limitation, and entry into stationary phase
YPL187W	28751.437167359	11.3766280330665	0.266802449846883	42.6406430660419	0.0	0.0	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YKL178C	3276.16398555784	4.95850843779948	0.153359068751477	32.3326718019846	2.431065144529e-229	5.39939568599892e-226	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YLR040C	3351.29028001841	3.37149608531745	0.106913691239162	31.5347458893317	2.9024833854711e-218	4.83481169934848e-215	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YDR461W	5110.88582520679	-7.52370494741399	0.254569978720329	-29.5545648596669	5.73744891346461e-192	7.64572442208293e-189	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YJR109C	8499.88969339761	2.22632297514272	0.08374763699039	26.5837109576978	1.04743591614797e-155	1.16317758488232e-152	CPA2	Large subunit of carbamoyl phosphate synthetase; carbamoyl phosphate synthetase catalyzes a step in the synthesis of citrulline, an arginine precursor
YPR157W	1737.6995625171	4.27222342381374	0.189094555247284	22.5930536086924	5.07180316947091e-113	4.8276320740263903e-110	TDA6	Putative protein of unknown function; induced by treatment with 8-methoxypsoralen and UVA irradiation; null mutant is sensitive to expression of the top1-T722A allele; SWAT-GFP and mCherry fusion proteins localize to the cell periphery and vacuole; TDA6 has a paralog, VPS62, that arose from the whole genome duplication
YCL030C	13483.4938860789	2.54370082220493	0.114335408629707	22.2477083231766	1.18705055086529e-109	9.88664727551929e-107	HIS4	Multifunctional enzyme containing phosphoribosyl-ATP pyrophosphatase; phosphoribosyl-AMP cyclohydrolase, and histidinol dehydrogenase activities; catalyzes the second, third, ninth and tenth steps in histidine biosynthesis
YGR138C	8859.81324756601	3.70379535812939	0.167544596298519	22.1063253602654	2.74749205692153e-108	2.03405995280757e-105	TPO2	Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; specific for spermine; localizes to the plasma membrane; transcription of TPO2 is regulated by Haa1p; TPO2 has a paralog, TPO3, that arose from the whole genome duplication
YFL026W	8699.02314188257	-6.16635809142917	0.28133500309598	-21.9182043598231	1.74193914127968e-106	1.16065404983465e-103	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
